Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,6.35,6.55,6.3,6.4,332054.0,0.0,1.0,6.35,6.55,6.3,6.4,332054.0
2018-03-26,6.35,6.5,6.15,6.3,479049.0,0.0,1.0,6.35,6.5,6.15,6.3,479049.0
2018-03-23,6.75,6.75,6.25,6.3,480576.0,0.0,1.0,6.75,6.75,6.25,6.3,480576.0
2018-03-22,6.8,6.95,6.6,6.7,424322.0,0.0,1.0,6.8,6.95,6.6,6.7,424322.0
2018-03-21,6.85,6.9,6.7,6.85,833183.0,0.0,1.0,6.85,6.9,6.7,6.85,833183.0
2018-03-20,6.85,6.95,6.7,6.9,670971.0,0.0,1.0,6.85,6.95,6.7,6.9,670971.0
2018-03-19,6.65,6.95,6.6,6.85,794626.0,0.0,1.0,6.65,6.95,6.6,6.85,794626.0
2018-03-16,6.5,6.7,6.425,6.65,1369864.0,0.0,1.0,6.5,6.7,6.425,6.65,1369864.0
2018-03-15,6.45,6.45,6.25,6.45,463051.0,0.0,1.0,6.45,6.45,6.25,6.45,463051.0
2018-03-14,6.45,6.55,6.4,6.4,685366.0,0.0,1.0,6.45,6.55,6.4,6.4,685366.0
2018-03-13,6.5,6.525,6.35,6.45,435863.0,0.0,1.0,6.5,6.525,6.35,6.45,435863.0
2018-03-12,6.35,6.5,6.3,6.45,310720.0,0.0,1.0,6.35,6.5,6.3,6.45,310720.0
2018-03-09,6.35,6.4,6.15,6.35,429962.0,0.0,1.0,6.35,6.4,6.15,6.35,429962.0
2018-03-08,6.4,6.45,6.25,6.3,341097.0,0.0,1.0,6.4,6.45,6.25,6.3,341097.0
2018-03-07,6.15,6.4,6.15,6.35,647069.0,0.0,1.0,6.15,6.4,6.15,6.35,647069.0
2018-03-06,6.35,6.4,6.05,6.2,627265.0,0.0,1.0,6.35,6.4,6.05,6.2,627265.0
2018-03-05,6.15,6.4,6.05,6.3,1223396.0,0.0,1.0,6.15,6.4,6.05,6.3,1223396.0
2018-03-02,6.05,6.15,5.95,6.15,1024115.0,0.0,1.0,6.05,6.15,5.95,6.15,1024115.0
2018-03-01,5.95,6.25,5.85,6.1,916277.0,0.0,1.0,5.95,6.25,5.85,6.1,916277.0
2018-02-28,6.5,6.85,5.8,6.0,2493254.0,0.0,1.0,6.5,6.85,5.8,6.0,2493254.0
2018-02-27,7.25,7.45,7.1,7.2,523184.0,0.0,1.0,7.25,7.45,7.1,7.2,523184.0
2018-02-26,7.4,7.55,7.2,7.3,398505.0,0.0,1.0,7.4,7.55,7.2,7.3,398505.0
2018-02-23,7.4,7.5,7.35,7.45,177135.0,0.0,1.0,7.4,7.5,7.35,7.45,177135.0
2018-02-22,7.45,7.65,7.2,7.45,354987.0,0.0,1.0,7.45,7.65,7.2,7.45,354987.0
2018-02-21,7.4,7.625,7.35,7.4,401014.0,0.0,1.0,7.4,7.625,7.35,7.4,401014.0
2018-02-20,7.15,7.6,7.15,7.4,639141.0,0.0,1.0,7.15,7.6,7.15,7.4,639141.0
2018-02-16,7.25,7.35,7.1,7.2,387314.0,0.0,1.0,7.25,7.35,7.1,7.2,387314.0
2018-02-15,7.35,7.358,7.15,7.3,348720.0,0.0,1.0,7.35,7.358,7.15,7.3,348720.0
2018-02-14,7.05,7.4,7.025,7.35,335797.0,0.0,1.0,7.05,7.4,7.025,7.35,335797.0
2018-02-13,6.95,7.1,6.85,7.1,389032.0,0.0,1.0,6.95,7.1,6.85,7.1,389032.0
2018-02-12,6.9,7.15,6.8,7.0,453378.0,0.0,1.0,6.9,7.15,6.8,7.0,453378.0
2018-02-09,6.9,7.05,6.75,6.9,571735.0,0.0,1.0,6.9,7.05,6.75,6.9,571735.0
2018-02-08,6.85,7.05,6.75,6.8,409496.0,0.0,1.0,6.85,7.05,6.75,6.8,409496.0
2018-02-07,7.05,7.2,6.8,6.85,636005.0,0.0,1.0,7.05,7.2,6.8,6.85,636005.0
2018-02-06,6.75,7.15,6.605,7.1,815189.0,0.0,1.0,6.75,7.15,6.605,7.1,815189.0
2018-02-05,6.95,7.0,6.8,6.9,547995.0,0.0,1.0,6.95,7.0,6.8,6.9,547995.0
2018-02-02,7.15,7.2,6.95,6.95,590442.0,0.0,1.0,7.15,7.2,6.95,6.95,590442.0
2018-02-01,7.0,7.3,6.95,7.2,364351.0,0.0,1.0,7.0,7.3,6.95,7.2,364351.0
2018-01-31,7.3,7.425,7.05,7.05,541551.0,0.0,1.0,7.3,7.425,7.05,7.05,541551.0
2018-01-30,7.45,7.75,7.15,7.25,415763.0,0.0,1.0,7.45,7.75,7.15,7.25,415763.0
2018-01-29,7.55,7.7342,7.5,7.55,550359.0,0.0,1.0,7.55,7.7342,7.5,7.55,550359.0
