Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,3.4672,3.4672,3.35,3.39,1925.0,0.0,1.0,3.4672,3.4672,3.35,3.39,1925.0
2018-03-26,3.49,3.5,3.3,3.33,7891.0,0.0,1.0,3.49,3.5,3.3,3.33,7891.0
2018-03-23,3.47,3.5697,3.3114,3.5,7070.0,0.0,1.0,3.47,3.5697,3.3114,3.5,7070.0
2018-03-22,3.55,3.6481,3.3479,3.5306,23102.0,0.0,1.0,3.55,3.6481,3.3479,3.5306,23102.0
2018-03-21,3.29,3.53,3.29,3.53,11353.0,0.0,1.0,3.29,3.53,3.29,3.53,11353.0
2018-03-20,3.22,3.33,3.22,3.33,69192.0,0.0,1.0,3.22,3.33,3.22,3.33,69192.0
2018-03-19,3.2,3.24,3.2,3.2163,688.0,0.0,1.0,3.2,3.24,3.2,3.2163,688.0
2018-03-16,3.18,3.33,3.18,3.2,9957.0,0.0,1.0,3.18,3.33,3.18,3.2,9957.0
2018-03-15,3.26,3.26,3.08,3.2,11958.0,0.0,1.0,3.26,3.26,3.08,3.2,11958.0
2018-03-14,3.39,3.39,3.23,3.23,10004.0,0.0,1.0,3.39,3.39,3.23,3.23,10004.0
2018-03-13,3.48,3.6,3.4,3.42,95875.0,0.0,1.0,3.48,3.6,3.4,3.42,95875.0
2018-03-12,3.46,3.55,3.41,3.53,30697.0,0.0,1.0,3.46,3.55,3.41,3.53,30697.0
2018-03-09,3.36,3.49,3.325,3.49,7589.0,0.0,1.0,3.36,3.49,3.325,3.49,7589.0
2018-03-08,3.33,3.39,3.33,3.39,20503.0,0.0,1.0,3.33,3.39,3.33,3.39,20503.0
2018-03-07,3.39,3.49,3.3359,3.44,6630.0,0.0,1.0,3.39,3.49,3.3359,3.44,6630.0
2018-03-06,3.4210000000000003,3.44,3.34,3.34,6477.0,0.0,1.0,3.4210000000000003,3.44,3.34,3.34,6477.0
2018-03-05,3.53,3.53,3.3810000000000002,3.44,14749.0,0.0,1.0,3.53,3.53,3.3810000000000002,3.44,14749.0
2018-03-02,3.51,3.56,3.45,3.56,8736.0,0.0,1.0,3.51,3.56,3.45,3.56,8736.0
2018-03-01,3.64,3.64,3.51,3.51,2667.0,0.0,1.0,3.64,3.64,3.51,3.51,2667.0
2018-02-28,3.51,3.52,3.51,3.52,517.0,0.0,1.0,3.51,3.52,3.51,3.52,517.0
2018-02-27,3.56,3.5908,3.51,3.51,15358.0,0.0,1.0,3.56,3.5908,3.51,3.51,15358.0
2018-02-26,3.54,3.57,3.51,3.52,2502.0,0.0,1.0,3.54,3.57,3.51,3.52,2502.0
2018-02-23,3.4,3.57,3.4,3.56,1906.0,0.0,1.0,3.4,3.57,3.4,3.56,1906.0
2018-02-22,3.41,3.59,3.35,3.4,3187.0,0.0,1.0,3.41,3.59,3.35,3.4,3187.0
2018-02-21,3.5,3.5,3.4,3.4,404.0,0.0,1.0,3.5,3.5,3.4,3.4,404.0
2018-02-20,3.45,3.55,3.45,3.5,57672.0,0.0,1.0,3.45,3.55,3.45,3.5,57672.0
2018-02-16,3.51,3.52,3.45,3.45,1691.0,0.0,1.0,3.51,3.52,3.45,3.45,1691.0
2018-02-15,3.5715,3.5715,3.37,3.5099,11060.0,0.0,1.0,3.5715,3.5715,3.37,3.5099,11060.0
2018-02-14,3.39,3.6,3.39,3.51,3223.0,0.0,1.0,3.39,3.6,3.39,3.51,3223.0
2018-02-13,3.39,3.4304,3.387,3.4304,3903.0,0.0,1.0,3.39,3.4304,3.387,3.4304,3903.0
2018-02-12,3.3,3.4,3.2460000000000004,3.37,11365.0,0.0,1.0,3.3,3.4,3.2460000000000004,3.37,11365.0
2018-02-09,3.36,3.5,3.2,3.28,51551.0,0.0,1.0,3.36,3.5,3.2,3.28,51551.0
2018-02-08,3.38,3.45,3.32,3.32,22076.0,0.0,1.0,3.38,3.45,3.32,3.32,22076.0
2018-02-07,3.37,3.41,3.3,3.32,71616.0,0.0,1.0,3.37,3.41,3.3,3.32,71616.0
2018-02-06,3.33,3.49,3.2737,3.42,8983.0,0.0,1.0,3.33,3.49,3.2737,3.42,8983.0
2018-02-05,3.65,3.65,3.2676,3.3001,8518.0,0.0,1.0,3.65,3.65,3.2676,3.3001,8518.0
2018-02-02,3.78,3.78,3.654,3.6798,34612.0,0.0,1.0,3.78,3.78,3.654,3.6798,34612.0
2018-02-01,3.8,3.88,3.79,3.82,3024.0,0.0,1.0,3.8,3.88,3.79,3.82,3024.0
2018-01-31,3.75,3.83,3.75,3.76,7035.0,0.0,1.0,3.75,3.83,3.75,3.76,7035.0
2018-01-30,3.75,3.79,3.75,3.75,3450.0,0.0,1.0,3.75,3.79,3.75,3.75,3450.0
2018-01-29,3.73,3.77,3.73,3.76,72547.0,0.0,1.0,3.73,3.77,3.73,3.76,72547.0
2018-01-26,3.75,3.9676,3.72,3.82,4755.0,0.0,1.0,3.75,3.9676,3.72,3.82,4755.0
2018-01-25,3.81,3.87,3.72,3.72,8371.0,0.0,1.0,3.81,3.87,3.72,3.72,8371.0
2018-01-24,3.85,4.2,3.83,3.87,64344.0,0.0,1.0,3.85,4.2,3.83,3.87,64344.0
2018-01-23,3.66,3.8899,3.62,3.88,23205.0,0.0,1.0,3.66,3.8899,3.62,3.88,23205.0
2018-01-22,3.94,3.95,3.63,3.64,5384.0,0.0,1.0,3.94,3.95,3.63,3.64,5384.0
2018-01-19,3.61,4.02,3.4773,3.96,14230.0,0.0,1.0,3.61,4.02,3.4773,3.96,14230.0
2018-01-18,3.79,3.92,3.58,3.6,9252.0,0.0,1.0,3.79,3.92,3.58,3.6,9252.0
2018-01-17,3.87,3.91,3.72,3.76,11486.0,0.0,1.0,3.87,3.91,3.72,3.76,11486.0
2018-01-16,4.0339,4.08,3.82,3.88,24391.0,0.0,1.0,4.0339,4.08,3.82,3.88,24391.0
2018-01-12,3.85,4.02,3.7642,3.87,26188.0,0.0,1.0,3.85,4.02,3.7642,3.87,26188.0
2018-01-11,3.77,4.12,3.77,3.82,25292.0,0.0,1.0,3.77,4.12,3.77,3.82,25292.0
2018-01-10,3.45,3.9,3.33,3.77,22468.0,0.0,1.0,3.45,3.9,3.33,3.77,22468.0
2018-01-09,3.74,4.1251,3.699,3.72,69862.0,0.0,1.0,3.74,4.1251,3.699,3.72,69862.0
2018-01-08,3.5,3.75,3.344,3.75,97049.0,0.0,1.0,3.5,3.75,3.344,3.75,97049.0
2018-01-05,3.53,3.57,3.36,3.46,44360.0,0.0,1.0,3.53,3.57,3.36,3.46,44360.0
2018-01-04,3.4636,3.5,3.42,3.48,15069.0,0.0,1.0,3.4636,3.5,3.42,3.48,15069.0
2018-01-03,3.32,3.5,3.32,3.4199,29894.0,0.0,1.0,3.32,3.5,3.32,3.4199,29894.0
2018-01-02,3.3072,3.33,3.18,3.28,5804.0,0.0,1.0,3.3072,3.33,3.18,3.28,5804.0
2017-12-29,3.36,3.41,3.08,3.17,44528.0,0.0,1.0,3.36,3.41,3.08,3.17,44528.0
2017-12-28,3.529,3.63,3.4,3.4,5632.0,0.0,1.0,3.529,3.63,3.4,3.4,5632.0
2017-12-27,3.63,3.63,3.5025,3.51,4021.0,0.0,1.0,3.63,3.63,3.5025,3.51,4021.0
2017-12-26,3.53,3.6,3.52,3.52,3415.0,0.0,1.0,3.53,3.6,3.52,3.52,3415.0
2017-12-22,3.65,3.65,3.5587,3.58,1565.0,0.0,1.0,3.65,3.65,3.5587,3.58,1565.0
2017-12-21,3.83,3.84,3.65,3.65,3238.0,0.0,1.0,3.83,3.84,3.65,3.65,3238.0
2017-12-20,3.7,3.8,3.62,3.7725,14479.0,0.0,1.0,3.7,3.8,3.62,3.7725,14479.0
2017-12-19,3.77,3.86,3.75,3.77,31004.0,0.0,1.0,3.77,3.86,3.75,3.77,31004.0
2017-12-18,3.8089999999999997,3.85,3.78,3.78,7007.0,0.0,1.0,3.8089999999999997,3.85,3.78,3.78,7007.0
2017-12-15,3.7846,3.85,3.78,3.78,4724.0,0.0,1.0,3.7846,3.85,3.78,3.78,4724.0
2017-12-14,3.8,3.83,3.77,3.77,5989.0,0.0,1.0,3.8,3.83,3.77,3.77,5989.0
2017-12-13,3.82,3.83,3.7843,3.81,3985.0,0.0,1.0,3.82,3.83,3.7843,3.81,3985.0
2017-12-12,3.8,3.85,3.7786,3.78,7907.0,0.0,1.0,3.8,3.85,3.7786,3.78,7907.0
2017-12-11,3.81,3.83,3.8,3.82,6211.0,0.0,1.0,3.81,3.83,3.8,3.82,6211.0
2017-12-08,3.75,3.85,3.73,3.85,11583.0,0.0,1.0,3.75,3.85,3.73,3.85,11583.0
2017-12-07,3.77,3.77,3.6999,3.75,6707.0,0.0,1.0,3.77,3.77,3.6999,3.75,6707.0
2017-12-06,3.7799,3.83,3.7799,3.8,8024.0,0.0,1.0,3.7799,3.83,3.7799,3.8,8024.0
2017-12-05,3.73,3.84,3.7,3.84,8960.0,0.0,1.0,3.73,3.84,3.7,3.84,8960.0
2017-12-04,3.78,3.78,3.7060000000000004,3.7399,17960.0,0.0,1.0,3.78,3.78,3.7060000000000004,3.7399,17960.0
2017-12-01,3.78,3.838,3.73,3.79,25603.0,0.0,1.0,3.78,3.838,3.73,3.79,25603.0
2017-11-30,3.77,3.839,3.75,3.76,11669.0,0.0,1.0,3.77,3.839,3.75,3.76,11669.0
2017-11-29,3.72,3.8174,3.7,3.75,71022.0,0.0,1.0,3.72,3.8174,3.7,3.75,71022.0
2017-11-28,3.79,3.85,3.761,3.77,11472.0,0.0,1.0,3.79,3.85,3.761,3.77,11472.0
2017-11-27,3.73,3.85,3.73,3.7618,5909.0,0.0,1.0,3.73,3.85,3.73,3.7618,5909.0
2017-11-24,3.77,3.88,3.62,3.79,21891.0,0.0,1.0,3.77,3.88,3.62,3.79,21891.0
2017-11-22,3.75,3.93,3.69,3.79,11565.0,0.0,1.0,3.75,3.93,3.69,3.79,11565.0
2017-11-21,3.845,3.85,3.71,3.72,4521.0,0.0,1.0,3.845,3.85,3.71,3.72,4521.0
2017-11-20,3.75,3.9,3.61,3.75,26948.0,0.0,1.0,3.75,3.9,3.61,3.75,26948.0
2017-11-17,3.6724,3.94,3.6443,3.91,23645.0,0.0,1.0,3.6724,3.94,3.6443,3.91,23645.0
2017-11-16,3.6910000000000003,3.93,3.6,3.7,7683.0,0.0,1.0,3.6910000000000003,3.93,3.6,3.7,7683.0
2017-11-15,3.575,3.67,3.55,3.65,2878.0,0.0,1.0,3.575,3.67,3.55,3.65,2878.0
2017-11-14,3.5681,3.67,3.5681,3.65,3440.0,0.0,1.0,3.5681,3.67,3.5681,3.65,3440.0
2017-11-13,3.65,3.74,3.6180000000000003,3.69,8746.0,0.0,1.0,3.65,3.74,3.6180000000000003,3.69,8746.0
2017-11-10,3.69,3.9,3.66,3.7,14242.0,0.0,1.0,3.69,3.9,3.66,3.7,14242.0
2017-11-09,3.79,3.79,3.7012,3.78,486.0,0.0,1.0,3.79,3.79,3.7012,3.78,486.0
2017-11-07,3.82,3.82,3.75,3.75,5619.0,0.0,1.0,3.82,3.82,3.75,3.75,5619.0
2017-11-06,3.83,3.97,3.6904,3.76,26822.0,0.0,1.0,3.83,3.97,3.6904,3.76,26822.0
2017-11-03,3.61,3.97,3.5684,3.74,36511.0,0.0,1.0,3.61,3.97,3.5684,3.74,36511.0
2017-11-02,3.25,3.6972,3.25,3.54,40369.0,0.0,1.0,3.25,3.6972,3.25,3.54,40369.0
2017-11-01,3.23,3.26,3.2166,3.25,140181.0,0.0,1.0,3.23,3.26,3.2166,3.25,140181.0
2017-10-31,3.2501,3.2799,3.1373,3.14,18453.0,0.0,1.0,3.2501,3.2799,3.1373,3.14,18453.0
2017-10-30,3.3299,3.3399,3.22,3.26,9349.0,0.0,1.0,3.3299,3.3399,3.22,3.26,9349.0
2017-10-27,3.29,3.3,3.22,3.27,5297.0,0.0,1.0,3.29,3.3,3.22,3.27,5297.0
2017-10-26,3.19,3.28,3.18,3.28,16240.0,0.0,1.0,3.19,3.28,3.18,3.28,16240.0
2017-10-25,3.091,3.15,3.08,3.12,7772.0,0.0,1.0,3.091,3.15,3.08,3.12,7772.0
2017-10-24,3.0842,3.1231,3.0842,3.1231,2215.0,0.0,1.0,3.0842,3.1231,3.0842,3.1231,2215.0
2017-10-23,3.239,3.239,3.096,3.1019,3110.0,0.0,1.0,3.239,3.239,3.096,3.1019,3110.0
2017-10-20,3.1701,3.2228,3.13,3.2228,3356.0,0.0,1.0,3.1701,3.2228,3.13,3.2228,3356.0
2017-10-19,3.15,3.26,3.15,3.1867,12986.0,0.0,1.0,3.15,3.26,3.15,3.1867,12986.0
2017-10-18,3.29,3.29,3.12,3.18,4894.0,0.0,1.0,3.29,3.29,3.12,3.18,4894.0
2017-10-17,3.24,3.429,3.22,3.26,9245.0,0.0,1.0,3.24,3.429,3.22,3.26,9245.0
2017-10-16,3.45,3.55,3.21,3.2910000000000004,5021.0,0.0,1.0,3.45,3.55,3.21,3.2910000000000004,5021.0
2017-10-13,3.55,3.55,3.41,3.41,7119.0,0.0,1.0,3.55,3.55,3.41,3.41,7119.0
2017-10-12,3.69,3.8012,3.55,3.58,7883.0,0.0,1.0,3.69,3.8012,3.55,3.58,7883.0
2017-10-11,3.72,3.76,3.65,3.75,6354.0,0.0,1.0,3.72,3.76,3.65,3.75,6354.0
2017-10-10,3.65,3.76,3.56,3.64,5893.0,0.0,1.0,3.65,3.76,3.56,3.64,5893.0
2017-10-09,3.59,3.95,3.58,3.7,4748.0,0.0,1.0,3.59,3.95,3.58,3.7,4748.0
2017-10-06,3.42,3.57,3.4,3.57,7965.0,0.0,1.0,3.42,3.57,3.4,3.57,7965.0
2017-10-05,3.6467,3.6467,3.5,3.5,3335.0,0.0,1.0,3.6467,3.6467,3.5,3.5,3335.0
2017-10-04,3.5397,3.66,3.51,3.52,6184.0,0.0,1.0,3.5397,3.66,3.51,3.52,6184.0
2017-10-03,3.44,3.6,3.4084,3.44,3346.0,0.0,1.0,3.44,3.6,3.4084,3.44,3346.0
2017-10-02,3.48,3.48,3.48,3.48,1230.0,0.0,1.0,3.48,3.48,3.48,3.48,1230.0
2017-09-29,3.47,3.55,3.435,3.49,3645.0,0.0,1.0,3.47,3.55,3.435,3.49,3645.0
2017-09-28,3.47,3.5499,3.43,3.44,4665.0,0.0,1.0,3.47,3.5499,3.43,3.44,4665.0
2017-09-27,3.5,3.67,3.4,3.43,5629.0,0.0,1.0,3.5,3.67,3.4,3.43,5629.0
2017-09-26,3.38,3.38,3.38,3.38,10.0,0.0,1.0,3.38,3.38,3.38,3.38,10.0
2017-09-25,3.44,3.6719999999999997,3.38,3.38,12993.0,0.0,1.0,3.44,3.6719999999999997,3.38,3.38,12993.0
2017-09-22,3.49,3.58,3.42,3.42,2405.0,0.0,1.0,3.49,3.58,3.42,3.42,2405.0
2017-09-21,3.65,3.65,3.31,3.43,5719.0,0.0,1.0,3.65,3.65,3.31,3.43,5719.0
2017-09-20,3.59,3.75,3.5717,3.59,15401.0,0.0,1.0,3.59,3.75,3.5717,3.59,15401.0
2017-09-19,3.74,3.74,3.5604,3.65,10401.0,0.0,1.0,3.74,3.74,3.5604,3.65,10401.0
2017-09-18,3.72,3.78,3.44,3.78,32044.0,0.0,1.0,3.72,3.78,3.44,3.78,32044.0
2017-09-15,3.49,3.79,3.48,3.65,27180.0,0.0,1.0,3.49,3.79,3.48,3.65,27180.0
2017-09-14,3.54,3.66,3.4,3.42,8092.0,0.0,1.0,3.54,3.66,3.4,3.42,8092.0
2017-09-13,3.5026,3.69,3.5026,3.51,10086.0,0.0,1.0,3.5026,3.69,3.5026,3.51,10086.0
2017-09-12,3.43,3.66,3.39,3.46,62976.0,0.0,1.0,3.43,3.66,3.39,3.46,62976.0
