Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,36.25,36.52,35.76,35.88,167234.0,0.0,1.0,36.25,36.52,35.76,35.88,167234.0
2018-03-26,35.42,36.06,35.17,36.03,265123.0,0.0,1.0,35.42,36.06,35.17,36.03,265123.0
2018-03-23,36.09,36.28,35.12,35.12,144016.0,0.0,1.0,36.09,36.28,35.12,35.12,144016.0
2018-03-22,35.6,36.63,35.6,36.13,218093.0,0.0,1.0,35.6,36.63,35.6,36.13,218093.0
2018-03-21,35.99,36.0,35.61,35.74,149096.0,0.0,1.0,35.99,36.0,35.61,35.74,149096.0
2018-03-20,35.68,35.98,35.31,35.75,247484.0,0.0,1.0,35.68,35.98,35.31,35.75,247484.0
2018-03-19,35.7,35.89,35.19,35.59,248969.0,0.0,1.0,35.7,35.89,35.19,35.59,248969.0
2018-03-16,35.99,36.01,35.55,35.76,275411.0,0.0,1.0,35.99,36.01,35.55,35.76,275411.0
2018-03-15,36.06,36.19,35.65,36.05,273363.0,0.0,1.0,36.06,36.19,35.65,36.05,273363.0
2018-03-14,36.15,36.285,35.48,35.95,307632.0,0.0,1.0,36.15,36.285,35.48,35.95,307632.0
2018-03-13,36.37,36.7,35.77,36.1,233070.0,0.0,1.0,36.37,36.7,35.77,36.1,233070.0
2018-03-12,35.85,36.34,35.685,36.06,292483.0,0.0,1.0,35.85,36.34,35.685,36.06,292483.0
2018-03-09,34.0,36.67,33.985,35.85,595739.0,0.0,1.0,34.0,36.67,33.985,35.85,595739.0
2018-03-08,32.73,33.62,32.73,33.3,217875.0,0.0,1.0,32.73,33.62,32.73,33.3,217875.0
2018-03-07,31.84,32.94,31.82,32.79,217363.0,0.0,1.0,31.84,32.94,31.82,32.79,217363.0
2018-03-06,31.66,32.15,31.58,31.95,97345.0,0.0,1.0,31.66,32.15,31.58,31.95,97345.0
2018-03-05,31.2,31.73,31.2,31.55,84792.0,0.0,1.0,31.2,31.73,31.2,31.55,84792.0
2018-03-02,31.34,31.66,31.1,31.41,104553.0,0.0,1.0,31.34,31.66,31.1,31.41,104553.0
2018-03-01,31.3,31.82,31.2,31.54,127463.0,0.0,1.0,31.3,31.82,31.2,31.54,127463.0
2018-02-28,31.75,31.89,31.28,31.3,104653.0,0.0,1.0,31.75,31.89,31.28,31.3,104653.0
2018-02-27,32.02,32.36,31.64,31.73,132733.0,0.0,1.0,32.02,32.36,31.64,31.73,132733.0
2018-02-26,32.0,32.12,31.71,32.02,70847.0,0.0,1.0,32.0,32.12,31.71,32.02,70847.0
2018-02-23,31.44,31.9,31.29,31.9,107370.0,0.0,1.0,31.44,31.9,31.29,31.9,107370.0
2018-02-22,31.63,31.94,31.25,31.3,92578.0,0.0,1.0,31.63,31.94,31.25,31.3,92578.0
2018-02-21,31.64,32.0,31.46,31.53,225095.0,0.0,1.0,31.64,32.0,31.46,31.53,225095.0
2018-02-20,31.66,31.82,31.54,31.64,111299.0,0.0,1.0,31.66,31.82,31.54,31.64,111299.0
2018-02-16,31.36,31.93,31.36,31.78,102934.0,0.0,1.0,31.36,31.93,31.36,31.78,102934.0
2018-02-15,31.82,31.9,31.230999999999998,31.43,89994.0,0.0,1.0,31.82,31.9,31.230999999999998,31.43,89994.0
2018-02-14,30.63,31.74,30.63,31.72,157060.0,0.0,1.0,30.63,31.74,30.63,31.72,157060.0
2018-02-13,30.67,30.95,30.24,30.93,87671.0,0.0,1.0,30.67,30.95,30.24,30.93,87671.0
2018-02-12,30.19,31.03,29.9,30.76,156174.0,0.0,1.0,30.19,31.03,29.9,30.76,156174.0
2018-02-09,30.31,30.58,29.93,30.21,192769.0,0.0,1.0,30.31,30.58,29.93,30.21,192769.0
2018-02-08,30.56,30.94,29.96,30.0,89337.0,0.0,1.0,30.56,30.94,29.96,30.0,89337.0
2018-02-07,30.69,31.1,30.49,30.52,136424.0,0.0,1.0,30.69,31.1,30.49,30.52,136424.0
2018-02-06,30.13,30.86,28.89,30.69,185070.0,0.0,1.0,30.13,30.86,28.89,30.69,185070.0
2018-02-05,31.76,31.92,30.63,30.67,160177.0,0.0,1.0,31.76,31.92,30.63,30.67,160177.0
2018-02-02,32.76,32.76,31.89,31.96,117874.0,0.0,1.0,32.76,32.76,31.89,31.96,117874.0
2018-02-01,32.62,32.89,32.35,32.86,132401.0,0.0,1.0,32.62,32.89,32.35,32.86,132401.0
2018-01-31,32.35,32.72,32.31,32.65,123696.0,0.0,1.0,32.35,32.72,32.31,32.65,123696.0
2018-01-30,31.89,32.5,31.8,32.34,143428.0,0.0,1.0,31.89,32.5,31.8,32.34,143428.0
