Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,21.73,21.89,21.4,21.48,94529.0,0.0,1.0,21.73,21.89,21.4,21.48,94529.0
2018-03-26,21.5,21.66,21.25,21.64,118577.0,0.0,1.0,21.5,21.66,21.25,21.64,118577.0
2018-03-23,21.68,21.83,21.08,21.19,136573.0,0.0,1.0,21.68,21.83,21.08,21.19,136573.0
2018-03-22,21.97,22.29,21.5,21.5,92786.0,0.0,1.0,21.97,22.29,21.5,21.5,92786.0
2018-03-21,22.0,22.6,21.83,22.09,82336.0,0.0,1.0,22.0,22.6,21.83,22.09,82336.0
2018-03-20,22.76,23.025,21.76,21.83,108073.0,0.0,1.0,22.76,23.025,21.76,21.83,108073.0
2018-03-19,23.34,23.34,22.53,22.75,155978.0,0.0,1.0,23.34,23.34,22.53,22.75,155978.0
2018-03-16,22.68,23.48,22.68,23.38,349607.0,0.0,1.0,22.68,23.48,22.68,23.38,349607.0
2018-03-15,22.73,22.94,22.39,22.69,168627.0,0.0,1.0,22.73,22.94,22.39,22.69,168627.0
2018-03-14,23.07,23.245,22.65,22.71,168178.0,0.0,1.0,23.07,23.245,22.65,22.71,168178.0
2018-03-13,22.0,23.04,22.0,22.96,326645.0,0.0,1.0,22.0,23.04,22.0,22.96,326645.0
2018-03-12,21.75,22.185,21.72,21.93,174281.0,0.0,1.0,21.75,22.185,21.72,21.93,174281.0
2018-03-09,21.32,21.77,21.03,21.71,135673.0,0.0,1.0,21.32,21.77,21.03,21.71,135673.0
2018-03-08,21.09,21.4162,20.93,21.18,116554.0,0.0,1.0,21.09,21.4162,20.93,21.18,116554.0
2018-03-07,20.62,21.14,20.62,21.01,293219.0,0.0,1.0,20.62,21.14,20.62,21.01,293219.0
2018-03-06,20.79,21.02,20.41,20.79,141103.0,0.0,1.0,20.79,21.02,20.41,20.79,141103.0
2018-03-05,20.53,21.075,20.53,20.75,171766.0,0.0,1.0,20.53,21.075,20.53,20.75,171766.0
2018-03-02,20.35,20.99,20.24,20.73,144831.0,0.0,1.0,20.35,20.99,20.24,20.73,144831.0
2018-03-01,20.37,20.94,20.11,20.52,163848.0,0.0,1.0,20.37,20.94,20.11,20.52,163848.0
2018-02-28,20.95,21.365,20.32,20.38,165085.0,0.0,1.0,20.95,21.365,20.32,20.38,165085.0
2018-02-27,21.41,21.41,20.8,20.94,246583.0,0.0,1.0,21.41,21.41,20.8,20.94,246583.0
2018-02-26,22.01,22.09,21.36,21.4,117697.0,0.0,1.0,22.01,22.09,21.36,21.4,117697.0
2018-02-23,21.98,22.14,21.75,22.0,140148.0,0.0,1.0,21.98,22.14,21.75,22.0,140148.0
2018-02-22,22.3,22.45,21.7,21.78,209405.0,0.0,1.0,22.3,22.45,21.7,21.78,209405.0
2018-02-21,22.61,23.1,22.255,22.31,98487.0,0.0,1.0,22.61,23.1,22.255,22.31,98487.0
2018-02-20,22.74,23.05,22.41,22.73,102580.0,0.0,1.0,22.74,23.05,22.41,22.73,102580.0
2018-02-16,23.86,24.1,22.94,22.96,158743.0,0.0,1.0,23.86,24.1,22.94,22.96,158743.0
2018-02-15,24.64,24.64,23.2,23.9,231713.0,0.0,1.0,24.64,24.64,23.2,23.9,231713.0
2018-02-14,22.74,24.7,22.65,24.59,429295.0,0.0,1.0,22.74,24.7,22.65,24.59,429295.0
2018-02-13,21.34,22.63,21.17,22.6,547634.0,0.0,1.0,21.34,22.63,21.17,22.6,547634.0
2018-02-12,22.04,22.2699,20.73,21.45,500322.0,0.0,1.0,22.04,22.2699,20.73,21.45,500322.0
2018-02-09,23.14,24.2,20.94,22.0,1342479.0,0.0,1.0,23.14,24.2,20.94,22.0,1342479.0
2018-02-08,25.53,25.53,24.45,24.48,193763.0,0.0,1.0,25.53,25.53,24.45,24.48,193763.0
2018-02-07,25.46,26.345,25.35,25.42,171931.0,0.0,1.0,25.46,26.345,25.35,25.42,171931.0
2018-02-06,24.66,25.61,24.66,25.48,203735.0,0.0,1.0,24.66,25.61,24.66,25.48,203735.0
2018-02-05,25.33,25.62,25.02,25.06,149334.0,0.0,1.0,25.33,25.62,25.02,25.06,149334.0
2018-02-02,26.43,27.269000000000002,25.18,25.46,142368.0,0.0,1.0,26.43,27.269000000000002,25.18,25.46,142368.0
2018-02-01,26.87,27.45,26.38,26.56,121624.0,0.0,1.0,26.87,27.45,26.38,26.56,121624.0
2018-01-31,27.43,27.6699,27.0,27.22,96936.0,0.0,1.0,27.43,27.6699,27.0,27.22,96936.0
2018-01-30,27.28,27.81,27.09,27.33,120610.0,0.0,1.0,27.28,27.81,27.09,27.33,120610.0
2018-01-29,27.69,27.75,27.03,27.48,169616.0,0.0,1.0,27.69,27.75,27.03,27.48,169616.0
2018-01-26,27.95,28.1,27.38,27.7,135431.0,0.0,1.0,27.95,28.1,27.38,27.7,135431.0
2018-01-25,28.03,28.11,27.49,27.77,105330.0,0.0,1.0,28.03,28.11,27.49,27.77,105330.0
2018-01-24,28.24,28.52,27.95,27.95,86736.0,0.0,1.0,28.24,28.52,27.95,27.95,86736.0
2018-01-23,28.08,28.38,27.72,28.2,130983.0,0.0,1.0,28.08,28.38,27.72,28.2,130983.0
2018-01-22,28.1,28.17,27.62,28.15,66567.0,0.0,1.0,28.1,28.17,27.62,28.15,66567.0
2018-01-19,28.09,28.42,27.8,28.14,79219.0,0.0,1.0,28.09,28.42,27.8,28.14,79219.0
2018-01-18,28.61,28.98,28.08,28.09,69778.0,0.0,1.0,28.61,28.98,28.08,28.09,69778.0
2018-01-17,28.06,28.7,27.81,28.62,85554.0,0.0,1.0,28.06,28.7,27.81,28.62,85554.0
2018-01-16,28.32,28.64,27.79,27.92,95062.0,0.0,1.0,28.32,28.64,27.79,27.92,95062.0
2018-01-12,27.96,28.4,27.73,28.15,87926.0,0.0,1.0,27.96,28.4,27.73,28.15,87926.0
2018-01-11,27.55,27.98,27.48,27.93,86491.0,0.0,1.0,27.55,27.98,27.48,27.93,86491.0
2018-01-10,27.94,27.94,27.32,27.48,225561.0,0.0,1.0,27.94,27.94,27.32,27.48,225561.0
2018-01-09,28.28,28.38,27.95,28.05,175876.0,0.0,1.0,28.28,28.38,27.95,28.05,175876.0
2018-01-08,27.98,28.42,27.49,28.27,158459.0,0.0,1.0,27.98,28.42,27.49,28.27,158459.0
2018-01-05,27.85,28.14,27.357,28.01,135133.0,0.0,1.0,27.85,28.14,27.357,28.01,135133.0
2018-01-04,27.66,27.96,27.19,27.72,148158.0,0.0,1.0,27.66,27.96,27.19,27.72,148158.0
2018-01-03,26.55,27.72,26.13,27.55,412707.0,0.0,1.0,26.55,27.72,26.13,27.55,412707.0
2018-01-02,24.97,26.8,24.85,26.55,345164.0,0.0,1.0,24.97,26.8,24.85,26.55,345164.0
2017-12-29,25.51,25.66,24.96,24.99,102569.0,0.0,1.0,25.51,25.66,24.96,24.99,102569.0
2017-12-28,24.98,25.43,24.98,25.41,73948.0,0.0,1.0,24.98,25.43,24.98,25.41,73948.0
2017-12-27,24.98,25.07,24.85,24.95,54685.0,0.0,1.0,24.98,25.07,24.85,24.95,54685.0
2017-12-26,24.85,25.06,24.84,24.98,63243.0,0.0,1.0,24.85,25.06,24.84,24.98,63243.0
2017-12-22,24.94,24.94,24.491,24.84,91973.0,0.0,1.0,24.94,24.94,24.491,24.84,91973.0
2017-12-21,24.99,25.24,24.63,24.93,59541.0,0.0,1.0,24.99,25.24,24.63,24.93,59541.0
2017-12-20,24.73,25.14,24.42,24.94,77704.0,0.0,1.0,24.73,25.14,24.42,24.94,77704.0
2017-12-19,25.31,25.33,24.52,24.56,107489.0,0.0,1.0,25.31,25.33,24.52,24.56,107489.0
2017-12-18,25.05,25.8,24.99,25.27,152232.0,0.0,1.0,25.05,25.8,24.99,25.27,152232.0
2017-12-15,24.46,25.24,24.46,24.94,248988.0,0.0,1.0,24.46,25.24,24.46,24.94,248988.0
2017-12-14,24.52,24.88,24.37,24.46,199460.0,0.0,1.0,24.52,24.88,24.37,24.46,199460.0
2017-12-13,24.2,24.8,24.2,24.49,152900.0,0.0,1.0,24.2,24.8,24.2,24.49,152900.0
2017-12-12,24.32,24.72,24.07,24.12,100606.0,0.0,1.0,24.32,24.72,24.07,24.12,100606.0
2017-12-11,24.42,24.57,23.92,24.28,174169.0,0.0,1.0,24.42,24.57,23.92,24.28,174169.0
2017-12-08,24.74,24.97,24.4401,24.48,206562.0,0.0,1.0,24.74,24.97,24.4401,24.48,206562.0
2017-12-07,24.48,24.63,24.33,24.51,190141.0,0.0,1.0,24.48,24.63,24.33,24.51,190141.0
2017-12-06,24.65,25.07,23.98,24.5,220468.0,0.0,1.0,24.65,25.07,23.98,24.5,220468.0
2017-12-05,24.84,25.08,24.44,24.74,222436.0,0.0,1.0,24.84,25.08,24.44,24.74,222436.0
2017-12-04,25.58,25.65,24.81,24.83,135692.0,0.0,1.0,25.58,25.65,24.81,24.83,135692.0
2017-12-01,26.06,26.11,24.675,25.38,211085.0,0.0,1.0,26.06,26.11,24.675,25.38,211085.0
2017-11-30,26.05,26.38,25.82,26.06,239962.0,0.0,1.0,26.05,26.38,25.82,26.06,239962.0
2017-11-29,25.39,26.0,25.06,25.98,244436.0,0.0,1.0,25.39,26.0,25.06,25.98,244436.0
2017-11-28,25.25,25.51,24.41,25.4,166380.0,0.0,1.0,25.25,25.51,24.41,25.4,166380.0
2017-11-27,24.44,25.45,24.44,25.2,299881.0,0.0,1.0,24.44,25.45,24.44,25.2,299881.0
2017-11-24,24.77,24.77,24.36,24.45,44821.0,0.0,1.0,24.77,24.77,24.36,24.45,44821.0
2017-11-22,24.87,24.875,24.22,24.76,131721.0,0.0,1.0,24.87,24.875,24.22,24.76,131721.0
2017-11-21,25.26,25.3782,24.69,24.84,169643.0,0.0,1.0,25.26,25.3782,24.69,24.84,169643.0
2017-11-20,25.34,25.7147,25.07,25.21,183917.0,0.0,1.0,25.34,25.7147,25.07,25.21,183917.0
