Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,13.95,14.0003,13.59,13.84,22607.0,0.0,1.0,13.95,14.0003,13.59,13.84,22607.0
2018-03-26,14.25,14.28,13.19,14.03,52123.0,0.0,1.0,14.25,14.28,13.19,14.03,52123.0
2018-03-23,14.51,14.62,14.26,14.3,15392.0,0.0,1.0,14.51,14.62,14.26,14.3,15392.0
2018-03-22,14.29,14.745,14.29,14.53,15758.0,0.0,1.0,14.29,14.745,14.29,14.53,15758.0
2018-03-21,14.57,14.7675,14.29,14.29,11395.0,0.0,1.0,14.57,14.7675,14.29,14.29,11395.0
2018-03-20,14.73,14.8,14.25,14.46,9874.0,0.0,1.0,14.73,14.8,14.25,14.46,9874.0
2018-03-19,14.59,14.78,14.46,14.76,18499.0,0.0,1.0,14.59,14.78,14.46,14.76,18499.0
2018-03-16,14.52,14.7071,14.42,14.59,45482.0,0.0,1.0,14.52,14.7071,14.42,14.59,45482.0
2018-03-15,14.55,14.85,14.42,14.42,12196.0,0.0,1.0,14.55,14.85,14.42,14.42,12196.0
2018-03-14,14.67,14.765,14.28,14.47,19725.0,0.0,1.0,14.67,14.765,14.28,14.47,19725.0
2018-03-13,14.88,14.88,14.0,14.61,15684.0,0.0,1.0,14.88,14.88,14.0,14.61,15684.0
2018-03-12,15.25,15.3,14.82,14.91,16038.0,0.0,1.0,15.25,15.3,14.82,14.91,16038.0
2018-03-09,15.25,15.3,14.71,15.25,21726.0,0.0,1.0,15.25,15.3,14.71,15.25,21726.0
2018-03-08,14.84,15.2,14.65,15.12,18181.0,0.0,1.0,14.84,15.2,14.65,15.12,18181.0
2018-03-07,14.76,15.2,14.63,14.88,14424.0,0.0,1.0,14.76,15.2,14.63,14.88,14424.0
2018-03-06,14.76,14.865,14.645,14.81,21300.0,0.0,1.0,14.76,14.865,14.645,14.81,21300.0
2018-03-05,14.71,14.96,14.62,14.74,12126.0,0.0,1.0,14.71,14.96,14.62,14.74,12126.0
2018-03-02,14.25,14.72,14.07,14.72,17924.0,0.0,1.0,14.25,14.72,14.07,14.72,17924.0
2018-03-01,14.26,14.74,13.93,14.33,12186.0,0.0,1.0,14.26,14.74,13.93,14.33,12186.0
2018-02-28,14.56,14.67,14.25,14.28,11692.0,0.0,1.0,14.56,14.67,14.25,14.28,11692.0
2018-02-27,14.73,14.87,14.51,14.59,12231.0,0.0,1.0,14.73,14.87,14.51,14.59,12231.0
2018-02-26,14.69,14.79,14.6,14.74,5351.0,0.0,1.0,14.69,14.79,14.6,14.74,5351.0
2018-02-23,14.65,14.66,14.26,14.66,7820.0,0.0,1.0,14.65,14.66,14.26,14.66,7820.0
2018-02-22,14.35,14.68,14.2301,14.55,12892.0,0.0,1.0,14.35,14.68,14.2301,14.55,12892.0
2018-02-21,14.39,14.67,14.09,14.34,16591.0,0.0,1.0,14.39,14.67,14.09,14.34,16591.0
2018-02-20,14.36,14.53,14.1401,14.38,18401.0,0.0,1.0,14.36,14.53,14.1401,14.38,18401.0
2018-02-16,14.29,14.58,13.8852,14.49,13889.0,0.0,1.0,14.29,14.58,13.8852,14.49,13889.0
2018-02-15,14.79,14.79,14.151,14.45,28313.0,0.0,1.0,14.79,14.79,14.151,14.45,28313.0
2018-02-14,14.17,14.94,14.02,14.77,45767.0,0.0,1.0,14.17,14.94,14.02,14.77,45767.0
2018-02-13,14.28,14.43,14.11,14.26,22799.0,0.0,1.0,14.28,14.43,14.11,14.26,22799.0
2018-02-12,14.42,14.52,14.23,14.34,20114.0,0.0,1.0,14.42,14.52,14.23,14.34,20114.0
2018-02-09,14.35,14.6923,14.0,14.33,35769.0,0.0,1.0,14.35,14.6923,14.0,14.33,35769.0
2018-02-08,14.27,14.33,13.92,14.14,9613.0,0.0,1.0,14.27,14.33,13.92,14.14,9613.0
2018-02-07,13.64,14.58,13.61,14.25,35754.0,0.0,1.0,13.64,14.58,13.61,14.25,35754.0
2018-02-06,13.0,13.76,13.0,13.63,55484.0,0.0,1.0,13.0,13.76,13.0,13.63,55484.0
2018-02-05,13.85,13.9526,13.09,13.19,48669.0,0.0,1.0,13.85,13.9526,13.09,13.19,48669.0
2018-02-02,14.32,14.45,13.76,13.95,45000.0,0.0,1.0,14.32,14.45,13.76,13.95,45000.0
2018-02-01,14.6,14.95,14.37,14.45,44214.0,0.0,1.0,14.6,14.95,14.37,14.45,44214.0
2018-01-31,15.63,15.63,14.51,14.6,29603.0,0.0,1.0,15.63,15.63,14.51,14.6,29603.0
2018-01-30,15.48,15.7,15.28,15.48,19538.0,0.0,1.0,15.48,15.7,15.28,15.48,19538.0
2018-01-29,15.57,16.12,15.44,15.49,26666.0,0.0,1.0,15.57,16.12,15.44,15.49,26666.0
2018-01-26,15.7,15.73,15.39,15.57,15859.0,0.0,1.0,15.7,15.73,15.39,15.57,15859.0
2018-01-25,15.58,15.7479,15.35,15.7,18758.0,0.0,1.0,15.58,15.7479,15.35,15.7,18758.0
2018-01-24,14.1,15.58,14.04,15.54,69122.0,0.0,1.0,14.1,15.58,14.04,15.54,69122.0
2018-01-23,13.8,14.09,13.61,13.97,19276.0,0.0,1.0,13.8,14.09,13.61,13.97,19276.0
2018-01-22,13.89,13.89,13.46,13.8,19132.0,0.0,1.0,13.89,13.89,13.46,13.8,19132.0
2018-01-19,13.14,13.86,13.14,13.86,17273.0,0.0,1.0,13.14,13.86,13.14,13.86,17273.0
2018-01-18,13.49,13.55,13.1495,13.18,9605.0,0.0,1.0,13.49,13.55,13.1495,13.18,9605.0
2018-01-17,13.55,13.954,13.39,13.49,14099.0,0.0,1.0,13.55,13.954,13.39,13.49,14099.0
2018-01-16,13.57,13.86,13.27,13.4,17130.0,0.0,1.0,13.57,13.86,13.27,13.4,17130.0
2018-01-12,13.67,14.11,13.47,13.53,21238.0,0.0,1.0,13.67,14.11,13.47,13.53,21238.0
2018-01-11,13.46,13.71,13.39,13.67,12072.0,0.0,1.0,13.46,13.71,13.39,13.67,12072.0
2018-01-10,13.18,13.53,13.11,13.38,15639.0,0.0,1.0,13.18,13.53,13.11,13.38,15639.0
2018-01-09,13.29,13.49,13.13,13.2,23228.0,0.0,1.0,13.29,13.49,13.13,13.2,23228.0
2018-01-08,13.58,13.627,13.04,13.42,25444.0,0.0,1.0,13.58,13.627,13.04,13.42,25444.0
2018-01-05,13.17,13.62,13.17,13.6,26171.0,0.0,1.0,13.17,13.62,13.17,13.6,26171.0
2018-01-04,13.13,13.265,13.045,13.15,19737.0,0.0,1.0,13.13,13.265,13.045,13.15,19737.0
2018-01-03,12.85,13.2227,12.71,13.08,25151.0,0.0,1.0,12.85,13.2227,12.71,13.08,25151.0
2018-01-02,12.79,13.62,12.605,12.85,49012.0,0.0,1.0,12.79,13.62,12.605,12.85,49012.0
2017-12-29,13.32,13.4095,12.0,12.74,104509.0,0.0,1.0,13.32,13.4095,12.0,12.74,104509.0
2017-12-28,14.1,14.11,13.18,13.36,41810.0,0.0,1.0,14.1,14.11,13.18,13.36,41810.0
2017-12-27,14.52,14.58,14.11,14.2,25561.0,0.0,1.0,14.52,14.58,14.11,14.2,25561.0
2017-12-26,14.52,14.94,14.29,14.51,8482.0,0.0,1.0,14.52,14.94,14.29,14.51,8482.0
2017-12-22,14.58,14.8898,14.5,14.61,11559.0,0.0,1.0,14.58,14.8898,14.5,14.61,11559.0
2017-12-21,14.71,14.95,14.71,14.82,11143.0,0.0,1.0,14.71,14.95,14.71,14.82,11143.0
2017-12-20,14.87,14.97,14.71,14.87,12915.0,0.0,1.0,14.87,14.97,14.71,14.87,12915.0
2017-12-19,14.77,15.02,14.65,14.77,22807.0,0.0,1.0,14.77,15.02,14.65,14.77,22807.0
2017-12-18,15.08,15.42,14.7921,15.03,22163.0,0.0,1.0,15.08,15.42,14.7921,15.03,22163.0
2017-12-15,15.02,15.49,14.775,15.31,86423.0,0.0,1.0,15.02,15.49,14.775,15.31,86423.0
