Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,46.09,47.85,45.91,47.17,681250.0,0.0,1.0,46.09,47.85,45.91,47.17,681250.0
2018-03-26,45.41,45.92,44.3,45.85,370781.0,0.0,1.0,45.41,45.92,44.3,45.85,370781.0
2018-03-23,45.3,45.97,44.66,44.71,355088.0,0.0,1.0,45.3,45.97,44.66,44.71,355088.0
2018-03-22,46.92,47.825,45.32,45.33,264421.0,0.0,1.0,46.92,47.825,45.32,45.33,264421.0
2018-03-21,47.37,48.51,47.37,47.52,168587.0,0.0,1.0,47.37,48.51,47.37,47.52,168587.0
2018-03-20,47.08,47.94,46.82,47.41,116143.0,0.0,1.0,47.08,47.94,46.82,47.41,116143.0
2018-03-19,47.99,48.1,46.375,47.07,281711.0,0.0,1.0,47.99,48.1,46.375,47.07,281711.0
2018-03-16,47.6,48.5,47.4,48.37,662028.0,0.0,1.0,47.6,48.5,47.4,48.37,662028.0
2018-03-15,48.04,48.625,47.38,47.61,293356.0,0.0,1.0,48.04,48.625,47.38,47.61,293356.0
2018-03-14,50.01,50.01,47.89,48.14,328976.0,0.0,1.0,50.01,50.01,47.89,48.14,328976.0
2018-03-13,50.22,50.42,49.5,49.86,206977.0,0.0,1.0,50.22,50.42,49.5,49.86,206977.0
2018-03-12,50.0,50.92,49.73,50.18,295395.0,0.0,1.0,50.0,50.92,49.73,50.18,295395.0
2018-03-09,49.4,49.95,48.24,49.73,327921.0,0.0,1.0,49.4,49.95,48.24,49.73,327921.0
2018-03-08,48.16,49.0,47.84,48.9,228120.0,0.0,1.0,48.16,49.0,47.84,48.9,228120.0
2018-03-07,47.2,48.1,47.2,48.01,215933.0,0.0,1.0,47.2,48.1,47.2,48.01,215933.0
2018-03-06,47.84,47.84,46.78,47.48,257380.0,0.0,1.0,47.84,47.84,46.78,47.48,257380.0
2018-03-05,47.0,47.73,46.22,47.47,191615.0,0.0,1.0,47.0,47.73,46.22,47.47,191615.0
2018-03-02,45.37,47.48,45.16,47.33,208054.0,0.0,1.0,45.37,47.48,45.16,47.33,208054.0
2018-03-01,46.05,46.6966,45.445,45.95,390257.0,0.0,1.0,46.05,46.6966,45.445,45.95,390257.0
2018-02-28,47.04,47.21,45.89,45.97,215167.0,0.0,1.0,47.04,47.21,45.89,45.97,215167.0
2018-02-27,47.94,48.24,46.74,46.78,260274.0,0.0,1.0,47.94,48.24,46.74,46.78,260274.0
2018-02-26,46.79,48.01,46.79,47.94,245436.0,0.0,1.0,46.79,48.01,46.79,47.94,245436.0
2018-02-23,46.7,46.74,46.12,46.7,180312.0,0.0,1.0,46.7,46.74,46.12,46.7,180312.0
2018-02-22,46.13,46.79,45.8,46.33,195270.0,0.0,1.0,46.13,46.79,45.8,46.33,195270.0
2018-02-21,45.96,46.47,45.12,45.95,278590.0,0.0,1.0,45.96,46.47,45.12,45.95,278590.0
2018-02-20,45.54,45.82,44.95,45.31,306174.0,0.0,1.0,45.54,45.82,44.95,45.31,306174.0
2018-02-16,45.3,46.43,45.07,45.86,259540.0,0.0,1.0,45.3,46.43,45.07,45.86,259540.0
2018-02-15,44.48,45.49,43.69,45.46,435736.0,0.0,1.0,44.48,45.49,43.69,45.46,435736.0
2018-02-14,43.94,45.04,43.87,44.36,363810.0,0.0,1.0,43.94,45.04,43.87,44.36,363810.0
2018-02-13,44.22,44.86,44.05,44.41,257799.0,0.0,1.0,44.22,44.86,44.05,44.41,257799.0
2018-02-12,45.26,45.36,43.31,44.34,369372.0,0.0,1.0,45.26,45.36,43.31,44.34,369372.0
2018-02-09,41.99,45.875,41.64,44.99,906993.0,0.0,1.0,41.99,45.875,41.64,44.99,906993.0
2018-02-08,45.04,45.32,41.8,41.8,633212.0,0.0,1.0,45.04,45.32,41.8,41.8,633212.0
