Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,65.98,66.16,65.34,65.51,2418547.0,0.0,1.0,65.98,66.16,65.34,65.51,2418547.0
2018-03-26,66.0,66.01,65.6,65.84,1861810.0,0.0,1.0,66.0,66.01,65.6,65.84,1861810.0
2018-03-23,65.65,65.92,65.2,65.44,1789517.0,0.0,1.0,65.65,65.92,65.2,65.44,1789517.0
2018-03-22,65.96,66.26,65.36,65.51,2953710.0,0.0,1.0,65.96,66.26,65.36,65.51,2953710.0
2018-03-21,66.5,66.68,66.02,66.03,2587000.0,0.0,1.0,66.5,66.68,66.02,66.03,2587000.0
2018-03-20,66.35,66.91,66.35,66.57,1567026.0,0.0,1.0,66.35,66.91,66.35,66.57,1567026.0
2018-03-19,66.2,66.4,65.53,66.36,2654347.0,0.0,1.0,66.2,66.4,65.53,66.36,2654347.0
2018-03-16,66.22,66.58,66.1475,66.21,1680586.0,0.0,1.0,66.22,66.58,66.1475,66.21,1680586.0
2018-03-15,66.21,66.37,65.97,66.25,1596696.0,0.0,1.0,66.21,66.37,65.97,66.25,1596696.0
2018-03-14,66.6,66.71,66.05,66.24,3487661.0,0.0,1.0,66.6,66.71,66.05,66.24,3487661.0
2018-03-13,67.0,67.02,66.32,66.45,6738478.0,0.0,1.0,67.0,67.02,66.32,66.45,6738478.0
2018-03-12,67.25,67.25,66.91,66.93,6994701.0,0.0,1.0,67.25,67.25,66.91,66.93,6994701.0
2018-03-09,67.25,67.27,67.11,67.24,9201541.0,0.0,1.0,67.25,67.27,67.11,67.24,9201541.0
2018-03-08,67.35,67.365,67.12,67.18,9873161.0,0.0,1.0,67.35,67.365,67.12,67.18,9873161.0
2018-03-07,67.43,67.49,67.27,67.33,9137944.0,0.0,1.0,67.43,67.49,67.27,67.33,9137944.0
2018-03-06,67.41,67.52,67.25,67.41,11929472.0,0.0,1.0,67.41,67.52,67.25,67.41,11929472.0
2018-03-05,67.24,67.505,67.21,67.44,10303997.0,0.0,1.0,67.24,67.505,67.21,67.44,10303997.0
2018-03-02,67.47,67.5,67.1,67.3,52922568.0,0.0,1.0,67.47,67.5,67.1,67.3,52922568.0
2018-03-01,64.88,65.44,63.22,64.3,3743119.0,0.0,1.0,64.88,65.44,63.22,64.3,3743119.0
2018-02-28,64.93,66.34,63.83,64.9,2006557.0,0.0,1.0,64.93,66.34,63.83,64.9,2006557.0
