Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,13.1,13.2,12.7,12.75,21986.0,0.0,1.0,13.1,13.2,12.7,12.75,21986.0
2018-03-26,12.8,13.15,12.6,13.05,26605.0,0.0,1.0,12.8,13.15,12.6,13.05,26605.0
2018-03-23,13.0,13.1,12.6,12.65,39945.0,0.0,1.0,13.0,13.1,12.6,12.65,39945.0
2018-03-22,13.3,13.45,12.95,12.95,21194.0,0.0,1.0,13.3,13.45,12.95,12.95,21194.0
2018-03-21,13.4,13.6,13.3,13.4,18791.0,0.0,1.0,13.4,13.6,13.3,13.4,18791.0
2018-03-20,13.55,13.6,13.4,13.4,17234.0,0.0,1.0,13.55,13.6,13.4,13.4,17234.0
2018-03-19,13.6,13.75,13.3,13.75,29663.0,0.0,1.0,13.6,13.75,13.3,13.75,29663.0
2018-03-16,13.2,13.7,12.85,13.7,86870.0,0.0,1.0,13.2,13.7,12.85,13.7,86870.0
2018-03-15,12.95,13.25,12.9,13.25,11825.0,0.0,1.0,12.95,13.25,12.9,13.25,11825.0
2018-03-14,13.4,13.4,12.95,13.2,12365.0,0.0,1.0,13.4,13.4,12.95,13.2,12365.0
2018-03-13,13.55,13.65,13.35,13.45,16573.0,0.0,1.0,13.55,13.65,13.35,13.45,16573.0
2018-03-12,13.005,13.55,13.005,13.55,15197.0,0.0,1.0,13.005,13.55,13.005,13.55,15197.0
2018-03-09,13.1,13.4,13.005,13.35,36440.0,0.0,1.0,13.1,13.4,13.005,13.35,36440.0
2018-03-08,13.6,13.75,13.1,13.1,35101.0,0.0,1.0,13.6,13.75,13.1,13.1,35101.0
2018-03-07,13.5,13.75,13.35,13.65,18923.0,0.0,1.0,13.5,13.75,13.35,13.65,18923.0
2018-03-06,13.2,13.6,12.85,13.55,26435.0,0.0,1.0,13.2,13.6,12.85,13.55,26435.0
2018-03-05,12.95,13.35,12.85,13.2,30738.0,0.0,1.0,12.95,13.35,12.85,13.2,30738.0
2018-03-02,12.25,13.2,12.2,13.1,117070.0,0.0,1.0,12.25,13.2,12.2,13.1,117070.0
2018-03-01,12.5,12.6,12.15,12.25,36633.0,0.0,1.0,12.5,12.6,12.15,12.25,36633.0
2018-02-28,12.9,13.0,12.5,12.5,40109.0,0.0,1.0,12.9,13.0,12.5,12.5,40109.0
2018-02-27,13.05,13.15,12.8,12.9,58609.0,0.0,1.0,13.05,13.15,12.8,12.9,58609.0
2018-02-26,12.95,13.05,12.85,13.0,45747.0,0.0,1.0,12.95,13.05,12.85,13.0,45747.0
2018-02-23,12.85,13.05,12.65,12.95,166790.0,0.0,1.0,12.85,13.05,12.65,12.95,166790.0
2018-02-22,12.75,12.95,12.7,12.85,38028.0,0.0,1.0,12.75,12.95,12.7,12.85,38028.0
2018-02-21,12.6,13.05,12.6,12.8,66119.0,0.0,1.0,12.6,13.05,12.6,12.8,66119.0
2018-02-20,12.5,12.7,12.5,12.65,43251.0,0.0,1.0,12.5,12.7,12.5,12.65,43251.0
2018-02-16,12.55,12.85,12.55,12.6,21201.0,0.0,1.0,12.55,12.85,12.55,12.6,21201.0
2018-02-15,12.65,12.7,12.4,12.6,35381.0,0.0,1.0,12.65,12.7,12.4,12.6,35381.0
2018-02-14,12.55,12.85,12.55,12.65,46645.0,0.0,1.0,12.55,12.85,12.55,12.65,46645.0
2018-02-13,12.3,12.75,12.3,12.65,56421.0,0.0,1.0,12.3,12.75,12.3,12.65,56421.0
2018-02-12,12.65,12.75,12.4,12.45,43375.0,0.0,1.0,12.65,12.75,12.4,12.45,43375.0
2018-02-09,12.7,12.85,12.5,12.65,66983.0,0.0,1.0,12.7,12.85,12.5,12.65,66983.0
2018-02-08,12.65,13.025,12.5,12.65,79598.0,0.0,1.0,12.65,13.025,12.5,12.65,79598.0
2018-02-07,13.2,13.2,12.7,12.7,41257.0,0.0,1.0,13.2,13.2,12.7,12.7,41257.0
2018-02-06,13.1,13.3,12.9,13.05,103533.0,0.0,1.0,13.1,13.3,12.9,13.05,103533.0
2018-02-05,14.0,14.1,13.3,13.35,161662.0,0.0,1.0,14.0,14.1,13.3,13.35,161662.0
2018-02-02,14.25,14.4,14.15,14.3,59559.0,0.0,1.0,14.25,14.4,14.15,14.3,59559.0
2018-02-01,14.15,14.3,14.0,14.3,40974.0,0.0,1.0,14.15,14.3,14.0,14.3,40974.0
2018-01-31,14.25,14.25,13.75,14.15,90494.0,0.0,1.0,14.25,14.25,13.75,14.15,90494.0
2018-01-30,14.8,14.8,13.9,14.65,54408.0,0.0,1.0,14.8,14.8,13.9,14.65,54408.0
2018-01-29,14.55,15.075,14.55,14.85,49787.0,0.0,1.0,14.55,15.075,14.55,14.85,49787.0
2018-01-26,14.9,15.05,14.75,14.8,30297.0,0.0,1.0,14.9,15.05,14.75,14.8,30297.0
2018-01-25,14.55,14.8,14.5,14.8,32797.0,0.0,1.0,14.55,14.8,14.5,14.8,32797.0
2018-01-24,14.8,14.9,14.5,14.5,29654.0,0.0,1.0,14.8,14.9,14.5,14.5,29654.0
2018-01-23,15.05,15.05,14.7,14.85,10420.0,0.0,1.0,15.05,15.05,14.7,14.85,10420.0
2018-01-22,15.0,15.15,14.85,15.0,9980.0,0.0,1.0,15.0,15.15,14.85,15.0,9980.0
2018-01-19,15.1,15.35,14.775,15.05,80193.0,0.0,1.0,15.1,15.35,14.775,15.05,80193.0
2018-01-18,15.05,15.2,14.8,15.2,70867.0,0.0,1.0,15.05,15.2,14.8,15.2,70867.0
2018-01-17,14.95,15.1,14.7,15.0,22695.0,0.0,1.0,14.95,15.1,14.7,15.0,22695.0
2018-01-16,14.7,15.2,14.65,14.95,60919.0,0.0,1.0,14.7,15.2,14.65,14.95,60919.0
2018-01-12,15.1,15.4,14.6,14.65,52153.0,0.0,1.0,15.1,15.4,14.6,14.65,52153.0
2018-01-11,14.6,15.1,14.55,15.1,22665.0,0.0,1.0,14.6,15.1,14.55,15.1,22665.0
2018-01-10,14.35,14.8,14.3,14.55,31562.0,0.0,1.0,14.35,14.8,14.3,14.55,31562.0
2018-01-09,14.35,14.5,14.25,14.4,21178.0,0.0,1.0,14.35,14.5,14.25,14.4,21178.0
2018-01-08,14.25,14.4,14.15,14.35,30432.0,0.0,1.0,14.25,14.4,14.15,14.35,30432.0
2018-01-05,13.7,14.35,13.7,14.3,48160.0,0.0,1.0,13.7,14.35,13.7,14.3,48160.0
2018-01-04,13.6,13.75,13.5,13.7,42892.0,0.0,1.0,13.6,13.75,13.5,13.7,42892.0
2018-01-03,13.45,13.675,13.25,13.5,50548.0,0.0,1.0,13.45,13.675,13.25,13.5,50548.0
2018-01-02,13.4,13.6,13.25,13.45,97470.0,0.0,1.0,13.4,13.6,13.25,13.45,97470.0
2017-12-29,13.05,13.55,13.025,13.25,55174.0,0.0,1.0,13.05,13.55,13.025,13.25,55174.0
2017-12-28,12.85,13.05,12.65,13.05,45924.0,0.0,1.0,12.85,13.05,12.65,13.05,45924.0
2017-12-27,13.25,13.3,12.85,12.85,48548.0,0.0,1.0,13.25,13.3,12.85,12.85,48548.0
2017-12-26,13.35,13.4,12.8,13.15,97351.0,0.0,1.0,13.35,13.4,12.8,13.15,97351.0
2017-12-22,13.35,13.55,13.25,13.3,34433.0,0.0,1.0,13.35,13.55,13.25,13.3,34433.0
2017-12-21,13.8,13.9,13.55,13.6,48573.0,0.0,1.0,13.8,13.9,13.55,13.6,48573.0
2017-12-20,13.85,14.0,13.65,13.9,15643.0,0.0,1.0,13.85,14.0,13.65,13.9,15643.0
2017-12-19,13.6,14.05,13.55,13.7,28130.0,0.0,1.0,13.6,14.05,13.55,13.7,28130.0
2017-12-18,14.1,14.4,13.6,14.0,50002.0,0.0,1.0,14.1,14.4,13.6,14.0,50002.0
2017-12-15,13.5,14.0,13.3,13.95,159992.0,0.0,1.0,13.5,14.0,13.3,13.95,159992.0
2017-12-14,13.6,13.75,13.2,13.35,61160.0,0.0,1.0,13.6,13.75,13.2,13.35,61160.0
2017-12-13,13.55,13.95,13.55,13.8,61170.0,0.0,1.0,13.55,13.95,13.55,13.8,61170.0
