Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,16.95,17.4004,16.4,16.55,1124775.0,0.0,1.0,16.95,17.4004,16.4,16.55,1124775.0
2018-03-26,18.15,18.365,16.49,16.78,1524277.0,0.0,1.0,18.15,18.365,16.49,16.78,1524277.0
2018-03-23,18.5,18.7,17.72,17.72,1230296.0,0.0,1.0,18.5,18.7,17.72,17.72,1230296.0
2018-03-22,19.13,19.2,18.56,18.58,949525.0,0.0,1.0,19.13,19.2,18.56,18.58,949525.0
2018-03-21,19.72,20.07,19.44,19.48,873632.0,0.0,1.0,19.72,20.07,19.44,19.48,873632.0
2018-03-20,19.95,20.06,19.56,19.83,603444.0,0.0,1.0,19.95,20.06,19.56,19.83,603444.0
2018-03-19,21.0,21.15,19.53,19.96,1000749.0,0.0,1.0,21.0,21.15,19.53,19.96,1000749.0
2018-03-16,21.3,21.38,20.97,21.15,1061942.0,0.0,1.0,21.3,21.38,20.97,21.15,1061942.0
2018-03-15,22.03,22.03,21.14,21.31,971082.0,0.0,1.0,22.03,22.03,21.14,21.31,971082.0
2018-03-14,22.45,22.77,21.5799,21.83,1486006.0,0.0,1.0,22.45,22.77,21.5799,21.83,1486006.0
2018-03-13,23.76,23.89,22.1,22.22,1147049.0,0.0,1.0,23.76,23.89,22.1,22.22,1147049.0
2018-03-12,23.69,23.85,23.2001,23.7,1175671.0,0.0,1.0,23.69,23.85,23.2001,23.7,1175671.0
2018-03-09,22.69,23.5,22.255,23.31,1005234.0,0.0,1.0,22.69,23.5,22.255,23.31,1005234.0
2018-03-08,22.9,23.15,22.38,22.62,976642.0,0.0,1.0,22.9,23.15,22.38,22.62,976642.0
2018-03-07,22.19,22.65,21.98,22.51,1229399.0,0.0,1.0,22.19,22.65,21.98,22.51,1229399.0
2018-03-06,22.3,22.5,22.06,22.43,1448527.0,0.0,1.0,22.3,22.5,22.06,22.43,1448527.0
2018-03-05,21.13,21.94,20.96,21.9,1719247.0,0.0,1.0,21.13,21.94,20.96,21.9,1719247.0
2018-03-02,20.86,21.51,20.51,21.36,1453586.0,0.0,1.0,20.86,21.51,20.51,21.36,1453586.0
2018-03-01,21.25,21.85,20.85,21.19,1109410.0,0.0,1.0,21.25,21.85,20.85,21.19,1109410.0
2018-02-28,21.81,22.04,21.09,21.34,655691.0,0.0,1.0,21.81,22.04,21.09,21.34,655691.0
2018-02-27,22.14,22.49,21.51,21.7,985305.0,0.0,1.0,22.14,22.49,21.51,21.7,985305.0
2018-02-26,21.35,22.14,21.17,22.14,856636.0,0.0,1.0,21.35,22.14,21.17,22.14,856636.0
2018-02-23,22.04,22.04,20.8066,21.13,1246065.0,0.0,1.0,22.04,22.04,20.8066,21.13,1246065.0
2018-02-22,22.11,22.2,21.44,21.98,2329307.0,0.0,1.0,22.11,22.2,21.44,21.98,2329307.0
2018-02-21,21.27,21.79,20.92,21.65,1455702.0,0.0,1.0,21.27,21.79,20.92,21.65,1455702.0
2018-02-20,20.28,21.47,20.28,21.14,1137388.0,0.0,1.0,20.28,21.47,20.28,21.14,1137388.0
2018-02-16,20.13,20.68,19.96,20.38,1542594.0,0.0,1.0,20.13,20.68,19.96,20.38,1542594.0
2018-02-15,19.77,20.27,19.21,20.27,1114915.0,0.0,1.0,19.77,20.27,19.21,20.27,1114915.0
2018-02-14,18.96,19.72,18.96,19.49,1136190.0,0.0,1.0,18.96,19.72,18.96,19.49,1136190.0
2018-02-13,18.97,19.21,18.8,19.1,914908.0,0.0,1.0,18.97,19.21,18.8,19.1,914908.0
2018-02-12,19.3,19.384,18.68,19.11,1758231.0,0.0,1.0,19.3,19.384,18.68,19.11,1758231.0
2018-02-09,18.25,19.67,17.92,18.92,3812403.0,0.0,1.0,18.25,19.67,17.92,18.92,3812403.0
2018-02-08,19.07,19.79,17.84,17.86,6887183.0,0.0,1.0,19.07,19.79,17.84,17.86,6887183.0
2018-02-07,23.92,24.46,18.86,19.21,13955486.0,0.0,1.0,23.92,24.46,18.86,19.21,13955486.0
2018-02-06,27.83,30.74,27.73,30.36,2102843.0,0.0,1.0,27.83,30.74,27.73,30.36,2102843.0
2018-02-05,30.2,30.72,28.6,28.74,1062378.0,0.0,1.0,30.2,30.72,28.6,28.74,1062378.0
2018-02-02,30.8,31.11,30.16,30.51,1020753.0,0.0,1.0,30.8,31.11,30.16,30.51,1020753.0
2018-02-01,31.05,31.56,30.78,31.26,969745.0,0.0,1.0,31.05,31.56,30.78,31.26,969745.0
2018-01-31,32.03,32.11,30.795,31.1,738664.0,0.0,1.0,32.03,32.11,30.795,31.1,738664.0
2018-01-30,31.43,31.79,30.86,31.72,842601.0,0.0,1.0,31.43,31.79,30.86,31.72,842601.0
2018-01-29,31.77,32.22,30.71,31.61,1079201.0,0.0,1.0,31.77,32.22,30.71,31.61,1079201.0
2018-01-26,31.68,32.21,31.44,32.18,533115.0,0.0,1.0,31.68,32.21,31.44,32.18,533115.0
2018-01-25,31.92,32.235,31.06,31.24,612471.0,0.0,1.0,31.92,32.235,31.06,31.24,612471.0
2018-01-24,32.55,32.58,31.18,31.47,1028893.0,0.0,1.0,32.55,32.58,31.18,31.47,1028893.0
2018-01-23,32.86,33.73,32.5,32.78,491457.0,0.0,1.0,32.86,33.73,32.5,32.78,491457.0
2018-01-22,33.33,33.68,32.66,32.83,652004.0,0.0,1.0,33.33,33.68,32.66,32.83,652004.0
2018-01-19,34.32,34.99,33.35,33.46,951449.0,0.0,1.0,34.32,34.99,33.35,33.46,951449.0
2018-01-18,36.5,36.75,34.34,34.47,1558664.0,0.0,1.0,36.5,36.75,34.34,34.47,1558664.0
2018-01-17,37.02,37.183,36.48,37.01,682521.0,0.0,1.0,37.02,37.183,36.48,37.01,682521.0
2018-01-16,36.78,37.3399,36.48,36.94,956960.0,0.0,1.0,36.78,37.3399,36.48,36.94,956960.0
2018-01-12,36.3,36.696,36.06,36.5,408177.0,0.0,1.0,36.3,36.696,36.06,36.5,408177.0
2018-01-11,35.23,36.6,34.95,36.3,537313.0,0.0,1.0,35.23,36.6,34.95,36.3,537313.0
2018-01-10,35.63,35.725,34.515,34.97,862192.0,0.0,1.0,35.63,35.725,34.515,34.97,862192.0
2018-01-09,37.01,37.91,35.8,35.93,945032.0,0.0,1.0,37.01,37.91,35.8,35.93,945032.0
2018-01-08,36.7,37.2,35.56,37.13,831422.0,0.0,1.0,36.7,37.2,35.56,37.13,831422.0
2018-01-05,36.78,38.36,36.4,36.82,1800816.0,0.0,1.0,36.78,38.36,36.4,36.82,1800816.0
2018-01-04,35.33,35.74,34.81,35.14,780224.0,0.0,1.0,35.33,35.74,34.81,35.14,780224.0
2018-01-03,34.94,35.37,34.805,34.98,393955.0,0.0,1.0,34.94,35.37,34.805,34.98,393955.0
2018-01-02,32.95,34.87,32.95,34.84,800293.0,0.0,1.0,32.95,34.87,32.95,34.84,800293.0
2017-12-29,32.96,32.96,32.45,32.54,447268.0,0.0,1.0,32.96,32.96,32.45,32.54,447268.0
2017-12-28,33.18,33.29,32.6,32.76,429854.0,0.0,1.0,33.18,33.29,32.6,32.76,429854.0
2017-12-27,32.94,33.35,32.73,33.0,471238.0,0.0,1.0,32.94,33.35,32.73,33.0,471238.0
2017-12-26,33.5,33.5,32.52,32.96,703363.0,0.0,1.0,33.5,33.5,32.52,32.96,703363.0
2017-12-22,33.52,34.18,33.11,33.52,411705.0,0.0,1.0,33.52,34.18,33.11,33.52,411705.0
2017-12-21,33.68,34.0,33.2,33.57,457584.0,0.0,1.0,33.68,34.0,33.2,33.57,457584.0
2017-12-20,33.68,34.48,33.27,33.53,804259.0,0.0,1.0,33.68,34.48,33.27,33.53,804259.0
2017-12-19,33.44,33.8,33.08,33.51,503802.0,0.0,1.0,33.44,33.8,33.08,33.51,503802.0
2017-12-18,33.0,33.56,32.57,33.41,987668.0,0.0,1.0,33.0,33.56,32.57,33.41,987668.0
2017-12-15,31.88,33.14,31.6201,32.87,866676.0,0.0,1.0,31.88,33.14,31.6201,32.87,866676.0
2017-12-14,31.54,32.51,31.43,31.7,616711.0,0.0,1.0,31.54,32.51,31.43,31.7,616711.0
2017-12-13,31.33,32.16,30.91,31.54,627660.0,0.0,1.0,31.33,32.16,30.91,31.54,627660.0
2017-12-12,31.37,31.8,31.3,31.34,614182.0,0.0,1.0,31.37,31.8,31.3,31.34,614182.0
2017-12-11,32.28,33.01,31.53,31.76,663361.0,0.0,1.0,32.28,33.01,31.53,31.76,663361.0
2017-12-08,32.79,33.55,32.11,32.26,1068944.0,0.0,1.0,32.79,33.55,32.11,32.26,1068944.0
2017-12-07,31.55,33.07,31.32,32.79,1166261.0,0.0,1.0,31.55,33.07,31.32,32.79,1166261.0
2017-12-06,31.2,32.25,31.2,31.8,981379.0,0.0,1.0,31.2,32.25,31.2,31.8,981379.0
2017-12-05,32.36,32.79,31.01,31.4,1460731.0,0.0,1.0,32.36,32.79,31.01,31.4,1460731.0
2017-12-04,32.62,32.94,31.85,32.39,1255167.0,0.0,1.0,32.62,32.94,31.85,32.39,1255167.0
2017-12-01,32.56,32.7,30.83,32.27,1130014.0,0.0,1.0,32.56,32.7,30.83,32.27,1130014.0
2017-11-30,31.9,32.98,31.71,32.59,873781.0,0.0,1.0,31.9,32.98,31.71,32.59,873781.0
2017-11-29,32.48,32.48,30.87,31.9,947991.0,0.0,1.0,32.48,32.48,30.87,31.9,947991.0
2017-11-28,32.65,32.74,31.87,32.43,748926.0,0.0,1.0,32.65,32.74,31.87,32.43,748926.0
2017-11-27,32.76,33.01,31.97,32.27,1383448.0,0.0,1.0,32.76,33.01,31.97,32.27,1383448.0
2017-11-24,33.19,33.42,32.68,33.035,432362.0,0.0,1.0,33.19,33.42,32.68,33.035,432362.0
2017-11-22,33.67,34.13,32.84,32.94,660234.0,0.0,1.0,33.67,34.13,32.84,32.94,660234.0
2017-11-21,33.15,34.18,33.13,33.67,1277215.0,0.0,1.0,33.15,34.18,33.13,33.67,1277215.0
2017-11-20,32.83,33.68,32.18,32.98,1423777.0,0.0,1.0,32.83,33.68,32.18,32.98,1423777.0
2017-11-17,31.77,33.69,31.44,32.85,1590969.0,0.0,1.0,31.77,33.69,31.44,32.85,1590969.0
2017-11-16,29.79,32.625,29.7301,31.535,2691832.0,0.0,1.0,29.79,32.625,29.7301,31.535,2691832.0
2017-11-15,32.0,33.6,29.9766,30.02,7890267.0,0.0,1.0,32.0,33.6,29.9766,30.02,7890267.0
2017-11-14,36.55,37.239000000000004,35.76,36.61,705586.0,0.0,1.0,36.55,37.239000000000004,35.76,36.61,705586.0
2017-11-13,36.19,36.87,35.85,36.57,866203.0,0.0,1.0,36.19,36.87,35.85,36.57,866203.0
