Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,29.57,29.57,27.94,28.17,559037.0,0.0,1.0,29.57,29.57,27.94,28.17,559037.0
2018-03-26,28.6,29.56,27.99,29.48,609462.0,0.0,1.0,28.6,29.56,27.99,29.48,609462.0
2018-03-23,28.4,28.93,28.03,28.07,720039.0,0.0,1.0,28.4,28.93,28.03,28.07,720039.0
2018-03-22,28.13,29.09,27.9,28.19,609937.0,0.0,1.0,28.13,29.09,27.9,28.19,609937.0
2018-03-21,29.22,29.22,28.4,28.6,624561.0,0.0,1.0,29.22,29.22,28.4,28.6,624561.0
2018-03-20,28.92,29.49,28.8313,29.27,762521.0,0.0,1.0,28.92,29.49,28.8313,29.27,762521.0
2018-03-19,29.39,29.45,28.37,28.74,391055.0,0.0,1.0,29.39,29.45,28.37,28.74,391055.0
2018-03-16,29.94,30.22,29.45,29.72,641789.0,0.0,1.0,29.94,30.22,29.45,29.72,641789.0
2018-03-15,29.41,30.38,29.22,29.94,823441.0,0.0,1.0,29.41,30.38,29.22,29.94,823441.0
2018-03-14,30.16,30.16,28.78,28.86,504379.0,0.0,1.0,30.16,30.16,28.78,28.86,504379.0
2018-03-13,29.99,30.6,29.69,29.98,921481.0,0.0,1.0,29.99,30.6,29.69,29.98,921481.0
2018-03-12,29.87,30.07,29.34,29.8,776016.0,0.0,1.0,29.87,30.07,29.34,29.8,776016.0
2018-03-09,28.7,30.03,28.61,29.97,768178.0,0.0,1.0,28.7,30.03,28.61,29.97,768178.0
2018-03-08,28.2,28.5,27.46,28.4,588740.0,0.0,1.0,28.2,28.5,27.46,28.4,588740.0
2018-03-07,27.89,28.77,27.4,28.16,1151771.0,0.0,1.0,27.89,28.77,27.4,28.16,1151771.0
2018-03-06,27.4,28.5545,27.23,28.4,1056250.0,0.0,1.0,27.4,28.5545,27.23,28.4,1056250.0
