Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,24.59,24.71,23.95,24.06,253251.0,0.0,1.0,24.59,24.71,23.95,24.06,253251.0
2018-03-26,24.37,24.66,23.93,24.53,242815.0,0.0,1.0,24.37,24.66,23.93,24.53,242815.0
2018-03-23,24.35,24.6,24.01,24.01,379923.0,0.0,1.0,24.35,24.6,24.01,24.01,379923.0
2018-03-22,24.79,25.07,24.21,24.33,165871.0,0.0,1.0,24.79,25.07,24.21,24.33,165871.0
2018-03-21,24.96,25.17,24.45,24.95,140170.0,0.0,1.0,24.96,25.17,24.45,24.95,140170.0
2018-03-20,24.98,25.05,24.73,24.88,178379.0,0.0,1.0,24.98,25.05,24.73,24.88,178379.0
2018-03-19,24.76,25.08,24.08,24.98,232750.0,0.0,1.0,24.76,25.08,24.08,24.98,232750.0
2018-03-16,24.45,24.86,24.3443,24.81,287690.0,0.0,1.0,24.45,24.86,24.3443,24.81,287690.0
2018-03-15,24.34,24.54,24.23,24.44,150990.0,0.0,1.0,24.34,24.54,24.23,24.44,150990.0
2018-03-14,24.57,24.64,24.24,24.255,113176.0,0.0,1.0,24.57,24.64,24.24,24.255,113176.0
2018-03-13,24.51,24.73,23.43,24.46,159594.0,0.0,1.0,24.51,24.73,23.43,24.46,159594.0
2018-03-12,24.62,24.67,24.33,24.43,234572.0,0.0,1.0,24.62,24.67,24.33,24.43,234572.0
2018-03-09,24.38,24.8,24.14,24.73,260218.0,0.0,1.0,24.38,24.8,24.14,24.73,260218.0
2018-03-08,24.45,24.46,23.4,24.25,215191.0,0.0,1.0,24.45,24.46,23.4,24.25,215191.0
2018-03-07,24.22,24.58,23.951,24.41,297539.0,0.0,1.0,24.22,24.58,23.951,24.41,297539.0
2018-03-06,24.43,24.595,24.23,24.49,303406.0,0.0,1.0,24.43,24.595,24.23,24.49,303406.0
2018-03-05,23.66,24.51,23.45,24.37,555302.0,0.0,1.0,23.66,24.51,23.45,24.37,555302.0
2018-03-02,22.89,23.62,22.87,23.55,408080.0,0.0,1.0,22.89,23.62,22.87,23.55,408080.0
2018-03-01,23.02,23.38,22.44,22.96,502224.0,0.0,1.0,23.02,23.38,22.44,22.96,502224.0
2018-02-28,23.34,23.47,22.69,22.98,529722.0,0.0,1.0,23.34,23.47,22.69,22.98,529722.0
2018-02-27,21.23,23.6713,21.23,23.19,916503.0,0.0,1.0,21.23,23.6713,21.23,23.19,916503.0
2018-02-26,20.19,20.21,19.92,20.15,118552.0,0.0,1.0,20.19,20.21,19.92,20.15,118552.0
2018-02-23,20.14,20.15,19.89,20.15,140938.0,0.0,1.0,20.14,20.15,19.89,20.15,140938.0
2018-02-22,20.46,20.89,19.96,20.02,214820.0,0.0,1.0,20.46,20.89,19.96,20.02,214820.0
2018-02-21,20.25,20.51,20.02,20.36,234404.0,0.0,1.0,20.25,20.51,20.02,20.36,234404.0
2018-02-20,20.29,20.38,20.0,20.21,206459.0,0.0,1.0,20.29,20.38,20.0,20.21,206459.0
2018-02-16,20.02,20.47,20.02,20.38,197332.0,0.0,1.0,20.02,20.47,20.02,20.38,197332.0
2018-02-15,20.01,20.14,19.37,20.11,227719.0,0.0,1.0,20.01,20.14,19.37,20.11,227719.0
2018-02-14,18.83,19.87,18.83,19.87,300611.0,0.0,1.0,18.83,19.87,18.83,19.87,300611.0
2018-02-13,18.6,19.02,18.53,18.97,160544.0,0.0,1.0,18.6,19.02,18.53,18.97,160544.0
2018-02-12,18.71,18.9,18.35,18.68,233731.0,0.0,1.0,18.71,18.9,18.35,18.68,233731.0
2018-02-09,18.53,18.81,18.22,18.67,177832.0,0.0,1.0,18.53,18.81,18.22,18.67,177832.0
2018-02-08,18.9,18.94,18.32,18.33,162619.0,0.0,1.0,18.9,18.94,18.32,18.33,162619.0
2018-02-07,18.77,19.0,18.6,18.86,205972.0,0.0,1.0,18.77,19.0,18.6,18.86,205972.0
2018-02-06,18.7,18.95,18.39,18.83,294168.0,0.0,1.0,18.7,18.95,18.39,18.83,294168.0
2018-02-05,19.55,19.77,18.95,19.085,243022.0,0.0,1.0,19.55,19.77,18.95,19.085,243022.0
2018-02-02,19.96,20.06,19.64,19.68,166078.0,0.0,1.0,19.96,20.06,19.64,19.68,166078.0
2018-02-01,19.99,20.07,19.76,19.99,149420.0,0.0,1.0,19.99,20.07,19.76,19.99,149420.0
2018-01-31,20.36,20.53,19.95,20.02,194885.0,0.0,1.0,20.36,20.53,19.95,20.02,194885.0
2018-01-30,20.29,20.455,20.14,20.28,185856.0,0.0,1.0,20.29,20.455,20.14,20.28,185856.0
2018-01-29,20.53,20.56,20.35,20.42,151776.0,0.0,1.0,20.53,20.56,20.35,20.42,151776.0
2018-01-26,20.8,20.96,20.43,20.55,97440.0,0.0,1.0,20.8,20.96,20.43,20.55,97440.0
2018-01-25,20.58,20.72,20.41,20.69,102324.0,0.0,1.0,20.58,20.72,20.41,20.69,102324.0
2018-01-24,20.89,20.92,20.47,20.54,211090.0,0.0,1.0,20.89,20.92,20.47,20.54,211090.0
2018-01-23,20.48,20.96,20.48,20.8,163762.0,0.0,1.0,20.48,20.96,20.48,20.8,163762.0
2018-01-22,20.35,20.63,20.35,20.55,163609.0,0.0,1.0,20.35,20.63,20.35,20.55,163609.0
