Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,38.9,39.75,38.55,39.25,454981.0,0.0,1.0,38.9,39.75,38.55,39.25,454981.0
2018-03-26,38.45,38.855,38.15,38.8,526788.0,0.0,1.0,38.45,38.855,38.15,38.8,526788.0
2018-03-23,39.15,39.45,38.05,38.15,536017.0,0.0,1.0,39.15,39.45,38.05,38.15,536017.0
2018-03-22,39.15,40.05,39.05,39.1,718866.0,0.0,1.0,39.15,40.05,39.05,39.1,718866.0
2018-03-21,39.2,39.95,38.95,39.2,559536.0,0.0,1.0,39.2,39.95,38.95,39.2,559536.0
2018-03-20,39.8,40.05,38.95,39.05,516033.0,0.0,1.0,39.8,40.05,38.95,39.05,516033.0
2018-03-19,40.05,40.05,39.425,39.85,362955.0,0.0,1.0,40.05,40.05,39.425,39.85,362955.0
2018-03-16,39.6,40.1,39.25,40.05,1922599.0,0.0,1.0,39.6,40.1,39.25,40.05,1922599.0
2018-03-15,39.4,39.75,39.275,39.45,444972.0,0.0,1.0,39.4,39.75,39.275,39.45,444972.0
2018-03-14,39.55,39.9,39.25,39.55,386860.0,0.0,1.0,39.55,39.9,39.25,39.55,386860.0
2018-03-13,39.95,40.2,39.45,39.7,608565.0,0.0,1.0,39.95,40.2,39.45,39.7,608565.0
2018-03-12,39.45,39.9,39.35,39.85,414253.0,0.0,1.0,39.45,39.9,39.35,39.85,414253.0
2018-03-09,39.1,39.65,38.7,39.5,416853.0,0.0,1.0,39.1,39.65,38.7,39.5,416853.0
2018-03-08,39.35,39.45,38.9,39.05,512434.0,0.0,1.0,39.35,39.45,38.9,39.05,512434.0
2018-03-07,39.05,39.35,38.8,39.15,593491.0,0.0,1.0,39.05,39.35,38.8,39.15,593491.0
2018-03-06,39.1,39.225,38.5,39.05,517749.0,0.0,1.0,39.1,39.225,38.5,39.05,517749.0
2018-03-05,38.0,39.275,37.9,39.2,646663.0,0.0,1.0,38.0,39.275,37.9,39.2,646663.0
2018-03-02,38.1,38.4,37.65,38.05,452653.0,0.0,1.0,38.1,38.4,37.65,38.05,452653.0
2018-03-01,38.1,38.8,38.0,38.15,468223.0,0.0,1.0,38.1,38.8,38.0,38.15,468223.0
2018-02-28,38.85,39.05,38.05,38.1,633836.0,0.0,1.0,38.85,39.05,38.05,38.1,633836.0
2018-02-27,39.5,40.25,38.8,38.8,799396.0,0.0,1.0,39.5,40.25,38.8,38.8,799396.0
2018-02-26,39.6,39.75,39.05,39.5,458559.0,0.0,1.0,39.6,39.75,39.05,39.5,458559.0
2018-02-23,38.25,39.6,38.2,39.6,572643.0,0.0,1.0,38.25,39.6,38.2,39.6,572643.0
2018-02-22,38.05,38.5,37.65,38.05,643466.0,0.0,1.0,38.05,38.5,37.65,38.05,643466.0
2018-02-21,38.35,39.15,37.95,38.0,680373.0,0.0,1.0,38.35,39.15,37.95,38.0,680373.0
2018-02-20,39.0,39.2,38.0,38.3,707701.0,0.0,1.0,39.0,39.2,38.0,38.3,707701.0
2018-02-16,38.6,39.45,38.6,39.25,772105.0,0.0,1.0,38.6,39.45,38.6,39.25,772105.0
2018-02-15,38.4,39.05,38.15,38.65,619910.0,0.0,1.0,38.4,39.05,38.15,38.65,619910.0
2018-02-14,37.9,38.625,37.7,38.2,742632.0,0.0,1.0,37.9,38.625,37.7,38.2,742632.0
2018-02-13,38.2,38.475,37.35,38.2,714422.0,0.0,1.0,38.2,38.475,37.35,38.2,714422.0
2018-02-12,37.9,38.6,37.65,38.25,829347.0,0.0,1.0,37.9,38.6,37.65,38.25,829347.0
2018-02-09,36.45,38.125,36.325,37.9,1150799.0,0.0,1.0,36.45,38.125,36.325,37.9,1150799.0
2018-02-08,38.15,38.15,36.2,36.25,817025.0,0.0,1.0,38.15,38.15,36.2,36.25,817025.0
2018-02-07,36.75,37.4,36.4,36.7,776348.0,0.0,1.0,36.75,37.4,36.4,36.7,776348.0
2018-02-06,36.4,37.0,35.55,36.75,1335839.0,0.0,1.0,36.4,37.0,35.55,36.75,1335839.0
2018-02-05,38.2,38.6,36.9,36.9,746851.0,0.0,1.0,38.2,38.6,36.9,36.9,746851.0
2018-02-02,38.05,38.8,38.0,38.3,611869.0,0.0,1.0,38.05,38.8,38.0,38.3,611869.0
2018-02-01,38.85,39.15,38.25,38.3,852217.0,0.0,1.0,38.85,39.15,38.25,38.3,852217.0
2018-01-31,39.2,39.4,38.55,38.8,4046242.0,0.0,1.0,39.2,39.4,38.55,38.8,4046242.0
2018-01-30,39.0,39.55,39.0,39.05,559317.0,0.0,1.0,39.0,39.55,39.0,39.05,559317.0
2018-01-29,39.2,39.5,39.05,39.1,724494.0,0.0,1.0,39.2,39.5,39.05,39.1,724494.0
2018-01-26,40.0,40.1,39.3,39.5,666316.0,0.0,1.0,40.0,40.1,39.3,39.5,666316.0
2018-01-25,39.2,40.05,39.15,40.05,719181.0,0.0,1.0,39.2,40.05,39.15,40.05,719181.0
2018-01-24,39.55,39.8,39.05,39.05,728300.0,0.0,1.0,39.55,39.8,39.05,39.05,728300.0
2018-01-23,38.9,39.675,38.8,39.45,538529.0,0.0,1.0,38.9,39.675,38.8,39.45,538529.0
2018-01-22,39.05,39.2,38.8,38.9,460701.0,0.0,1.0,39.05,39.2,38.8,38.9,460701.0
2018-01-19,38.85,39.4,38.8,38.95,461255.0,0.0,1.0,38.85,39.4,38.8,38.95,461255.0
2018-01-18,39.65,39.75,38.85,38.85,464628.0,0.0,1.0,39.65,39.75,38.85,38.85,464628.0
2018-01-17,39.6,40.005,39.45,39.75,545734.0,0.0,1.0,39.6,40.005,39.45,39.75,545734.0
2018-01-16,39.45,39.9,39.4,39.5,627899.0,0.0,1.0,39.45,39.9,39.4,39.5,627899.0
2018-01-12,39.45,39.95,39.35,39.45,672623.0,0.0,1.0,39.45,39.95,39.35,39.45,672623.0
2018-01-11,39.4,39.85,39.325,39.55,733935.0,0.0,1.0,39.4,39.85,39.325,39.55,733935.0
2018-01-10,39.55,39.825,39.0831,39.45,756169.0,0.0,1.0,39.55,39.825,39.0831,39.45,756169.0
2018-01-09,40.1,40.15,39.7,39.85,752301.0,0.0,1.0,40.1,40.15,39.7,39.85,752301.0
2018-01-08,39.4,40.4,39.25,40.2,857603.0,0.0,1.0,39.4,40.4,39.25,40.2,857603.0
2018-01-05,39.65,39.7,38.9,39.4,403868.0,0.0,1.0,39.65,39.7,38.9,39.4,403868.0
2018-01-04,39.3,39.85,39.3,39.6,547975.0,0.0,1.0,39.3,39.85,39.3,39.6,547975.0
2018-01-03,39.7,40.1,39.325,39.4,542654.0,0.0,1.0,39.7,40.1,39.325,39.4,542654.0
2018-01-02,40.3,40.4,39.7,39.85,750788.0,0.0,1.0,40.3,40.4,39.7,39.85,750788.0
2017-12-29,39.65,40.35,39.65,40.2,749737.0,0.0,1.0,39.65,40.35,39.65,40.2,749737.0
2017-12-28,39.35,39.75,39.1,39.7,528022.0,0.0,1.0,39.35,39.75,39.1,39.7,528022.0
2017-12-27,38.75,39.35,38.6,39.25,498848.0,0.0,1.0,38.75,39.35,38.6,39.25,498848.0
2017-12-26,38.8,39.0,38.6,38.65,268523.0,0.0,1.0,38.8,39.0,38.6,38.65,268523.0
2017-12-22,38.8,38.95,38.75,38.75,473947.0,0.0,1.0,38.8,38.95,38.75,38.75,473947.0
2017-12-21,39.3,39.5,38.707,38.8,436439.0,0.0,1.0,39.3,39.5,38.707,38.8,436439.0
2017-12-20,39.575,39.8,39.25,39.45,481086.0,0.0,1.0,39.575,39.8,39.25,39.45,481086.0
2017-12-19,40.1,40.35,39.15,39.25,462986.0,0.0,1.0,40.1,40.35,39.15,39.25,462986.0
2017-12-18,41.05,41.3,40.15,40.3,450839.0,0.0,1.0,41.05,41.3,40.15,40.3,450839.0
2017-12-15,40.9,41.35,40.4,40.95,1291827.0,0.0,1.0,40.9,41.35,40.4,40.95,1291827.0
2017-12-14,41.05,41.4,40.325,40.45,1080933.0,0.0,1.0,41.05,41.4,40.325,40.45,1080933.0
2017-12-13,42.15,42.35,41.65,41.75,493535.0,0.0,1.0,42.15,42.35,41.65,41.75,493535.0
2017-12-12,43.1,43.2,42.1,42.1,262807.0,0.0,1.0,43.1,43.2,42.1,42.1,262807.0
2017-12-11,43.55,43.7,42.85,43.2,340978.0,0.0,1.0,43.55,43.7,42.85,43.2,340978.0
2017-12-08,43.55,43.7,43.2,43.6,254207.0,0.0,1.0,43.55,43.7,43.2,43.6,254207.0
2017-12-07,43.35,43.55,43.15,43.55,336392.0,0.0,1.0,43.35,43.55,43.15,43.55,336392.0
2017-12-06,43.25,43.85,43.25,43.4,424162.0,0.0,1.0,43.25,43.85,43.25,43.4,424162.0
2017-12-05,44.25,44.3,43.3,43.3,605383.0,0.0,1.0,44.25,44.3,43.3,43.3,605383.0
2017-12-04,44.55,45.4,44.275,44.3,469727.0,0.0,1.0,44.55,45.4,44.275,44.3,469727.0
2017-12-01,44.6,44.75,43.7,44.35,517956.0,0.0,1.0,44.6,44.75,43.7,44.35,517956.0
2017-11-30,44.25,44.9,44.25,44.6,417083.0,0.0,1.0,44.25,44.9,44.25,44.6,417083.0
2017-11-29,43.7,44.9,43.7,44.3,436642.0,0.0,1.0,43.7,44.9,43.7,44.3,436642.0
2017-11-28,43.2,43.95,43.1,43.85,454974.0,0.0,1.0,43.2,43.95,43.1,43.85,454974.0
2017-11-27,42.5,43.5,42.35,43.2,447848.0,0.0,1.0,42.5,43.5,42.35,43.2,447848.0
2017-11-24,43.6,43.6,42.5,42.55,292416.0,0.0,1.0,43.6,43.6,42.5,42.55,292416.0
2017-11-22,44.5,44.55,43.3,43.6,664195.0,0.0,1.0,44.5,44.55,43.3,43.6,664195.0
2017-11-21,44.6,44.7,43.6,43.8,444587.0,0.0,1.0,44.6,44.7,43.6,43.8,444587.0
2017-11-20,44.9,44.9,44.15,44.3,402604.0,0.0,1.0,44.9,44.9,44.15,44.3,402604.0
2017-11-17,44.8,45.095,44.125,44.75,420971.0,0.0,1.0,44.8,45.095,44.125,44.75,420971.0
2017-11-16,44.95,45.25,44.6,45.0,422247.0,0.0,1.0,44.95,45.25,44.6,45.0,422247.0
2017-11-15,45.05,45.45,44.65,44.95,478242.0,0.0,1.0,45.05,45.45,44.65,44.95,478242.0
2017-11-14,44.15,45.075,44.05,45.0,396906.0,0.0,1.0,44.15,45.075,44.05,45.0,396906.0
2017-11-13,43.7,44.35,43.45,44.3,442973.0,0.0,1.0,43.7,44.35,43.45,44.3,442973.0
2017-11-10,43.8,43.975,43.5,43.8,408195.0,0.0,1.0,43.8,43.975,43.5,43.8,408195.0
2017-11-09,43.95,44.15,43.65,43.95,298590.0,0.0,1.0,43.95,44.15,43.65,43.95,298590.0
2017-11-07,43.95,44.5,43.95,44.3,396178.0,0.0,1.0,43.95,44.5,43.95,44.3,396178.0
2017-11-06,44.1,44.3,43.7,44.0,336296.0,0.0,1.0,44.1,44.3,43.7,44.0,336296.0
2017-11-03,44.15,44.35,43.85,44.05,397062.0,0.0,1.0,44.15,44.35,43.85,44.05,397062.0
2017-11-02,44.1,44.85,43.8,44.15,563695.0,0.0,1.0,44.1,44.85,43.8,44.15,563695.0
2017-11-01,44.7,44.8,43.85,44.1,404281.0,0.0,1.0,44.7,44.8,43.85,44.1,404281.0
