Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,43.55,44.6,43.5,43.55,6126.0,0.0,1.0,43.55,44.6,43.5,43.55,6126.0
2018-03-26,43.5,44.7,43.2,44.0,5810.0,0.0,1.0,43.5,44.7,43.2,44.0,5810.0
2018-03-23,44.5,44.975,42.15,43.25,11901.0,0.0,1.0,44.5,44.975,42.15,43.25,11901.0
2018-03-22,43.45,45.7,43.45,44.5,9055.0,0.0,1.0,43.45,45.7,43.45,44.5,9055.0
2018-03-21,43.95,44.0,43.15,44.0,7508.0,0.0,1.0,43.95,44.0,43.15,44.0,7508.0
2018-03-20,43.9,43.95,43.15,43.15,2518.0,0.0,1.0,43.9,43.95,43.15,43.15,2518.0
2018-03-19,43.2,43.2,42.8,43.15,2777.0,0.0,1.0,43.2,43.2,42.8,43.15,2777.0
2018-03-16,42.6,44.0,42.3,43.55,19664.0,0.0,1.0,42.6,44.0,42.3,43.55,19664.0
2018-03-15,42.85,43.1,42.5,42.65,5026.0,0.0,1.0,42.85,43.1,42.5,42.65,5026.0
2018-03-14,42.8,42.8,42.05,42.6,3583.0,0.0,1.0,42.8,42.8,42.05,42.6,3583.0
2018-03-13,41.6,42.8,41.45,42.35,6783.0,0.0,1.0,41.6,42.8,41.45,42.35,6783.0
2018-03-12,41.85,42.65,40.65,41.65,10706.0,0.0,1.0,41.85,42.65,40.65,41.65,10706.0
2018-03-09,41.1,41.95,41.1,41.95,7408.0,0.0,1.0,41.1,41.95,41.1,41.95,7408.0
2018-03-08,41.1,42.6,40.8,41.85,6049.0,0.0,1.0,41.1,42.6,40.8,41.85,6049.0
2018-03-07,40.4,42.05,39.0,41.85,15081.0,0.0,1.0,40.4,42.05,39.0,41.85,15081.0
2018-03-06,41.45,41.79600000000001,40.65,41.0,13740.0,0.0,1.0,41.45,41.79600000000001,40.65,41.0,13740.0
2018-03-05,41.75,42.6,39.9,41.5,9956.0,0.0,1.0,41.75,42.6,39.9,41.5,9956.0
2018-03-02,38.6,41.25,38.6,41.25,15135.0,0.0,1.0,38.6,41.25,38.6,41.25,15135.0
2018-03-01,40.15,40.375,37.68,38.9,27414.0,0.0,1.0,40.15,40.375,37.68,38.9,27414.0
2018-02-28,41.9,41.9,39.55,39.85,3438.0,0.0,1.0,41.9,41.9,39.55,39.85,3438.0
2018-02-27,41.4,41.55,41.4,41.55,766.0,0.0,1.0,41.4,41.55,41.4,41.55,766.0
2018-02-26,40.15,45.495,40.15,42.3,18372.0,0.0,1.0,40.15,45.495,40.15,42.3,18372.0
2018-02-23,39.7,39.7,39.7,39.7,1359.0,0.0,1.0,39.7,39.7,39.7,39.7,1359.0
2018-02-22,38.35,39.05,37.85,39.05,2791.0,0.0,1.0,38.35,39.05,37.85,39.05,2791.0
2018-02-21,38.0,40.1,37.75,37.75,5312.0,0.0,1.0,38.0,40.1,37.75,37.75,5312.0
2018-02-20,38.95,39.295,37.9,37.95,3300.0,0.0,1.0,38.95,39.295,37.9,37.95,3300.0
2018-02-16,38.3,39.45,38.3,39.3,6488.0,0.0,1.0,38.3,39.45,38.3,39.3,6488.0
2018-02-15,38.4,38.65,38.0,38.65,3064.0,0.0,1.0,38.4,38.65,38.0,38.65,3064.0
2018-02-14,38.1,39.25,37.55,38.1,9137.0,0.0,1.0,38.1,39.25,37.55,38.1,9137.0
2018-02-13,39.4,39.5,37.9,38.4,5556.0,0.0,1.0,39.4,39.5,37.9,38.4,5556.0
2018-02-12,40.2,40.5,39.4,39.85,3943.0,0.0,1.0,40.2,40.5,39.4,39.85,3943.0
2018-02-09,39.25,41.05,39.25,41.05,4945.0,0.0,1.0,39.25,41.05,39.25,41.05,4945.0
2018-02-08,39.65,40.65,39.1,39.9,2760.0,0.0,1.0,39.65,40.65,39.1,39.9,2760.0
2018-02-07,43.0,43.0,39.3,39.75,8666.0,0.0,1.0,43.0,43.0,39.3,39.75,8666.0
2018-02-06,39.5,41.7,39.5,41.35,4761.0,0.0,1.0,39.5,41.7,39.5,41.35,4761.0
2018-02-05,40.65,41.85,40.4,41.35,2579.0,0.0,1.0,40.65,41.85,40.4,41.35,2579.0
2018-02-02,43.25,43.6,41.1,41.25,14856.0,0.0,1.0,43.25,43.6,41.1,41.25,14856.0
2018-02-01,43.25,43.8,43.25,43.8,1287.0,0.0,1.0,43.25,43.8,43.25,43.8,1287.0
2018-01-31,43.5,44.25,43.1,43.6,5417.0,0.0,1.0,43.5,44.25,43.1,43.6,5417.0
2018-01-30,43.55,43.8,43.45,43.6,2986.0,0.0,1.0,43.55,43.8,43.45,43.6,2986.0
2018-01-29,43.25,43.8,43.25,43.6,4171.0,0.0,1.0,43.25,43.8,43.25,43.6,4171.0
2018-01-26,43.65,43.65,43.45,43.45,2591.0,0.0,1.0,43.65,43.65,43.45,43.45,2591.0
2018-01-25,43.6,43.6,43.6,43.6,461.0,0.0,1.0,43.6,43.6,43.6,43.6,461.0
2018-01-24,43.6,43.6,43.6,43.6,1012.0,0.0,1.0,43.6,43.6,43.6,43.6,1012.0
2018-01-23,44.05,44.05,43.75,43.85,2285.0,0.0,1.0,44.05,44.05,43.75,43.85,2285.0
2018-01-22,44.95,45.85,44.0,44.15,5320.0,0.0,1.0,44.95,45.85,44.0,44.15,5320.0
2018-01-19,43.75,45.35,43.0,45.3,5702.0,0.0,1.0,43.75,45.35,43.0,45.3,5702.0
2018-01-18,44.2,44.45,43.95,43.95,1215.0,0.0,1.0,44.2,44.45,43.95,43.95,1215.0
2018-01-17,42.85,45.95,42.85,44.9,2790.0,0.0,1.0,42.85,45.95,42.85,44.9,2790.0
2018-01-16,44.2,44.85,43.5,43.5,5130.0,0.0,1.0,44.2,44.85,43.5,43.5,5130.0
2018-01-12,45.0,45.05,43.85,43.9,6971.0,0.0,1.0,45.0,45.05,43.85,43.9,6971.0
2018-01-11,44.5,45.225,44.5,45.15,3044.0,0.0,1.0,44.5,45.225,44.5,45.15,3044.0
2018-01-10,44.55,45.05,44.55,44.9,819.0,0.0,1.0,44.55,45.05,44.55,44.9,819.0
2018-01-09,45.2,45.4,44.85,44.85,2892.0,0.0,1.0,45.2,45.4,44.85,44.85,2892.0
2018-01-08,45.5,45.65,44.95,45.25,2371.0,0.0,1.0,45.5,45.65,44.95,45.25,2371.0
2018-01-05,46.4,46.4,45.875,46.25,1711.0,0.0,1.0,46.4,46.4,45.875,46.25,1711.0
2018-01-04,45.4,47.25,45.4,46.05,5055.0,0.0,1.0,45.4,47.25,45.4,46.05,5055.0
2018-01-03,45.2,45.65,44.65,45.3,6369.0,0.0,1.0,45.2,45.65,44.65,45.3,6369.0
2018-01-02,45.45,45.9,45.1,45.1,3998.0,0.0,1.0,45.45,45.9,45.1,45.1,3998.0
2017-12-29,46.05,46.05,45.45,45.45,11581.0,0.0,1.0,46.05,46.05,45.45,45.45,11581.0
2017-12-28,45.95,45.95,45.95,45.95,657.0,0.0,1.0,45.95,45.95,45.95,45.95,657.0
2017-12-27,45.155,45.875,45.155,45.55,4124.0,0.0,1.0,45.155,45.875,45.155,45.55,4124.0
2017-12-26,45.35,46.125,45.2,45.25,24007.0,0.0,1.0,45.35,46.125,45.2,45.25,24007.0
2017-12-22,45.35,45.5,45.15,45.35,13167.0,0.0,1.0,45.35,45.5,45.15,45.35,13167.0
2017-12-21,45.75,45.75,45.5,45.55,9351.0,0.0,1.0,45.75,45.75,45.5,45.55,9351.0
2017-12-20,45.5,46.803999999999995,45.5,45.7,4056.0,0.0,1.0,45.5,46.803999999999995,45.5,45.7,4056.0
2017-12-19,46.75,46.75,45.15,45.7,5870.0,0.0,1.0,46.75,46.75,45.15,45.7,5870.0
2017-12-18,47.5,47.7,46.0,46.85,6741.0,0.0,1.0,47.5,47.7,46.0,46.85,6741.0
2017-12-15,45.45,47.5,45.4,47.3,37230.0,0.0,1.0,45.45,47.5,45.4,47.3,37230.0
2017-12-14,46.2,46.2,45.5,45.5,3662.0,0.0,1.0,46.2,46.2,45.5,45.5,3662.0
2017-12-13,45.6,46.8,45.6,46.3,8630.0,0.0,1.0,45.6,46.8,45.6,46.3,8630.0
2017-12-12,45.4,46.0,45.3,45.55,5330.0,0.0,1.0,45.4,46.0,45.3,45.55,5330.0
2017-12-11,45.6,45.6,45.0,45.0,4549.0,0.0,1.0,45.6,45.6,45.0,45.0,4549.0
2017-12-08,45.25,46.05,45.1,45.15,10493.0,0.0,1.0,45.25,46.05,45.1,45.15,10493.0
2017-12-07,45.05,45.75,45.0,45.45,7048.0,0.0,1.0,45.05,45.75,45.0,45.45,7048.0
2017-12-06,45.25,45.55,45.25,45.35,6195.0,0.0,1.0,45.25,45.55,45.25,45.35,6195.0
2017-12-05,45.95,46.0,45.5,45.65,25320.0,0.0,1.0,45.95,46.0,45.5,45.65,25320.0
2017-12-04,46.65,47.4087,45.7,45.75,4366.0,0.0,1.0,46.65,47.4087,45.7,45.75,4366.0
2017-12-01,46.8,46.8,45.25,45.8,14383.0,0.0,1.0,46.8,46.8,45.25,45.8,14383.0
2017-11-30,46.65,47.35,46.3,46.3,14236.0,0.0,1.0,46.65,47.35,46.3,46.3,14236.0
2017-11-29,45.5,46.75,45.15,46.55,16729.0,0.0,1.0,45.5,46.75,45.15,46.55,16729.0
2017-11-28,44.9,46.0,44.9,45.6,4744.0,0.0,1.0,44.9,46.0,44.9,45.6,4744.0
2017-11-27,44.5,45.85,44.5,44.8,15024.0,0.0,1.0,44.5,45.85,44.5,44.8,15024.0
2017-11-24,44.2,45.0,44.0,44.0,3123.0,0.0,1.0,44.2,45.0,44.0,44.0,3123.0
2017-11-22,45.9,47.35,44.7,44.95,7396.0,0.0,1.0,45.9,47.35,44.7,44.95,7396.0
2017-11-21,44.4,45.9,43.8,45.9,15033.0,0.0,1.0,44.4,45.9,43.8,45.9,15033.0
2017-11-20,43.9,43.95,43.85,43.95,4673.0,0.0,1.0,43.9,43.95,43.85,43.95,4673.0
2017-11-17,44.2,44.25,42.0,43.95,7889.0,0.61,1.0,44.2,44.25,42.0,43.95,7889.0
2017-11-16,44.75,45.95,44.0,45.0,8994.0,0.0,1.0,44.137399012566995,45.320971723519,43.397666068222996,44.383976660682,8994.0
2017-11-15,44.213,45.15,44.0,44.3,14328.0,0.0,1.0,43.607750224416996,44.531923249551,43.397666068222996,43.693559245961,14328.0
2017-11-14,43.5,44.9,42.9,44.65,15863.0,0.0,1.0,42.904510771992996,44.285345601436006,42.312724416517,44.038767953321,15863.0
2017-11-13,43.1,44.15,43.1,44.0,4439.0,0.0,1.0,42.509986535009,43.545612657092,42.509986535009,43.397666068222996,4439.0
2017-11-10,42.95,45.35,42.755,43.75,4803.0,0.0,1.0,42.36203994614,44.729185368043005,42.16970938061,43.151088420108,4803.0
2017-11-09,42.95,43.0,42.2,42.7,11932.0,0.0,1.0,42.36203994614,42.411355475763,41.622307001795,42.115462298025,11932.0
2017-11-07,46.0,46.0,43.5,43.5,1757.0,0.0,1.0,45.370287253142,45.370287253142,42.904510771992996,42.904510771992996,1757.0
2017-11-06,46.0,46.45,45.75,46.0,13456.0,0.0,1.0,45.370287253142,45.814127019749,45.123709605026995,45.370287253142,13456.0
2017-11-03,45.35,46.5,44.7,46.0,25354.0,0.0,1.0,44.729185368043005,45.863442549371996,44.088083482944,45.370287253142,25354.0
2017-11-02,44.2,45.8,43.4,45.55,23499.0,0.0,1.0,43.594928186715,45.173025134650004,42.805879712747,44.926447486535,23499.0
2017-11-01,44.5,44.9,44.45,44.45,1950.0,0.0,1.0,43.890821364452,44.285345601436006,43.84150583482899,43.84150583482899,1950.0
2017-10-31,45.7,46.4,44.25,44.3,10941.0,0.0,1.0,45.074394075403994,45.764811490126,43.644243716337996,43.693559245961,10941.0
2017-10-30,46.9,46.9,45.6,46.25,4874.0,0.0,1.0,46.257966786355,46.257966786355,44.975763016158,45.616864901257,4874.0
2017-10-27,45.15,47.45,45.15,47.45,14295.0,0.0,1.0,44.531923249551,46.80043761220801,44.531923249551,46.80043761220801,14295.0
2017-10-26,45.0,45.05,44.5,45.05,2219.0,0.0,1.0,44.383976660682,44.433292190305,43.890821364452,44.433292190305,2219.0
2017-10-25,45.1,45.15,44.3,44.8,6790.0,0.0,1.0,44.482607719928,44.531923249551,43.693559245961,44.186714542189996,6790.0
2017-10-24,46.5,46.5,45.15,45.15,4653.0,0.0,1.0,45.863442549371996,45.863442549371996,44.531923249551,44.531923249551,4653.0
2017-10-23,47.15,47.15,45.45,46.5,3163.0,0.0,1.0,46.504544434470006,46.504544434470006,44.827816427289,45.863442549371996,3163.0
2017-10-20,46.45,47.65,45.775,47.1,18111.0,0.0,1.0,45.814127019749,46.9976997307,45.148367369838,46.455228904847004,18111.0
2017-10-19,46.05,46.5,45.7,45.75,5424.0,0.0,1.0,45.419602782765,45.863442549371996,45.074394075403994,45.123709605026995,5424.0
2017-10-18,46.2,46.5,45.8,46.05,3245.0,0.0,1.0,45.567549371633994,45.863442549371996,45.173025134650004,45.419602782765,3245.0
2017-10-17,45.8,45.8,45.8,45.8,1446.0,0.0,1.0,45.173025134650004,45.173025134650004,45.173025134650004,45.173025134650004,1446.0
2017-10-16,45.15,46.0,44.55,46.0,8704.0,0.0,1.0,44.531923249551,45.370287253142,43.940136894075,45.370287253142,8704.0
2017-10-13,45.75,46.0,45.3,45.4,10947.0,0.0,1.0,45.123709605026995,45.370287253142,44.67986983842,44.778500897666,10947.0
2017-10-12,46.55,46.65,46.1,46.1,4638.0,0.0,1.0,45.912758078995,46.01138913824099,45.468918312388,45.468918312388,4638.0
2017-10-11,45.6,47.3,45.55,46.75,13442.0,0.0,1.0,44.975763016158,46.652491023339,44.926447486535,46.110020197487,13442.0
2017-10-10,45.0,45.8,45.0,45.6,6238.0,0.0,1.0,44.383976660682,45.173025134650004,44.383976660682,44.975763016158,6238.0
2017-10-09,45.0,45.375,44.6935,45.0,4114.0,0.0,1.0,44.383976660682,44.753843132854996,44.081672464092996,44.383976660682,4114.0
2017-10-06,45.3,45.5,44.75,45.05,6529.0,0.0,1.0,44.67986983842,44.877131956912,44.137399012566995,44.433292190305,6529.0
