Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2017-12-06,3.89,3.92,3.79,3.83,44394.0,0.0,1.0,3.89,3.92,3.79,3.83,44394.0
2017-12-05,3.87,3.91,3.84,3.88,11776.0,0.0,1.0,3.87,3.91,3.84,3.88,11776.0
2017-12-04,3.96,3.96,3.87,3.87,12440.0,0.0,1.0,3.96,3.96,3.87,3.87,12440.0
2017-12-01,4.03,4.03,3.91,3.93,27578.0,0.0,1.0,4.03,4.03,3.91,3.93,27578.0
2017-11-30,3.9614,4.07,3.95,4.03,28071.0,0.0,1.0,3.9614,4.07,3.95,4.03,28071.0
2017-11-29,4.02,4.04,3.92,3.96,23751.0,0.0,1.0,4.02,4.04,3.92,3.96,23751.0
2017-11-28,4.13,4.13,4.0,4.02,11223.0,0.0,1.0,4.13,4.13,4.0,4.02,11223.0
2017-11-27,3.8,4.2207,3.8,4.11,136714.0,0.0,1.0,3.8,4.2207,3.8,4.11,136714.0
2017-11-24,3.72,3.75,3.69,3.75,1301.0,0.0,1.0,3.72,3.75,3.69,3.75,1301.0
2017-11-22,3.74,3.74,3.64,3.7,14586.0,0.0,1.0,3.74,3.74,3.64,3.7,14586.0
2017-11-21,3.52,3.75,3.52,3.67,34285.0,0.0,1.0,3.52,3.75,3.52,3.67,34285.0
2017-11-20,3.52,3.52,3.4,3.47,18012.0,0.0,1.0,3.52,3.52,3.4,3.47,18012.0
2017-11-17,3.3810000000000002,3.47,3.38,3.46,13011.0,0.0,1.0,3.3810000000000002,3.47,3.38,3.46,13011.0
2017-11-16,3.45,3.5,3.4183,3.44,8587.0,0.0,1.0,3.45,3.5,3.4183,3.44,8587.0
2017-11-15,3.39,3.4789999999999996,3.38,3.425,30577.0,0.0,1.0,3.39,3.4789999999999996,3.38,3.425,30577.0
2017-11-14,3.4433,3.46,3.4,3.41,22570.0,0.0,1.0,3.4433,3.46,3.4,3.41,22570.0
2017-11-13,3.47,3.52,3.435,3.48,16475.0,0.0,1.0,3.47,3.52,3.435,3.48,16475.0
2017-11-10,3.45,3.52,3.45,3.47,4880.0,0.0,1.0,3.45,3.52,3.45,3.47,4880.0
2017-11-09,3.49,3.58,3.46,3.48,19215.0,0.0,1.0,3.49,3.58,3.46,3.48,19215.0
2017-11-07,3.7,3.7,3.4701,3.48,15698.0,0.0,1.0,3.7,3.7,3.4701,3.48,15698.0
2017-11-06,3.93,3.93,3.6534,3.7,20226.0,0.0,1.0,3.93,3.93,3.6534,3.7,20226.0
2017-11-03,4.07,4.18,3.91,3.92,13926.0,0.0,1.0,4.07,4.18,3.91,3.92,13926.0
2017-11-02,4.03,4.13,3.95,4.1,25330.0,0.0,1.0,4.03,4.13,3.95,4.1,25330.0
2017-11-01,4.0,4.21,3.97,4.03,31978.0,0.0,1.0,4.0,4.21,3.97,4.03,31978.0
2017-10-31,3.91,4.035,3.9,3.99,88944.0,0.0,1.0,3.91,4.035,3.9,3.99,88944.0
2017-10-30,3.93,4.03,3.9,3.97,19216.0,0.0,1.0,3.93,4.03,3.9,3.97,19216.0
2017-10-27,4.0191,4.02,3.89,3.99,40436.0,0.0,1.0,4.0191,4.02,3.89,3.99,40436.0
2017-10-26,3.91,3.97,3.88,3.92,8707.0,0.0,1.0,3.91,3.97,3.88,3.92,8707.0
2017-10-25,3.93,3.93,3.8811,3.9,2814.0,0.0,1.0,3.93,3.93,3.8811,3.9,2814.0
2017-10-24,3.9176,3.94,3.87,3.93,46140.0,0.0,1.0,3.9176,3.94,3.87,3.93,46140.0
2017-10-23,3.96,3.97,3.86,3.87,49388.0,0.0,1.0,3.96,3.97,3.86,3.87,49388.0
2017-10-20,3.908,3.96,3.86,3.94,19709.0,0.0,1.0,3.908,3.96,3.86,3.94,19709.0
2017-10-19,3.9,3.98,3.83,3.91,10325.0,0.0,1.0,3.9,3.98,3.83,3.91,10325.0
2017-10-18,3.99,4.02,3.92,3.93,2841.0,0.0,1.0,3.99,4.02,3.92,3.93,2841.0
2017-10-17,3.94,4.03,3.9,3.95,20544.0,0.0,1.0,3.94,4.03,3.9,3.95,20544.0
2017-10-16,3.95,3.96,3.94,3.95,4386.0,0.0,1.0,3.95,3.96,3.94,3.95,4386.0
2017-10-13,3.93,4.02,3.93,3.96,15700.0,0.0,1.0,3.93,4.02,3.93,3.96,15700.0
2017-10-12,4.04,4.04,3.94,3.98,3491.0,0.0,1.0,4.04,4.04,3.94,3.98,3491.0
2017-10-11,4.01,4.05,3.98,4.0,16844.0,0.0,1.0,4.01,4.05,3.98,4.0,16844.0
