Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,6.33,6.56,6.13,6.18,1341724.0,0.0,1.0,6.33,6.56,6.13,6.18,1341724.0
2018-03-26,6.27,6.3184,6.01,6.22,867826.0,0.0,1.0,6.27,6.3184,6.01,6.22,867826.0
2018-03-23,6.46,6.51,6.09,6.1,1635543.0,0.0,1.0,6.46,6.51,6.09,6.1,1635543.0
2018-03-22,6.62,6.725,6.38,6.51,1189918.0,0.0,1.0,6.62,6.725,6.38,6.51,1189918.0
2018-03-21,6.8,6.9,6.65,6.68,630589.0,0.0,1.0,6.8,6.9,6.65,6.68,630589.0
2018-03-20,6.9,6.9304,6.68,6.81,479041.0,0.0,1.0,6.9,6.9304,6.68,6.81,479041.0
2018-03-19,7.11,7.13,6.79,6.95,994610.0,0.0,1.0,7.11,7.13,6.79,6.95,994610.0
2018-03-16,7.03,7.15,6.97,7.13,750579.0,0.0,1.0,7.03,7.15,6.97,7.13,750579.0
2018-03-15,6.93,7.28,6.82,7.04,850855.0,0.0,1.0,6.93,7.28,6.82,7.04,850855.0
2018-03-14,7.12,7.2,6.805,6.9,1104555.0,0.0,1.0,7.12,7.2,6.805,6.9,1104555.0
2018-03-13,7.73,7.76,7.03,7.11,1349691.0,0.0,1.0,7.73,7.76,7.03,7.11,1349691.0
2018-03-12,7.66,8.15,7.2,7.71,4063703.0,0.0,1.0,7.66,8.15,7.2,7.71,4063703.0
2018-03-09,6.9,7.22,6.84,7.17,1338605.0,0.0,1.0,6.9,7.22,6.84,7.17,1338605.0
2018-03-08,6.99,7.1399,6.77,6.84,776860.0,0.0,1.0,6.99,7.1399,6.77,6.84,776860.0
2018-03-07,6.67,7.15,6.66,6.98,1255629.0,0.0,1.0,6.67,7.15,6.66,6.98,1255629.0
2018-03-06,6.4,6.825,6.4,6.72,942048.0,0.0,1.0,6.4,6.825,6.4,6.72,942048.0
2018-03-05,6.33,6.48,6.31,6.35,573115.0,0.0,1.0,6.33,6.48,6.31,6.35,573115.0
2018-03-02,6.08,6.4,5.96,6.34,1560010.0,0.0,1.0,6.08,6.4,5.96,6.34,1560010.0
2018-03-01,6.1,6.39,5.94,6.12,1117580.0,0.0,1.0,6.1,6.39,5.94,6.12,1117580.0
2018-02-28,5.95,6.23,5.76,6.07,686079.0,0.0,1.0,5.95,6.23,5.76,6.07,686079.0
2018-02-27,6.07,6.15,5.88,5.89,416913.0,0.0,1.0,6.07,6.15,5.88,5.89,416913.0
2018-02-26,5.87,6.105,5.73,6.05,673092.0,0.0,1.0,5.87,6.105,5.73,6.05,673092.0
2018-02-23,5.54,5.87,5.33,5.82,957895.0,0.0,1.0,5.54,5.87,5.33,5.82,957895.0
2018-02-22,6.02,6.06,5.455,5.55,1518246.0,0.0,1.0,6.02,6.06,5.455,5.55,1518246.0
2018-02-21,6.36,6.36,5.945,6.03,684418.0,0.0,1.0,6.36,6.36,5.945,6.03,684418.0
2018-02-20,6.15,6.37,6.1,6.33,688788.0,0.0,1.0,6.15,6.37,6.1,6.33,688788.0
2018-02-16,5.89,6.15,5.88,6.14,623479.0,0.0,1.0,5.89,6.15,5.88,6.14,623479.0
2018-02-15,5.92,5.96,5.83,5.94,444899.0,0.0,1.0,5.92,5.96,5.83,5.94,444899.0
2018-02-14,5.45,5.86,5.45,5.84,556093.0,0.0,1.0,5.45,5.86,5.45,5.84,556093.0
2018-02-13,5.57,5.57,5.42,5.54,400677.0,0.0,1.0,5.57,5.57,5.42,5.54,400677.0
2018-02-12,5.87,6.0,5.61,5.63,686119.0,0.0,1.0,5.87,6.0,5.61,5.63,686119.0
