Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,34.6,34.75,33.8,33.95,9117.0,0.0,1.0,34.6,34.75,33.8,33.95,9117.0
2018-03-26,34.55,34.85,34.35,34.75,12605.0,0.0,1.0,34.55,34.85,34.35,34.75,12605.0
2018-03-23,35.3,35.3,34.0,34.05,15937.0,0.0,1.0,35.3,35.3,34.0,34.05,15937.0
2018-03-22,35.7,36.05,35.3,35.3,7372.0,0.0,1.0,35.7,36.05,35.3,35.3,7372.0
2018-03-21,35.7,36.05,35.4,36.0,5950.0,0.0,1.0,35.7,36.05,35.4,36.0,5950.0
2018-03-20,35.85,35.9944,35.45,35.7,11393.0,0.0,1.0,35.85,35.9944,35.45,35.7,11393.0
2018-03-19,36.0,36.05,35.85,36.05,14823.0,0.0,1.0,36.0,36.05,35.85,36.05,14823.0
2018-03-16,35.55,36.05,35.55,36.05,34472.0,0.0,1.0,35.55,36.05,35.55,36.05,34472.0
2018-03-15,36.0,36.0,35.3,35.6,10351.0,0.0,1.0,36.0,36.0,35.3,35.6,10351.0
2018-03-14,36.0,36.05,35.8,35.95,9456.0,0.0,1.0,36.0,36.05,35.8,35.95,9456.0
2018-03-13,36.0,36.05,35.75,35.95,10992.0,0.0,1.0,36.0,36.05,35.75,35.95,10992.0
2018-03-12,35.6,36.0,35.6,36.0,7399.0,0.0,1.0,35.6,36.0,35.6,36.0,7399.0
2018-03-09,36.0,36.05,35.6,35.65,12960.0,0.0,1.0,36.0,36.05,35.6,35.65,12960.0
2018-03-08,36.05,36.05,35.45,35.6,12377.0,0.0,1.0,36.05,36.05,35.45,35.6,12377.0
2018-03-07,35.65,36.05,35.5,36.05,15762.0,0.0,1.0,35.65,36.05,35.5,36.05,15762.0
2018-03-06,35.15,35.9,34.9,35.85,9072.0,0.0,1.0,35.15,35.9,34.9,35.85,9072.0
2018-03-05,34.6,35.15,34.45,35.05,24623.0,0.0,1.0,34.6,35.15,34.45,35.05,24623.0
2018-03-02,33.6,34.45,33.6,34.45,58436.0,0.0,1.0,33.6,34.45,33.6,34.45,58436.0
2018-03-01,33.3,33.7,33.25,33.5,17942.0,0.0,1.0,33.3,33.7,33.25,33.5,17942.0
2018-02-28,34.2,34.25,33.15,33.25,14173.0,0.0,1.0,34.2,34.25,33.15,33.25,14173.0
2018-02-27,34.55,35.095,34.0,34.05,5222.0,0.0,1.0,34.55,35.095,34.0,34.05,5222.0
2018-02-26,33.9,34.45,33.9,34.4,14804.0,0.0,1.0,33.9,34.45,33.9,34.4,14804.0
2018-02-23,33.35,33.95,33.3,33.85,9117.0,0.0,1.0,33.35,33.95,33.3,33.85,9117.0
2018-02-22,33.45,34.0,33.25,33.5,9171.0,0.0,1.0,33.45,34.0,33.25,33.5,9171.0
2018-02-21,33.75,34.3,33.55,33.55,10751.0,0.0,1.0,33.75,34.3,33.55,33.55,10751.0
2018-02-20,33.8,33.8,33.2,33.7,9009.0,0.0,1.0,33.8,33.8,33.2,33.7,9009.0
2018-02-16,33.45,33.8,33.45,33.75,8535.0,0.0,1.0,33.45,33.8,33.45,33.75,8535.0
