Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,63.39,63.89,60.75,61.19,2538004.0,0.0,1.0,63.39,63.89,60.75,61.19,2538004.0
2018-03-26,62.09,63.34,61.51,63.3,1933748.0,0.0,1.0,62.09,63.34,61.51,63.3,1933748.0
2018-03-23,62.64,63.39,61.15,61.15,1894591.0,0.0,1.0,62.64,63.39,61.15,61.15,1894591.0
2018-03-22,63.31,63.61,61.7,62.16,2933446.0,0.0,1.0,63.31,63.61,61.7,62.16,2933446.0
2018-03-21,63.4,64.55,62.95,64.11,2101879.0,0.0,1.0,63.4,64.55,62.95,64.11,2101879.0
2018-03-20,63.09,63.82,62.83,63.31,1974599.0,0.0,1.0,63.09,63.82,62.83,63.31,1974599.0
2018-03-19,63.65,63.89,62.33,62.84,2813369.0,0.0,1.0,63.65,63.89,62.33,62.84,2813369.0
2018-03-16,63.63,64.225,63.39,63.93,2523851.0,0.0,1.0,63.63,64.225,63.39,63.93,2523851.0
2018-03-15,64.66,64.66,63.365,63.67,2483585.0,0.0,1.0,64.66,64.66,63.365,63.67,2483585.0
2018-03-14,65.25,65.58,64.47,64.55,2237189.0,0.0,1.0,65.25,65.58,64.47,64.55,2237189.0
2018-03-13,64.53,65.52,64.5,64.83,2565952.0,0.0,1.0,64.53,65.52,64.5,64.83,2565952.0
2018-03-12,65.36,65.44,64.52,64.53,2457119.0,0.0,1.0,65.36,65.44,64.52,64.53,2457119.0
2018-03-09,64.29,65.32,63.88,65.26,2128404.0,0.0,1.0,64.29,65.32,63.88,65.26,2128404.0
2018-03-08,63.62,63.91,63.141000000000005,63.88,2026567.0,0.0,1.0,63.62,63.91,63.141000000000005,63.88,2026567.0
2018-03-07,63.13,63.75,62.86,63.35,2657118.0,0.0,1.0,63.13,63.75,62.86,63.35,2657118.0
2018-03-06,63.22,64.43,62.91,63.8,4874282.0,0.0,1.0,63.22,64.43,62.91,63.8,4874282.0
2018-03-05,60.36,62.6199,60.11,62.19,3504908.0,0.0,1.0,60.36,62.6199,60.11,62.19,3504908.0
2018-03-02,60.37,60.9,59.51,60.76,2648372.0,0.0,1.0,60.37,60.9,59.51,60.76,2648372.0
2018-03-01,60.63,61.57,59.91,60.6,2532910.0,0.0,1.0,60.63,61.57,59.91,60.6,2532910.0
2018-02-28,60.54,61.55,60.03,60.55,5405527.0,0.0,1.0,60.54,61.55,60.03,60.55,5405527.0
2018-02-26,60.0,60.63,59.5,60.41,4034153.0,0.0,1.0,60.0,60.63,59.5,60.41,4034153.0
2018-02-23,59.12,59.63,58.145,59.62,3105597.0,0.0,1.0,59.12,59.63,58.145,59.62,3105597.0
2018-02-22,58.63,59.52,58.51,58.59,3154141.0,0.0,1.0,58.63,59.52,58.51,58.59,3154141.0
2018-02-21,58.2,59.88,58.18,58.54,3330498.0,0.0,1.0,58.2,59.88,58.18,58.54,3330498.0
2018-02-20,56.08,58.85,55.73,58.09,3714848.0,0.0,1.0,56.08,58.85,55.73,58.09,3714848.0
2018-02-16,57.4,59.0,56.36,56.51,5411347.0,0.0,1.0,57.4,59.0,56.36,56.51,5411347.0
2018-02-15,54.57,57.74,52.0,57.67,16514021.0,0.0,1.0,54.57,57.74,52.0,57.67,16514021.0
2018-02-14,58.31,60.99,58.25,60.64,5245707.0,0.0,1.0,58.31,60.99,58.25,60.64,5245707.0
2018-02-13,59.59,60.14,58.45,58.74,3882187.0,0.0,1.0,59.59,60.14,58.45,58.74,3882187.0
2018-02-12,57.03,58.34,56.63,57.73,4339229.0,0.0,1.0,57.03,58.34,56.63,57.73,4339229.0
2018-02-09,56.51,56.85,54.12,56.13,3074022.0,0.0,1.0,56.51,56.85,54.12,56.13,3074022.0
2018-02-08,57.85,57.89,55.86,55.86,1959154.0,0.0,1.0,57.85,57.89,55.86,55.86,1959154.0
2018-02-07,57.68,58.72,57.22,57.63,2129372.0,0.0,1.0,57.68,58.72,57.22,57.63,2129372.0
2018-02-06,55.79,58.43,53.86,58.14,2773523.0,0.0,1.0,55.79,58.43,53.86,58.14,2773523.0
2018-02-05,59.48,60.16,56.75,57.16,2505432.0,0.0,1.0,59.48,60.16,56.75,57.16,2505432.0
2018-02-02,61.53,62.0,60.17,60.22,1866594.0,0.0,1.0,61.53,62.0,60.17,60.22,1866594.0
2018-02-01,61.37,62.37,61.14,62.16,3962264.0,0.0,1.0,61.37,62.37,61.14,62.16,3962264.0
2018-01-31,62.69,63.22,61.14,61.5,2739097.0,0.0,1.0,62.69,63.22,61.14,61.5,2739097.0
2018-01-30,62.31,62.7,61.375,62.31,1844235.0,0.0,1.0,62.31,62.7,61.375,62.31,1844235.0
2018-01-29,63.26,63.49,62.68,62.8,2230632.0,0.0,1.0,63.26,63.49,62.68,62.8,2230632.0
2018-01-26,62.96,63.41,62.72,63.34,3440609.0,0.0,1.0,62.96,63.41,62.72,63.34,3440609.0
