Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,28.55,28.55,26.85,27.0,942701.0,0.0,1.0,28.55,28.55,26.85,27.0,942701.0
2018-03-26,27.75,28.9,27.75,28.6,873633.0,0.0,1.0,27.75,28.9,27.75,28.6,873633.0
2018-03-23,28.05,28.2362,27.4,27.45,727143.0,0.0,1.0,28.05,28.2362,27.4,27.45,727143.0
2018-03-22,28.6,28.85,27.95,28.0,622766.0,0.0,1.0,28.6,28.85,27.95,28.0,622766.0
2018-03-21,29.6,29.9,28.6,28.95,861833.0,0.0,1.0,29.6,29.9,28.6,28.95,861833.0
2018-03-20,30.0,31.15,29.35,29.55,1009910.0,0.0,1.0,30.0,31.15,29.35,29.55,1009910.0
2018-03-19,31.1,31.2,30.15,30.4,624176.0,0.0,1.0,31.1,31.2,30.15,30.4,624176.0
2018-03-16,31.2,31.9,31.125,31.35,1111934.0,0.0,1.0,31.2,31.9,31.125,31.35,1111934.0
2018-03-15,31.55,31.75,30.95,31.1,473302.0,0.0,1.0,31.55,31.75,30.95,31.1,473302.0
2018-03-14,32.0,32.1502,31.15,31.55,571787.0,0.0,1.0,32.0,32.1502,31.15,31.55,571787.0
2018-03-13,32.2,32.35,31.55,31.95,541038.0,0.0,1.0,32.2,32.35,31.55,31.95,541038.0
2018-03-12,32.5,33.75,31.85,32.15,823008.0,0.0,1.0,32.5,33.75,31.85,32.15,823008.0
2018-03-09,31.95,32.7,31.4,32.55,687602.0,0.0,1.0,31.95,32.7,31.4,32.55,687602.0
2018-03-08,32.6,32.8,31.3,31.65,917126.0,0.0,1.0,32.6,32.8,31.3,31.65,917126.0
2018-03-07,31.2,32.9,30.8,32.55,1222942.0,0.0,1.0,31.2,32.9,30.8,32.55,1222942.0
2018-03-06,31.25,31.75,30.55,31.35,1389331.0,0.0,1.0,31.25,31.75,30.55,31.35,1389331.0
2018-03-05,31.45,32.0,30.85,31.05,1223702.0,0.0,1.0,31.45,32.0,30.85,31.05,1223702.0
2018-03-02,31.0,32.2,30.55,31.45,1791092.0,0.0,1.0,31.0,32.2,30.55,31.45,1791092.0
2018-03-01,30.7,31.525,30.05,30.95,2022297.0,0.0,1.0,30.7,31.525,30.05,30.95,2022297.0
2018-02-28,31.45,31.95,30.05,30.75,2793291.0,0.0,1.0,31.45,31.95,30.05,30.75,2793291.0
