Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,56.25,57.4,55.85,56.9,136172.0,0.0,1.0,56.25,57.4,55.85,56.9,136172.0
2018-03-26,55.7,56.35,55.35,56.25,127540.0,0.0,1.0,55.7,56.35,55.35,56.25,127540.0
2018-03-23,56.45,57.2,55.35,55.4,152850.0,0.0,1.0,56.45,57.2,55.35,55.4,152850.0
2018-03-22,56.2,57.6,56.2,56.45,139227.0,0.0,1.0,56.2,57.6,56.2,56.45,139227.0
2018-03-21,56.2,56.9,55.825,56.25,108997.0,0.0,1.0,56.2,56.9,55.825,56.25,108997.0
2018-03-20,56.95,56.95,55.9,56.2,91378.0,0.0,1.0,56.95,56.95,55.9,56.2,91378.0
2018-03-19,56.9,57.2,56.3,57.0,105396.0,0.0,1.0,56.9,57.2,56.3,57.0,105396.0
2018-03-16,56.5,57.05,56.25,57.0,391179.0,0.0,1.0,56.5,57.05,56.25,57.0,391179.0
2018-03-15,56.1,56.8,55.85,56.45,178275.0,0.0,1.0,56.1,56.8,55.85,56.45,178275.0
2018-03-14,56.35,56.8,55.9,56.1,112205.0,0.0,1.0,56.35,56.8,55.9,56.1,112205.0
2018-03-13,56.15,56.7,55.8,56.1,125870.0,0.0,1.0,56.15,56.7,55.8,56.1,125870.0
2018-03-12,55.2,56.1,55.075,56.0,152730.0,0.0,1.0,55.2,56.1,55.075,56.0,152730.0
2018-03-09,54.55,55.15,53.9,54.85,176583.0,0.0,1.0,54.55,55.15,53.9,54.85,176583.0
2018-03-08,54.65,54.85,54.2,54.55,111272.0,0.0,1.0,54.65,54.85,54.2,54.55,111272.0
2018-03-07,53.9,54.8,53.8,54.5,123984.0,0.0,1.0,53.9,54.8,53.8,54.5,123984.0
2018-03-06,54.0,54.375,53.35,54.05,227284.0,0.0,1.0,54.0,54.375,53.35,54.05,227284.0
2018-03-05,52.2,54.35,52.055,53.75,275259.0,0.0,1.0,52.2,54.35,52.055,53.75,275259.0
2018-03-02,52.65,53.1,51.5,51.95,151376.0,0.0,1.0,52.65,53.1,51.5,51.95,151376.0
2018-03-01,52.5,53.5,52.2,52.9,195621.0,0.0,1.0,52.5,53.5,52.2,52.9,195621.0
2018-02-28,53.8,53.8,52.05,52.15,214777.0,0.0,1.0,53.8,53.8,52.05,52.15,214777.0
2018-02-27,53.4,55.0,53.25,53.45,264929.0,0.0,1.0,53.4,55.0,53.25,53.45,264929.0
2018-02-26,55.8,56.55,53.3,53.7,277495.0,0.0,1.0,55.8,56.55,53.3,53.7,277495.0
2018-02-23,55.5,56.6,55.25,56.3,159691.0,0.0,1.0,55.5,56.6,55.25,56.3,159691.0
2018-02-22,54.75,55.25,54.4,54.7,144940.0,0.0,1.0,54.75,55.25,54.4,54.7,144940.0
2018-02-21,55.35,55.75,54.55,54.65,86925.0,0.0,1.0,55.35,55.75,54.55,54.65,86925.0
2018-02-20,55.9,55.95,54.95,55.35,127478.0,0.0,1.0,55.9,55.95,54.95,55.35,127478.0
2018-02-16,55.9,56.6,55.55,56.25,147799.0,0.0,1.0,55.9,56.6,55.55,56.25,147799.0
2018-02-15,55.1,55.8,54.61,55.7,116809.0,0.0,1.0,55.1,55.8,54.61,55.7,116809.0
2018-02-14,55.05,55.45,54.55,54.85,107275.0,0.0,1.0,55.05,55.45,54.55,54.85,107275.0
2018-02-13,56.1,56.25,55.05,55.45,126282.0,0.0,1.0,56.1,56.25,55.05,55.45,126282.0
2018-02-12,56.1,56.45,54.8,56.2,138684.0,0.0,1.0,56.1,56.45,54.8,56.2,138684.0
2018-02-09,54.45,56.65,54.21,56.1,219555.0,0.0,1.0,54.45,56.65,54.21,56.1,219555.0
2018-02-08,54.35,55.55,54.05,54.25,175184.0,0.0,1.0,54.35,55.55,54.05,54.25,175184.0
2018-02-07,54.1,55.05,53.85,54.4,184164.0,0.0,1.0,54.1,55.05,53.85,54.4,184164.0
2018-02-06,54.5,54.64,52.475,54.05,353666.0,0.0,1.0,54.5,54.64,52.475,54.05,353666.0
2018-02-05,56.95,57.3,54.55,54.7,289655.0,0.0,1.0,56.95,57.3,54.55,54.7,289655.0
2018-02-02,56.75,57.35,56.5988,57.05,262130.0,0.0,1.0,56.75,57.35,56.5988,57.05,262130.0
2018-02-01,57.0,57.35,56.5,56.95,214018.0,0.0,1.0,57.0,57.35,56.5,56.95,214018.0
2018-01-31,57.4,57.4,56.7,57.35,151704.0,0.0,1.0,57.4,57.4,56.7,57.35,151704.0
2018-01-30,57.35,57.85,56.75,57.15,151642.0,0.0,1.0,57.35,57.85,56.75,57.15,151642.0
2018-01-29,58.45,58.8,58.15,58.15,181740.0,0.0,1.0,58.45,58.8,58.15,58.15,181740.0
2018-01-26,58.75,58.8,57.7,58.45,114004.0,0.0,1.0,58.75,58.8,57.7,58.45,114004.0
2018-01-25,57.85,58.85,57.6,58.75,129537.0,0.0,1.0,57.85,58.85,57.6,58.75,129537.0
2018-01-24,57.6,58.0,57.45,57.7,126660.0,0.0,1.0,57.6,58.0,57.45,57.7,126660.0
2018-01-23,57.55,58.35,57.15,57.7,87404.0,0.0,1.0,57.55,58.35,57.15,57.7,87404.0
2018-01-22,57.8,57.85,57.2001,57.45,115511.0,0.0,1.0,57.8,57.85,57.2001,57.45,115511.0
2018-01-19,57.35,58.1,57.2,57.55,137718.0,0.0,1.0,57.35,58.1,57.2,57.55,137718.0
2018-01-18,57.7,57.85,57.2,57.45,183073.0,0.0,1.0,57.7,57.85,57.2,57.45,183073.0
2018-01-17,57.1,58.05,57.05,57.75,156551.0,0.0,1.0,57.1,58.05,57.05,57.75,156551.0
2018-01-16,57.0,57.6,56.9,57.0,133603.0,0.0,1.0,57.0,57.6,56.9,57.0,133603.0
2018-01-12,56.75,57.1,56.3,57.0,166007.0,0.0,1.0,56.75,57.1,56.3,57.0,166007.0
2018-01-11,56.05,56.9,55.95,56.75,178324.0,0.0,1.0,56.05,56.9,55.95,56.75,178324.0
2018-01-10,57.1,57.1,55.7,56.0,187590.0,0.0,1.0,57.1,57.1,55.7,56.0,187590.0
2018-01-09,58.35,58.4,57.25,57.45,152593.0,0.0,1.0,58.35,58.4,57.25,57.45,152593.0
2018-01-08,58.1,58.6,57.6,58.2,192205.0,0.0,1.0,58.1,58.6,57.6,58.2,192205.0
2018-01-05,58.35,58.65,58.1,58.65,187767.0,0.0,1.0,58.35,58.65,58.1,58.65,187767.0
2018-01-04,58.15,58.6,57.85,58.1,230070.0,0.0,1.0,58.15,58.6,57.85,58.1,230070.0
2018-01-03,58.8,59.05,58.15,58.3,250979.0,0.0,1.0,58.8,59.05,58.15,58.3,250979.0
2018-01-02,59.25,59.25,57.805,58.8,222968.0,0.0,1.0,59.25,59.25,57.805,58.8,222968.0
2017-12-29,59.95,60.25,59.6,59.65,120832.0,0.0,1.0,59.95,60.25,59.6,59.65,120832.0
2017-12-28,58.85,60.4,58.7,59.95,277394.0,0.0,1.0,58.85,60.4,58.7,59.95,277394.0
2017-12-27,58.55,59.25,58.55,58.9,107504.0,0.0,1.0,58.55,59.25,58.55,58.9,107504.0
2017-12-26,59.1,59.6,58.6,58.6,80247.0,0.0,1.0,59.1,59.6,58.6,58.6,80247.0
2017-12-22,59.1,59.6,58.8911,58.95,88015.0,0.0,1.0,59.1,59.6,58.8911,58.95,88015.0
2017-12-21,59.65,59.85,58.7,58.8,122427.0,0.0,1.0,59.65,59.85,58.7,58.8,122427.0
2017-12-20,60.3,60.95,59.7,59.8,137140.0,0.0,1.0,60.3,60.95,59.7,59.8,137140.0
2017-12-19,62.525,62.95,60.45,60.55,212446.0,0.0,1.0,62.525,62.95,60.45,60.55,212446.0
2017-12-18,64.55,64.6,61.95,62.5,288866.0,0.0,1.0,64.55,64.6,61.95,62.5,288866.0
2017-12-15,65.15,65.4,64.05,65.05,298637.0,0.0,1.0,65.15,65.4,64.05,65.05,298637.0
2017-12-14,64.4,64.7,63.8,64.05,105976.0,0.0,1.0,64.4,64.7,63.8,64.05,105976.0
2017-12-13,64.0,64.9,63.93,64.5,144275.0,0.0,1.0,64.0,64.9,63.93,64.5,144275.0
2017-12-12,65.45,65.9846,63.9,64.0,122432.0,0.0,1.0,65.45,65.9846,63.9,64.0,122432.0
2017-12-11,67.1,67.4,64.7,65.35,269350.0,0.0,1.0,67.1,67.4,64.7,65.35,269350.0
2017-12-08,67.6,67.9,67.075,67.2,98429.0,0.0,1.0,67.6,67.9,67.075,67.2,98429.0
2017-12-07,67.55,68.0,66.95,67.55,72203.0,0.0,1.0,67.55,68.0,66.95,67.55,72203.0
2017-12-06,68.05,68.5,67.6,67.75,79790.0,0.0,1.0,68.05,68.5,67.6,67.75,79790.0
2017-12-05,68.85,68.85,67.75,68.05,102525.0,0.0,1.0,68.85,68.85,67.75,68.05,102525.0
2017-12-04,68.65,69.4,68.25,68.75,112582.0,0.0,1.0,68.65,69.4,68.25,68.75,112582.0
2017-12-01,69.35,69.35,67.65,68.4,109125.0,0.0,1.0,69.35,69.35,67.65,68.4,109125.0
2017-11-30,68.7,69.5,68.6,69.15,134618.0,0.0,1.0,68.7,69.5,68.6,69.15,134618.0
2017-11-29,67.75,69.3,67.1,68.55,108177.0,0.0,1.0,67.75,69.3,67.1,68.55,108177.0
2017-11-28,66.9,68.0,66.8,67.8,84225.0,0.0,1.0,66.9,68.0,66.8,67.8,84225.0
2017-11-27,66.6,67.45,66.45,66.95,79398.0,0.0,1.0,66.6,67.45,66.45,66.95,79398.0
2017-11-24,66.55,66.75,66.01,66.65,53941.0,0.0,1.0,66.55,66.75,66.01,66.65,53941.0
2017-11-22,67.0,67.2,66.5,66.75,87151.0,0.0,1.0,67.0,67.2,66.5,66.75,87151.0
2017-11-21,66.2,67.45,66.15,67.05,130288.0,0.0,1.0,66.2,67.45,66.15,67.05,130288.0
2017-11-20,66.7,66.85,65.95,66.15,114770.0,0.0,1.0,66.7,66.85,65.95,66.15,114770.0
2017-11-17,66.95,67.1,66.0,66.7,197964.0,0.0,1.0,66.95,67.1,66.0,66.7,197964.0
2017-11-16,67.25,67.55,66.95,67.25,131580.0,0.0,1.0,67.25,67.55,66.95,67.25,131580.0
2017-11-15,68.05,68.3,67.25,67.25,111483.0,0.0,1.0,68.05,68.3,67.25,67.25,111483.0
2017-11-14,66.45,68.15,66.45,68.0,103509.0,0.0,1.0,66.45,68.15,66.45,68.0,103509.0
2017-11-13,66.5,67.1,66.2,66.65,93745.0,0.0,1.0,66.5,67.1,66.2,66.65,93745.0
2017-11-10,66.4,67.1,66.25,66.55,83419.0,0.0,1.0,66.4,67.1,66.25,66.55,83419.0
2017-11-09,66.95,67.05,66.2,66.75,84465.0,0.0,1.0,66.95,67.05,66.2,66.75,84465.0
2017-11-07,66.1,66.85,66.05,66.55,109595.0,0.0,1.0,66.1,66.85,66.05,66.55,109595.0
2017-11-06,66.7,66.95,65.85,66.05,137252.0,0.0,1.0,66.7,66.95,65.85,66.05,137252.0
2017-11-03,65.2,66.75,65.2,66.65,94328.0,0.0,1.0,65.2,66.75,65.2,66.65,94328.0
2017-11-02,65.65,66.45,65.4,66.1,101874.0,0.0,1.0,65.65,66.45,65.4,66.1,101874.0
2017-11-01,66.55,66.6,65.15,65.75,89321.0,0.0,1.0,66.55,66.6,65.15,65.75,89321.0
2017-10-31,65.9,66.55,65.64,66.35,132168.0,0.0,1.0,65.9,66.55,65.64,66.35,132168.0
2017-10-30,66.35,66.35,65.25,65.8,83266.0,0.47200000000000003,1.0,66.35,66.35,65.25,65.8,83266.0
2017-10-27,66.2,66.95,65.75,66.85,98283.0,0.0,1.0,65.728512795751,66.473171173346,65.281717769194,66.373883389667,98283.0
2017-10-26,66.15,66.7,65.86,66.15,75268.0,0.0,1.0,65.678868903911,66.22495171414799,65.390934331241,65.678868903911,75268.0
2017-10-25,65.65,66.1,64.85,65.85,88125.0,0.0,1.0,65.182429985514,65.629225012071,64.388127716079,65.381005552873,88125.0
2017-10-24,66.35,66.65,65.45,65.85,109911.0,0.0,1.0,65.87744447127,66.175307822308,64.983854418155,65.381005552873,109911.0
2017-10-23,66.55,66.775,66.1,66.65,85002.0,0.0,1.0,66.076020038629,66.299417551907,65.629225012071,66.175307822308,85002.0
2017-10-20,66.9,67.0,66.2,66.5,66122.0,0.0,1.0,66.42352728150699,66.52281506518601,65.728512795751,66.02637614678899,66122.0
2017-10-19,66.25,66.8,66.1,66.7,104292.0,0.0,1.0,65.778156687591,66.324239497827,65.629225012071,66.22495171414799,104292.0
2017-10-18,65.65,66.4,65.3987,66.25,57224.0,0.0,1.0,65.182429985514,65.92708836311,64.93291978512801,65.778156687591,57224.0
2017-10-17,65.5,65.9,65.3,65.6,74715.0,0.0,1.0,65.033498309995,65.430649444713,64.83492274263601,65.13278609367501,74715.0
2017-10-16,65.6,65.95,65.25,65.5,73129.0,0.0,1.0,65.13278609367501,65.480293336552,64.785278850797,65.033498309995,73129.0
2017-10-13,66.2,66.4,65.5,65.55,84318.0,0.0,1.0,65.728512795751,65.92708836311,65.033498309995,65.083142201835,84318.0
2017-10-12,65.75,66.35,65.35,66.0,116148.0,0.0,1.0,65.281717769194,65.87744447127,64.884566634476,65.529937228392,116148.0
2017-10-11,65.25,66.275,65.25,65.75,89012.0,0.0,1.0,64.785278850797,65.80297863351,64.785278850797,65.281717769194,89012.0
2017-10-10,65.0,65.25,64.9,65.15,93443.0,0.0,1.0,64.53705939159799,64.785278850797,64.437771607919,64.685991067117,93443.0
2017-10-09,64.45,65.25,64.4,64.75,114042.0,0.0,1.0,63.990976581362,64.785278850797,63.941332689522,64.2888399324,114042.0
2017-10-06,64.85,65.15,64.5,64.85,89660.0,0.0,1.0,64.388127716079,64.685991067117,64.040620473201,64.388127716079,89660.0
2017-10-05,65.05,65.225,64.65,65.0,73751.0,0.0,1.0,64.586703283438,64.760456904877,64.18955214872,64.53705939159799,73751.0
2017-10-04,64.8,65.2,64.4,64.95,102421.0,0.0,1.0,64.33848382424,64.73563495895701,63.941332689522,64.487415499759,102421.0
2017-10-03,64.7,64.9,64.275,64.75,150944.0,0.0,1.0,64.23919604056,64.437771607919,63.817222959923,64.2888399324,150944.0
2017-10-02,64.45,65.0,64.275,64.75,114177.0,0.0,1.0,63.990976581362,64.53705939159799,63.817222959923,64.2888399324,114177.0
2017-09-29,64.9,65.1,64.35,64.4,148285.0,0.0,1.0,64.437771607919,64.63634717527799,63.891688797682,63.941332689522,148285.0
2017-09-28,64.9,65.15,64.075,64.95,114190.0,0.0,1.0,64.437771607919,64.685991067117,63.618647392564,64.487415499759,114190.0
2017-09-27,65.05,65.225,64.15,64.95,180389.0,0.0,1.0,64.586703283438,64.760456904877,63.693113230324,64.487415499759,180389.0
2017-09-26,65.2,65.75,65.0,65.25,117020.0,0.0,1.0,64.73563495895701,65.281717769194,64.53705939159799,64.785278850797,117020.0
2017-09-25,64.95,65.725,64.9,65.35,127698.0,0.0,1.0,64.487415499759,65.25689582327401,64.437771607919,64.884566634476,127698.0
2017-09-22,65.25,65.25,64.75,65.1,81688.0,0.0,1.0,64.785278850797,64.785278850797,64.2888399324,64.63634717527799,81688.0
2017-09-21,65.25,65.45,65.0,65.15,68693.0,0.0,1.0,64.785278850797,64.983854418155,64.53705939159799,64.685991067117,68693.0
2017-09-20,65.9,66.0,64.95,65.2,76021.0,0.0,1.0,65.430649444713,65.529937228392,64.487415499759,64.73563495895701,76021.0
2017-09-19,66.15,66.15,65.55,65.85,79065.0,0.0,1.0,65.678868903911,65.678868903911,65.083142201835,65.381005552873,79065.0
2017-09-18,66.5,66.55,65.7,66.15,83844.0,0.0,1.0,66.02637614678899,66.076020038629,65.232073877354,65.678868903911,83844.0
2017-09-15,66.65,66.75,65.7,66.4,312366.0,0.0,1.0,66.175307822308,66.274595605987,65.232073877354,65.92708836311,312366.0
2017-09-14,66.55,66.7,66.1,66.5,102712.0,0.0,1.0,66.076020038629,66.22495171414799,65.629225012071,66.02637614678899,102712.0
2017-09-13,67.8,67.8,66.4,66.5,120108.0,0.0,1.0,67.317117334621,67.317117334621,65.92708836311,66.02637614678899,120108.0
2017-09-12,68.45,68.45,67.55,67.75,198875.0,0.0,1.0,67.962487928537,67.962487928537,67.068897875423,67.267473442781,198875.0
2017-09-11,67.75,68.6,67.6,68.4,100122.0,0.0,1.0,67.267473442781,68.111419604056,67.118541767262,67.912844036697,100122.0
2017-09-08,67.35,67.75,66.9,67.6,63506.0,0.0,1.0,66.870322308064,67.267473442781,66.42352728150699,67.118541767262,63506.0
2017-09-07,66.95,67.4,66.65,67.3,79792.0,0.0,1.0,66.473171173346,66.919966199903,66.175307822308,66.820678416224,79792.0
2017-09-06,67.25,67.7,66.7,67.0,112311.0,0.0,1.0,66.771034524384,67.217829550942,66.22495171414799,66.52281506518601,112311.0
2017-09-05,66.4,67.25,65.9,67.15,184593.0,0.0,1.0,65.92708836311,66.771034524384,65.430649444713,66.671746740705,184593.0
2017-09-01,66.35,66.7,66.15,66.45,82889.0,0.0,1.0,65.87744447127,66.22495171414799,65.678868903911,65.976732254949,82889.0
2017-08-31,66.05,66.6,65.8,66.3,168405.0,0.0,1.0,65.579581120232,66.125663930468,65.331361661033,65.82780057943,168405.0
2017-08-30,65.95,66.225,65.875,66.1,173183.0,0.0,1.0,65.480293336552,65.753334741671,65.405827498793,65.629225012071,173183.0
2017-08-29,66.15,66.55,65.875,66.1,117438.0,0.0,1.0,65.678868903911,66.076020038629,65.405827498793,65.629225012071,117438.0
2017-08-28,65.9,66.25,65.75,66.15,132474.0,0.0,1.0,65.430649444713,65.778156687591,65.281717769194,65.678868903911,132474.0
2017-08-25,65.6,65.85,65.3,65.75,60400.0,0.0,1.0,65.13278609367501,65.381005552873,64.83492274263601,65.281717769194,60400.0
2017-08-24,65.0,65.6,64.75,65.45,85903.0,0.0,1.0,64.53705939159799,65.13278609367501,64.2888399324,64.983854418155,85903.0
2017-08-23,64.7,64.95,64.5855,64.85,172142.0,0.0,1.0,64.23919604056,64.487415499759,64.125511528247,64.388127716079,172142.0
2017-08-22,64.2,65.3,64.1,65.1,63569.0,0.0,1.0,63.742757122163,64.83492274263601,63.643469338484,64.63634717527799,63569.0
2017-08-21,63.95,64.55,63.95,64.25,67994.0,0.0,1.0,63.494537662965,64.090264365041,63.494537662965,63.792401014003,67994.0
2017-08-18,63.45,64.2,63.45,64.1,125536.0,0.0,1.0,62.998098744568004,63.742757122163,62.998098744568004,63.643469338484,125536.0
2017-08-17,64.6,65.1,63.9,63.9,90745.0,0.0,1.0,64.139908256881,64.63634717527799,63.444893771125,63.444893771125,90745.0
2017-08-16,64.9,65.15,64.45,64.8,65634.0,0.0,1.0,64.437771607919,64.685991067117,63.990976581362,64.33848382424,65634.0
