Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,19.42,19.97,18.12,18.21,63163.0,0.0,1.0,19.42,19.97,18.12,18.21,63163.0
2018-03-26,19.24,20.335,18.91,19.32,43491.0,0.0,1.0,19.24,20.335,18.91,19.32,43491.0
2018-03-23,19.5,19.735,19.01,19.06,24899.0,0.0,1.0,19.5,19.735,19.01,19.06,24899.0
2018-03-22,20.54,20.55,19.3,19.5,27593.0,0.0,1.0,20.54,20.55,19.3,19.5,27593.0
2018-03-21,20.62,20.85,20.5,20.6,17926.0,0.0,1.0,20.62,20.85,20.5,20.6,17926.0
2018-03-20,20.59,20.8099,20.33,20.62,36439.0,0.0,1.0,20.59,20.8099,20.33,20.62,36439.0
2018-03-19,19.88,20.73,19.49,20.6,34234.0,0.0,1.0,19.88,20.73,19.49,20.6,34234.0
2018-03-16,19.76,20.3,19.38,19.78,93358.0,0.0,1.0,19.76,20.3,19.38,19.78,93358.0
2018-03-15,19.89,20.265,19.36,19.76,26417.0,0.0,1.0,19.89,20.265,19.36,19.76,26417.0
2018-03-14,20.28,20.405,19.66,19.82,25375.0,0.0,1.0,20.28,20.405,19.66,19.82,25375.0
2018-03-13,21.36,21.36,19.47,20.05,42148.0,0.0,1.0,21.36,21.36,19.47,20.05,42148.0
2018-03-12,20.73,21.33,20.28,21.2,24666.0,0.0,1.0,20.73,21.33,20.28,21.2,24666.0
2018-03-09,19.85,20.81,19.47,20.72,32931.0,0.0,1.0,19.85,20.81,19.47,20.72,32931.0
2018-03-08,19.61,19.99,19.15,19.78,27411.0,0.0,1.0,19.61,19.99,19.15,19.78,27411.0
2018-03-07,18.78,19.9,18.51,19.62,29000.0,0.0,1.0,18.78,19.9,18.51,19.62,29000.0
2018-03-06,19.14,19.14,18.72,19.01,42002.0,0.0,1.0,19.14,19.14,18.72,19.01,42002.0
2018-03-05,18.96,19.23,18.35,19.15,46204.0,0.0,1.0,18.96,19.23,18.35,19.15,46204.0
2018-03-02,18.02,19.24,17.88,19.01,29888.0,0.0,1.0,18.02,19.24,17.88,19.01,29888.0
2018-03-01,16.6,19.04,16.6,18.47,60880.0,0.0,1.0,16.6,19.04,16.6,18.47,60880.0
2018-02-28,18.28,18.55,17.26,17.53,41473.0,0.0,1.0,18.28,18.55,17.26,17.53,41473.0
2018-02-27,19.21,19.21,18.1,18.1,14152.0,0.0,1.0,19.21,19.21,18.1,18.1,14152.0
2018-02-26,19.21,19.78,18.99,19.21,15020.0,0.0,1.0,19.21,19.78,18.99,19.21,15020.0
2018-02-23,18.95,19.2,18.95,19.2,5444.0,0.0,1.0,18.95,19.2,18.95,19.2,5444.0
2018-02-22,19.25,19.385,18.77,18.89,6928.0,0.0,1.0,19.25,19.385,18.77,18.89,6928.0
2018-02-21,18.63,19.5448,18.63,19.06,12873.0,0.0,1.0,18.63,19.5448,18.63,19.06,12873.0
2018-02-20,18.83,19.11,18.56,18.65,23885.0,0.0,1.0,18.83,19.11,18.56,18.65,23885.0
2018-02-16,18.76,19.69,18.51,19.0,41198.0,0.0,1.0,18.76,19.69,18.51,19.0,41198.0
2018-02-15,18.14,18.9,18.04,18.83,24738.0,0.0,1.0,18.14,18.9,18.04,18.83,24738.0
2018-02-14,17.75,18.7,17.58,18.06,62212.0,0.0,1.0,17.75,18.7,17.58,18.06,62212.0
2018-02-13,17.85,19.025,17.55,17.97,16867.0,0.0,1.0,17.85,19.025,17.55,17.97,16867.0
2018-02-12,18.01,18.45,17.31,18.0,29460.0,0.0,1.0,18.01,18.45,17.31,18.0,29460.0
2018-02-09,17.62,18.24,17.111,17.95,48086.0,0.0,1.0,17.62,18.24,17.111,17.95,48086.0
2018-02-08,17.96,18.31,17.38,17.38,33240.0,0.0,1.0,17.96,18.31,17.38,17.38,33240.0
2018-02-07,18.18,18.965,17.98,18.11,19600.0,0.0,1.0,18.18,18.965,17.98,18.11,19600.0
2018-02-06,18.0,18.695,17.77,18.19,46148.0,0.0,1.0,18.0,18.695,17.77,18.19,46148.0
2018-02-05,18.99,19.3466,18.2,18.49,57803.0,0.0,1.0,18.99,19.3466,18.2,18.49,57803.0
2018-02-02,19.17,19.87,18.915,19.18,41793.0,0.0,1.0,19.17,19.87,18.915,19.18,41793.0
2018-02-01,18.81,20.055,18.81,19.39,42721.0,0.0,1.0,18.81,20.055,18.81,19.39,42721.0
2018-01-31,19.78,20.01,18.97,19.0,73497.0,0.0,1.0,19.78,20.01,18.97,19.0,73497.0
2018-01-30,19.61,20.4,19.51,19.69,15367.0,0.0,1.0,19.61,20.4,19.51,19.69,15367.0
2018-01-29,19.95,20.63,19.75,19.85,13082.0,0.0,1.0,19.95,20.63,19.75,19.85,13082.0
2018-01-26,20.22,20.22,19.895,20.06,54241.0,0.0,1.0,20.22,20.22,19.895,20.06,54241.0
2018-01-25,20.51,20.51,19.95,20.07,18136.0,0.0,1.0,20.51,20.51,19.95,20.07,18136.0
