Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,49.97,50.94,49.4271,50.32,1544021.0,0.0,1.0,49.97,50.94,49.4271,50.32,1544021.0
2018-03-26,49.66,49.99,49.35,49.95,1616083.0,0.0,1.0,49.66,49.99,49.35,49.95,1616083.0
2018-03-23,49.93,50.09,49.12,49.33,1980709.0,0.0,1.0,49.93,50.09,49.12,49.33,1980709.0
2018-03-22,49.82,50.685,49.82,49.87,1877592.0,0.0,1.0,49.82,50.685,49.82,49.87,1877592.0
2018-03-21,50.55,50.6442,49.58,49.9,2314552.0,0.0,1.0,50.55,50.6442,49.58,49.9,2314552.0
2018-03-20,50.95,51.2799,50.21,50.48,1722168.0,0.0,1.0,50.95,51.2799,50.21,50.48,1722168.0
2018-03-19,51.45,51.5888,50.58,50.9,1737123.0,0.0,1.0,51.45,51.5888,50.58,50.9,1737123.0
2018-03-16,51.14,51.7162,50.86,51.47,2586246.0,0.0,1.0,51.14,51.7162,50.86,51.47,2586246.0
2018-03-15,51.55,51.65,50.91,51.14,1388591.0,0.0,1.0,51.55,51.65,50.91,51.14,1388591.0
2018-03-14,51.45,51.79,51.285,51.39,1706971.0,0.0,1.0,51.45,51.79,51.285,51.39,1706971.0
2018-03-13,51.45,52.01,51.33,51.45,1443235.0,0.0,1.0,51.45,52.01,51.33,51.45,1443235.0
2018-03-12,50.9,51.38,50.7,51.25,1680040.0,0.0,1.0,50.9,51.38,50.7,51.25,1680040.0
2018-03-09,50.59,50.87,50.0968,50.87,1482853.0,0.0,1.0,50.59,50.87,50.0968,50.87,1482853.0
2018-03-08,50.88,51.15,50.33,50.58,1579000.0,0.0,1.0,50.88,51.15,50.33,50.58,1579000.0
2018-03-07,50.4,50.9,50.13,50.85,1445142.0,0.0,1.0,50.4,50.9,50.13,50.85,1445142.0
2018-03-06,50.15,50.57,49.91,50.54,1814717.0,0.0,1.0,50.15,50.57,49.91,50.54,1814717.0
2018-03-05,49.58,50.64,49.58,50.31,1806536.0,0.0,1.0,49.58,50.64,49.58,50.31,1806536.0
2018-03-02,49.45,49.78,49.15,49.73,2017567.0,0.0,1.0,49.45,49.78,49.15,49.73,2017567.0
2018-03-01,49.17,49.85,48.84,49.61,2497850.0,0.0,1.0,49.17,49.85,48.84,49.61,2497850.0
2018-02-28,49.5,49.8,49.15,49.18,3394288.0,0.0,1.0,49.5,49.8,49.15,49.18,3394288.0
2018-02-27,50.68,50.84,49.35,49.37,3215993.0,0.0,1.0,50.68,50.84,49.35,49.37,3215993.0
2018-02-26,50.38,50.78,50.16,50.6,2814620.0,0.0,1.0,50.38,50.78,50.16,50.6,2814620.0
2018-02-23,49.46,50.24,49.34,50.2,2363774.0,0.0,1.0,49.46,50.24,49.34,50.2,2363774.0
2018-02-22,48.56,49.75,48.26,49.3,2940524.0,0.0,1.0,48.56,49.75,48.26,49.3,2940524.0
2018-02-21,49.28,49.57,48.34,48.39,3497652.0,0.0,1.0,49.28,49.57,48.34,48.39,3497652.0
2018-02-20,49.9,50.25,49.39,49.4,2977308.0,0.0,1.0,49.9,50.25,49.39,49.4,2977308.0
2018-02-16,49.33,50.0346,49.31,49.96,2903116.0,0.0,1.0,49.33,50.0346,49.31,49.96,2903116.0
2018-02-15,48.27,49.37,48.14,49.28,2999410.0,0.0,1.0,48.27,49.37,48.14,49.28,2999410.0
2018-02-14,48.55,48.65,47.78,48.1,2723401.0,0.0,1.0,48.55,48.65,47.78,48.1,2723401.0
2018-02-13,48.65,49.18,47.96,48.99,2841446.0,0.0,1.0,48.65,49.18,47.96,48.99,2841446.0
2018-02-12,49.06,49.23,47.25,48.68,4287391.0,0.0,1.0,49.06,49.23,47.25,48.68,4287391.0
2018-02-09,47.87,49.28,47.42,48.9,3228485.0,0.0,1.0,47.87,49.28,47.42,48.9,3228485.0
2018-02-08,48.84,49.3257,47.54,47.56,4321849.0,0.0,1.0,48.84,49.3257,47.54,47.56,4321849.0
2018-02-07,50.1,50.95,48.89,48.92,5864264.0,0.0,1.0,50.1,50.95,48.89,48.92,5864264.0
2018-02-06,49.76,50.66,49.01,50.07,3754917.0,0.0,1.0,49.76,50.66,49.01,50.07,3754917.0
2018-02-05,50.89,51.785,50.05,50.1,3096848.0,0.0,1.0,50.89,51.785,50.05,50.1,3096848.0
2018-02-02,51.1,51.45,50.42,51.25,2509000.0,0.0,1.0,51.1,51.45,50.42,51.25,2509000.0
2018-02-01,53.09,53.21,51.41,51.59,3186808.0,0.0,1.0,53.09,53.21,51.41,51.59,3186808.0
2018-01-31,52.33,53.45,52.21,53.19,3620122.0,0.0,1.0,52.33,53.45,52.21,53.19,3620122.0
2018-01-30,52.95,53.0,52.281000000000006,52.46,2075273.0,0.0,1.0,52.95,53.0,52.281000000000006,52.46,2075273.0
2018-01-29,54.0,54.17,52.65,53.05,2089273.0,0.0,1.0,54.0,54.17,52.65,53.05,2089273.0
2018-01-26,54.5,54.53,53.98,54.21,1640415.0,0.0,1.0,54.5,54.53,53.98,54.21,1640415.0
2018-01-25,54.01,54.46,53.93,54.44,1637451.0,0.0,1.0,54.01,54.46,53.93,54.44,1637451.0
2018-01-24,54.42,54.58,53.86,54.01,1651568.0,0.0,1.0,54.42,54.58,53.86,54.01,1651568.0
2018-01-23,53.95,54.56,53.95,54.53,1628912.0,0.0,1.0,53.95,54.56,53.95,54.53,1628912.0
2018-01-22,53.17,53.8998,53.17,53.86,1700735.0,0.0,1.0,53.17,53.8998,53.17,53.86,1700735.0
