Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,8.41,8.54,8.075,8.11,7984742.0,0.0,1.0,8.41,8.54,8.075,8.11,7984742.0
2018-03-26,8.41,8.46,8.17,8.37,7467232.0,0.0,1.0,8.41,8.46,8.17,8.37,7467232.0
2018-03-23,8.47,8.61,8.28,8.29,10261073.0,0.0,1.0,8.47,8.61,8.28,8.29,10261073.0
2018-03-22,8.44,8.54,8.35,8.37,6904822.0,0.0,1.0,8.44,8.54,8.35,8.37,6904822.0
2018-03-21,8.06,8.6,8.06,8.58,11036845.0,0.0,1.0,8.06,8.6,8.06,8.58,11036845.0
2018-03-20,8.02,8.13,7.9,7.99,7149261.0,0.0,1.0,8.02,8.13,7.9,7.99,7149261.0
2018-03-19,8.13,8.2,7.85,7.91,7770858.0,0.0,1.0,8.13,8.2,7.85,7.91,7770858.0
2018-03-16,8.17,8.3,8.01,8.25,8388837.0,0.0,1.0,8.17,8.3,8.01,8.25,8388837.0
2018-03-15,8.36,8.425,8.075,8.14,7797296.0,0.0,1.0,8.36,8.425,8.075,8.14,7797296.0
2018-03-14,8.28,8.37,8.24,8.29,7003943.0,0.0,1.0,8.28,8.37,8.24,8.29,7003943.0
2018-03-13,8.27,8.4,8.155,8.23,8002795.0,0.0,1.0,8.27,8.4,8.155,8.23,8002795.0
2018-03-12,8.3,8.43,8.17,8.25,6881355.0,0.0,1.0,8.3,8.43,8.17,8.25,6881355.0
2018-03-09,8.22,8.43,8.2,8.33,7789308.0,0.0,1.0,8.22,8.43,8.2,8.33,7789308.0
2018-03-08,8.11,8.16,7.91,8.1,9008011.0,0.0,1.0,8.11,8.16,7.91,8.1,9008011.0
2018-03-07,8.43,8.6465,8.15,8.21,8323559.0,0.0,1.0,8.43,8.6465,8.15,8.21,8323559.0
2018-03-06,8.67,8.74,8.45,8.6,8363214.0,0.0,1.0,8.67,8.74,8.45,8.6,8363214.0
2018-03-05,8.25,8.69,8.25,8.59,9693188.0,0.0,1.0,8.25,8.69,8.25,8.59,9693188.0
2018-03-02,8.01,8.38,7.93,8.34,9931476.0,0.0,1.0,8.01,8.38,7.93,8.34,9931476.0
2018-03-01,7.89,8.16,7.785,8.06,12210669.0,0.0,1.0,7.89,8.16,7.785,8.06,12210669.0
2018-02-28,9.08,9.13,7.85,7.88,18835431.0,0.0,1.0,9.08,9.13,7.85,7.88,18835431.0
2018-02-27,8.82,8.965,8.57,8.6,9672663.0,0.0,1.0,8.82,8.965,8.57,8.6,9672663.0
2018-02-26,8.87,8.98,8.7754,8.87,7504636.0,0.0,1.0,8.87,8.98,8.7754,8.87,7504636.0
2018-02-23,8.46,8.82,8.4089,8.8,9608388.0,0.0,1.0,8.46,8.82,8.4089,8.8,9608388.0
2018-02-22,7.89,8.515,7.89,8.37,10842072.0,0.0,1.0,7.89,8.515,7.89,8.37,10842072.0
2018-02-21,7.95,8.03,7.78,7.78,5603594.0,0.0,1.0,7.95,8.03,7.78,7.78,5603594.0
2018-02-20,7.97,8.165,7.92,7.97,5616049.0,0.0,1.0,7.97,8.165,7.92,7.97,5616049.0
