Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2017-09-27,18.11,18.11,18.09,18.09,277063.0,0.0,1.0,18.11,18.11,18.09,18.09,277063.0
2017-09-26,18.1,18.11,18.09,18.09,155142.0,0.0,1.0,18.1,18.11,18.09,18.09,155142.0
2017-09-25,18.1,18.12,18.09,18.1,311505.0,0.0,1.0,18.1,18.12,18.09,18.1,311505.0
2017-09-22,18.1,18.12,18.1,18.11,134826.0,0.0,1.0,18.1,18.12,18.1,18.11,134826.0
2017-09-21,18.07,18.16,18.06,18.1,173245.0,0.0,1.0,18.07,18.16,18.06,18.1,173245.0
2017-09-20,18.08,18.1,18.06,18.06,206718.0,0.0,1.0,18.08,18.1,18.06,18.06,206718.0
2017-09-19,18.05,18.1,18.05,18.06,97186.0,0.0,1.0,18.05,18.1,18.05,18.06,97186.0
2017-09-18,18.06,18.1,18.05,18.05,154319.0,0.0,1.0,18.06,18.1,18.05,18.05,154319.0
2017-09-15,18.1,18.1,18.05,18.05,176447.0,0.0,1.0,18.1,18.1,18.05,18.05,176447.0
2017-09-14,18.03,18.06,18.03,18.05,85520.0,0.0,1.0,18.03,18.06,18.03,18.05,85520.0
2017-09-13,18.02,18.05,18.02,18.03,36111.0,0.0,1.0,18.02,18.05,18.02,18.03,36111.0
2017-09-12,18.05,18.08,18.02,18.02,116343.0,0.0,1.0,18.05,18.08,18.02,18.02,116343.0
2017-09-11,18.0,18.05,18.0,18.01,85935.0,0.0,1.0,18.0,18.05,18.0,18.01,85935.0
2017-09-08,17.99,18.04,17.99,17.99,139686.0,0.0,1.0,17.99,18.04,17.99,17.99,139686.0
2017-09-07,18.05,18.05,17.98,17.98,416075.0,0.0,1.0,18.05,18.05,17.98,17.98,416075.0
2017-09-06,18.24,18.25,18.2,18.22,191089.0,0.0,1.0,18.24,18.25,18.2,18.22,191089.0
2017-09-05,18.22,18.26,18.22,18.23,94979.0,0.0,1.0,18.22,18.26,18.22,18.23,94979.0
2017-09-01,18.23,18.27,18.22,18.23,26420.0,0.0,1.0,18.23,18.27,18.22,18.23,26420.0
2017-08-31,18.24,18.3,18.22,18.22,128039.0,0.0,1.0,18.24,18.3,18.22,18.22,128039.0
2017-08-30,18.21,18.25,18.21,18.21,133433.0,0.0,1.0,18.21,18.25,18.21,18.21,133433.0
