Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,11.1,11.15,10.6,10.6,289296.0,0.0,1.0,11.1,11.15,10.6,10.6,289296.0
2018-03-26,10.85,11.1,10.55,11.05,317653.0,0.0,1.0,10.85,11.1,10.55,11.05,317653.0
2018-03-23,11.4,11.45,10.75,10.75,273723.0,0.0,1.0,11.4,11.45,10.75,10.75,273723.0
2018-03-22,11.45,11.55,11.25,11.35,180551.0,0.0,1.0,11.45,11.55,11.25,11.35,180551.0
2018-03-21,11.6,11.7,11.4,11.5,148756.0,0.0,1.0,11.6,11.7,11.4,11.5,148756.0
2018-03-20,11.95,11.95,11.55,11.6,120672.0,0.0,1.0,11.95,11.95,11.55,11.6,120672.0
2018-03-19,12.0,12.05,11.55,11.95,200450.0,0.0,1.0,12.0,12.05,11.55,11.95,200450.0
2018-03-16,12.0,12.075,11.8,12.05,530478.0,0.0,1.0,12.0,12.075,11.8,12.05,530478.0
2018-03-15,11.7,12.05,11.6,12.0,203017.0,0.0,1.0,11.7,12.05,11.6,12.0,203017.0
2018-03-14,11.8,11.9,11.6,11.65,191613.0,0.0,1.0,11.8,11.9,11.6,11.65,191613.0
2018-03-13,11.85,12.0,11.7,11.75,208278.0,0.0,1.0,11.85,12.0,11.7,11.75,208278.0
2018-03-12,11.9,12.05,11.7,11.85,157394.0,0.0,1.0,11.9,12.05,11.7,11.85,157394.0
2018-03-09,12.05,12.1,11.85,11.9,285490.0,0.0,1.0,12.05,12.1,11.85,11.9,285490.0
2018-03-08,11.75,12.05,11.75,11.95,215705.0,0.0,1.0,11.75,12.05,11.75,11.95,215705.0
2018-03-07,11.5,11.9,11.5,11.65,224072.0,0.0,1.0,11.5,11.9,11.5,11.65,224072.0
2018-03-06,11.35,11.65,11.2,11.6,223870.0,0.0,1.0,11.35,11.65,11.2,11.6,223870.0
2018-03-05,11.2,11.45,10.95,11.35,156388.0,0.0,1.0,11.2,11.45,10.95,11.35,156388.0
2018-03-02,10.9,11.225,10.8,11.2,143848.0,0.0,1.0,10.9,11.225,10.8,11.2,143848.0
2018-03-01,10.8,11.15,10.75,10.95,204595.0,0.0,1.0,10.8,11.15,10.75,10.95,204595.0
2018-02-28,11.2,11.2,10.75,10.75,233322.0,0.0,1.0,11.2,11.2,10.75,10.75,233322.0
2018-02-27,11.4,11.55,11.125,11.2,197187.0,0.0,1.0,11.4,11.55,11.125,11.2,197187.0
2018-02-26,11.2,11.4,11.025,11.3,151135.0,0.0,1.0,11.2,11.4,11.025,11.3,151135.0
2018-02-23,11.1,11.25,11.05,11.2,104757.0,0.0,1.0,11.1,11.25,11.05,11.2,104757.0
