Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-07,21.81,22.32,21.77,22.05,1323958.0,0.0,1.0,21.81,22.32,21.77,22.05,1323958.0
2018-03-06,21.74,22.245,21.62,21.97,1995221.0,0.0,1.0,21.74,22.245,21.62,21.97,1995221.0
2018-03-05,21.56,21.805,21.4,21.62,1796553.0,0.0,1.0,21.56,21.805,21.4,21.62,1796553.0
2018-03-02,21.14,21.79,21.11,21.71,1112473.0,0.0,1.0,21.14,21.79,21.11,21.71,1112473.0
2018-03-01,21.6,21.87,21.21,21.34,1085900.0,0.0,1.0,21.6,21.87,21.21,21.34,1085900.0
2017-04-25,21.89,22.46,21.72,21.99,2710538.0,0.0,1.0,21.89,22.46,21.72,21.99,2710538.0
2017-04-24,20.84,21.41,20.81,21.34,2045837.0,0.0,1.0,20.84,21.41,20.81,21.34,2045837.0
2017-04-21,20.54,20.64,20.39,20.51,1102044.0,0.0,1.0,20.54,20.64,20.39,20.51,1102044.0
2017-04-20,20.71,20.79,20.46,20.59,1177882.0,0.0,1.0,20.71,20.79,20.46,20.59,1177882.0
2017-04-19,20.45,20.65,20.43,20.57,1459282.0,0.0,1.0,20.45,20.65,20.43,20.57,1459282.0
2017-04-18,20.03,20.35,20.025,20.32,1095704.0,0.0,1.0,20.03,20.35,20.025,20.32,1095704.0
2017-04-17,19.95,20.23,19.91,20.21,799626.0,0.0,1.0,19.95,20.23,19.91,20.21,799626.0
2017-04-13,20.06,20.21,19.86,19.87,947520.0,0.0,1.0,20.06,20.21,19.86,19.87,947520.0
2017-04-12,20.38,20.38,19.89,20.07,875312.0,0.0,1.0,20.38,20.38,19.89,20.07,875312.0
2017-04-11,20.42,20.45,20.2,20.41,1003143.0,0.0,1.0,20.42,20.45,20.2,20.41,1003143.0
2017-04-10,20.27,20.51,20.22,20.39,871077.0,0.0,1.0,20.27,20.51,20.22,20.39,871077.0
2017-04-07,20.28,20.42,20.195,20.24,1170814.0,0.0,1.0,20.28,20.42,20.195,20.24,1170814.0
2017-04-06,20.1,20.46,20.03,20.35,1061040.0,0.0,1.0,20.1,20.46,20.03,20.35,1061040.0
2017-04-05,20.42,20.58,20.08,20.09,2235303.0,0.0,1.0,20.42,20.58,20.08,20.09,2235303.0
2017-04-04,20.16,20.51,20.1,20.43,1455111.0,0.0,1.0,20.16,20.51,20.1,20.43,1455111.0
2017-04-03,20.41,20.64,20.04,20.27,1392142.0,0.0,1.0,20.41,20.64,20.04,20.27,1392142.0
2017-03-31,20.31,20.46,20.29,20.38,888739.0,0.0,1.0,20.31,20.46,20.29,20.38,888739.0
2017-03-30,20.09,20.44,20.09,20.36,641183.0,0.0,1.0,20.09,20.44,20.09,20.36,641183.0
