Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,26.6,27.2,25.9,26.15,1067079.0,0.0,1.0,26.6,27.2,25.9,26.15,1067079.0
2018-03-26,25.9,26.7,25.4,26.6,1300831.0,0.0,1.0,25.9,26.7,25.4,26.6,1300831.0
2018-03-23,25.45,26.0,25.05,25.5,1249343.0,0.0,1.0,25.45,26.0,25.05,25.5,1249343.0
2018-03-22,26.0,26.35,25.4,25.4,802604.0,0.0,1.0,26.0,26.35,25.4,25.4,802604.0
2018-03-21,24.95,26.475,24.75,26.3,1185032.0,0.0,1.0,24.95,26.475,24.75,26.3,1185032.0
2018-03-20,24.7,25.1,24.65,24.9,744033.0,0.0,1.0,24.7,25.1,24.65,24.9,744033.0
2018-03-19,25.0,25.2,24.2,24.55,835994.0,0.0,1.0,25.0,25.2,24.2,24.55,835994.0
2018-03-16,24.65,25.6,24.6,25.2,1741817.0,0.0,1.0,24.65,25.6,24.6,25.2,1741817.0
2018-03-15,25.8,25.8,24.2,24.6,747260.0,0.0,1.0,25.8,25.8,24.2,24.6,747260.0
2018-03-14,26.1,26.15,25.45,25.65,685549.0,0.0,1.0,26.1,26.15,25.45,25.65,685549.0
2018-03-13,26.35,26.7,25.625,25.85,988298.0,0.0,1.0,26.35,26.7,25.625,25.85,988298.0
2018-03-12,26.15,26.45,25.8,26.35,547122.0,0.0,1.0,26.15,26.45,25.8,26.35,547122.0
2018-03-09,26.1,26.2,25.75,26.15,673393.0,0.0,1.0,26.1,26.2,25.75,26.15,673393.0
2018-03-08,25.65,25.85,25.25,25.75,668575.0,0.0,1.0,25.65,25.85,25.25,25.75,668575.0
2018-03-07,25.1,25.7,24.8,25.45,1109883.0,0.0,1.0,25.1,25.7,24.8,25.45,1109883.0
2018-03-06,25.5,26.4,25.15,25.4,2287478.0,0.0,1.0,25.5,26.4,25.15,25.4,2287478.0
2018-03-05,24.6,25.75,24.15,25.35,1344334.0,0.0,1.0,24.6,25.75,24.15,25.35,1344334.0
2018-03-02,24.5,24.95,23.65,24.8,2124492.0,0.0,1.0,24.5,24.95,23.65,24.8,2124492.0
2018-03-01,24.65,25.1,24.225,24.85,1437874.0,0.0,1.0,24.65,25.1,24.225,24.85,1437874.0
2018-02-28,25.75,25.875,24.45,24.6,1962509.0,0.0,1.0,25.75,25.875,24.45,24.6,1962509.0
2018-02-27,26.5,27.0,25.45,25.55,1413693.0,0.0,1.0,26.5,27.0,25.45,25.55,1413693.0
2018-02-26,26.6,26.75,26.05,26.6,937968.0,0.0,1.0,26.6,26.75,26.05,26.6,937968.0
2018-02-23,26.25,26.45,25.75,26.4,896813.0,0.0,1.0,26.25,26.45,25.75,26.4,896813.0
2018-02-22,26.05,27.075,25.85,26.0,3860105.0,0.0,1.0,26.05,27.075,25.85,26.0,3860105.0
2018-02-21,27.15,27.95,26.5,26.5,1088676.0,0.0,1.0,27.15,27.95,26.5,26.5,1088676.0
2018-02-20,27.45,27.95,27.175,27.25,649298.0,0.0,1.0,27.45,27.95,27.175,27.25,649298.0
2018-02-16,26.75,27.7,26.65,27.3,1185337.0,0.0,1.0,26.75,27.7,26.65,27.3,1185337.0
2018-02-15,29.5,30.3,26.875,26.95,1299971.0,0.0,1.0,29.5,30.3,26.875,26.95,1299971.0
2018-02-14,27.25,29.1,27.15,28.75,1795788.0,0.0,1.0,27.25,29.1,27.15,28.75,1795788.0
2018-02-13,27.75,28.35,27.6,27.7,1001899.0,0.0,1.0,27.75,28.35,27.6,27.7,1001899.0
2018-02-12,27.95,28.45,27.4,28.1,679152.0,0.0,1.0,27.95,28.45,27.4,28.1,679152.0
2018-02-09,28.6,28.7,26.65,27.55,710336.0,0.0,1.0,28.6,28.7,26.65,27.55,710336.0
2018-02-08,29.45,29.6,28.2,28.2,609933.0,0.0,1.0,29.45,29.6,28.2,28.2,609933.0
2018-02-07,30.2,30.5,29.3,29.45,513958.0,0.0,1.0,30.2,30.5,29.3,29.45,513958.0
2018-02-06,28.95,30.65,28.95,30.25,909815.0,0.0,1.0,28.95,30.65,28.95,30.25,909815.0
2018-02-05,30.55,31.35,29.45,29.6,667078.0,0.0,1.0,30.55,31.35,29.45,29.6,667078.0
2018-02-02,31.8,32.05,30.9,31.0,470758.0,0.0,1.0,31.8,32.05,30.9,31.0,470758.0
2018-02-01,32.0,32.65,31.6,32.3,579694.0,0.0,1.0,32.0,32.65,31.6,32.3,579694.0
2018-01-31,32.8,33.24,31.7,32.0,525786.0,0.0,1.0,32.8,33.24,31.7,32.0,525786.0
2018-01-30,31.8,33.0,31.35,32.8,1280581.0,0.0,1.0,31.8,33.0,31.35,32.8,1280581.0
2018-01-29,32.35,32.65,31.7,32.25,570255.0,0.0,1.0,32.35,32.65,31.7,32.25,570255.0
2018-01-26,32.75,33.5,32.3,32.6,1303021.0,0.0,1.0,32.75,33.5,32.3,32.6,1303021.0
2018-01-25,33.55,33.55,32.6,32.65,1590723.0,0.0,1.0,33.55,33.55,32.6,32.65,1590723.0
2018-01-24,33.55,33.65,32.95,33.5,497689.0,0.0,1.0,33.55,33.65,32.95,33.5,497689.0
2018-01-23,33.55,33.9,32.65,33.35,303267.0,0.0,1.0,33.55,33.9,32.65,33.35,303267.0
2018-01-22,32.9,33.55,32.625,33.45,521751.0,0.0,1.0,32.9,33.55,32.625,33.45,521751.0
2018-01-19,32.2,32.95,32.075,32.8,499221.0,0.0,1.0,32.2,32.95,32.075,32.8,499221.0
2018-01-18,33.45,33.6,32.35,32.45,676904.0,0.0,1.0,33.45,33.6,32.35,32.45,676904.0
