Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,72.02,73.44,71.74,72.72,2683657.0,0.0,1.0,72.02,73.44,71.74,72.72,2683657.0
2018-03-26,70.74,72.01,70.26,71.76,1868396.0,0.0,1.0,70.74,72.01,70.26,71.76,1868396.0
2018-03-23,70.77,71.52,70.09,70.19,1715380.0,0.0,1.0,70.77,71.52,70.09,70.19,1715380.0
2018-03-22,72.03,72.33,70.77,70.8,2268527.0,0.0,1.0,72.03,72.33,70.77,70.8,2268527.0
2018-03-21,72.16,72.7,71.82,72.44,1977930.0,0.0,1.0,72.16,72.7,71.82,72.44,1977930.0
2018-03-20,73.86,74.14,71.885,72.18,2080163.0,0.0,1.0,73.86,74.14,71.885,72.18,2080163.0
2018-03-19,73.84,74.4,73.19,73.56,1846280.0,0.0,1.0,73.84,74.4,73.19,73.56,1846280.0
2018-03-16,73.88,74.665,73.88,73.98,2367651.0,0.0,1.0,73.88,74.665,73.88,73.98,2367651.0
2018-03-15,73.88,74.11,73.05,73.88,2267136.0,0.0,1.0,73.88,74.11,73.05,73.88,2267136.0
2018-03-14,74.14,74.2,73.41,73.96,1731346.0,0.0,1.0,74.14,74.2,73.41,73.96,1731346.0
2018-03-13,73.52,73.95,72.715,73.72,1826376.0,0.0,1.0,73.52,73.95,72.715,73.72,1826376.0
2018-03-12,73.98,74.28,73.31,73.45,2143045.0,0.0,1.0,73.98,74.28,73.31,73.45,2143045.0
2018-03-09,73.59,74.08,73.135,73.73,1980882.0,0.0,1.0,73.59,74.08,73.135,73.73,1980882.0
2018-03-08,73.97,74.03,72.56,73.51,2241458.0,0.0,1.0,73.97,74.03,72.56,73.51,2241458.0
2018-03-07,74.99,75.29,73.59,74.11,3338227.0,0.0,1.0,74.3828754554,74.6804466334,72.9942099582,73.51,3338227.0
2018-03-06,76.13,76.17,74.15,75.34,3455823.0,0.0,1.0,75.5136459317,75.5533220888,73.5496761571,74.7300418297,3455823.0
2018-03-05,75.5,76.37,75.5,75.88,1912517.0,0.0,1.0,74.888746458,75.7517028741,74.888746458,75.2656699501,1912517.0
2018-03-02,75.65,76.56,74.89,75.65,2155331.0,0.0,1.0,75.037532047,75.94016462020001,74.2836850627,75.037532047,2155331.0
2018-03-01,74.76,75.492,73.5,74.85,4389145.0,0.0,1.0,74.15473755229999,74.8808112266,72.9049386048,74.2440089057,4389145.0
2018-02-28,77.38,77.62,76.2,76.23,1898742.0,0.0,1.0,77.38,77.62,76.2,76.23,1898742.0
2018-02-27,78.0,78.28,76.93,76.94,2033923.0,0.0,1.0,78.0,78.28,76.93,76.94,2033923.0
2018-02-26,77.72,78.155,77.32,78.1,1566346.0,0.0,1.0,77.72,78.155,77.32,78.1,1566346.0
2018-02-23,77.18,77.79,76.4,77.31,1645974.0,0.0,1.0,77.18,77.79,76.4,77.31,1645974.0
2018-02-22,77.35,78.03,76.51,76.79,2110593.0,0.0,1.0,77.35,78.03,76.51,76.79,2110593.0
2018-02-21,78.34,79.66,76.96,77.03,3331311.0,0.0,1.0,78.34,79.66,76.96,77.03,3331311.0
2018-02-20,78.58,79.56,77.61,78.36,4630090.0,0.0,1.0,78.58,79.56,77.61,78.36,4630090.0
2018-02-16,77.88,79.28,77.6,78.72,4254540.0,0.0,1.0,77.88,79.28,77.6,78.72,4254540.0
2018-02-15,78.66,79.22,76.05,77.28,6200776.0,0.0,1.0,78.66,79.22,76.05,77.28,6200776.0
2018-02-14,81.61,83.34,81.06,82.78,6821944.0,0.0,1.0,81.61,83.34,81.06,82.78,6821944.0
2018-02-13,78.35,80.91,78.33,79.56,4294407.0,0.0,1.0,78.35,80.91,78.33,79.56,4294407.0
2018-02-12,77.71,79.3,77.52,78.78,5087430.0,0.0,1.0,77.71,79.3,77.52,78.78,5087430.0
2018-02-09,76.25,77.59,74.36,76.95,4298919.0,0.0,1.0,76.25,77.59,74.36,76.95,4298919.0
2018-02-08,75.94,79.19,75.6,75.91,5468887.0,0.0,1.0,75.94,79.19,75.6,75.91,5468887.0
2018-02-07,73.99,76.31,73.64,75.38,2143484.0,0.0,1.0,73.99,76.31,73.64,75.38,2143484.0
2018-02-06,71.97,74.54,71.4,73.78,2897875.0,0.0,1.0,71.97,74.54,71.4,73.78,2897875.0
2018-02-05,74.67,75.66,72.89,72.89,3126586.0,0.0,1.0,74.67,75.66,72.89,72.89,3126586.0
2018-02-02,75.84,76.05,74.66,74.91,2953785.0,0.0,1.0,75.84,76.05,74.66,74.91,2953785.0
2018-02-01,76.22,76.94,75.88,76.19,2207085.0,0.0,1.0,76.22,76.94,75.88,76.19,2207085.0
2018-01-31,77.03,77.38,76.2,76.65,3207103.0,0.0,1.0,77.03,77.38,76.2,76.65,3207103.0
2018-01-30,77.59,78.24,76.75,76.8,2299617.0,0.0,1.0,77.59,78.24,76.75,76.8,2299617.0
2018-01-29,77.2,78.04,76.91,77.4,1695018.0,0.0,1.0,77.2,78.04,76.91,77.4,1695018.0
2018-01-26,76.87,77.75,76.58,77.65,1830354.0,0.0,1.0,76.87,77.75,76.58,77.65,1830354.0
2018-01-25,76.88,77.5,76.2,76.68,3590954.0,0.0,1.0,76.88,77.5,76.2,76.68,3590954.0
2018-01-24,75.65,77.24,75.47,76.58,2368671.0,0.0,1.0,75.65,77.24,75.47,76.58,2368671.0
2018-01-23,76.26,76.26,74.1,75.5,2582694.0,0.0,1.0,76.26,76.26,74.1,75.5,2582694.0
2018-01-22,74.85,76.4,74.775,76.36,1748402.0,0.0,1.0,74.85,76.4,74.775,76.36,1748402.0
2018-01-19,76.0,76.1,74.16,74.96,3044305.0,0.0,1.0,76.0,76.1,74.16,74.96,3044305.0
2018-01-18,74.91,76.185,74.325,76.02,2137951.0,0.0,1.0,74.91,76.185,74.325,76.02,2137951.0
2018-01-17,74.5,75.99,74.21,75.5,1387712.0,0.0,1.0,74.5,75.99,74.21,75.5,1387712.0
2018-01-16,76.25,76.65,74.19,74.32,2347079.0,0.0,1.0,76.25,76.65,74.19,74.32,2347079.0
2018-01-12,74.55,76.11,74.52,75.92,2675111.0,0.0,1.0,74.55,76.11,74.52,75.92,2675111.0
2018-01-11,72.79,74.42,72.655,74.32,1884548.0,0.0,1.0,72.79,74.42,72.655,74.32,1884548.0
2018-01-10,71.9,72.81,71.2,72.7,1854303.0,0.0,1.0,71.9,72.81,71.2,72.7,1854303.0
2018-01-09,72.76,73.15,72.02,72.08,1621002.0,0.0,1.0,72.76,73.15,72.02,72.08,1621002.0
2018-01-08,71.73,72.62,71.26,72.41,1873713.0,0.0,1.0,71.73,72.62,71.26,72.41,1873713.0
2018-01-05,71.39,72.22,70.85,72.17,1840548.0,0.0,1.0,71.39,72.22,70.85,72.17,1840548.0
2018-01-04,70.41,71.23,69.65,71.06,2032717.0,0.0,1.0,70.41,71.23,69.65,71.06,2032717.0
2018-01-03,72.59,72.82,70.2,70.36,3588349.0,0.0,1.0,72.59,72.82,70.2,70.36,3588349.0
2018-01-02,72.66,73.36,71.35,72.77,3049740.0,0.0,1.0,72.66,73.36,71.35,72.77,3049740.0
2017-12-29,73.41,73.83,72.83,72.83,1415152.0,0.0,1.0,73.41,73.83,72.83,72.83,1415152.0
