Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,43.0,43.4,42.3,42.45,316157.0,0.0,1.0,43.0,43.4,42.3,42.45,316157.0
2018-03-26,42.95,43.15,42.0,42.9,180653.0,0.0,1.0,42.95,43.15,42.0,42.9,180653.0
2018-03-23,42.3,42.75,42.0,42.15,271530.0,0.0,1.0,42.3,42.75,42.0,42.15,271530.0
2018-03-22,42.45,43.05,42.075,42.2,163412.0,0.0,1.0,42.45,43.05,42.075,42.2,163412.0
2018-03-21,42.95,43.3,42.65,42.9,125198.0,0.0,1.0,42.95,43.3,42.65,42.9,125198.0
2018-03-20,43.3,43.6,42.5,42.95,122356.0,0.0,1.0,43.3,43.6,42.5,42.95,122356.0
2018-03-19,43.95,44.15,42.45,43.35,207603.0,0.0,1.0,43.95,44.15,42.45,43.35,207603.0
2018-03-16,44.15,44.35,43.6,44.3,498532.0,0.0,1.0,44.15,44.35,43.6,44.3,498532.0
2018-03-15,44.1,44.7,44.1,44.25,191609.0,0.0,1.0,44.1,44.7,44.1,44.25,191609.0
2018-03-14,44.85,44.85,43.65,44.1,147460.0,0.0,1.0,44.85,44.85,43.65,44.1,147460.0
2018-03-13,45.75,45.75,44.4,44.55,270313.0,0.0,1.0,45.75,45.75,44.4,44.55,270313.0
2018-03-12,44.35,45.7,44.25,45.55,233999.0,0.0,1.0,44.35,45.7,44.25,45.55,233999.0
2018-03-09,43.95,44.7712,43.05,44.4,122899.0,0.0,1.0,43.95,44.7712,43.05,44.4,122899.0
2018-03-08,44.5,44.7,43.5,43.7,130282.0,0.0,1.0,44.5,44.7,43.5,43.7,130282.0
2018-03-07,44.3,44.95,44.3,44.45,362321.0,0.0,1.0,44.3,44.95,44.3,44.45,362321.0
2018-03-06,44.05,44.95,43.75,44.75,330136.0,0.0,1.0,44.05,44.95,43.75,44.75,330136.0
2018-03-05,42.55,44.05,42.5,43.9,206097.0,0.0,1.0,42.55,44.05,42.5,43.9,206097.0
2018-03-02,42.1,42.9,41.9,42.7,327743.0,0.0,1.0,42.1,42.9,41.9,42.7,327743.0
2018-03-01,43.75,44.15,41.25,42.45,405766.0,0.0,1.0,43.75,44.15,41.25,42.45,405766.0
2018-02-28,45.1,45.5,43.6,43.65,403755.0,0.0,1.0,45.1,45.5,43.6,43.65,403755.0
2018-02-27,45.25,45.5,44.8,44.8,311383.0,0.0,1.0,45.25,45.5,44.8,44.8,311383.0
2018-02-26,44.2,45.3,44.15,45.1,259916.0,0.0,1.0,44.2,45.3,44.15,45.1,259916.0
2018-02-23,44.6,44.75,44.15,44.2,251990.0,0.0,1.0,44.6,44.75,44.15,44.2,251990.0
2018-02-22,43.6,44.65,43.6,44.2,313074.0,0.0,1.0,43.6,44.65,43.6,44.2,313074.0
2018-02-21,43.8,44.45,43.55,43.55,317943.0,0.0,1.0,43.8,44.45,43.55,43.55,317943.0
2018-02-20,43.65,44.75,43.55,43.85,361655.0,0.0,1.0,43.65,44.75,43.55,43.85,361655.0
2018-02-16,44.0,44.575,43.405,44.05,365511.0,0.0,1.0,44.0,44.575,43.405,44.05,365511.0
2018-02-15,43.4,44.35,43.1,44.25,324012.0,0.0,1.0,43.4,44.35,43.1,44.25,324012.0
