Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,3.28,3.3402,3.15,3.25,219495.0,0.0,1.0,3.28,3.3402,3.15,3.25,219495.0
2018-03-26,3.06,3.34,2.928,3.32,273497.0,0.0,1.0,3.06,3.34,2.928,3.32,273497.0
2018-03-23,2.87,3.03,2.81,2.92,98819.0,0.0,1.0,2.87,3.03,2.81,2.92,98819.0
2018-03-22,2.9,3.02,2.86,2.86,163505.0,0.0,1.0,2.9,3.02,2.86,2.86,163505.0
2018-03-21,2.95,3.03,2.92,2.97,200547.0,0.0,1.0,2.95,3.03,2.92,2.97,200547.0
2018-03-20,2.95,3.03,2.86,2.96,200693.0,0.0,1.0,2.95,3.03,2.86,2.96,200693.0
2018-03-19,3.02,3.03,2.7,2.93,346170.0,0.0,1.0,3.02,3.03,2.7,2.93,346170.0
2018-03-16,2.9,3.03,2.88,2.98,158604.0,0.0,1.0,2.9,3.03,2.88,2.98,158604.0
2018-03-15,3.0,3.15,2.89,2.93,161207.0,0.0,1.0,3.0,3.15,2.89,2.93,161207.0
2018-03-14,3.11,3.1872,2.83,2.97,230296.0,0.0,1.0,3.11,3.1872,2.83,2.97,230296.0
2018-03-13,3.15,3.24,3.05,3.11,181988.0,0.0,1.0,3.15,3.24,3.05,3.11,181988.0
2018-03-12,3.26,3.54,3.09,3.14,531465.0,0.0,1.0,3.26,3.54,3.09,3.14,531465.0
2018-03-09,3.2,3.62,3.1,3.29,1181293.0,0.0,1.0,3.2,3.62,3.1,3.29,1181293.0
2018-03-08,2.87,3.15,2.8508,3.08,363603.0,0.0,1.0,2.87,3.15,2.8508,3.08,363603.0
2018-03-07,2.87,2.9682,2.75,2.88,188166.0,0.0,1.0,2.87,2.9682,2.75,2.88,188166.0
2018-03-06,2.54,2.95,2.54,2.9,447208.0,0.0,1.0,2.54,2.95,2.54,2.9,447208.0
2018-03-05,2.48,2.6002,2.4,2.55,61554.0,0.0,1.0,2.48,2.6002,2.4,2.55,61554.0
2018-03-02,2.42,2.55,2.41,2.49,122990.0,0.0,1.0,2.42,2.55,2.41,2.49,122990.0
2018-03-01,2.32,2.53,2.25,2.43,152960.0,0.0,1.0,2.32,2.53,2.25,2.43,152960.0
2018-02-28,2.34,2.35,2.28,2.33,73224.0,0.0,1.0,2.34,2.35,2.28,2.33,73224.0
2018-02-27,2.29,2.35,2.23,2.33,129456.0,0.0,1.0,2.29,2.35,2.23,2.33,129456.0
2018-02-26,2.18,2.33,2.16,2.29,161120.0,0.0,1.0,2.18,2.33,2.16,2.29,161120.0
2018-02-23,2.19,2.2,2.05,2.16,122141.0,0.0,1.0,2.19,2.2,2.05,2.16,122141.0
2018-02-22,2.24,2.24,2.1,2.16,208747.0,0.0,1.0,2.24,2.24,2.1,2.16,208747.0
2018-02-21,2.19,2.31,2.14,2.23,184419.0,0.0,1.0,2.19,2.31,2.14,2.23,184419.0
2018-02-20,2.23,2.35,2.17,2.19,197322.0,0.0,1.0,2.23,2.35,2.17,2.19,197322.0
2018-02-16,2.1,2.3,2.1,2.25,146476.0,0.0,1.0,2.1,2.3,2.1,2.25,146476.0
2018-02-15,2.08,2.15,2.0,2.1,107551.0,0.0,1.0,2.08,2.15,2.0,2.1,107551.0
2018-02-14,2.04,2.1,2.03,2.07,73405.0,0.0,1.0,2.04,2.1,2.03,2.07,73405.0
2018-02-13,2.04,2.08,2.0,2.06,84267.0,0.0,1.0,2.04,2.08,2.0,2.06,84267.0
2018-02-12,1.95,2.07,1.89,2.04,171015.0,0.0,1.0,1.95,2.07,1.89,2.04,171015.0
2018-02-09,1.99,2.03,1.74,1.92,305447.0,0.0,1.0,1.99,2.03,1.74,1.92,305447.0
2018-02-08,2.14,2.18,1.91,1.97,271388.0,0.0,1.0,2.14,2.18,1.91,1.97,271388.0
2018-02-07,2.02,2.1789,2.01,2.12,135997.0,0.0,1.0,2.02,2.1789,2.01,2.12,135997.0
2018-02-06,2.1,2.13,1.99,2.02,339556.0,0.0,1.0,2.1,2.13,1.99,2.02,339556.0
2018-02-05,2.31,2.32,2.08,2.095,434728.0,0.0,1.0,2.31,2.32,2.08,2.095,434728.0
2018-02-02,2.4,2.44,2.3,2.32,241021.0,0.0,1.0,2.4,2.44,2.3,2.32,241021.0
2018-02-01,2.48,2.62,2.36,2.42,278276.0,0.0,1.0,2.48,2.62,2.36,2.42,278276.0
2018-01-31,2.57,2.6,2.38,2.5,342628.0,0.0,1.0,2.57,2.6,2.38,2.5,342628.0
2018-01-30,2.64,2.64,2.5,2.54,178759.0,0.0,1.0,2.64,2.64,2.5,2.54,178759.0
2018-01-29,2.85,2.88,2.63,2.64,304944.0,0.0,1.0,2.85,2.88,2.63,2.64,304944.0
2018-01-26,2.92,2.93,2.82,2.85,454082.0,0.0,1.0,2.92,2.93,2.82,2.85,454082.0
2018-01-25,2.89,2.96,2.85,2.89,202548.0,0.0,1.0,2.89,2.96,2.85,2.89,202548.0
2018-01-24,2.92,2.95,2.8,2.88,187915.0,0.0,1.0,2.92,2.95,2.8,2.88,187915.0
2018-01-23,2.88,2.99,2.84,2.92,327326.0,0.0,1.0,2.88,2.99,2.84,2.92,327326.0
2018-01-22,2.87,2.97,2.87,2.88,106015.0,0.0,1.0,2.87,2.97,2.87,2.88,106015.0
2018-01-19,2.86,3.05,2.84,2.87,188082.0,0.0,1.0,2.86,3.05,2.84,2.87,188082.0
2018-01-18,2.99,2.99,2.87,2.88,84405.0,0.0,1.0,2.99,2.99,2.87,2.88,84405.0
2018-01-17,2.92,3.06,2.85,2.98,182023.0,0.0,1.0,2.92,3.06,2.85,2.98,182023.0
2018-01-16,3.11,3.15,2.85,2.9,263608.0,0.0,1.0,3.11,3.15,2.85,2.9,263608.0
2018-01-12,3.09,3.21,2.95,3.07,371031.0,0.0,1.0,3.09,3.21,2.95,3.07,371031.0
2018-01-11,2.95,3.29,2.95,3.06,303898.0,0.0,1.0,2.95,3.29,2.95,3.06,303898.0
2018-01-10,2.96,3.1,2.95,2.995,341447.0,0.0,1.0,2.96,3.1,2.95,2.995,341447.0
2018-01-09,3.35,3.4,2.95,2.985,486504.0,0.0,1.0,3.35,3.4,2.95,2.985,486504.0
2018-01-08,3.78,3.78,3.33,3.335,442465.0,0.0,1.0,3.78,3.78,3.33,3.335,442465.0
2018-01-05,3.94,3.97,3.62,3.79,328481.0,0.0,1.0,3.94,3.97,3.62,3.79,328481.0
2018-01-04,3.92,4.07,3.8,3.98,81984.0,0.0,1.0,3.92,4.07,3.8,3.98,81984.0
2018-01-03,3.94,4.04,3.9,3.9,75423.0,0.0,1.0,3.94,4.04,3.9,3.9,75423.0
2018-01-02,4.11,4.2,3.85,3.91,117425.0,0.0,1.0,4.11,4.2,3.85,3.91,117425.0
2017-12-29,3.76,4.2,3.76,4.1,210437.0,0.0,1.0,3.76,4.2,3.76,4.1,210437.0
2017-12-28,3.61,3.85,3.61,3.76,164026.0,0.0,1.0,3.61,3.85,3.61,3.76,164026.0
2017-12-27,3.68,3.8184,3.6,3.63,159957.0,0.0,1.0,3.68,3.8184,3.6,3.63,159957.0
2017-12-26,3.65,3.74,3.61,3.68,164545.0,0.0,1.0,3.65,3.74,3.61,3.68,164545.0
2017-12-22,3.68,3.74,3.6,3.66,148036.0,0.0,1.0,3.68,3.74,3.6,3.66,148036.0
2017-12-21,3.78,3.83,3.63,3.67,154075.0,0.0,1.0,3.78,3.83,3.63,3.67,154075.0
2017-12-20,3.88,3.91,3.78,3.8,120885.0,0.0,1.0,3.88,3.91,3.78,3.8,120885.0
2017-12-19,3.93,3.98,3.77,3.85,242973.0,0.0,1.0,3.93,3.98,3.77,3.85,242973.0
2017-12-18,4.01,4.0987,3.83,3.95,218271.0,0.0,1.0,4.01,4.0987,3.83,3.95,218271.0
2017-12-15,3.9,3.99,3.76,3.97,864290.0,0.0,1.0,3.9,3.99,3.76,3.97,864290.0
2017-12-14,4.05,4.15,3.81,3.89,315896.0,0.0,1.0,4.05,4.15,3.81,3.89,315896.0
2017-12-13,3.94,4.26,3.9389,4.07,378728.0,0.0,1.0,3.94,4.26,3.9389,4.07,378728.0
2017-12-12,4.63,4.65,3.92,3.92,397644.0,0.0,1.0,4.63,4.65,3.92,3.92,397644.0
2017-12-11,5.07,5.07,4.54,4.64,351255.0,0.0,1.0,5.07,5.07,4.54,4.64,351255.0
2017-12-08,4.97,5.19,4.9,5.05,285805.0,0.0,1.0,4.97,5.19,4.9,5.05,285805.0
2017-12-07,4.66,5.08,4.6,4.97,271235.0,0.0,1.0,4.66,5.08,4.6,4.97,271235.0
2017-12-06,4.64,4.88,4.55,4.62,153149.0,0.0,1.0,4.64,4.88,4.55,4.62,153149.0
2017-12-05,4.62,4.93,4.58,4.63,195833.0,0.0,1.0,4.62,4.93,4.58,4.63,195833.0
2017-12-04,4.96,5.13,4.58,4.58,126973.0,0.0,1.0,4.96,5.13,4.58,4.58,126973.0
2017-12-01,4.84,4.99,4.76,4.9,202164.0,0.0,1.0,4.84,4.99,4.76,4.9,202164.0
2017-11-30,4.96,5.02,4.75,4.96,232858.0,0.0,1.0,4.96,5.02,4.75,4.96,232858.0
2017-11-29,5.0,5.2,4.91,5.04,90124.0,0.0,1.0,5.0,5.2,4.91,5.04,90124.0
2017-11-28,4.88,5.02,4.75,4.99,153493.0,0.0,1.0,4.88,5.02,4.75,4.99,153493.0
2017-11-27,5.14,5.25,4.84,4.87,183196.0,0.0,1.0,5.14,5.25,4.84,4.87,183196.0
2017-11-24,4.98,5.12,4.77,5.1,77157.0,0.0,1.0,4.98,5.12,4.77,5.1,77157.0
2017-11-22,4.57,4.98,4.5432,4.95,108891.0,0.0,1.0,4.57,4.98,4.5432,4.95,108891.0
2017-11-21,4.8,4.84,4.55,4.57,86898.0,0.0,1.0,4.8,4.84,4.55,4.57,86898.0
2017-11-20,5.23,5.47,4.77,4.81,134008.0,0.0,1.0,5.23,5.47,4.77,4.81,134008.0
2017-11-17,5.2,5.34,5.0201,5.21,166347.0,0.0,1.0,5.2,5.34,5.0201,5.21,166347.0
2017-11-16,5.1,5.56,5.05,5.27,304684.0,0.0,1.0,5.1,5.56,5.05,5.27,304684.0
2017-11-15,4.99,5.23,4.89,5.07,86960.0,0.0,1.0,4.99,5.23,4.89,5.07,86960.0
2017-11-14,4.75,5.31,4.74,5.0,181233.0,0.0,1.0,4.75,5.31,4.74,5.0,181233.0
2017-11-13,4.81,4.84,4.4910000000000005,4.75,143662.0,0.0,1.0,4.81,4.84,4.4910000000000005,4.75,143662.0
2017-11-10,4.65,4.96,4.64,4.87,193326.0,0.0,1.0,4.65,4.96,4.64,4.87,193326.0
2017-11-09,4.44,4.8,4.14,4.73,143293.0,0.0,1.0,4.44,4.8,4.14,4.73,143293.0
2017-11-07,4.95,5.0899,4.7410000000000005,4.9,198538.0,0.0,1.0,4.95,5.0899,4.7410000000000005,4.9,198538.0
2017-11-06,4.44,5.0,4.44,4.93,182778.0,0.0,1.0,4.44,5.0,4.44,4.93,182778.0
2017-11-03,4.08,4.58,3.5,4.51,127106.0,0.0,1.0,4.08,4.58,3.5,4.51,127106.0
2017-11-02,4.12,4.49,3.83,4.38,210366.0,0.0,1.0,4.12,4.49,3.83,4.38,210366.0
2017-11-01,4.03,4.2,3.95,4.19,161955.0,0.0,1.0,4.03,4.2,3.95,4.19,161955.0
2017-10-31,3.78,4.06,3.78,4.03,131402.0,0.0,1.0,3.78,4.06,3.78,4.03,131402.0
2017-10-30,3.76,3.92,3.71,3.79,173760.0,0.0,1.0,3.76,3.92,3.71,3.79,173760.0
2017-10-27,3.52,3.77,3.47,3.76,117760.0,0.0,1.0,3.52,3.77,3.47,3.76,117760.0
2017-10-26,3.69,3.765,3.5129,3.54,71231.0,0.0,1.0,3.69,3.765,3.5129,3.54,71231.0
2017-10-25,3.89,3.89,3.511,3.7,187416.0,0.0,1.0,3.89,3.89,3.511,3.7,187416.0
2017-10-24,3.77,3.95,3.765,3.92,100827.0,0.0,1.0,3.77,3.95,3.765,3.92,100827.0
2017-10-23,3.76,3.83,3.6802,3.78,118416.0,0.0,1.0,3.76,3.83,3.6802,3.78,118416.0
2017-10-20,3.8,3.85,3.66,3.76,104777.0,0.0,1.0,3.8,3.85,3.66,3.76,104777.0
2017-10-19,3.75,3.915,3.74,3.77,159318.0,0.0,1.0,3.75,3.915,3.74,3.77,159318.0
2017-10-18,3.84,3.98,3.74,3.77,112203.0,0.0,1.0,3.84,3.98,3.74,3.77,112203.0
2017-10-17,4.02,4.13,3.76,3.8,146702.0,0.0,1.0,4.02,4.13,3.76,3.8,146702.0
2017-10-16,4.33,4.34,3.9572,3.98,154922.0,0.0,1.0,4.33,4.34,3.9572,3.98,154922.0
2017-10-13,4.41,4.455,4.18,4.29,187255.0,0.0,1.0,4.41,4.455,4.18,4.29,187255.0
2017-10-12,4.36,4.52,4.24,4.41,113060.0,0.0,1.0,4.36,4.52,4.24,4.41,113060.0
2017-10-11,4.21,4.59,4.09,4.43,183855.0,0.0,1.0,4.21,4.59,4.09,4.43,183855.0
2017-10-10,4.43,4.47,4.06,4.24,229948.0,0.0,1.0,4.43,4.47,4.06,4.24,229948.0
2017-10-09,4.33,4.56,4.2295,4.46,158050.0,0.0,1.0,4.33,4.56,4.2295,4.46,158050.0
2017-10-06,4.42,4.5,4.14,4.36,208629.0,0.0,1.0,4.42,4.5,4.14,4.36,208629.0
2017-10-05,4.31,4.55,4.31,4.45,164789.0,0.0,1.0,4.31,4.55,4.31,4.45,164789.0
2017-10-04,4.3,4.45,4.27,4.34,109734.0,0.0,1.0,4.3,4.45,4.27,4.34,109734.0
2017-10-03,4.16,4.48,4.16,4.36,167974.0,0.0,1.0,4.16,4.48,4.16,4.36,167974.0
2017-10-02,4.5,4.6,4.18,4.24,234631.0,0.0,1.0,4.5,4.6,4.18,4.24,234631.0
2017-09-29,4.53,4.65,4.5,4.52,79806.0,0.0,1.0,4.53,4.65,4.5,4.52,79806.0
2017-09-28,4.52,4.6,4.5,4.55,108376.0,0.0,1.0,4.52,4.6,4.5,4.55,108376.0
2017-09-27,4.56,4.7,4.5,4.54,91395.0,0.0,1.0,4.56,4.7,4.5,4.54,91395.0
2017-09-26,4.56,4.63,4.5,4.55,59500.0,0.0,1.0,4.56,4.63,4.5,4.55,59500.0
2017-09-25,4.42,4.625,4.42,4.58,205738.0,0.0,1.0,4.42,4.625,4.42,4.58,205738.0
2017-09-22,4.37,4.52,4.345,4.47,140920.0,0.0,1.0,4.37,4.52,4.345,4.47,140920.0
2017-09-21,4.59,4.59,4.35,4.41,153809.0,0.0,1.0,4.59,4.59,4.35,4.41,153809.0
2017-09-20,4.55,4.7,4.481,4.59,141388.0,0.0,1.0,4.55,4.7,4.481,4.59,141388.0
2017-09-19,4.63,4.73,4.35,4.61,130563.0,0.0,1.0,4.63,4.73,4.35,4.61,130563.0
2017-09-18,4.57,4.95,4.565,4.63,191678.0,0.0,1.0,4.57,4.95,4.565,4.63,191678.0
2017-09-15,4.5,4.63,4.485,4.59,238273.0,0.0,1.0,4.5,4.63,4.485,4.59,238273.0
2017-09-14,4.58,4.69,4.46,4.54,75334.0,0.0,1.0,4.58,4.69,4.46,4.54,75334.0
2017-09-13,4.51,4.78,4.45,4.59,354816.0,0.0,1.0,4.51,4.78,4.45,4.59,354816.0
2017-09-12,4.55,4.6,4.3701,4.51,93229.0,0.0,1.0,4.55,4.6,4.3701,4.51,93229.0
2017-09-11,4.54,4.65,4.4189,4.55,106385.0,0.0,1.0,4.54,4.65,4.4189,4.55,106385.0
2017-09-08,4.54,4.69,4.35,4.5,151482.0,0.0,1.0,4.54,4.69,4.35,4.5,151482.0
2017-09-07,4.57,4.67,4.52,4.6,72723.0,0.0,1.0,4.57,4.67,4.52,4.6,72723.0
2017-09-06,4.68,4.69,4.51,4.6,100252.0,0.0,1.0,4.68,4.69,4.51,4.6,100252.0
2017-09-05,4.91,4.91,4.5,4.62,174974.0,0.0,1.0,4.91,4.91,4.5,4.62,174974.0
2017-09-01,4.94,5.04,4.8,4.88,142627.0,0.0,1.0,4.94,5.04,4.8,4.88,142627.0
2017-08-31,4.85,5.05,4.73,4.97,347258.0,0.0,1.0,4.85,5.05,4.73,4.97,347258.0
2017-08-30,4.47,4.89,4.0,4.87,246620.0,0.0,1.0,4.47,4.89,4.0,4.87,246620.0
2017-08-29,4.47,4.62,4.47,4.56,101132.0,0.0,1.0,4.47,4.62,4.47,4.56,101132.0
2017-08-28,4.36,4.69,4.36,4.58,242150.0,0.0,1.0,4.36,4.69,4.36,4.58,242150.0
