Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,10.65,10.7,10.45,10.45,134125.0,0.0,1.0,10.65,10.7,10.45,10.45,134125.0
2018-03-26,10.55,10.8,10.5,10.65,98740.0,0.0,1.0,10.55,10.8,10.5,10.65,98740.0
2018-03-23,10.75,10.75,10.35,10.4,141591.0,0.0,1.0,10.75,10.75,10.35,10.4,141591.0
2018-03-22,10.85,11.0,10.65,10.7,140983.0,0.0,1.0,10.85,11.0,10.65,10.7,140983.0
2018-03-21,10.95,11.05,10.8,10.95,79609.0,0.0,1.0,10.95,11.05,10.8,10.95,79609.0
2018-03-20,11.1,11.1,10.8,10.9,85496.0,0.0,1.0,11.1,11.1,10.8,10.9,85496.0
2018-03-19,11.05,11.1,10.65,11.0,120590.0,0.0,1.0,11.05,11.1,10.65,11.0,120590.0
2018-03-16,10.85,11.25,10.8,11.05,315866.0,0.0,1.0,10.85,11.25,10.8,11.05,315866.0
2018-03-15,10.85,11.05,10.75,10.9,123433.0,0.0,1.0,10.85,11.05,10.75,10.9,123433.0
2018-03-14,11.0,11.15,10.65,10.8,122732.0,0.0,1.0,11.0,11.15,10.65,10.8,122732.0
2018-03-13,10.75,11.15,10.75,10.95,247650.0,0.0,1.0,10.75,11.15,10.75,10.95,247650.0
2018-03-12,10.95,10.95,10.675,10.75,142513.0,0.0,1.0,10.95,10.95,10.675,10.75,142513.0
2018-03-09,10.8,11.0,10.6,11.0,114494.0,0.0,1.0,10.8,11.0,10.6,11.0,114494.0
2018-03-08,10.7,10.85,10.5,10.75,67394.0,0.0,1.0,10.7,10.85,10.5,10.75,67394.0
2018-03-07,10.65,10.8,10.4,10.7,102578.0,0.0,1.0,10.65,10.8,10.4,10.7,102578.0
2018-03-06,10.45,10.755,10.1,10.65,137353.0,0.0,1.0,10.45,10.755,10.1,10.65,137353.0
2018-03-05,10.55,10.7,10.3,10.4,91026.0,0.0,1.0,10.55,10.7,10.3,10.4,91026.0
2018-03-02,10.2,10.6,10.1,10.6,167055.0,0.0,1.0,10.2,10.6,10.1,10.6,167055.0
2018-03-01,10.05,10.295,10.05,10.2,357523.0,0.0,1.0,10.05,10.295,10.05,10.2,357523.0
2018-02-28,10.3,10.35,10.05,10.1,205490.0,0.0,1.0,10.3,10.35,10.05,10.1,205490.0
2018-02-27,10.35,10.4,10.3,10.35,84140.0,0.0,1.0,10.35,10.4,10.3,10.35,84140.0
2018-02-26,10.45,10.5,10.15,10.35,115919.0,0.0,1.0,10.45,10.5,10.15,10.35,115919.0
2018-02-23,10.55,10.55,10.35,10.5,48618.0,0.0,1.0,10.55,10.55,10.35,10.5,48618.0
2018-02-22,10.3,10.55,10.3,10.5,89975.0,0.0,1.0,10.3,10.55,10.3,10.5,89975.0
2018-02-21,10.3,10.6,10.3,10.3,63556.0,0.0,1.0,10.3,10.6,10.3,10.3,63556.0
