Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,11.82,11.88,11.52,11.61,97117.0,0.0,1.0,11.82,11.88,11.52,11.61,97117.0
2018-03-26,11.87,11.955,11.56,11.8,141288.0,0.0,1.0,11.87,11.955,11.56,11.8,141288.0
2018-03-23,12.23,12.23,11.62,11.7,158965.0,0.0,1.0,12.23,12.23,11.62,11.7,158965.0
2018-03-22,12.24,12.56,12.15,12.19,169726.0,0.0,1.0,12.24,12.56,12.15,12.19,169726.0
2018-03-21,12.18,12.561,12.18,12.35,86113.0,0.0,1.0,12.18,12.561,12.18,12.35,86113.0
2018-03-20,12.36,12.47,12.0,12.18,160673.0,0.0,1.0,12.36,12.47,12.0,12.18,160673.0
2018-03-19,12.47,12.47,12.11,12.35,123957.0,0.0,1.0,12.47,12.47,12.11,12.35,123957.0
2018-03-16,12.05,12.55,12.01,12.5,422762.0,0.0,1.0,12.05,12.55,12.01,12.5,422762.0
2018-03-15,12.43,12.53,12.03,12.05,164626.0,0.0,1.0,12.43,12.53,12.03,12.05,164626.0
2018-03-14,12.31,12.53,12.16,12.42,231704.0,0.0,1.0,12.31,12.53,12.16,12.42,231704.0
2018-03-13,12.55,12.64,12.19,12.23,116354.0,0.0,1.0,12.55,12.64,12.19,12.23,116354.0
2018-03-12,12.27,12.7,12.27,12.55,243290.0,0.0,1.0,12.27,12.7,12.27,12.55,243290.0
2018-03-09,12.5,12.565,12.2,12.27,121254.0,0.0,1.0,12.5,12.565,12.2,12.27,121254.0
2018-03-08,12.23,12.61,12.17,12.47,162395.0,0.0,1.0,12.23,12.61,12.17,12.47,162395.0
2018-03-07,11.99,12.43,11.99,12.21,158532.0,0.0,1.0,11.99,12.43,11.99,12.21,158532.0
2018-03-06,11.87,12.18,11.84,12.07,129989.0,0.0,1.0,11.87,12.18,11.84,12.07,129989.0
2018-03-05,11.5,12.065,11.4,11.83,333854.0,0.0,1.0,11.5,12.065,11.4,11.83,333854.0
2018-03-02,11.18,11.72,11.11,11.51,414683.0,0.0,1.0,11.18,11.72,11.11,11.51,414683.0
2018-03-01,11.18,11.39,11.07,11.26,393132.0,0.0,1.0,11.18,11.39,11.07,11.26,393132.0
2018-02-28,11.36,11.39,11.14,11.14,359387.0,0.0,1.0,11.36,11.39,11.14,11.14,359387.0
2018-02-27,11.78,11.81,11.29,11.35,311015.0,0.0,1.0,11.78,11.81,11.29,11.35,311015.0
2018-02-26,11.81,11.94,11.69,11.76,219824.0,0.0,1.0,11.81,11.94,11.69,11.76,219824.0
2018-02-23,11.54,11.8,11.41,11.78,151355.0,0.0,1.0,11.54,11.8,11.41,11.78,151355.0
2018-02-22,11.8,11.86,11.49,11.5,182504.0,0.0,1.0,11.8,11.86,11.49,11.5,182504.0
2018-02-21,11.32,12.12,11.32,11.77,392896.0,0.0,1.0,11.32,12.12,11.32,11.77,392896.0
2018-02-20,11.56,11.69,11.205,11.3,475775.0,0.0,1.0,11.56,11.69,11.205,11.3,475775.0
2018-02-16,12.8,13.25,11.485,11.66,1064405.0,0.0,1.0,12.8,13.25,11.485,11.66,1064405.0
2018-02-15,13.25,13.98,13.08,13.61,448699.0,0.0,1.0,13.25,13.98,13.08,13.61,448699.0
2018-02-14,12.68,13.22,12.54,13.12,214157.0,0.0,1.0,12.68,13.22,12.54,13.12,214157.0
2018-02-13,12.95,12.96,12.7,12.79,109779.0,0.0,1.0,12.95,12.96,12.7,12.79,109779.0
2018-02-12,12.98,13.13,12.79,12.97,155557.0,0.0,1.0,12.98,13.13,12.79,12.97,155557.0
