Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,2.93,3.005,2.86,2.86,1596458.0,0.0,1.0,2.93,3.005,2.86,2.86,1596458.0
2018-03-26,2.92,2.95,2.83,2.94,1263262.0,0.0,1.0,2.92,2.95,2.83,2.94,1263262.0
2018-03-23,3.01,3.02,2.89,2.9,1295003.0,0.0,1.0,3.01,3.02,2.89,2.9,1295003.0
2018-03-22,2.95,3.04,2.91,2.98,1321732.0,0.0,1.0,2.95,3.04,2.91,2.98,1321732.0
2018-03-21,2.79,2.98,2.79,2.96,1187775.0,0.0,1.0,2.79,2.98,2.79,2.96,1187775.0
2018-03-20,2.92,2.92,2.78,2.81,970794.0,0.0,1.0,2.92,2.92,2.78,2.81,970794.0
2018-03-19,2.86,2.95,2.85,2.92,1409295.0,0.0,1.0,2.86,2.95,2.85,2.92,1409295.0
2018-03-16,2.91,2.96,2.84,2.86,4323006.0,0.0,1.0,2.91,2.96,2.84,2.86,4323006.0
2018-03-15,3.02,3.07,2.93,2.96,1901581.0,0.0,1.0,3.02,3.07,2.93,2.96,1901581.0
2018-03-14,3.12,3.15,2.99,3.01,1588691.0,0.0,1.0,3.12,3.15,2.99,3.01,1588691.0
2018-03-13,3.04,3.1,3.02,3.09,1861832.0,0.0,1.0,3.04,3.1,3.02,3.09,1861832.0
2018-03-12,3.07,3.1,2.96,3.0,1812777.0,0.0,1.0,3.07,3.1,2.96,3.0,1812777.0
2018-03-09,3.07,3.16,2.83,3.04,8186710.0,0.0,1.0,3.07,3.16,2.83,3.04,8186710.0
2018-03-08,2.56,2.67,2.53,2.65,2324273.0,0.0,1.0,2.56,2.67,2.53,2.65,2324273.0
2018-03-07,2.5,2.57,2.48,2.56,1225582.0,0.0,1.0,2.5,2.57,2.48,2.56,1225582.0
2018-03-06,2.44,2.54,2.42,2.52,1366947.0,0.0,1.0,2.44,2.54,2.42,2.52,1366947.0
2018-03-05,2.51,2.545,2.33,2.42,3372435.0,0.0,1.0,2.51,2.545,2.33,2.42,3372435.0
2018-03-02,2.41,2.54,2.39,2.54,1410163.0,0.0,1.0,2.41,2.54,2.39,2.54,1410163.0
2018-03-01,2.4,2.43,2.33,2.43,2100734.0,0.0,1.0,2.4,2.43,2.33,2.43,2100734.0
2018-02-28,2.45,2.55,2.4,2.4,1115190.0,0.0,1.0,2.45,2.55,2.4,2.4,1115190.0
2018-02-27,2.56,2.59,2.43,2.46,1434659.0,0.0,1.0,2.56,2.59,2.43,2.46,1434659.0
2018-02-26,2.51,2.585,2.45,2.56,1327682.0,0.0,1.0,2.51,2.585,2.45,2.56,1327682.0
2018-02-23,2.51,2.559,2.46,2.48,855671.0,0.0,1.0,2.51,2.559,2.46,2.48,855671.0
2018-02-22,2.58,2.59,2.49,2.5,915453.0,0.0,1.0,2.58,2.59,2.49,2.5,915453.0
2018-02-21,2.47,2.64,2.45,2.55,1693615.0,0.0,1.0,2.47,2.64,2.45,2.55,1693615.0
2018-02-20,2.47,2.5,2.43,2.45,1417946.0,0.0,1.0,2.47,2.5,2.43,2.45,1417946.0
2018-02-16,2.48,2.51,2.46,2.47,728066.0,0.0,1.0,2.48,2.51,2.46,2.47,728066.0
2018-02-15,2.51,2.51,2.46,2.48,842521.0,0.0,1.0,2.51,2.51,2.46,2.48,842521.0
2018-02-14,2.42,2.5,2.42,2.48,749147.0,0.0,1.0,2.42,2.5,2.42,2.48,749147.0
2018-02-13,2.42,2.48,2.4,2.43,1061340.0,0.0,1.0,2.42,2.48,2.4,2.43,1061340.0
2018-02-12,2.41,2.48,2.3707,2.42,1431580.0,0.0,1.0,2.41,2.48,2.3707,2.42,1431580.0
