Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,17.05,17.38,16.87,17.15,1040006.0,0.0,1.0,17.05,17.38,16.87,17.15,1040006.0
2018-03-26,16.91,17.06,16.85,17.04,1405449.0,0.0,1.0,16.91,17.06,16.85,17.04,1405449.0
2018-03-23,17.58,17.66,16.69,16.78,1902657.0,0.0,1.0,17.58,17.66,16.69,16.78,1902657.0
2018-03-22,17.51,18.035,17.5,17.59,2325068.0,0.0,1.0,17.51,18.035,17.5,17.59,2325068.0
2018-03-21,17.75,17.77,17.46,17.6,1646758.0,0.0,1.0,17.75,17.77,17.46,17.6,1646758.0
2018-03-20,17.78,17.96,17.67,17.76,1440145.0,0.0,1.0,17.78,17.96,17.67,17.76,1440145.0
2018-03-19,17.83,17.88,17.575,17.8,1638970.0,0.0,1.0,17.83,17.88,17.575,17.8,1638970.0
2018-03-16,17.63,17.99,17.58,17.88,3825726.0,0.0,1.0,17.63,17.99,17.58,17.88,3825726.0
2018-03-15,17.64,17.66,17.46,17.63,2145348.0,0.0,1.0,17.64,17.66,17.46,17.63,2145348.0
2018-03-14,17.63,17.69,17.475,17.54,1486874.0,0.0,1.0,17.63,17.69,17.475,17.54,1486874.0
2018-03-13,17.84,17.89,17.355,17.64,2380494.0,0.0,1.0,17.84,17.89,17.355,17.64,2380494.0
2018-03-12,17.92,18.04,17.81,17.98,1522867.0,0.0,1.0,17.92,18.04,17.81,17.98,1522867.0
2018-03-09,17.95,17.95,17.74,17.93,1202131.0,0.0,1.0,17.95,17.95,17.74,17.93,1202131.0
2018-03-08,17.97,17.97,17.78,17.88,1242910.0,0.0,1.0,17.97,17.97,17.78,17.88,1242910.0
2018-03-07,17.79,17.95,17.74,17.9,1703176.0,0.0,1.0,17.79,17.95,17.74,17.9,1703176.0
2018-03-06,17.83,17.93,17.655,17.85,1489244.0,0.0,1.0,17.83,17.93,17.655,17.85,1489244.0
2018-03-05,17.68,17.955,17.68,17.83,1685453.0,0.0,1.0,17.68,17.955,17.68,17.83,1685453.0
2018-03-02,17.91,17.92,17.615,17.75,1185219.0,0.0,1.0,17.91,17.92,17.615,17.75,1185219.0
2018-03-01,17.88,18.12,17.83,17.95,1372937.0,0.0,1.0,17.88,18.12,17.83,17.95,1372937.0
2018-02-28,17.91,18.19,17.87,17.96,1707110.0,0.0,1.0,17.91,18.19,17.87,17.96,1707110.0
2018-02-27,18.26,18.37,17.785,17.82,1663892.0,0.0,1.0,18.26,18.37,17.785,17.82,1663892.0
2018-02-26,18.3,18.37,18.135,18.22,1344682.0,0.0,1.0,18.3,18.37,18.135,18.22,1344682.0
2018-02-23,18.04,18.28,17.97,18.27,1560449.0,0.0,1.0,18.04,18.28,17.97,18.27,1560449.0
