Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,174.66,175.6375,169.78,170.36,1379373.0,0.0,1.0,174.66,175.6375,169.78,170.36,1379373.0
2018-03-26,172.96,174.63,169.95,174.62,1066171.0,0.0,1.0,172.96,174.63,169.95,174.62,1066171.0
2018-03-23,176.31,176.95,169.0,169.24,1421823.0,0.0,1.0,176.31,176.95,169.0,169.24,1421823.0
2018-03-22,180.14,180.61,175.77,175.87,1132094.0,0.0,1.0,180.14,180.61,175.77,175.87,1132094.0
2018-03-21,180.5,183.82,180.11,181.75,967836.0,0.0,1.0,180.5,183.82,180.11,181.75,967836.0
2018-03-20,182.67,184.77,180.25,180.39,1304342.0,0.0,1.0,182.67,184.77,180.25,180.39,1304342.0
2018-03-19,182.52,182.82,179.83,181.9,775846.0,0.0,1.0,182.52,182.82,179.83,181.9,775846.0
2018-03-16,180.13,183.8099,179.86,182.71,1168410.0,0.0,1.0,180.13,183.8099,179.86,182.71,1168410.0
2018-03-15,179.84,181.57,178.9142,180.08,670071.0,0.0,1.0,179.84,181.57,178.9142,180.08,670071.0
2018-03-14,183.01,183.31,179.04,179.46,835832.0,0.0,1.0,183.01,183.31,179.04,179.46,835832.0
2018-03-13,182.8,184.475,181.31,181.86,817431.0,0.0,1.0,182.8,184.475,181.31,181.86,817431.0
2018-03-12,187.24,187.24,181.42,182.36,1032112.0,0.0,1.0,187.24,187.24,181.42,182.36,1032112.0
2018-03-09,182.79,187.86,182.08,186.58,1269696.0,0.0,1.0,182.79,187.86,182.08,186.58,1269696.0
2018-03-08,178.85,181.27,177.67,181.16,1407031.0,0.0,1.0,178.85,181.27,177.67,181.16,1407031.0
2018-03-07,175.86,177.5,175.03,176.39,1223039.0,0.0,1.0,175.86,177.5,175.03,176.39,1223039.0
2018-03-06,178.0,180.605,177.5,177.84,1173971.0,0.0,1.0,178.0,180.605,177.5,177.84,1173971.0
2018-03-05,174.49,178.08,172.8,177.12,1026494.0,0.0,1.0,174.49,178.08,172.8,177.12,1026494.0
2018-03-02,176.31,176.83,173.18,175.55,1354099.0,0.0,1.0,176.31,176.83,173.18,175.55,1354099.0
2018-03-01,178.5,181.32,175.65,177.3,1830534.0,0.0,1.0,178.5,181.32,175.65,177.3,1830534.0
2018-02-28,182.79,184.08,178.43,178.47,981348.0,0.0,1.0,182.79,184.08,178.43,178.47,981348.0
2018-02-27,185.44,186.11,181.86,181.89,720121.0,0.0,1.0,185.44,186.11,181.86,181.89,720121.0
2018-02-26,184.62,186.2,183.43,185.55,859099.0,0.0,1.0,184.62,186.2,183.43,185.55,859099.0
2018-02-23,184.85,185.39,181.22,183.57,713413.0,0.0,1.0,184.85,185.39,181.22,183.57,713413.0
2018-02-22,182.47,185.215,181.875,183.92,848169.0,0.0,1.0,182.47,185.215,181.875,183.92,848169.0
2018-02-21,181.72,184.72,181.26,181.3,687898.0,0.0,1.0,181.72,184.72,181.26,181.3,687898.0
2018-02-20,182.0,183.71,180.425,181.61,889883.0,0.0,1.0,182.0,183.71,180.425,181.61,889883.0
2018-02-16,184.35,186.3,183.15,183.22,816617.0,0.0,1.0,184.35,186.3,183.15,183.22,816617.0
2018-02-15,185.26,186.82,183.08,184.63,918700.0,0.0,1.0,185.26,186.82,183.08,184.63,918700.0
2018-02-14,179.11,184.19,178.61,183.89,1145695.0,0.0,1.0,179.11,184.19,178.61,183.89,1145695.0
2018-02-13,179.83,180.83,178.76,179.83,1070105.0,0.0,1.0,179.83,180.83,178.76,179.83,1070105.0
2018-02-12,178.67,182.75,177.84,180.98,1507787.0,0.0,1.0,178.67,182.75,177.84,180.98,1507787.0
2018-02-09,177.06,178.58,168.44,176.89,2084464.0,0.0,1.0,177.06,178.58,168.44,176.89,2084464.0
2018-02-08,182.51,182.51,174.5,174.51,1519399.0,0.0,1.0,182.51,182.51,174.5,174.51,1519399.0
2018-02-07,186.26,188.33,183.17,183.31,1501282.0,0.0,1.0,186.26,188.33,183.17,183.31,1501282.0
2018-02-06,180.31,188.06,177.771,186.92,2990284.0,0.0,1.0,180.31,188.06,177.771,186.92,2990284.0
2018-02-05,188.16,190.87,180.74,182.0,1753788.0,0.0,1.0,188.16,190.87,180.74,182.0,1753788.0
2018-02-02,193.12,193.44,187.14,190.64,1994704.0,0.0,1.0,193.12,193.44,187.14,190.64,1994704.0
2018-02-01,195.79,198.2,192.5,193.47,3040568.0,0.0,1.0,195.79,198.2,192.5,193.47,3040568.0
2018-01-31,205.53,207.22,200.64,201.42,1538040.0,0.0,1.0,205.53,207.22,200.64,201.42,1538040.0
2018-01-30,205.03,205.53,202.7,204.65,987875.0,0.0,1.0,205.03,205.53,202.7,204.65,987875.0
2018-01-29,209.1,210.28,206.24,206.47,566493.0,0.0,1.0,209.1,210.28,206.24,206.47,566493.0
2018-01-26,207.79,209.705,206.75,209.66,1145780.0,0.0,1.0,207.79,209.705,206.75,209.66,1145780.0
2018-01-25,210.16,210.16,205.81099999999998,207.51,956377.0,0.0,1.0,210.16,210.16,205.81099999999998,207.51,956377.0
2018-01-24,210.22,211.45,207.67,208.83,829211.0,0.0,1.0,210.22,211.45,207.67,208.83,829211.0
2018-01-23,210.44,210.665,208.53,209.33,933160.0,0.0,1.0,210.44,210.665,208.53,209.33,933160.0
2018-01-22,209.97,210.555,207.435,210.23,835706.0,0.0,1.0,209.97,210.555,207.435,210.23,835706.0
2018-01-19,210.8,211.9799,210.0,210.94,899939.0,0.0,1.0,210.8,211.9799,210.0,210.94,899939.0
2018-01-18,211.51,212.22,210.11,210.54,842999.0,0.0,1.0,211.51,212.22,210.11,210.54,842999.0
2018-01-17,211.35,211.88,209.91,210.8,821155.0,0.0,1.0,211.35,211.88,209.91,210.8,821155.0
2018-01-16,211.15,212.8,208.53,209.91,1220867.0,0.0,1.0,211.15,212.8,208.53,209.91,1220867.0
2018-01-12,208.96,210.35,208.36,210.04,862576.0,0.0,1.0,208.96,210.35,208.36,210.04,862576.0
2018-01-11,206.88,208.4,206.745,208.35,1043106.0,0.0,1.0,206.88,208.4,206.745,208.35,1043106.0
2018-01-10,207.04,207.35,205.76,206.61,629553.0,0.0,1.0,207.04,207.35,205.76,206.61,629553.0
2018-01-09,205.96,207.94,205.6,207.32,726766.0,0.0,1.0,205.96,207.94,205.6,207.32,726766.0
2018-01-08,203.81,206.41,203.67,205.55,973595.0,0.0,1.0,203.81,206.41,203.67,205.55,973595.0
2018-01-05,203.01,204.825,202.71,203.81,717364.0,0.0,1.0,203.01,204.825,202.71,203.81,717364.0
2018-01-04,201.43,204.05,201.06,202.43,819509.0,0.0,1.0,201.43,204.05,201.06,202.43,819509.0
2018-01-03,199.68,201.6,198.7,201.51,646584.0,0.0,1.0,199.68,201.6,198.7,201.51,646584.0
2018-01-02,200.1,200.61,198.39,199.88,851295.0,0.0,1.0,200.1,200.61,198.39,199.88,851295.0
2017-12-29,200.43,200.82,199.07,199.58,637264.0,0.0,1.0,200.43,200.82,199.07,199.58,637264.0
2017-12-28,199.62,199.62,197.91,199.21,559001.0,0.0,1.0,199.62,199.62,197.91,199.21,559001.0
2017-12-27,199.08,199.21,198.08,198.91,351075.0,0.0,1.0,199.08,199.21,198.08,198.91,351075.0
2017-12-26,199.13,199.38,198.43,198.94,442695.0,0.0,1.0,199.13,199.38,198.43,198.94,442695.0
2017-12-22,199.28,200.24,198.38,199.25,578754.0,0.0,1.0,199.28,200.24,198.38,199.25,578754.0
2017-12-21,199.22,200.04,197.37,199.69,781552.0,0.0,1.0,199.22,200.04,197.37,199.69,781552.0
2017-12-20,198.86,199.63,198.35,199.06,744843.0,0.0,1.0,198.86,199.63,198.35,199.06,744843.0
2017-12-19,199.54,199.99,197.01,198.07,948718.0,0.0,1.0,199.54,199.99,197.01,198.07,948718.0
2017-12-18,196.595,198.53,194.87,198.13,1279810.0,0.0,1.0,196.595,198.53,194.87,198.13,1279810.0
2017-12-15,193.61,195.33,191.82,194.26,1013181.0,0.0,1.0,193.61,195.33,191.82,194.26,1013181.0
2017-12-14,195.43,195.825,191.62,191.7,753546.0,0.0,1.0,195.43,195.825,191.62,191.7,753546.0
2017-12-13,191.55,195.3,191.5,194.71,956310.0,0.0,1.0,191.55,195.3,191.5,194.71,956310.0
2017-12-12,191.85,192.88,191.65,191.86,703423.0,0.0,1.0,191.85,192.88,191.65,191.86,703423.0
2017-12-11,193.18,193.489,191.215,191.94,660037.0,0.0,1.0,193.18,193.489,191.215,191.94,660037.0
2017-12-08,192.41,193.01,191.25,192.98,1076379.0,0.0,1.0,192.41,193.01,191.25,192.98,1076379.0
2017-12-07,185.94,191.38,185.88,191.33,1102732.0,0.0,1.0,185.94,191.38,185.88,191.33,1102732.0
2017-12-06,184.24,187.09,183.36,186.33,960084.0,0.0,1.0,184.24,187.09,183.36,186.33,960084.0
2017-12-05,185.4,185.53,183.41,184.31,717185.0,0.0,1.0,185.4,185.53,183.41,184.31,717185.0
2017-12-04,189.11,190.0,185.63,185.85,743987.0,0.0,1.0,189.11,190.0,185.63,185.85,743987.0
2017-12-01,187.49,188.43,183.65,187.05,718820.0,0.0,1.0,187.49,188.43,183.65,187.05,718820.0
2017-11-30,185.34,188.1423,184.84,187.49,758330.0,0.0,1.0,185.34,188.1423,184.84,187.49,758330.0
2017-11-29,185.78,186.54,183.84,184.32,659845.0,0.0,1.0,185.78,186.54,183.84,184.32,659845.0
2017-11-28,184.42,185.87,183.58,185.73,535347.0,0.0,1.0,184.42,185.87,183.58,185.73,535347.0
2017-11-27,183.26,184.03,182.84,183.81,434125.0,0.0,1.0,183.26,184.03,182.84,183.81,434125.0
2017-11-24,184.88,185.1,182.86,183.28,211764.0,0.0,1.0,184.88,185.1,182.86,183.28,211764.0
2017-11-22,184.63,185.55,184.28,184.61,529500.0,0.0,1.0,184.63,185.55,184.28,184.61,529500.0
2017-11-21,183.23,184.76,183.21,184.29,518104.0,0.0,1.0,183.23,184.76,183.21,184.29,518104.0
2017-11-20,183.04,183.56,182.37,182.9,529593.0,0.0,1.0,183.04,183.56,182.37,182.9,529593.0
2017-11-17,181.27,182.52,180.56,182.34,640228.0,0.0,1.0,181.27,182.52,180.56,182.34,640228.0
2017-11-16,180.17,182.71,179.72,182.3,849288.0,0.0,1.0,180.17,182.71,179.72,182.3,849288.0
2017-11-15,178.91,180.0,177.74,179.73,977809.0,0.0,1.0,178.91,180.0,177.74,179.73,977809.0
2017-11-14,180.99,180.99,179.38,179.67,678860.0,0.0,1.0,180.99,180.99,179.38,179.67,678860.0
2017-11-13,181.41,181.76,179.95,181.3,545459.0,0.0,1.0,181.41,181.76,179.95,181.3,545459.0
2017-11-10,182.0,182.69,181.49,182.23,409518.0,0.0,1.0,182.0,182.69,181.49,182.23,409518.0
2017-11-09,183.31,183.57,180.64,182.34,649012.0,0.66,1.0,183.31,183.57,180.64,182.34,649012.0
2017-11-07,184.96,186.14,184.49,185.47,525782.0,0.0,1.0,184.29293114753997,185.46867540983996,183.82462622951,184.80109180328,525782.0
2017-11-06,185.56,185.58,184.01,184.62,917678.0,0.0,1.0,184.89076721311,184.91069508196998,183.34635737705003,183.95415737705002,917678.0
2017-11-03,188.17,188.17,184.95,185.38,825843.0,0.0,1.0,187.49135409836003,187.49135409836003,184.28296721311,184.71141639343998,825843.0
2017-11-02,184.1,189.83,184.1,187.12,1696698.0,0.0,1.0,183.43603278689,189.14536721311,183.43603278689,186.44514098361,1696698.0
2017-11-01,184.66,184.66,181.74,181.99,841020.0,0.0,1.0,183.99401311474998,183.99401311474998,181.0845442623,181.33364262294998,841020.0
2017-10-31,182.54,183.93,181.9,182.61,872484.0,0.0,1.0,181.88165901639,183.26664590163998,181.24396721311,181.95140655737998,872484.0
2017-10-30,183.35,183.54,181.58,181.94,572792.0,0.0,1.0,182.68873770492002,182.87805245902,180.92512131147998,181.28382295082,572792.0
2017-10-27,184.53,184.77,183.27,183.88,574295.0,0.0,1.0,183.86448196721,184.10361639343998,182.60902622951,183.21682622951,574295.0
2017-10-26,185.0,185.47,184.19,184.83,502347.0,0.0,1.0,184.33278688525002,184.80109180328,183.52570819672002,184.1634,502347.0
2017-10-25,183.64,184.19,181.46,183.71,835859.0,0.0,1.0,182.97769180327998,183.52570819672002,180.80555409836003,183.04743934426003,835859.0
2017-10-24,184.34,185.52,183.79,184.46,683399.0,0.0,1.0,183.67516721311,184.85091147541002,183.12715081967,183.79473442623,683399.0
2017-10-23,184.58,184.76,182.735,182.87,588147.0,0.0,1.0,183.91430163933998,184.09365245902,182.0759557377,182.21046885246002,588147.0
2017-10-20,182.75,184.56,182.19,184.5,450725.0,0.0,1.0,182.09090163934,183.89437377049,181.53292131147998,183.83459016393002,450725.0
