Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,11.3,11.5221,11.1,11.2,127509.0,0.0,1.0,11.3,11.5221,11.1,11.2,127509.0
2018-03-26,11.1,11.375,11.05,11.3,117605.0,0.0,1.0,11.1,11.375,11.05,11.3,117605.0
2018-03-23,11.15,11.25,10.95,11.0,170190.0,0.0,1.0,11.15,11.25,10.95,11.0,170190.0
2018-03-22,11.2,11.4,11.1,11.1,171210.0,0.0,1.0,11.2,11.4,11.1,11.1,171210.0
2018-03-21,11.2,11.4,11.05,11.25,139961.0,0.0,1.0,11.2,11.4,11.05,11.25,139961.0
2018-03-20,11.35,11.35,11.15,11.2,93906.0,0.0,1.0,11.35,11.35,11.15,11.2,93906.0
2018-03-19,11.3,11.45,11.1,11.3,151554.0,0.0,1.0,11.3,11.45,11.1,11.3,151554.0
2018-03-16,11.25,11.6,11.15,11.4,158951.0,0.0,1.0,11.25,11.6,11.15,11.4,158951.0
2018-03-15,11.3,11.35,11.1,11.2,121711.0,0.0,1.0,11.3,11.35,11.1,11.2,121711.0
2018-03-14,11.1,11.4,10.95,11.25,127870.0,0.0,1.0,11.1,11.4,10.95,11.25,127870.0
2018-03-13,11.0,11.2,10.85,11.05,334853.0,0.0,1.0,11.0,11.2,10.85,11.05,334853.0
2018-03-12,11.95,11.95,10.6,11.0,596045.0,0.0,1.0,11.95,11.95,10.6,11.0,596045.0
2018-03-09,12.5,12.5,12.15,12.4,73243.0,0.0,1.0,12.5,12.5,12.15,12.4,73243.0
2018-03-08,12.45,12.59,12.25,12.35,81250.0,0.0,1.0,12.45,12.59,12.25,12.35,81250.0
2018-03-07,12.1,12.55,12.1,12.5,82527.0,0.0,1.0,12.1,12.55,12.1,12.5,82527.0
2018-03-06,12.15,12.25,12.0,12.2,80123.0,0.0,1.0,12.15,12.25,12.0,12.2,80123.0
2018-03-05,12.2,12.25,11.8,12.1,121581.0,0.0,1.0,12.2,12.25,11.8,12.1,121581.0
2018-03-02,12.75,12.75,11.9,12.25,65289.0,0.0,1.0,12.75,12.75,11.9,12.25,65289.0
2018-03-01,12.2,12.2,11.8,12.2,70338.0,0.0,1.0,12.2,12.2,11.8,12.2,70338.0
2018-02-28,12.3,12.4,11.95,12.25,165323.0,0.0,1.0,12.3,12.4,11.95,12.25,165323.0
2018-02-27,12.4,12.7,12.1,12.3,161142.0,0.0,1.0,12.4,12.7,12.1,12.3,161142.0
2018-02-26,12.5,12.525,12.3,12.4,180434.0,0.0,1.0,12.5,12.525,12.3,12.4,180434.0
2018-02-23,12.3,12.5,12.3,12.45,116722.0,0.0,1.0,12.3,12.5,12.3,12.45,116722.0
2018-02-22,12.35,12.55,12.3,12.3,88913.0,0.0,1.0,12.35,12.55,12.3,12.3,88913.0
2018-02-21,12.35,12.6,12.3,12.3,90717.0,0.0,1.0,12.35,12.6,12.3,12.3,90717.0
2018-02-20,12.4,12.65,12.35,12.4,86317.0,0.0,1.0,12.4,12.65,12.35,12.4,86317.0
2018-02-16,12.35,12.6625,12.35,12.45,270410.0,0.0,1.0,12.35,12.6625,12.35,12.45,270410.0
2018-02-15,12.3,12.6,12.3,12.4,113150.0,0.0,1.0,12.3,12.6,12.3,12.4,113150.0
2018-02-14,12.3,12.6,12.2,12.55,75916.0,0.0,1.0,12.3,12.6,12.2,12.55,75916.0
2018-02-13,12.35,12.55,12.3,12.4,44817.0,0.0,1.0,12.35,12.55,12.3,12.4,44817.0
2018-02-12,12.25,12.55,12.2,12.45,60298.0,0.0,1.0,12.25,12.55,12.2,12.45,60298.0
2018-02-09,12.55,12.55,12.1,12.3,125204.0,0.0,1.0,12.55,12.55,12.1,12.3,125204.0
2018-02-08,12.7,12.8,12.3,12.45,74414.0,0.0,1.0,12.7,12.8,12.3,12.45,74414.0
2018-02-07,12.5,12.825,12.4,12.7,107324.0,0.0,1.0,12.5,12.825,12.4,12.7,107324.0
2018-02-06,12.15,12.725,12.1,12.55,126980.0,0.0,1.0,12.15,12.725,12.1,12.55,126980.0
2018-02-05,12.8,12.8,12.35,12.475,117264.0,0.0,1.0,12.8,12.8,12.35,12.475,117264.0
2018-02-02,13.15,13.15,12.8,12.9,115971.0,0.0,1.0,13.15,13.15,12.8,12.9,115971.0
2018-02-01,13.05,13.25,12.95,13.15,90853.0,0.0,1.0,13.05,13.25,12.95,13.15,90853.0
2018-01-31,13.05,13.15,13.0,13.1,84169.0,0.0,1.0,13.05,13.15,13.0,13.1,84169.0
2018-01-30,12.9,13.05,12.8,13.0,108017.0,0.0,1.0,12.9,13.05,12.8,13.0,108017.0
2018-01-29,13.2,13.2,12.9,12.95,110184.0,0.0,1.0,13.2,13.2,12.9,12.95,110184.0
2018-01-26,13.25,13.35,13.05,13.2,54879.0,0.0,1.0,13.25,13.35,13.05,13.2,54879.0
2018-01-25,13.2,13.2,13.05,13.2,48140.0,0.0,1.0,13.2,13.2,13.05,13.2,48140.0
2018-01-24,13.11,13.4,13.1,13.15,59523.0,0.0,1.0,13.11,13.4,13.1,13.15,59523.0
2018-01-23,13.1,13.25,13.05,13.15,71534.0,0.0,1.0,13.1,13.25,13.05,13.15,71534.0
2018-01-22,13.15,13.2,13.075,13.1,76420.0,0.0,1.0,13.15,13.2,13.075,13.1,76420.0
2018-01-19,13.05,13.2,12.9,13.15,57938.0,0.0,1.0,13.05,13.2,12.9,13.15,57938.0
2018-01-18,13.0,13.1,13.0,13.05,64796.0,0.0,1.0,13.0,13.1,13.0,13.05,64796.0
2018-01-17,12.95,13.15,12.8,13.05,88991.0,0.0,1.0,12.95,13.15,12.8,13.05,88991.0
2018-01-16,12.75,13.05,12.75,12.9,140590.0,0.0,1.0,12.75,13.05,12.75,12.9,140590.0
2018-01-12,12.6,12.8,12.5,12.75,58649.0,0.0,1.0,12.6,12.8,12.5,12.75,58649.0
2018-01-11,12.4,12.675,12.25,12.6,61155.0,0.0,1.0,12.4,12.675,12.25,12.6,61155.0
2018-01-10,12.35,12.45,12.2,12.4,82265.0,0.0,1.0,12.35,12.45,12.2,12.4,82265.0
2018-01-09,12.5,12.65,12.375,12.45,67575.0,0.0,1.0,12.5,12.65,12.375,12.45,67575.0
2018-01-08,12.5,12.7,12.5,12.5,101070.0,0.0,1.0,12.5,12.7,12.5,12.5,101070.0
2018-01-05,12.6,12.7,12.5,12.55,44700.0,0.0,1.0,12.6,12.7,12.5,12.55,44700.0
2018-01-04,12.55,12.775,12.475,12.55,108246.0,0.0,1.0,12.55,12.775,12.475,12.55,108246.0
2018-01-03,12.55,12.6,12.35,12.5,130141.0,0.0,1.0,12.55,12.6,12.35,12.5,130141.0
2018-01-02,12.8,12.8,12.4,12.6,99140.0,0.0,1.0,12.8,12.8,12.4,12.6,99140.0
2017-12-29,12.8,12.9,12.6,12.8,76525.0,0.0,1.0,12.8,12.9,12.6,12.8,76525.0
2017-12-28,12.65,12.8,12.5,12.7,80451.0,0.0,1.0,12.65,12.8,12.5,12.7,80451.0
