Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2017-10-11,19.05,19.05,19.04,19.04,2798889.0,0.0,1.0,19.05,19.05,19.04,19.04,2798889.0
2017-10-10,23.04,23.06,23.03,23.05,1082191.0,0.0,1.0,23.04,23.06,23.03,23.05,1082191.0
2017-10-09,23.04,23.06,23.03,23.05,329566.0,0.0,1.0,23.04,23.06,23.03,23.05,329566.0
2017-10-06,23.04,23.05,23.01,23.03,395918.0,0.0,1.0,23.04,23.05,23.01,23.03,395918.0
2017-10-05,23.03,23.04,23.03,23.04,343163.0,0.0,1.0,23.03,23.04,23.03,23.04,343163.0
2017-10-04,23.04,23.04,23.025,23.03,310949.0,0.0,1.0,23.04,23.04,23.025,23.03,310949.0
2017-10-03,23.03,23.04,23.03,23.04,164514.0,0.0,1.0,23.03,23.04,23.03,23.04,164514.0
2017-10-02,23.05,23.05,23.03,23.03,167267.0,0.0,1.0,23.05,23.05,23.03,23.03,167267.0
2017-09-29,23.05,23.05,23.02,23.03,242924.0,0.0,1.0,23.05,23.05,23.02,23.03,242924.0
2017-09-28,23.05,23.05,23.03,23.04,151617.0,0.0,1.0,23.05,23.05,23.03,23.04,151617.0
2017-09-27,23.05,23.05,23.02,23.05,419883.0,0.0,1.0,23.05,23.05,23.02,23.05,419883.0
2017-09-26,23.04,23.07,23.03,23.04,359657.0,0.0,1.0,23.04,23.07,23.03,23.04,359657.0
2017-09-25,23.02,23.05,23.0,23.0,143303.0,0.0,1.0,23.02,23.05,23.0,23.0,143303.0
2017-09-22,22.99,23.03,22.99,23.02,77580.0,0.0,1.0,22.99,23.03,22.99,23.02,77580.0
2017-09-21,23.02,23.03,22.98,22.99,161974.0,0.0,1.0,23.02,23.03,22.98,22.99,161974.0
2017-09-20,23.0,23.05,22.99,23.01,273085.0,0.0,1.0,23.0,23.05,22.99,23.01,273085.0
2017-09-19,22.98,23.01,22.97,23.01,256270.0,0.0,1.0,22.98,23.01,22.97,23.01,256270.0
2017-09-18,22.99,23.0,22.935,22.97,1453443.0,0.0,1.0,22.99,23.0,22.935,22.97,1453443.0
2017-09-15,23.01,23.02,22.93,22.99,814320.0,0.0,1.0,23.01,23.02,22.93,22.99,814320.0
2017-09-14,22.97,23.01,22.97,23.0,132506.0,0.0,1.0,22.97,23.01,22.97,23.0,132506.0
2017-09-13,22.97,23.0,22.97,22.99,120720.0,0.0,1.0,22.97,23.0,22.97,22.99,120720.0
2017-09-12,22.96,22.99,22.94,22.96,123538.0,0.0,1.0,22.96,22.99,22.94,22.96,123538.0
2017-09-11,22.94,23.0,22.94,22.95,446024.0,0.0,1.0,22.94,23.0,22.94,22.95,446024.0
2017-09-08,22.9,22.96,22.9,22.95,99691.0,0.0,1.0,22.9,22.96,22.9,22.95,99691.0
2017-09-07,22.96,22.98,22.9,22.9,90833.0,0.0,1.0,22.96,22.98,22.9,22.9,90833.0
2017-09-06,22.97,22.98,22.9,22.96,168507.0,0.0,1.0,22.97,22.98,22.9,22.96,168507.0
2017-09-05,22.95,22.99,22.94,22.95,205698.0,0.0,1.0,22.95,22.99,22.94,22.95,205698.0
2017-09-01,22.98,22.98,22.94,22.96,149612.0,0.0,1.0,22.98,22.98,22.94,22.96,149612.0
2017-08-31,22.97,22.98,22.935,22.96,163821.0,0.0,1.0,22.97,22.98,22.935,22.96,163821.0
2017-08-30,22.8,23.0,22.79,22.97,756725.0,0.0,1.0,22.8,23.0,22.79,22.97,756725.0
2017-08-29,22.73,22.81,22.69,22.73,963430.0,0.0,1.0,22.73,22.81,22.69,22.73,963430.0
2017-08-28,22.85,22.92,22.685,22.75,519167.0,0.0,1.0,22.85,22.92,22.685,22.75,519167.0
2017-08-25,22.89,22.91,22.87,22.88,184064.0,0.0,1.0,22.89,22.91,22.87,22.88,184064.0
2017-08-24,22.91,22.99,22.86,22.88,2140026.0,0.0,1.0,22.91,22.99,22.86,22.88,2140026.0
2017-08-23,22.91,22.94,22.91,22.91,138239.0,0.0,1.0,22.91,22.94,22.91,22.91,138239.0
2017-08-22,22.94,22.94,22.87,22.91,79733.0,0.0,1.0,22.94,22.94,22.87,22.91,79733.0
2017-08-21,22.98,22.98,22.88,22.9,114892.0,0.0,1.0,22.98,22.98,22.88,22.9,114892.0
2017-08-18,22.92,22.99,22.9,22.96,128479.0,0.0,1.0,22.92,22.99,22.9,22.96,128479.0
2017-08-17,22.98,22.99,22.95,22.95,156037.0,0.0,1.0,22.98,22.99,22.95,22.95,156037.0
2017-08-16,22.99,23.0,22.97,23.0,140600.0,0.0,1.0,22.99,23.0,22.97,23.0,140600.0
2017-08-15,22.96,23.03,22.955,22.96,897039.0,0.0,1.0,22.96,23.03,22.955,22.96,897039.0
2017-08-14,22.96,23.0,22.95,22.98,368126.0,0.0,1.0,22.96,23.0,22.95,22.98,368126.0
2017-08-11,22.96,22.97,22.88,22.97,363680.0,0.0,1.0,22.96,22.97,22.88,22.97,363680.0
2017-08-10,23.02,23.05,22.95,22.99,255887.0,0.0,1.0,23.02,23.05,22.95,22.99,255887.0
2017-08-09,22.93,23.05,22.9,23.05,235341.0,0.0,1.0,22.93,23.05,22.9,23.05,235341.0
2017-08-08,23.01,23.05,22.9,23.05,192281.0,0.0,1.0,23.01,23.05,22.9,23.05,192281.0
2017-08-07,23.03,23.03,22.97,23.01,75832.0,0.0,1.0,23.03,23.03,22.97,23.01,75832.0
2017-08-04,23.02,23.065,22.97,23.06,195042.0,0.0,1.0,23.02,23.065,22.97,23.06,195042.0
2017-08-03,23.04,23.045,22.95,23.03,170989.0,0.0,1.0,23.04,23.045,22.95,23.03,170989.0
