Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,64.15,64.75,62.1,62.6,592573.0,0.0,1.0,64.15,64.75,62.1,62.6,592573.0
2018-03-26,62.9,64.15,62.35,63.85,1000298.0,0.0,1.0,62.9,64.15,62.35,63.85,1000298.0
2018-03-23,63.75,64.0,61.8,61.85,1020107.0,0.0,1.0,63.75,64.0,61.8,61.85,1020107.0
2018-03-22,66.95,67.1,63.5,63.65,1133263.0,0.0,1.0,66.95,67.1,63.5,63.65,1133263.0
2018-03-21,68.15,68.8499,67.3,68.25,393776.0,0.0,1.0,68.15,68.8499,67.3,68.25,393776.0
2018-03-20,67.6,68.5,67.25,68.2,547243.0,0.0,1.0,67.6,68.5,67.25,68.2,547243.0
2018-03-19,67.3,67.55,66.488,67.35,446264.0,0.0,1.0,67.3,67.55,66.488,67.35,446264.0
2018-03-16,67.1,67.8,66.75,67.35,1136431.0,0.0,1.0,67.1,67.8,66.75,67.35,1136431.0
2018-03-15,66.75,67.25,66.1635,66.95,354019.0,0.0,1.0,66.75,67.25,66.1635,66.95,354019.0
2018-03-14,67.95,67.95,66.3001,66.5,482942.0,0.0,1.0,67.95,67.95,66.3001,66.5,482942.0
2018-03-13,68.55,68.55,67.55,67.7,336788.0,0.0,1.0,68.55,68.55,67.55,67.7,336788.0
2018-03-12,68.4,68.8,67.3,68.45,514683.0,0.0,1.0,68.4,68.8,67.3,68.45,514683.0
2018-03-09,67.75,68.6,67.4,68.55,420967.0,0.0,1.0,67.75,68.6,67.4,68.55,420967.0
2018-03-08,67.9,68.0,66.85,67.4,261492.0,0.0,1.0,67.9,68.0,66.85,67.4,261492.0
2018-03-07,67.15,68.2,67.15,67.95,533165.0,0.0,1.0,67.15,68.2,67.15,67.95,533165.0
2018-03-06,66.775,67.75,66.25,67.65,368771.0,0.0,1.0,66.775,67.75,66.25,67.65,368771.0
2018-03-05,66.0,67.45,65.05,67.05,342285.0,0.0,1.0,66.0,67.45,65.05,67.05,342285.0
2018-03-02,64.8,66.65,64.0,66.55,458220.0,0.0,1.0,64.8,66.65,64.0,66.55,458220.0
2018-03-01,64.4,65.75,64.25,65.35,641846.0,0.0,1.0,64.4,65.75,64.25,65.35,641846.0
2018-02-28,65.3,66.4,64.55,64.55,403592.0,0.0,1.0,65.3,66.4,64.55,64.55,403592.0
2018-02-27,66.2,67.2,65.15,65.15,282279.0,0.0,1.0,66.2,67.2,65.15,65.15,282279.0
2018-02-26,66.3,66.4,65.45,66.3,263383.0,0.0,1.0,66.3,66.4,65.45,66.3,263383.0
2018-02-23,65.6,66.35,65.35,66.25,385094.0,0.0,1.0,65.6,66.35,65.35,66.25,385094.0
2018-02-22,66.6,66.75,65.4,65.55,962733.0,0.0,1.0,66.6,66.75,65.4,65.55,962733.0
2018-02-21,65.75,67.0,65.6,66.55,613009.0,0.0,1.0,65.75,67.0,65.6,66.55,613009.0
2018-02-20,65.9,66.2,65.25,65.8,766463.0,0.0,1.0,65.9,66.2,65.25,65.8,766463.0
2018-02-16,64.35,66.1,64.2,65.9,601996.0,0.0,1.0,64.35,66.1,64.2,65.9,601996.0
2018-02-15,64.15,64.2,63.55,64.1,426932.0,0.0,1.0,64.15,64.2,63.55,64.1,426932.0
2018-02-14,62.0,63.9,62.0,63.7,258979.0,0.0,1.0,62.0,63.9,62.0,63.7,258979.0
2018-02-13,61.5,62.3,61.4,62.15,203789.0,0.0,1.0,61.5,62.3,61.4,62.15,203789.0
2018-02-12,61.1,62.7,60.9,61.9,670785.0,0.0,1.0,61.1,62.7,60.9,61.9,670785.0
2018-02-09,60.55,61.2,59.6,60.75,963788.0,0.0,1.0,60.55,61.2,59.6,60.75,963788.0
2018-02-08,62.6,62.6,60.2,60.2,584214.0,0.0,1.0,62.6,62.6,60.2,60.2,584214.0
2018-02-07,62.1,62.65,61.6,62.4,635750.0,0.0,1.0,62.1,62.65,61.6,62.4,635750.0
2018-02-06,61.35,63.15,60.275,62.15,986845.0,0.0,1.0,61.35,63.15,60.275,62.15,986845.0
2018-02-05,64.4,64.9,61.75,62.4,1080637.0,0.0,1.0,64.4,64.9,61.75,62.4,1080637.0
2018-02-02,63.8,64.65,63.7,64.2,641098.0,0.0,1.0,63.8,64.65,63.7,64.2,641098.0
2018-02-01,63.1,64.075,62.55,64.0,533870.0,0.0,1.0,63.1,64.075,62.55,64.0,533870.0
2018-01-31,63.35,63.8,62.95,63.3,316272.0,0.0,1.0,63.35,63.8,62.95,63.3,316272.0
2018-01-30,63.85,64.3,63.15,63.15,353943.0,0.0,1.0,63.85,64.3,63.15,63.15,353943.0
2018-01-29,64.15,64.45,63.9,64.15,271046.0,0.0,1.0,64.15,64.45,63.9,64.15,271046.0
2018-01-26,64.1,64.1,63.4,63.975,253248.0,0.0,1.0,64.1,64.1,63.4,63.975,253248.0
2018-01-25,64.75,64.75,63.6,64.0,438078.0,0.0,1.0,64.75,64.75,63.6,64.0,438078.0
2018-01-24,64.9,65.325,64.2,64.65,912407.0,0.0,1.0,64.9,65.325,64.2,64.65,912407.0
