Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,69.25,69.66,67.87,68.28,990508.0,0.0,1.0,69.25,69.66,67.87,68.28,990508.0
2018-03-26,68.19,69.34,67.64,69.17,933681.0,0.0,1.0,68.19,69.34,67.64,69.17,933681.0
2018-03-23,69.9,69.96,67.13,67.31,1162072.0,0.0,1.0,69.9,69.96,67.13,67.31,1162072.0
2018-03-22,70.98,71.375,69.5113,69.61,894376.0,0.0,1.0,70.98,71.375,69.5113,69.61,894376.0
2018-03-21,71.9,72.61,71.58,71.75,887785.0,0.0,1.0,71.9,72.61,71.58,71.75,887785.0
2018-03-20,71.98,72.63,71.53,71.79,1253737.0,0.0,1.0,71.98,72.63,71.53,71.79,1253737.0
2018-03-19,72.6,72.6,70.855,71.69,1046526.0,0.0,1.0,72.6,72.6,70.855,71.69,1046526.0
2018-03-16,72.2,73.07,71.94,72.74,1462378.0,0.0,1.0,72.2,73.07,71.94,72.74,1462378.0
2018-03-15,70.84,72.91,70.84,72.13,1464439.0,0.0,1.0,70.84,72.91,70.84,72.13,1464439.0
2018-03-14,70.46,71.04,69.89,70.64,1083343.0,0.0,1.0,70.46,71.04,69.89,70.64,1083343.0
2018-03-13,71.27,71.76,69.585,69.97,868673.0,0.0,1.0,71.27,71.76,69.585,69.97,868673.0
2018-03-12,71.98,71.98,70.97,71.19,952767.0,0.0,1.0,71.98,71.98,70.97,71.19,952767.0
2018-03-09,70.66,71.91,70.45,71.82,1116429.0,0.0,1.0,70.66,71.91,70.45,71.82,1116429.0
2018-03-08,69.35,70.32,68.4,70.27,1091293.0,0.0,1.0,69.35,70.32,68.4,70.27,1091293.0
2018-03-07,67.72,69.5,67.57,69.32,1065972.0,0.0,1.0,67.72,69.5,67.57,69.32,1065972.0
2018-03-06,68.0,68.7,67.725,68.52,637215.0,0.0,1.0,68.0,68.7,67.725,68.52,637215.0
2018-03-05,66.93,67.94,66.5,67.66,846629.0,0.0,1.0,66.93,67.94,66.5,67.66,846629.0
2018-03-02,66.32,67.4,66.16,67.23,807721.0,0.0,1.0,66.32,67.4,66.16,67.23,807721.0
2018-03-01,68.82,68.82,66.31,66.96,921508.0,0.0,1.0,68.82,68.82,66.31,66.96,921508.0
2018-02-28,70.82,70.82,68.69,68.69,1045960.0,0.0,1.0,70.82,70.82,68.69,68.69,1045960.0
2018-02-27,71.32,71.92,70.54,70.54,703861.0,0.0,1.0,71.32,71.92,70.54,70.54,703861.0
2018-02-26,71.61,71.67,70.69,71.35,922076.0,0.0,1.0,71.61,71.67,70.69,71.35,922076.0
2018-02-23,71.36,71.56,70.87,71.39,646937.0,0.0,1.0,71.36,71.56,70.87,71.39,646937.0
2018-02-22,71.07,71.98,70.77,71.09,706279.0,0.0,1.0,71.07,71.98,70.77,71.09,706279.0
2018-02-21,70.5,71.84,70.5,70.64,634782.0,0.0,1.0,70.5,71.84,70.5,70.64,634782.0
2018-02-20,70.41,71.34,70.27,70.59,652385.0,0.0,1.0,70.41,71.34,70.27,70.59,652385.0
2018-02-16,70.48,71.74,70.14,70.83,826944.0,0.0,1.0,70.48,71.74,70.14,70.83,826944.0
2018-02-15,71.18,71.18,70.05,70.65,1103718.0,0.0,1.0,71.18,71.18,70.05,70.65,1103718.0
2018-02-14,68.84,70.85,68.81,70.81,1535089.0,0.0,1.0,68.84,70.85,68.81,70.81,1535089.0
2018-02-13,68.76,69.62,68.41,69.39,1028407.0,0.0,1.0,68.76,69.62,68.41,69.39,1028407.0
2018-02-12,67.43,69.79,67.31,69.03,1746593.0,0.0,1.0,67.43,69.79,67.31,69.03,1746593.0
2018-02-09,67.45,67.83,64.82,67.09,1488430.0,0.0,1.0,67.45,67.83,64.82,67.09,1488430.0
2018-02-08,68.67,68.81,66.63,66.67,1360557.0,0.0,1.0,68.67,68.81,66.63,66.67,1360557.0
2018-02-07,68.12,69.59,68.12,68.65,1631907.0,0.0,1.0,68.12,69.59,68.12,68.65,1631907.0
2018-02-06,67.22,68.91,66.55,68.48,2005661.0,0.0,1.0,67.22,68.91,66.55,68.48,2005661.0
2018-02-05,71.01,71.34,68.2,68.28,1840737.0,0.0,1.0,71.01,71.34,68.2,68.28,1840737.0
2018-02-02,71.84,72.14,71.15,71.24,1358855.0,0.0,1.0,71.84,72.14,71.15,71.24,1358855.0
2018-02-01,71.0,72.32,70.41,72.16,1192017.0,0.0,1.0,71.0,72.32,70.41,72.16,1192017.0
2018-01-31,74.05,74.05,70.87,71.5,1861093.0,0.0,1.0,74.05,74.05,70.87,71.5,1861093.0
2018-01-30,70.2,72.02,68.2,71.65,2904569.0,0.0,1.0,70.2,72.02,68.2,71.65,2904569.0
2018-01-29,73.66,74.395,73.3,73.81,1529066.0,0.0,1.0,73.66,74.395,73.3,73.81,1529066.0
2018-01-26,73.73,74.13,73.38,74.02,618922.0,0.0,1.0,73.73,74.13,73.38,74.02,618922.0
2018-01-25,73.47,73.96,72.66,73.35,780230.0,0.0,1.0,73.47,73.96,72.66,73.35,780230.0
2018-01-24,73.68,73.98,73.04,73.45,853902.0,0.0,1.0,73.68,73.98,73.04,73.45,853902.0
2018-01-23,73.24,73.36,72.45,73.17,1298451.0,0.0,1.0,73.24,73.36,72.45,73.17,1298451.0
2018-01-22,73.87,73.97,72.95,73.94,672694.0,0.0,1.0,73.87,73.97,72.95,73.94,672694.0
2018-01-19,73.86,74.66,73.53,73.98,774315.0,0.0,1.0,73.86,74.66,73.53,73.98,774315.0
2018-01-18,73.65,73.75,73.3,73.56,695541.0,0.0,1.0,73.65,73.75,73.3,73.56,695541.0
