Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2017-07-17,314.86,314.98,314.85,314.93,320037.0,0.0,1.0,314.86,314.98,314.85,314.93,320037.0
2017-07-14,314.85,314.9,314.81,314.88,736788.0,0.0,1.0,314.85,314.9,314.81,314.88,736788.0
2017-07-13,314.75,314.83,314.7489,314.81,1134610.0,0.0,1.0,314.75,314.83,314.7489,314.81,1134610.0
2017-07-12,314.79,314.88,314.75,314.79,511070.0,0.0,1.0,314.79,314.88,314.75,314.79,511070.0
2017-07-11,314.87,314.93,314.71,314.75,3500664.0,0.0,1.0,314.87,314.93,314.71,314.75,3500664.0
2017-07-10,314.87,314.95,314.8,314.84,267569.0,0.0,1.0,314.87,314.95,314.8,314.84,267569.0
2017-07-07,314.77,314.9,314.75,314.84,241661.0,0.0,1.0,314.77,314.9,314.75,314.84,241661.0
2017-07-06,314.69,314.8,314.63,314.75,447977.0,0.0,1.0,314.69,314.8,314.63,314.75,447977.0
2017-07-05,314.58,314.76,314.56,314.72,437236.0,0.0,1.0,314.58,314.76,314.56,314.72,437236.0
2017-07-03,314.65,314.7,314.4989,314.51,341338.0,0.0,1.0,314.65,314.7,314.4989,314.51,341338.0
2017-06-30,314.7,314.79,314.63,314.64,406230.0,0.0,1.0,314.7,314.79,314.63,314.64,406230.0
2017-06-29,314.75,314.88,314.6,314.64,500848.0,0.0,1.0,314.75,314.88,314.6,314.64,500848.0
2017-06-28,314.82,314.88,314.62,314.71,271047.0,0.0,1.0,314.82,314.88,314.62,314.71,271047.0
2017-06-27,314.74,314.87,314.6,314.71,464502.0,0.0,1.0,314.74,314.87,314.6,314.71,464502.0
2017-06-26,314.56,314.81,314.44,314.71,327099.0,0.0,1.0,314.56,314.81,314.44,314.71,327099.0
2017-06-23,314.62,314.65,314.5,314.5,367569.0,0.0,1.0,314.62,314.65,314.5,314.5,367569.0
2017-06-22,314.57,314.65,314.47,314.58,197448.0,0.0,1.0,314.57,314.65,314.47,314.58,197448.0
2017-06-21,314.51,314.6,314.4,314.55,351603.0,0.0,1.0,314.51,314.6,314.4,314.55,351603.0
2017-06-20,314.65,314.7,314.42,314.59,256121.0,0.0,1.0,314.65,314.7,314.42,314.59,256121.0
2017-06-19,314.6,314.65,314.46,314.65,317629.0,0.0,1.0,314.6,314.65,314.46,314.65,317629.0
2017-06-16,314.45,314.57,314.4,314.57,300953.0,0.0,1.0,314.45,314.57,314.4,314.57,300953.0
2017-06-15,314.46,314.6,314.375,314.45,214509.0,0.0,1.0,314.46,314.6,314.375,314.45,214509.0
2017-06-14,314.6,314.67,314.38,314.47,269796.0,0.0,1.0,314.6,314.67,314.38,314.47,269796.0
2017-06-13,314.45,314.6,314.0,314.51,336891.0,0.0,1.0,314.45,314.6,314.0,314.51,336891.0
2017-06-12,314.22,314.46,314.19,314.4,346595.0,0.0,1.0,314.22,314.46,314.19,314.4,346595.0
2017-06-09,314.22,314.35,314.1,314.22,368643.0,0.0,1.0,314.22,314.35,314.1,314.22,368643.0
2017-06-08,314.38,314.38,314.1,314.19,314937.0,0.0,1.0,314.38,314.38,314.1,314.19,314937.0
2017-06-07,314.06,314.28,314.02,314.02,247318.0,0.0,1.0,314.06,314.28,314.02,314.02,247318.0
2017-06-06,314.1,314.31,313.98,314.01,238722.0,0.0,1.0,314.1,314.31,313.98,314.01,238722.0
2017-06-05,314.24,314.38,313.9,314.17,345162.0,0.0,1.0,314.24,314.38,313.9,314.17,345162.0
