Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,87.34,88.88,86.33,87.07,915042.0,0.0,1.0,87.34,88.88,86.33,87.07,915042.0
2018-03-26,85.54,87.3,84.43,87.2,316802.0,0.0,1.0,85.54,87.3,84.43,87.2,316802.0
2018-03-23,85.01,86.26,84.205,84.28,505465.0,0.0,1.0,85.01,86.26,84.205,84.28,505465.0
2018-03-22,85.97,86.43,84.83,85.25,316982.0,0.0,1.0,85.97,86.43,84.83,85.25,316982.0
2018-03-21,84.61,86.9,83.79,86.56,417402.0,0.0,1.0,84.61,86.9,83.79,86.56,417402.0
2018-03-20,84.45,85.33,83.79,84.62,224284.0,0.0,1.0,84.45,85.33,83.79,84.62,224284.0
2018-03-19,84.68,85.22,83.3201,84.19,533606.0,0.0,1.0,84.68,85.22,83.3201,84.19,533606.0
2018-03-16,84.48,85.715,83.78,85.23,481840.0,0.0,1.0,84.48,85.715,83.78,85.23,481840.0
2018-03-15,84.87,85.33,83.98,84.61,460659.0,0.0,1.0,84.87,85.33,83.98,84.61,460659.0
2018-03-14,83.81,85.44,83.81,84.52,592748.0,0.0,1.0,83.81,85.44,83.81,84.52,592748.0
2018-03-13,83.47,84.86,78.56,84.74,437585.0,0.0,1.0,83.47,84.86,78.56,84.74,437585.0
2018-03-12,80.87,83.35,80.0,83.15,553686.0,0.0,1.0,80.87,83.35,80.0,83.15,553686.0
2018-03-09,79.88,81.02,79.14,80.33,297863.0,0.0,1.0,79.88,81.02,79.14,80.33,297863.0
2018-03-08,80.83,81.78,79.12,79.66,393169.0,0.0,1.0,80.83,81.78,79.12,79.66,393169.0
2018-03-07,78.39,81.39,78.39,80.62,455817.0,0.0,1.0,78.39,81.39,78.39,80.62,455817.0
2018-03-06,76.81,79.3,76.64,78.95,450036.0,0.0,1.0,76.81,79.3,76.64,78.95,450036.0
2018-03-05,72.86,76.16,72.65,75.82,390070.0,0.0,1.0,72.86,76.16,72.65,75.82,390070.0
2018-03-02,72.17,74.05,72.0,73.07,745950.0,0.0,1.0,72.17,74.05,72.0,73.07,745950.0
2018-03-01,75.42,75.66,72.1,72.87,333146.0,0.0,1.0,75.42,75.66,72.1,72.87,333146.0
2018-02-28,76.52,77.635,75.06,75.09,266834.0,0.0,1.0,76.52,77.635,75.06,75.09,266834.0
