Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,9.55,9.65,9.4,9.4,96136.0,0.0,1.0,9.55,9.65,9.4,9.4,96136.0
2018-03-26,9.1,9.7,8.95,9.5,127639.0,0.0,1.0,9.1,9.7,8.95,9.5,127639.0
2018-03-23,9.05,9.4,8.75,9.05,102640.0,0.0,1.0,9.05,9.4,8.75,9.05,102640.0
2018-03-22,9.1,9.15,9.0,9.0,38681.0,0.0,1.0,9.1,9.15,9.0,9.0,38681.0
2018-03-21,9.3,9.35,8.655,9.15,41631.0,0.0,1.0,9.3,9.35,8.655,9.15,41631.0
2018-03-20,9.2,9.3,9.0,9.25,78882.0,0.0,1.0,9.2,9.3,9.0,9.25,78882.0
2018-03-19,9.0,9.15,8.7,9.15,93444.0,0.0,1.0,9.0,9.15,8.7,9.15,93444.0
2018-03-16,8.95,9.05,8.8,9.0,120472.0,0.0,1.0,8.95,9.05,8.8,9.0,120472.0
2018-03-15,8.9,9.15,8.7,8.8,255918.0,0.0,1.0,8.9,9.15,8.7,8.8,255918.0
2018-03-14,9.45,9.5,8.85,8.95,168126.0,0.0,1.0,9.45,9.5,8.85,8.95,168126.0
2018-03-13,8.55,9.35,8.55,9.35,102954.0,0.0,1.0,8.55,9.35,8.55,9.35,102954.0
2018-03-12,8.05,8.95,8.05,8.5,191950.0,0.0,1.0,8.05,8.95,8.05,8.5,191950.0
2018-03-09,8.0,8.075,7.75,7.95,110508.0,0.0,1.0,8.0,8.075,7.75,7.95,110508.0
2018-03-08,7.95,8.05,7.85,7.95,116030.0,0.0,1.0,7.95,8.05,7.85,7.95,116030.0
2018-03-07,7.8,8.05,7.8,7.85,74569.0,0.0,1.0,7.8,8.05,7.8,7.85,74569.0
2018-03-06,8.195,8.3,7.75,7.8,189189.0,0.0,1.0,8.195,8.3,7.75,7.8,189189.0
2018-03-05,8.05,8.45,8.0,8.15,82536.0,0.0,1.0,8.05,8.45,8.0,8.15,82536.0
2018-03-02,7.95,8.2,7.75,7.95,220891.0,0.0,1.0,7.95,8.2,7.75,7.95,220891.0
2018-03-01,7.5,7.6,7.5,7.5,33041.0,0.0,1.0,7.5,7.6,7.5,7.5,33041.0
2018-02-28,7.55,7.6,7.45,7.5,40487.0,0.0,1.0,7.55,7.6,7.45,7.5,40487.0
2018-02-27,7.55,7.6,7.5,7.5,180433.0,0.0,1.0,7.55,7.6,7.5,7.5,180433.0
2018-02-26,7.65,7.675,7.4,7.6,13185.0,0.0,1.0,7.65,7.675,7.4,7.6,13185.0
2018-02-23,7.4,7.7,7.4,7.7,5344.0,0.0,1.0,7.4,7.7,7.4,7.7,5344.0
2018-02-22,7.6,7.75,7.495,7.65,6773.0,0.0,1.0,7.6,7.75,7.495,7.65,6773.0
2018-02-21,7.4,7.7162,7.4,7.6,22857.0,0.0,1.0,7.4,7.7162,7.4,7.6,22857.0
2018-02-20,7.95,7.95,7.35,7.65,15351.0,0.0,1.0,7.95,7.95,7.35,7.65,15351.0
2018-02-16,7.3,7.95,7.225,7.95,27926.0,0.0,1.0,7.3,7.95,7.225,7.95,27926.0
2018-02-15,7.5,7.65,7.4,7.6,16435.0,0.0,1.0,7.5,7.65,7.4,7.6,16435.0
2018-02-14,7.45,7.6,7.4,7.6,37324.0,0.0,1.0,7.45,7.6,7.4,7.6,37324.0
2018-02-13,7.6,7.6,7.45,7.55,7102.0,0.0,1.0,7.6,7.6,7.45,7.55,7102.0
2018-02-12,7.5,7.65,7.4,7.45,11201.0,0.0,1.0,7.5,7.65,7.4,7.45,11201.0
2018-02-09,7.55,7.6,7.4,7.5,37260.0,0.0,1.0,7.55,7.6,7.4,7.5,37260.0
2018-02-08,7.5,7.55,7.3,7.55,8996.0,0.0,1.0,7.5,7.55,7.3,7.55,8996.0
2018-02-07,7.5,7.55,7.35,7.55,9208.0,0.0,1.0,7.5,7.55,7.35,7.55,9208.0
2018-02-06,7.0,7.6,6.95,7.55,38243.0,0.0,1.0,7.0,7.6,6.95,7.55,38243.0
2018-02-05,7.45,7.6,7.35,7.35,11904.0,0.0,1.0,7.45,7.6,7.35,7.35,11904.0
2018-02-02,7.5,7.55,7.45,7.5,15620.0,0.0,1.0,7.5,7.55,7.45,7.5,15620.0
2018-02-01,7.6,7.8,7.5,7.55,29480.0,0.0,1.0,7.6,7.8,7.5,7.55,29480.0
2018-01-31,7.5053,7.7,7.5,7.6,26026.0,0.0,1.0,7.5053,7.7,7.5,7.6,26026.0
