Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,6.62,6.64,6.55,6.56,1380464.0,0.0,1.0,6.62,6.64,6.55,6.56,1380464.0
2018-03-26,6.67,6.71,6.61,6.63,1601101.0,0.0,1.0,6.67,6.71,6.61,6.63,1601101.0
2018-03-23,6.71,6.765,6.61,6.61,2174064.0,0.0,1.0,6.71,6.765,6.61,6.61,2174064.0
2018-03-22,6.52,6.87,6.52,6.76,5759669.0,0.0,1.0,6.52,6.87,6.52,6.76,5759669.0
2018-03-21,6.5,6.55,6.49,6.51,1343699.0,0.0,1.0,6.5,6.55,6.49,6.51,1343699.0
2018-03-20,6.51,6.55,6.48,6.5,1586599.0,0.0,1.0,6.51,6.55,6.48,6.5,1586599.0
2018-03-19,6.54,6.55,6.48,6.5,1661274.0,0.0,1.0,6.54,6.55,6.48,6.5,1661274.0
2018-03-16,6.51,6.655,6.48,6.55,2184090.0,0.0,1.0,6.51,6.655,6.48,6.55,2184090.0
2018-03-15,6.5,6.52,6.46,6.51,1406877.0,0.0,1.0,6.5,6.52,6.46,6.51,1406877.0
2018-03-14,6.57,6.57,6.5,6.51,944359.0,0.0,1.0,6.57,6.57,6.5,6.51,944359.0
2018-03-13,6.55,6.55,6.5,6.53,1361912.0,0.0,1.0,6.55,6.55,6.5,6.53,1361912.0
2018-03-12,6.56,6.6,6.5,6.58,1437834.0,0.0,1.0,6.56,6.6,6.5,6.58,1437834.0
2018-03-09,6.61,6.62,6.53,6.58,1025696.0,0.0,1.0,6.61,6.62,6.53,6.58,1025696.0
2018-03-08,6.65,6.68,6.59,6.6,1014029.0,0.0,1.0,6.65,6.68,6.59,6.6,1014029.0
2018-03-07,6.65,6.7,6.62,6.67,1102171.0,0.0,1.0,6.65,6.7,6.62,6.67,1102171.0
2018-03-06,6.68,6.74,6.63,6.69,1366601.0,0.0,1.0,6.68,6.74,6.63,6.69,1366601.0
2018-03-05,6.57,6.7,6.57,6.645,1361471.0,0.0,1.0,6.57,6.7,6.57,6.645,1361471.0
2018-03-02,6.53,6.5699,6.48,6.56,1379038.0,0.0,1.0,6.53,6.5699,6.48,6.56,1379038.0
2018-03-01,6.63,6.66,6.53,6.56,1672718.0,0.0,1.0,6.63,6.66,6.53,6.56,1672718.0
2018-02-28,6.65,6.7,6.61,6.64,1515809.0,0.0,1.0,6.65,6.7,6.61,6.64,1515809.0
2018-02-27,6.69,6.76,6.63,6.64,1755117.0,0.0,1.0,6.69,6.76,6.63,6.64,1755117.0
2018-02-26,6.69,6.77,6.69,6.72,1642220.0,0.0,1.0,6.69,6.77,6.69,6.72,1642220.0
2018-02-23,6.7,6.745,6.655,6.7,1719658.0,0.0,1.0,6.7,6.745,6.655,6.7,1719658.0
2018-02-22,6.73,6.78,6.68,6.7,1326685.0,0.0,1.0,6.73,6.78,6.68,6.7,1326685.0
2018-02-21,6.78,6.83,6.71,6.71,1371914.0,0.0,1.0,6.78,6.83,6.71,6.71,1371914.0
2018-02-20,6.79,6.829,6.72,6.75,1363485.0,0.0,1.0,6.79,6.829,6.72,6.75,1363485.0
2018-02-16,6.76,6.88,6.75,6.82,2076036.0,0.0,1.0,6.76,6.88,6.75,6.82,2076036.0
2018-02-15,6.95,6.95,6.72,6.74,2489267.0,0.0,1.0,6.95,6.95,6.72,6.74,2489267.0
2018-02-14,6.86,6.97,6.86,6.92,2769144.0,0.0,1.0,6.86,6.97,6.86,6.92,2769144.0
2018-02-13,6.83,6.92,6.82,6.86,1798849.0,0.0,1.0,6.83,6.92,6.82,6.86,1798849.0
2018-02-12,6.81,6.87,6.73,6.82,2426733.0,0.0,1.0,6.81,6.87,6.73,6.82,2426733.0
2018-02-09,6.62,6.83,6.5,6.78,4592377.0,0.0,1.0,6.62,6.83,6.5,6.78,4592377.0
2018-02-08,6.57,6.73,6.48,6.5,4088097.0,0.0,1.0,6.57,6.73,6.48,6.5,4088097.0
2018-02-07,6.29,6.33,6.17,6.22,2682448.0,0.0,1.0,6.29,6.33,6.17,6.22,2682448.0
2018-02-06,6.05,6.32,5.95,6.29,3968972.0,0.0,1.0,6.05,6.32,5.95,6.29,3968972.0
2018-02-05,6.29,6.3,6.105,6.23,4124493.0,0.0,1.0,6.29,6.3,6.105,6.23,4124493.0
2018-02-02,6.45,6.47,6.37,6.39,2290092.0,0.0,1.0,6.45,6.47,6.37,6.39,2290092.0
2018-02-01,6.42,6.53,6.38,6.48,2046275.0,0.0,1.0,6.42,6.53,6.38,6.48,2046275.0
2018-01-31,6.63,6.7,6.31,6.45,5363144.0,0.0,1.0,6.63,6.7,6.31,6.45,5363144.0
2018-01-30,6.71,6.73,6.61,6.64,2773269.0,0.0,1.0,6.71,6.73,6.61,6.64,2773269.0
2018-01-29,6.82,6.86,6.73,6.81,2342323.0,0.0,1.0,6.82,6.86,6.73,6.81,2342323.0
2018-01-26,6.84,6.86,6.71,6.85,2270278.0,0.0,1.0,6.84,6.86,6.71,6.85,2270278.0
2018-01-25,6.9,6.95,6.815,6.84,1755193.0,0.0,1.0,6.9,6.95,6.815,6.84,1755193.0
2018-01-24,6.88,6.93,6.835,6.89,1026457.0,0.0,1.0,6.88,6.93,6.835,6.89,1026457.0
2018-01-23,6.93,6.96,6.85,6.87,1225863.0,0.0,1.0,6.93,6.96,6.85,6.87,1225863.0
2018-01-22,6.82,6.96,6.8,6.93,1888723.0,0.0,1.0,6.82,6.96,6.8,6.93,1888723.0
2018-01-19,6.79,6.87,6.76,6.85,1267008.0,0.0,1.0,6.79,6.87,6.76,6.85,1267008.0
2018-01-18,6.83,6.85,6.75,6.8,1792657.0,0.0,1.0,6.83,6.85,6.75,6.8,1792657.0
2018-01-17,6.76,6.81,6.73,6.81,1630008.0,0.0,1.0,6.76,6.81,6.73,6.81,1630008.0
2018-01-16,6.85,6.89,6.725,6.76,1882617.0,0.0,1.0,6.85,6.89,6.725,6.76,1882617.0
2018-01-12,6.85,6.9,6.81,6.845,1383175.0,0.0,1.0,6.85,6.9,6.81,6.845,1383175.0
2018-01-11,6.71,6.85,6.7,6.85,1587284.0,0.0,1.0,6.71,6.85,6.7,6.85,1587284.0
2018-01-10,6.77,6.8,6.71,6.72,1492128.0,0.0,1.0,6.77,6.8,6.71,6.72,1492128.0
2018-01-09,6.88,6.885,6.75,6.77,2483920.0,0.0,1.0,6.88,6.885,6.75,6.77,2483920.0
2018-01-08,6.89,6.9074,6.84,6.87,1432576.0,0.0,1.0,6.89,6.9074,6.84,6.87,1432576.0
2018-01-05,6.92,6.95,6.85,6.9,1736459.0,0.0,1.0,6.92,6.95,6.85,6.9,1736459.0
2018-01-04,7.02,7.05,6.88,6.91,2780428.0,0.0,1.0,7.02,7.05,6.88,6.91,2780428.0
2018-01-03,6.95,7.05,6.93,7.01,2117999.0,0.0,1.0,6.95,7.05,6.93,7.01,2117999.0
2018-01-02,6.77,6.99,6.71,6.94,3431057.0,0.0,1.0,6.77,6.99,6.71,6.94,3431057.0
2017-12-29,6.93,6.97,6.74,6.74,6160655.0,0.0,1.0,6.93,6.97,6.74,6.74,6160655.0
2017-12-28,6.98,7.0,6.9,6.95,3069470.0,0.0,1.0,6.98,7.0,6.9,6.95,3069470.0
2017-12-27,7.11,7.15,7.01,7.05,2417746.0,0.0,1.0,7.11,7.15,7.01,7.05,2417746.0
2017-12-26,7.25,7.37,7.05,7.07,3238320.0,0.0,1.0,7.25,7.37,7.05,7.07,3238320.0
2017-12-22,7.12,7.28,7.12,7.26,5149342.0,0.0,1.0,7.12,7.28,7.12,7.26,5149342.0
2017-12-21,6.99,7.11,6.955,7.1,4263057.0,0.0,1.0,6.99,7.11,6.955,7.1,4263057.0
2017-12-20,6.93,6.99,6.93,6.96,1743899.0,0.0,1.0,6.93,6.99,6.93,6.96,1743899.0
2017-12-19,6.9,6.99,6.89,6.91,3132112.0,0.0,1.0,6.9,6.99,6.89,6.91,3132112.0
2017-12-18,6.87,6.97,6.84,6.88,3378280.0,0.0,1.0,6.87,6.97,6.84,6.88,3378280.0
2017-12-15,6.77,6.955,6.77,6.82,3897183.0,0.0,1.0,6.77,6.955,6.77,6.82,3897183.0
2017-12-14,6.79,6.86,6.75,6.8,2139778.0,0.0,1.0,6.79,6.86,6.75,6.8,2139778.0
2017-12-13,6.8,6.86,6.75,6.79,2022743.0,0.0,1.0,6.8,6.86,6.75,6.79,2022743.0
2017-12-12,6.85,6.88,6.77,6.78,2121577.0,0.0,1.0,6.85,6.88,6.77,6.78,2121577.0
2017-12-11,6.75,6.845,6.75,6.83,2015294.0,0.0,1.0,6.75,6.845,6.75,6.83,2015294.0
2017-12-08,6.71,6.79,6.66,6.76,2919277.0,0.0,1.0,6.71,6.79,6.66,6.76,2919277.0
2017-12-07,6.69,6.74,6.63,6.68,2128006.0,0.0,1.0,6.69,6.74,6.63,6.68,2128006.0
2017-12-06,6.69,6.74,6.6701,6.69,1697940.0,0.0,1.0,6.69,6.74,6.6701,6.69,1697940.0
2017-12-05,6.75,6.78,6.67,6.69,3021711.0,0.0,1.0,6.75,6.78,6.67,6.69,3021711.0
2017-12-04,6.8,6.86,6.71,6.73,3001600.0,0.0,1.0,6.8,6.86,6.71,6.73,3001600.0
2017-12-01,6.88,6.88,6.7201,6.79,3726634.0,0.0,1.0,6.88,6.88,6.7201,6.79,3726634.0
2017-11-30,6.91,6.91,6.84,6.85,2382620.0,0.0,1.0,6.91,6.91,6.84,6.85,2382620.0
2017-11-29,6.77,6.94,6.7601,6.87,4756491.0,0.0,1.0,6.77,6.94,6.7601,6.87,4756491.0
2017-11-28,6.85,6.905,6.825,6.84,3177839.0,0.0,1.0,6.85,6.905,6.825,6.84,3177839.0
2017-11-27,6.84,6.9,6.78,6.83,2400961.0,0.0,1.0,6.84,6.9,6.78,6.83,2400961.0
2017-11-24,6.88,6.96,6.79,6.8,1664379.0,0.0,1.0,6.88,6.96,6.79,6.8,1664379.0
2017-11-22,6.89,6.9,6.64,6.85,3981114.0,0.0,1.0,6.89,6.9,6.64,6.85,3981114.0
2017-11-21,6.98,7.03,6.83,6.91,4285832.0,0.0,1.0,6.98,7.03,6.83,6.91,4285832.0
2017-11-20,6.84,7.04,6.84,6.96,4490137.0,0.0,1.0,6.84,7.04,6.84,6.96,4490137.0
2017-11-17,6.66,6.96,6.61,6.89,7110568.0,0.0,1.0,6.66,6.96,6.61,6.89,7110568.0
2017-11-16,6.44,6.9,6.43,6.65,13630193.0,0.0,1.0,6.44,6.9,6.43,6.65,13630193.0
2017-11-15,6.16,6.54,6.08,6.38,9541415.0,0.0,1.0,6.16,6.54,6.08,6.38,9541415.0
2017-11-14,6.01,6.26,5.99,6.16,6789643.0,0.0,1.0,6.01,6.26,5.99,6.16,6789643.0
2017-11-13,5.96,6.11,5.86,6.02,5781973.0,0.0,1.0,5.96,6.11,5.86,6.02,5781973.0
2017-11-10,5.65,6.05,5.61,5.96,8449333.0,0.0,1.0,5.65,6.05,5.61,5.96,8449333.0
2017-11-09,5.99,5.99,5.61,5.62,5301081.0,0.0,1.0,5.99,5.99,5.61,5.62,5301081.0
2017-11-07,5.77,5.95,5.75,5.91,3763243.0,0.0,1.0,5.77,5.95,5.75,5.91,3763243.0
2017-11-06,5.69,5.78,5.64,5.77,3880964.0,0.0,1.0,5.69,5.78,5.64,5.77,3880964.0
2017-11-03,5.52,5.6777,5.51,5.65,4216948.0,0.0,1.0,5.52,5.6777,5.51,5.65,4216948.0
2017-11-02,5.85,5.86,5.51,5.56,10081411.0,0.0,1.0,5.85,5.86,5.51,5.56,10081411.0
2017-11-01,5.99,6.0,5.86,5.87,4812653.0,0.0,1.0,5.99,6.0,5.86,5.87,4812653.0
2017-10-31,6.01,6.11,5.99,5.99,3139391.0,0.0,1.0,6.01,6.11,5.99,5.99,3139391.0
2017-10-30,6.01,6.13,5.995,6.02,2794605.0,0.06,1.0,6.01,6.13,5.995,6.02,2794605.0
2017-10-27,6.05,6.06,5.96,6.05,2881053.0,0.0,1.0,5.9902960526316,6.000197368421099,5.901184210526299,5.9902960526316,2881053.0
2017-10-26,6.1,6.1129999999999995,5.96,6.06,4035664.0,0.0,1.0,6.039802631578901,6.052674342105299,5.901184210526299,6.000197368421099,4035664.0
2017-10-25,6.18,6.2,6.0,6.1,4628111.0,0.0,1.0,6.119013157894701,6.138815789473701,5.9407894736842,6.039802631578901,4628111.0
2017-10-24,6.22,6.28,6.14,6.17,2792789.0,0.0,1.0,6.1586184210526005,6.2180263157895,6.0794078947368,6.1091118421053,2792789.0
2017-10-23,6.32,6.35,6.2,6.21,3437254.0,0.0,1.0,6.2576315789474,6.2873355263158,6.138815789473701,6.1487171052631995,3437254.0
2017-10-20,6.36,6.39,6.33,6.36,2460155.0,0.0,1.0,6.297236842105299,6.3269407894737,6.2675328947368,6.297236842105299,2460155.0
2017-10-19,6.29,6.36,6.28,6.34,1949434.0,0.0,1.0,6.2279276315789005,6.297236842105299,6.2180263157895,6.2774342105263,1949434.0
2017-10-18,6.37,6.37,6.31,6.31,1901435.0,0.0,1.0,6.307138157894701,6.307138157894701,6.247730263157901,6.247730263157901,1901435.0
2017-10-17,6.31,6.39,6.3,6.36,2113092.0,0.0,1.0,6.247730263157901,6.3269407894737,6.2378289473684,6.297236842105299,2113092.0
2017-10-16,6.25,6.38,6.24,6.32,3048093.0,0.0,1.0,6.188322368421099,6.3170394736842,6.1784210526316,6.2576315789474,3048093.0
2017-10-13,6.21,6.31,6.2,6.27,3249685.0,0.0,1.0,6.1487171052631995,6.247730263157901,6.138815789473701,6.208125,3249685.0
2017-10-12,6.44,6.45,6.2,6.22,8090773.0,0.0,1.0,6.3764473684211,6.3863486842105,6.138815789473701,6.1586184210526005,8090773.0
2017-10-11,6.61,6.62,6.47,6.5,4861970.0,0.0,1.0,6.5447697368421,6.5546710526316,6.406151315789501,6.435855263157901,4861970.0
2017-10-10,6.65,6.66,6.6,6.63,2187223.0,0.0,1.0,6.584375,6.5942763157895,6.5348684210526,6.564572368421099,2187223.0
2017-10-09,6.65,6.71,6.65,6.66,1412017.0,0.0,1.0,6.584375,6.6437828947368,6.584375,6.5942763157895,1412017.0
2017-10-06,6.75,6.77,6.66,6.69,2216914.0,0.0,1.0,6.683388157894701,6.703190789473701,6.5942763157895,6.6239802631579,2216914.0
2017-10-05,6.78,6.82,6.75,6.78,2270383.0,0.0,1.0,6.7130921052631995,6.752697368421099,6.683388157894701,6.7130921052631995,2270383.0
2017-10-04,6.76,6.79,6.71,6.79,1621347.0,0.0,1.0,6.6932894736842,6.722993421052601,6.6437828947368,6.722993421052601,1621347.0
2017-10-03,6.74,6.78,6.69,6.74,2281469.0,0.0,1.0,6.673486842105299,6.7130921052631995,6.6239802631579,6.673486842105299,2281469.0
