Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2017-11-07,14.0,14.0,13.95,13.95,231444.0,0.0,1.0,14.0,14.0,13.95,13.95,231444.0
2017-11-06,14.0,14.0,13.95,14.0,62610.0,0.0,1.0,14.0,14.0,13.95,14.0,62610.0
2017-11-03,13.9,14.0,13.9,14.0,1165705.0,0.0,1.0,13.9,14.0,13.9,14.0,1165705.0
2017-11-02,13.95,13.95,13.9,13.95,229004.0,0.0,1.0,13.95,13.95,13.9,13.95,229004.0
2017-11-01,13.95,13.95,13.9,13.95,295534.0,0.0,1.0,13.95,13.95,13.9,13.95,295534.0
2017-10-31,13.9,13.95,13.9,13.9,1954830.0,0.0,1.0,13.9,13.95,13.9,13.9,1954830.0
2017-10-30,13.95,13.95,13.9,13.9,647078.0,0.0,1.0,13.95,13.95,13.9,13.9,647078.0
2017-10-27,13.95,13.95,13.9,13.95,118476.0,0.0,1.0,13.95,13.95,13.9,13.95,118476.0
2017-10-26,13.95,13.95,13.9,13.95,1097904.0,0.0,1.0,13.95,13.95,13.9,13.95,1097904.0
2017-10-25,13.9,13.95,13.9,13.9,268618.0,0.0,1.0,13.9,13.95,13.9,13.9,268618.0
2017-10-24,13.95,13.95,13.9,13.9,178586.0,0.0,1.0,13.95,13.95,13.9,13.9,178586.0
2017-10-23,13.95,13.95,13.9,13.95,150534.0,0.0,1.0,13.95,13.95,13.9,13.95,150534.0
2017-10-20,13.95,13.95,13.9,13.95,269025.0,0.0,1.0,13.95,13.95,13.9,13.95,269025.0
2017-10-19,13.9,13.95,13.9,13.9,269408.0,0.0,1.0,13.9,13.95,13.9,13.9,269408.0
2017-10-18,13.95,13.95,13.9,13.9,127303.0,0.0,1.0,13.95,13.95,13.9,13.9,127303.0
2017-10-17,13.95,13.95,13.9,13.9,108919.0,0.0,1.0,13.95,13.95,13.9,13.9,108919.0
2017-10-16,13.95,13.95,13.9,13.95,60722.0,0.0,1.0,13.95,13.95,13.9,13.95,60722.0
2017-10-13,13.9,13.95,13.9,13.95,120304.0,0.0,1.0,13.9,13.95,13.9,13.95,120304.0
2017-10-12,13.95,13.95,13.9,13.9,161716.0,0.0,1.0,13.95,13.95,13.9,13.9,161716.0
2017-10-11,13.9,13.95,13.9,13.95,374409.0,0.0,1.0,13.9,13.95,13.9,13.95,374409.0
2017-10-10,13.95,13.95,13.9,13.95,138383.0,0.0,1.0,13.95,13.95,13.9,13.95,138383.0
2017-10-09,13.95,13.95,13.9,13.95,210261.0,0.0,1.0,13.95,13.95,13.9,13.95,210261.0
2017-10-06,13.9,13.95,13.9,13.95,153200.0,0.0,1.0,13.9,13.95,13.9,13.95,153200.0
2017-10-05,13.95,13.95,13.925,13.95,151602.0,0.0,1.0,13.95,13.95,13.925,13.95,151602.0
2017-10-04,13.95,13.95,13.9,13.95,228316.0,0.0,1.0,13.95,13.95,13.9,13.95,228316.0
2017-10-03,13.95,13.95,13.925,13.95,240183.0,0.0,1.0,13.95,13.95,13.925,13.95,240183.0
2017-10-02,13.95,13.95,13.9,13.95,345823.0,0.0,1.0,13.95,13.95,13.9,13.95,345823.0
2017-09-29,13.95,13.95,13.9,13.95,223969.0,0.0,1.0,13.95,13.95,13.9,13.95,223969.0
2017-09-28,13.95,13.95,13.9,13.95,221020.0,0.0,1.0,13.95,13.95,13.9,13.95,221020.0
2017-09-27,13.95,13.95,13.9,13.95,112154.0,0.0,1.0,13.95,13.95,13.9,13.95,112154.0
2017-09-26,13.95,13.95,13.9,13.9,182225.0,0.0,1.0,13.95,13.95,13.9,13.9,182225.0
2017-09-25,13.95,13.95,13.9,13.9,333729.0,0.0,1.0,13.95,13.95,13.9,13.9,333729.0
2017-09-22,13.9,13.95,13.85,13.95,931229.0,0.0,1.0,13.9,13.95,13.85,13.95,931229.0
2017-09-21,13.9,13.9,13.85,13.9,291134.0,0.0,1.0,13.9,13.9,13.85,13.9,291134.0
2017-09-20,13.9,13.9,13.85,13.9,234560.0,0.0,1.0,13.9,13.9,13.85,13.9,234560.0
2017-09-19,13.85,13.9,13.85,13.9,193739.0,0.0,1.0,13.85,13.9,13.85,13.9,193739.0
2017-09-18,13.9,13.9,13.85,13.85,163155.0,0.0,1.0,13.9,13.9,13.85,13.85,163155.0
2017-09-15,13.85,13.9,13.85,13.9,591531.0,0.0,1.0,13.85,13.9,13.85,13.9,591531.0
2017-09-14,13.85,13.925,13.85,13.85,2627941.0,0.0,1.0,13.85,13.925,13.85,13.85,2627941.0
2017-09-13,13.85,13.9,13.85,13.85,403287.0,0.0,1.0,13.85,13.9,13.85,13.85,403287.0
2017-09-12,13.85,13.9,13.85,13.85,499415.0,0.0,1.0,13.85,13.9,13.85,13.85,499415.0
2017-09-11,13.85,13.9,13.85,13.85,178332.0,0.0,1.0,13.85,13.9,13.85,13.85,178332.0
2017-09-08,13.85,13.9,13.85,13.85,127953.0,0.0,1.0,13.85,13.9,13.85,13.85,127953.0
2017-09-07,13.9,13.925,13.85,13.85,887868.0,0.0,1.0,13.9,13.925,13.85,13.85,887868.0
2017-09-06,13.9,13.95,13.85,13.9,2324592.0,0.0,1.0,13.9,13.95,13.85,13.9,2324592.0
2017-09-05,13.9,13.9,13.85,13.9,656119.0,0.0,1.0,13.9,13.9,13.85,13.9,656119.0
2017-09-01,13.9,13.9,13.85,13.9,281227.0,0.0,1.0,13.9,13.9,13.85,13.9,281227.0
2017-08-31,13.85,13.9,13.85,13.85,464600.0,0.0,1.0,13.85,13.9,13.85,13.85,464600.0
2017-08-30,13.8,13.9,13.8,13.85,729250.0,0.0,1.0,13.8,13.9,13.8,13.85,729250.0
2017-08-29,13.8,13.85,13.8,13.8,578795.0,0.0,1.0,13.8,13.85,13.8,13.8,578795.0
2017-08-28,13.85,13.85,13.8,13.8,121200.0,0.0,1.0,13.85,13.85,13.8,13.8,121200.0
2017-08-25,13.85,13.85,13.8,13.85,152388.0,0.0,1.0,13.85,13.85,13.8,13.85,152388.0
2017-08-24,13.85,13.85,13.8,13.85,938246.0,0.0,1.0,13.85,13.85,13.8,13.85,938246.0
2017-08-23,13.85,13.85,13.8,13.85,126821.0,0.0,1.0,13.85,13.85,13.8,13.85,126821.0
2017-08-22,13.85,13.85,13.8,13.85,450004.0,0.0,1.0,13.85,13.85,13.8,13.85,450004.0
2017-08-21,13.85,13.85,13.8,13.85,2294187.0,0.0,1.0,13.85,13.85,13.8,13.85,2294187.0
2017-08-18,13.9,13.95,13.9,13.9,268696.0,0.0,1.0,13.9,13.95,13.9,13.9,268696.0
2017-08-17,13.9,13.95,13.9,13.9,686032.0,0.0,1.0,13.9,13.95,13.9,13.9,686032.0
2017-08-16,13.95,13.95,13.9,13.95,978378.0,0.0,1.0,13.95,13.95,13.9,13.95,978378.0
2017-08-15,13.9,13.95,13.9,13.9,446105.0,0.0,1.0,13.9,13.95,13.9,13.9,446105.0
2017-08-14,13.9,13.95,13.875,13.9,605231.0,0.0,1.0,13.9,13.95,13.875,13.9,605231.0
2017-08-11,13.9,13.925,13.85,13.85,898110.0,0.0,1.0,13.9,13.925,13.85,13.85,898110.0
2017-08-10,13.9,13.95,13.85,13.9,1103281.0,0.0,1.0,13.9,13.95,13.85,13.9,1103281.0
2017-08-09,13.85,13.95,13.85,13.95,1001529.0,0.0,1.0,13.85,13.95,13.85,13.95,1001529.0
2017-08-08,13.85,13.9,13.85,13.9,992801.0,0.0,1.0,13.85,13.9,13.85,13.9,992801.0
2017-08-07,13.9,13.925,13.85,13.85,1188069.0,0.0,1.0,13.9,13.925,13.85,13.85,1188069.0
2017-08-04,13.9,13.9,13.85,13.9,539562.0,0.0,1.0,13.9,13.9,13.85,13.9,539562.0
2017-08-03,13.85,13.9,13.85,13.9,279250.0,0.0,1.0,13.85,13.9,13.85,13.9,279250.0
2017-08-02,13.95,13.95,13.85,13.85,1610978.0,0.0,1.0,13.95,13.95,13.85,13.85,1610978.0
2017-08-01,13.9,13.95,13.875,13.9,903471.0,0.0,1.0,13.9,13.95,13.875,13.9,903471.0
2017-07-31,13.9,13.9,13.85,13.9,1330179.0,0.0,1.0,13.9,13.9,13.85,13.9,1330179.0
2017-07-28,13.9,13.9,13.85,13.85,327255.0,0.0,1.0,13.9,13.9,13.85,13.85,327255.0
2017-07-27,13.85,13.9,13.85,13.9,1223297.0,0.0,1.0,13.85,13.9,13.85,13.9,1223297.0
2017-07-26,13.85,13.9,13.85,13.85,175043.0,0.0,1.0,13.85,13.9,13.85,13.85,175043.0
2017-07-25,13.9,13.9,13.85,13.85,663032.0,0.0,1.0,13.9,13.9,13.85,13.85,663032.0
2017-07-24,13.85,13.9,13.85,13.85,969955.0,0.0,1.0,13.85,13.9,13.85,13.85,969955.0
2017-07-21,13.9,13.9,13.85,13.85,759887.0,0.0,1.0,13.9,13.9,13.85,13.85,759887.0
2017-07-20,13.95,13.95,13.85,13.85,1196043.0,0.0,1.0,13.95,13.95,13.85,13.85,1196043.0
2017-07-19,13.9,13.95,13.9,13.9,389025.0,0.0,1.0,13.9,13.95,13.9,13.9,389025.0
2017-07-18,13.95,13.95,13.9,13.9,682957.0,0.0,1.0,13.95,13.95,13.9,13.9,682957.0
2017-07-17,13.95,13.95,13.85,13.95,3818245.0,0.0,1.0,13.95,13.95,13.85,13.95,3818245.0
2017-07-14,13.9,13.95,13.9,13.95,665178.0,0.0,1.0,13.9,13.95,13.9,13.95,665178.0
2017-07-13,13.95,13.95,13.9,13.9,1166887.0,0.0,1.0,13.95,13.95,13.9,13.9,1166887.0
2017-07-12,13.95,13.95,13.9,13.95,1161351.0,0.0,1.0,13.95,13.95,13.9,13.95,1161351.0
2017-07-11,13.9,13.95,13.9,13.95,1089217.0,0.0,1.0,13.9,13.95,13.9,13.95,1089217.0
2017-07-10,13.95,13.95,13.9,13.9,2640289.0,0.0,1.0,13.95,13.95,13.9,13.9,2640289.0
2017-07-07,13.9,13.95,13.9,13.9,1509467.0,0.0,1.0,13.9,13.95,13.9,13.9,1509467.0
2017-07-06,13.9,13.95,13.9,13.9,992313.0,0.0,1.0,13.9,13.95,13.9,13.9,992313.0
2017-07-05,13.95,13.95,13.9,13.9,4470248.0,0.0,1.0,13.95,13.95,13.9,13.9,4470248.0
2017-07-03,14.05,14.25,13.9,13.95,9877716.0,0.0,1.0,14.05,14.25,13.9,13.95,9877716.0
2017-06-30,12.65,12.9,12.45,12.85,771192.0,0.0,1.0,12.65,12.9,12.45,12.85,771192.0
2017-06-29,12.5,12.8,12.3,12.6,946318.0,0.0,1.0,12.5,12.8,12.3,12.6,946318.0
2017-06-28,12.25,12.6,12.05,12.5,495940.0,0.0,1.0,12.25,12.6,12.05,12.5,495940.0
2017-06-27,12.45,12.95,12.1,12.15,1142055.0,0.0,1.0,12.45,12.95,12.1,12.15,1142055.0
2017-06-26,12.4,12.65,12.25,12.45,785423.0,0.0,1.0,12.4,12.65,12.25,12.45,785423.0
2017-06-23,12.0,12.35,11.9,12.3,700398.0,0.0,1.0,12.0,12.35,11.9,12.3,700398.0
2017-06-22,11.9,12.15,11.8,12.05,822789.0,0.0,1.0,11.9,12.15,11.8,12.05,822789.0
2017-06-21,11.65,11.925,11.5,11.85,673027.0,0.0,1.0,11.65,11.925,11.5,11.85,673027.0
2017-06-20,11.7,11.75,11.45,11.6,365558.0,0.0,1.0,11.7,11.75,11.45,11.6,365558.0
2017-06-19,11.25,11.85,11.2,11.7,905896.0,0.0,1.0,11.25,11.85,11.2,11.7,905896.0
2017-06-16,11.1,11.35,11.025,11.25,1059009.0,0.0,1.0,11.1,11.35,11.025,11.25,1059009.0
2017-06-15,10.9,11.3,10.749,11.25,683391.0,0.0,1.0,10.9,11.3,10.749,11.25,683391.0
2017-06-14,10.95,11.2,10.85,11.0,397554.0,0.0,1.0,10.95,11.2,10.85,11.0,397554.0
2017-06-13,11.0,11.1,10.8,10.9,343616.0,0.0,1.0,11.0,11.1,10.8,10.9,343616.0
2017-06-12,10.8,10.95,10.7,10.9,433972.0,0.0,1.0,10.8,10.95,10.7,10.9,433972.0
2017-06-09,10.95,11.0,10.55,10.85,645217.0,0.0,1.0,10.95,11.0,10.55,10.85,645217.0
2017-06-08,10.75,11.05,10.65,10.85,501817.0,0.0,1.0,10.75,11.05,10.65,10.85,501817.0
2017-06-07,10.8,10.85,10.55,10.65,271017.0,0.0,1.0,10.8,10.85,10.55,10.65,271017.0
2017-06-06,10.7,10.95,10.65,10.8,345584.0,0.0,1.0,10.7,10.95,10.65,10.8,345584.0
2017-06-05,10.7,10.8,10.6,10.75,545142.0,0.0,1.0,10.7,10.8,10.6,10.75,545142.0
2017-06-02,10.65,10.85,10.625,10.65,369702.0,0.0,1.0,10.65,10.85,10.625,10.65,369702.0
2017-06-01,10.45,10.8,10.25,10.65,613090.0,0.0,1.0,10.45,10.8,10.25,10.65,613090.0
2017-05-31,10.45,10.7,10.35,10.45,896893.0,0.0,1.0,10.45,10.7,10.35,10.45,896893.0
2017-05-30,10.55,10.7,10.4,10.4,372797.0,0.0,1.0,10.55,10.7,10.4,10.4,372797.0
2017-05-26,10.6,10.775,10.55,10.65,270014.0,0.0,1.0,10.6,10.775,10.55,10.65,270014.0
2017-05-25,10.65,10.85,10.55,10.55,296452.0,0.0,1.0,10.65,10.85,10.55,10.55,296452.0
2017-05-24,11.1,11.15,10.6,10.65,333105.0,0.0,1.0,11.1,11.15,10.6,10.65,333105.0
2017-05-23,10.75,11.2,10.6,11.1,522413.0,0.0,1.0,10.75,11.2,10.6,11.1,522413.0
2017-05-22,10.6,10.85,10.55,10.75,392179.0,0.0,1.0,10.6,10.85,10.55,10.75,392179.0
