Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,16.61,16.73,16.5,16.58,31094.0,0.0,1.0,16.61,16.73,16.5,16.58,31094.0
2018-03-26,16.6,16.66,16.22,16.6,67075.0,0.0,1.0,16.6,16.66,16.22,16.6,67075.0
2018-03-23,16.71,16.97,16.1,16.12,70362.0,0.0,1.0,16.71,16.97,16.1,16.12,70362.0
2018-03-22,16.46,16.895,16.46,16.7,74663.0,0.0,1.0,16.46,16.895,16.46,16.7,74663.0
2018-03-21,16.85,17.075,16.5564,16.6,49227.0,0.0,1.0,16.85,17.075,16.5564,16.6,49227.0
2018-03-20,17.17,17.2,16.021,16.82,23204.0,0.0,1.0,17.17,17.2,16.021,16.82,23204.0
2018-03-19,17.34,17.5,16.02,17.03,40572.0,0.0,1.0,17.34,17.5,16.02,17.03,40572.0
2018-03-16,16.52,17.48,16.52,17.4,154177.0,0.0,1.0,16.52,17.48,16.52,17.4,154177.0
2018-03-15,16.87,16.87,16.57,16.64,31860.0,0.0,1.0,16.87,16.87,16.57,16.64,31860.0
2018-03-14,16.87,16.96,16.77,16.88,14840.0,0.0,1.0,16.87,16.96,16.77,16.88,14840.0
2018-03-13,16.96,17.03,16.65,16.86,19544.0,0.0,1.0,16.96,17.03,16.65,16.86,19544.0
2018-03-12,17.05,17.05,16.735,16.89,27658.0,0.0,1.0,17.05,17.05,16.735,16.89,27658.0
2018-03-09,17.02,17.17,16.86,16.96,29431.0,0.0,1.0,17.02,17.17,16.86,16.96,29431.0
2018-03-08,16.99,17.105,16.88,16.97,18461.0,0.0,1.0,16.99,17.105,16.88,16.97,18461.0
2018-03-07,16.84,17.08,16.73,16.99,35873.0,0.0,1.0,16.84,17.08,16.73,16.99,35873.0
2018-03-06,16.99,17.159000000000002,16.74,16.94,27530.0,0.0,1.0,16.99,17.159000000000002,16.74,16.94,27530.0
2018-03-05,16.92,17.04,16.875,16.93,41443.0,0.0,1.0,16.92,17.04,16.875,16.93,41443.0
2018-03-02,16.39,17.1,16.2501,16.94,59242.0,0.0,1.0,16.39,17.1,16.2501,16.94,59242.0
2018-03-01,16.4,16.7299,16.2,16.47,39423.0,0.0,1.0,16.4,16.7299,16.2,16.47,39423.0
2018-02-28,16.61,16.71,16.33,16.4,61242.0,0.0,1.0,16.61,16.71,16.33,16.4,61242.0
2018-02-27,17.16,17.19,16.4101,16.6,57676.0,0.0,1.0,17.16,17.19,16.4101,16.6,57676.0
2018-02-26,17.39,17.4,17.1,17.18,82655.0,0.0,1.0,17.39,17.4,17.1,17.18,82655.0
2018-02-23,16.64,17.0,16.4,16.98,76690.0,0.0,1.0,16.64,17.0,16.4,16.98,76690.0
2018-02-22,16.06,16.6,15.8698,16.47,89948.0,0.0,1.0,16.06,16.6,15.8698,16.47,89948.0
2018-02-21,15.95,16.405,15.91,16.05,28217.0,0.0,1.0,15.95,16.405,15.91,16.05,28217.0
2018-02-20,16.1,16.26,15.89,15.9,35266.0,0.0,1.0,16.1,16.26,15.89,15.9,35266.0
2018-02-16,15.95,16.15,15.815,16.09,22556.0,0.0,1.0,15.95,16.15,15.815,16.09,22556.0
2018-02-15,16.07,16.165,15.92,16.0,25226.0,0.0,1.0,16.07,16.165,15.92,16.0,25226.0
2018-02-14,16.04,16.3,16.02,16.02,27796.0,0.0,1.0,16.04,16.3,16.02,16.02,27796.0
2018-02-13,16.07,16.23,16.05,16.09,31963.0,0.0,1.0,16.07,16.23,16.05,16.09,31963.0
2018-02-12,16.09,16.23,16.0,16.13,33518.0,0.0,1.0,16.09,16.23,16.0,16.13,33518.0
2018-02-09,16.28,16.28,15.96,16.14,57929.0,0.0,1.0,16.28,16.28,15.96,16.14,57929.0
2018-02-08,16.22,16.32,15.96,16.12,29396.0,0.0,1.0,16.22,16.32,15.96,16.12,29396.0
2018-02-07,16.07,16.31,15.89,16.23,25843.0,0.0,1.0,16.07,16.31,15.89,16.23,25843.0
2018-02-06,15.8,16.12,15.58,16.06,62731.0,0.0,1.0,15.8,16.12,15.58,16.06,62731.0
2018-02-05,16.25,16.74,15.91,15.965,54544.0,0.0,1.0,16.25,16.74,15.91,15.965,54544.0
2018-02-02,16.4,16.47,16.23,16.34,37990.0,0.0,1.0,16.4,16.47,16.23,16.34,37990.0
2018-02-01,16.5,16.61,16.38,16.45,24774.0,0.0,1.0,16.5,16.61,16.38,16.45,24774.0
2018-01-31,16.53,17.43,16.43,16.49,31075.0,0.0,1.0,16.53,17.43,16.43,16.49,31075.0
2018-01-30,16.45,17.33,16.42,16.46,30940.0,0.0,1.0,16.45,17.33,16.42,16.46,30940.0
2018-01-29,16.6,16.6299,16.4498,16.46,25385.0,0.0,1.0,16.6,16.6299,16.4498,16.46,25385.0
2018-01-26,16.64,16.9,16.56,16.62,6425.0,0.0,1.0,16.64,16.9,16.56,16.62,6425.0
2018-01-25,16.66,16.85,16.503,16.61,42591.0,0.0,1.0,16.66,16.85,16.503,16.61,42591.0
2018-01-24,16.83,16.83,16.5334,16.6,20858.0,0.0,1.0,16.83,16.83,16.5334,16.6,20858.0
2018-01-23,16.78,16.85,16.5,16.69,31283.0,0.0,1.0,16.78,16.85,16.5,16.69,31283.0
2018-01-22,16.98,17.0,16.725,16.81,27333.0,0.0,1.0,16.98,17.0,16.725,16.81,27333.0
