Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,18.79,19.52,18.79,18.99,2199180.0,0.0,1.0,18.79,19.52,18.79,18.99,2199180.0
2018-03-26,18.5,18.72,18.275,18.68,2275459.0,0.0,1.0,18.5,18.72,18.275,18.68,2275459.0
2018-03-23,18.94,19.09,18.26,18.26,2981680.0,0.0,1.0,18.94,19.09,18.26,18.26,2981680.0
2018-03-22,18.58,19.29,18.53,18.85,2659334.0,0.0,1.0,18.58,19.29,18.53,18.85,2659334.0
2018-03-21,18.27,19.03,18.27,18.82,2409057.0,0.0,1.0,18.27,19.03,18.27,18.82,2409057.0
2018-03-20,18.52,18.65,18.22,18.31,1554566.0,0.0,1.0,18.52,18.65,18.22,18.31,1554566.0
2018-03-19,18.17,18.67,17.92,18.57,1953957.0,0.0,1.0,18.17,18.67,17.92,18.57,1953957.0
2018-03-16,18.59,18.855,18.2,18.35,3148780.0,0.0,1.0,18.59,18.855,18.2,18.35,3148780.0
2018-03-15,18.89,19.04,18.335,18.51,3205694.0,0.0,1.0,18.89,19.04,18.335,18.51,3205694.0
2018-03-14,20.04,20.055,18.54,18.91,4762938.0,0.0,1.0,20.04,20.055,18.54,18.91,4762938.0
2018-03-13,20.14,20.59,19.84,19.99,2643025.0,0.0,1.0,20.14,20.59,19.84,19.99,2643025.0
2018-03-12,22.13,22.13,19.45,19.94,6238072.0,0.0,1.0,22.13,22.13,19.45,19.94,6238072.0
2018-03-09,21.75,22.29,21.63,22.21,1087868.0,0.0,1.0,21.75,22.29,21.63,22.21,1087868.0
2018-03-08,21.76,21.84,21.42,21.57,931055.0,0.0,1.0,21.76,21.84,21.42,21.57,931055.0
2018-03-07,21.0,21.9,20.91,21.78,1824958.0,0.0,1.0,21.0,21.9,20.91,21.78,1824958.0
2018-03-06,20.82,21.18,20.69,21.17,1491970.0,0.0,1.0,20.82,21.18,20.69,21.17,1491970.0
2018-03-05,20.6,20.91,20.37,20.8,727498.0,0.0,1.0,20.6,20.91,20.37,20.8,727498.0
2018-03-02,20.35,20.71,20.09,20.68,874333.0,0.0,1.0,20.35,20.71,20.09,20.68,874333.0
2018-03-01,20.46,20.6,20.2,20.48,767216.0,0.0,1.0,20.46,20.6,20.2,20.48,767216.0
2018-02-28,20.91,21.11,20.51,20.52,836397.0,0.0,1.0,20.91,21.11,20.51,20.52,836397.0
2018-02-27,21.24,21.56,20.88,20.9,1001650.0,0.0,1.0,21.24,21.56,20.88,20.9,1001650.0
2018-02-26,21.44,21.53,21.06,21.26,1916260.0,0.0,1.0,21.44,21.53,21.06,21.26,1916260.0
2018-02-23,21.08,21.35,21.04,21.33,695050.0,0.0,1.0,21.08,21.35,21.04,21.33,695050.0
2018-02-22,21.53,21.7,21.04,21.06,756425.0,0.0,1.0,21.53,21.7,21.04,21.06,756425.0
2018-02-21,21.26,21.78,21.16,21.43,1665435.0,0.0,1.0,21.26,21.78,21.16,21.43,1665435.0
2018-02-20,21.31,21.485,21.03,21.19,855807.0,0.0,1.0,21.31,21.485,21.03,21.19,855807.0
2018-02-16,21.15,21.51,21.12,21.41,833249.0,0.0,1.0,21.15,21.51,21.12,21.41,833249.0
2018-02-15,21.59,21.59,20.845,21.28,2603828.0,0.0,1.0,21.59,21.59,20.845,21.28,2603828.0
2018-02-14,20.81,21.59,20.76,21.51,2047018.0,0.0,1.0,20.81,21.59,20.76,21.51,2047018.0
2018-02-13,20.87,21.09,20.695,21.05,701630.0,0.0,1.0,20.87,21.09,20.695,21.05,701630.0
2018-02-12,20.78,21.02,20.6,20.95,1539647.0,0.0,1.0,20.78,21.02,20.6,20.95,1539647.0
