Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,13.75,13.8,13.45,13.5,203344.0,0.0,1.0,13.75,13.8,13.45,13.5,203344.0
2018-03-26,13.8,13.95,13.35,13.65,322813.0,0.0,1.0,13.8,13.95,13.35,13.65,322813.0
2018-03-23,13.85,13.95,13.5,13.6,378404.0,0.0,1.0,13.85,13.95,13.5,13.6,378404.0
2018-03-22,13.45,14.15,13.35,13.85,505550.0,0.0,1.0,13.45,14.15,13.35,13.85,505550.0
2018-03-21,13.25,13.55,13.01,13.45,357158.0,0.0,1.0,13.25,13.55,13.01,13.45,357158.0
2018-03-20,12.75,13.35,12.675,13.2,605388.0,0.0,1.0,12.75,13.35,12.675,13.2,605388.0
2018-03-19,12.35,12.855,12.3375,12.75,635199.0,0.0,1.0,12.35,12.855,12.3375,12.75,635199.0
2018-03-16,12.85,13.193,12.4,12.45,713562.0,0.0,1.0,12.85,13.193,12.4,12.45,713562.0
2018-03-15,12.65,13.0,12.55,12.75,911974.0,0.0,1.0,12.65,13.0,12.55,12.75,911974.0
2018-03-14,13.05,13.4008,12.9,12.95,693775.0,0.0,1.0,13.05,13.4008,12.9,12.95,693775.0
2018-03-13,12.5,13.055,11.95,12.65,728988.0,0.0,1.0,12.5,13.055,11.95,12.65,728988.0
2018-03-12,11.9,12.8,11.9,12.4,761690.0,0.0,1.0,11.9,12.8,11.9,12.4,761690.0
2018-03-09,11.15,11.9,11.05,11.8,465722.0,0.0,1.0,11.15,11.9,11.05,11.8,465722.0
2018-03-08,10.5,11.25,10.4498,11.0,608827.0,0.0,1.0,10.5,11.25,10.4498,11.0,608827.0
2018-03-07,10.1,10.45,10.05,10.35,202366.0,0.0,1.0,10.1,10.45,10.05,10.35,202366.0
2018-03-06,10.25,10.3,10.0,10.15,104006.0,0.0,1.0,10.25,10.3,10.0,10.15,104006.0
2018-03-05,10.1,10.3,10.075,10.25,112918.0,0.0,1.0,10.1,10.3,10.075,10.25,112918.0
2018-03-02,10.0,10.25,9.9,10.1,124410.0,0.0,1.0,10.0,10.25,9.9,10.1,124410.0
2018-03-01,10.0,10.2,9.9,10.05,208405.0,0.0,1.0,10.0,10.2,9.9,10.05,208405.0
2018-02-28,10.2,10.25,10.0,10.0,125406.0,0.0,1.0,10.2,10.25,10.0,10.0,125406.0
2018-02-27,10.15,10.35,10.0,10.15,125236.0,0.0,1.0,10.15,10.35,10.0,10.15,125236.0
2018-02-26,10.25,10.3,10.1,10.15,87306.0,0.0,1.0,10.25,10.3,10.1,10.15,87306.0
2018-02-23,10.15,10.25,10.05,10.2,70454.0,0.0,1.0,10.15,10.25,10.05,10.2,70454.0
2018-02-22,10.1,10.25,10.0,10.1,74569.0,0.0,1.0,10.1,10.25,10.0,10.1,74569.0
2018-02-21,10.0,10.35,10.0,10.15,112329.0,0.0,1.0,10.0,10.35,10.0,10.15,112329.0
2018-02-20,10.0,10.2,9.9,10.0,93463.0,0.0,1.0,10.0,10.2,9.9,10.0,93463.0
2018-02-16,9.95,10.1,9.9,10.05,87778.0,0.0,1.0,9.95,10.1,9.9,10.05,87778.0
2018-02-15,10.05,10.05,9.8,10.0,68984.0,0.0,1.0,10.05,10.05,9.8,10.0,68984.0
2018-02-14,10.0,10.2,9.95,10.0,149306.0,0.0,1.0,10.0,10.2,9.95,10.0,149306.0
2018-02-13,9.95,10.15,9.9,10.15,117629.0,0.0,1.0,9.95,10.15,9.9,10.15,117629.0
2018-02-12,9.8,10.05,9.75,9.95,167700.0,0.0,1.0,9.8,10.05,9.75,9.95,167700.0
2018-02-09,9.9,10.0,9.65,9.8,189376.0,0.0,1.0,9.9,10.0,9.65,9.8,189376.0
2018-02-08,10.0,10.05,9.8,9.825,128579.0,0.0,1.0,10.0,10.05,9.8,9.825,128579.0
2018-02-07,9.9,10.1,9.9,9.95,92531.0,0.0,1.0,9.9,10.1,9.9,9.95,92531.0
