Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,253.55,255.29,249.7,250.7,220541.0,0.0,1.0,253.55,255.29,249.7,250.7,220541.0
2018-03-26,251.29,252.6,248.77,252.45,227833.0,0.0,1.0,251.29,252.6,248.77,252.45,227833.0
2018-03-23,254.26,256.04,248.63,248.63,342944.0,0.0,1.0,254.26,256.04,248.63,248.63,342944.0
2018-03-22,257.86,258.93,253.17,253.29,274291.0,0.0,1.0,257.86,258.93,253.17,253.29,274291.0
2018-03-21,259.45,264.88,256.64,259.59,151795.0,0.0,1.0,259.45,264.88,256.64,259.59,151795.0
2018-03-20,263.13,263.13,260.12,260.26,210221.0,0.0,1.0,263.13,263.13,260.12,260.26,210221.0
2018-03-19,261.18,263.34,260.38,262.67,218766.0,0.0,1.0,261.18,263.34,260.38,262.67,218766.0
2018-03-16,259.37,263.63,259.37,261.4,539001.0,0.0,1.0,259.37,263.63,259.37,261.4,539001.0
2018-03-15,261.43,261.96,258.66,259.37,283085.0,0.0,1.0,261.43,261.96,258.66,259.37,283085.0
2018-03-14,262.35,263.25,259.3,260.37,279401.0,0.0,1.0,262.35,263.25,259.3,260.37,279401.0
2018-03-13,262.46,262.46,260.03,261.77,184433.0,0.0,1.0,262.46,262.46,260.03,261.77,184433.0
2018-03-12,262.24,263.35,260.36,261.39,212569.0,0.0,1.0,262.24,263.35,260.36,261.39,212569.0
2018-03-09,258.54,263.435,256.165,262.62,400192.0,0.0,1.0,258.54,263.435,256.165,262.62,400192.0
2018-03-08,255.39,257.68,253.71,257.31,256770.0,0.0,1.0,255.39,257.68,253.71,257.31,256770.0
2018-03-07,252.64,256.14,251.96,255.57,350524.0,0.0,1.0,252.64,256.14,251.96,255.57,350524.0
2018-03-06,252.62,255.47,249.335,254.7,423129.0,0.0,1.0,252.62,255.47,249.335,254.7,423129.0
2018-03-05,245.0,255.34,243.06,254.35,507208.0,0.0,1.0,245.0,255.34,243.06,254.35,507208.0
2018-03-02,237.34,239.27,236.99,239.0,226260.0,0.0,1.0,237.34,239.27,236.99,239.0,226260.0
2018-03-01,241.27,242.95,238.0,238.38,315380.0,0.0,1.0,241.27,242.95,238.0,238.38,315380.0
2018-02-28,244.47,245.02,240.24,240.24,283931.0,0.0,1.0,244.47,245.02,240.24,240.24,283931.0
2018-02-27,242.26,244.945,240.84,243.18,367282.0,0.0,1.0,242.26,244.945,240.84,243.18,367282.0
2018-02-26,243.66,243.66,240.13,241.63,335891.0,0.0,1.0,243.66,243.66,240.13,241.63,335891.0
2018-02-23,239.68,243.13,236.52,242.94,255433.0,0.0,1.0,239.68,243.13,236.52,242.94,255433.0
2018-02-22,240.86,243.4599,239.295,239.4,382345.0,0.0,1.0,240.86,243.4599,239.295,239.4,382345.0
2018-02-21,243.16,245.0,239.78,239.94,371748.0,0.0,1.0,243.16,245.0,239.78,239.94,371748.0
2018-02-20,243.17,245.0,240.62,243.26,373431.0,0.0,1.0,243.17,245.0,240.62,243.26,373431.0
2018-02-16,241.75,244.2,240.36,243.26,269624.0,0.0,1.0,241.75,244.2,240.36,243.26,269624.0
2018-02-15,243.51,244.65,240.06,242.39,368446.0,0.0,1.0,243.51,244.65,240.06,242.39,368446.0
2018-02-14,237.52,243.26,237.43,242.59,280150.0,0.0,1.0,237.52,243.26,237.43,242.59,280150.0
2018-02-13,239.15,239.15,236.42,238.18,380288.0,0.0,1.0,239.15,239.15,236.42,238.18,380288.0
2018-02-12,241.57,244.23,237.44,239.48,472345.0,0.0,1.0,241.57,244.23,237.44,239.48,472345.0
