Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,28.31,28.96,27.95,28.54,446752.0,0.0,1.0,28.31,28.96,27.95,28.54,446752.0
2018-03-26,28.15,28.28,27.84,28.24,375694.0,0.0,1.0,28.15,28.28,27.84,28.24,375694.0
2018-03-23,28.39,28.51,27.8,27.81,832564.0,0.0,1.0,28.39,28.51,27.8,27.81,832564.0
2018-03-22,28.36,28.92,28.36,28.41,1127618.0,0.0,1.0,28.36,28.92,28.36,28.41,1127618.0
2018-03-21,28.5,28.665,28.08,28.5,2233300.0,0.0,1.0,28.5,28.665,28.08,28.5,2233300.0
2018-03-20,28.48,28.635,28.22,28.54,515650.0,0.0,1.0,28.48,28.635,28.22,28.54,515650.0
2018-03-19,28.41,28.45,28.09,28.4,464840.0,0.0,1.0,28.41,28.45,28.09,28.4,464840.0
2018-03-16,28.15,28.51,28.045,28.39,1101847.0,0.0,1.0,28.15,28.51,28.045,28.39,1101847.0
2018-03-15,28.45,28.54,28.06,28.2,570830.0,0.0,1.0,28.45,28.54,28.06,28.2,570830.0
2018-03-14,28.44,28.56,28.25,28.41,564036.0,0.0,1.0,28.44,28.56,28.25,28.41,564036.0
2018-03-13,28.57,28.73,28.3,28.4,534960.0,0.0,1.0,28.57,28.73,28.3,28.4,534960.0
2018-03-12,28.3,28.67,28.26,28.49,525250.0,0.0,1.0,28.3,28.67,28.26,28.49,525250.0
2018-03-09,28.16,28.42,27.97,28.4,555278.0,0.0,1.0,28.16,28.42,27.97,28.4,555278.0
2018-03-08,28.17,28.25,28.03,28.17,432458.0,0.0,1.0,28.17,28.25,28.03,28.17,432458.0
2018-03-07,27.63,28.15,27.63,28.11,489315.0,0.0,1.0,27.63,28.15,27.63,28.11,489315.0
2018-03-06,27.7,27.845,27.34,27.71,538092.0,0.0,1.0,27.7,27.845,27.34,27.71,538092.0
2018-03-05,27.15,27.83,27.15,27.67,564426.0,0.0,1.0,27.15,27.83,27.15,27.67,564426.0
2018-03-02,27.13,27.3,26.935,27.24,780236.0,0.0,1.0,27.13,27.3,26.935,27.24,780236.0
2018-03-01,26.86,27.335,26.86,27.2,902185.0,0.0,1.0,26.86,27.335,26.86,27.2,902185.0
2018-02-28,27.23,27.55,26.93,27.0,1109691.0,0.0,1.0,27.23,27.55,26.93,27.0,1109691.0
2018-02-27,27.76,27.89,27.08,27.08,730435.0,0.0,1.0,27.76,27.89,27.08,27.08,730435.0
2018-02-26,27.81,27.872,27.52,27.68,280475.0,0.0,1.0,27.81,27.872,27.52,27.68,280475.0
2018-02-23,27.35,27.74,27.31,27.73,265456.0,0.0,1.0,27.35,27.74,27.31,27.73,265456.0
2018-02-22,27.11,27.41,26.93,27.28,466742.0,0.0,1.0,27.11,27.41,26.93,27.28,466742.0
