Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,15.01,15.07,14.83,14.92,195180.0,0.0,1.0,15.01,15.07,14.83,14.92,195180.0
2018-03-26,14.94,15.01,14.84,14.99,190051.0,0.0,1.0,14.94,15.01,14.84,14.99,190051.0
2018-03-23,15.22,15.22,14.73,14.77,220730.0,0.0,1.0,15.22,15.22,14.73,14.77,220730.0
2018-03-22,15.06,15.3,15.06,15.21,249345.0,0.0,1.0,15.06,15.3,15.06,15.21,249345.0
2018-03-21,15.84,15.89,14.96,15.15,390892.0,0.0,1.0,15.84,15.89,14.96,15.15,390892.0
2018-03-20,16.06,16.17,15.9,15.91,114600.0,0.0,1.0,16.06,16.17,15.9,15.91,114600.0
2018-03-19,16.0,16.2,15.81,16.07,166051.0,0.0,1.0,16.0,16.2,15.81,16.07,166051.0
2018-03-16,16.08,16.52,16.0,16.0,376628.0,0.0,1.0,16.08,16.52,16.0,16.0,376628.0
2018-03-15,16.01,16.11,15.91,16.04,403902.0,0.0,1.0,16.01,16.11,15.91,16.04,403902.0
2018-03-14,15.89,16.12,15.81,16.01,184905.0,0.0,1.0,15.89,16.12,15.81,16.01,184905.0
2018-03-13,15.96,16.14,15.66,15.82,211970.0,0.0,1.0,15.96,16.14,15.66,15.82,211970.0
2018-03-12,15.99,16.14,15.91,15.92,237428.0,0.0,1.0,15.99,16.14,15.91,15.92,237428.0
2018-03-09,16.08,16.09,15.75,15.98,202673.0,0.0,1.0,16.08,16.09,15.75,15.98,202673.0
2018-03-08,16.17,16.31,15.99,16.01,127274.0,0.0,1.0,16.17,16.31,15.99,16.01,127274.0
2018-03-07,16.08,16.25,15.97,16.12,302378.0,0.0,1.0,16.08,16.25,15.97,16.12,302378.0
2018-03-06,16.0,16.27,15.94,16.18,149656.0,0.0,1.0,16.0,16.27,15.94,16.18,149656.0
2018-03-05,15.95,16.04,15.79,15.9,177812.0,0.0,1.0,15.95,16.04,15.79,15.9,177812.0
2018-03-02,15.77,16.06,15.7,16.01,165090.0,0.0,1.0,15.77,16.06,15.7,16.01,165090.0
2018-03-01,16.1,16.135,15.7493,15.85,187994.0,0.0,1.0,16.1,16.135,15.7493,15.85,187994.0
2018-02-28,16.55,16.85,16.09,16.09,249535.0,0.0,1.0,16.55,16.85,16.09,16.09,249535.0
2018-02-27,16.95,17.13,16.5,16.55,228139.0,0.0,1.0,16.95,17.13,16.5,16.55,228139.0
2018-02-26,16.7,17.13,16.67,17.0,152134.0,0.0,1.0,16.7,17.13,16.67,17.0,152134.0
2018-02-23,16.67,16.8,16.57,16.65,231059.0,0.0,1.0,16.67,16.8,16.57,16.65,231059.0
2018-02-22,16.45,16.76,16.01,16.55,174300.0,0.0,1.0,16.45,16.76,16.01,16.55,174300.0
2018-02-21,16.15,16.69,16.15,16.44,197706.0,0.0,1.0,16.15,16.69,16.15,16.44,197706.0
2018-02-20,16.44,16.45,16.14,16.18,265225.0,0.0,1.0,16.44,16.45,16.14,16.18,265225.0
2018-02-16,16.27,16.98,16.27,16.5,223390.0,0.0,1.0,16.27,16.98,16.27,16.5,223390.0
2018-02-15,16.43,16.575,16.28,16.3,172877.0,0.0,1.0,16.43,16.575,16.28,16.3,172877.0
2018-02-14,16.18,16.48,15.74,16.35,280835.0,0.0,1.0,16.18,16.48,15.74,16.35,280835.0
2018-02-13,16.79,16.92,15.75,16.3,371949.0,0.0,1.0,16.79,16.92,15.75,16.3,371949.0
2018-02-12,15.7,16.95,15.66,16.85,359962.0,0.0,1.0,15.7,16.95,15.66,16.85,359962.0
2018-02-09,15.56,15.78,15.36,15.63,266068.0,0.0,1.0,15.56,15.78,15.36,15.63,266068.0
2018-02-08,15.26,15.69,15.26,15.45,179756.0,0.0,1.0,15.26,15.69,15.26,15.45,179756.0
2018-02-07,15.45,15.49,15.15,15.23,192205.0,0.0,1.0,15.45,15.49,15.15,15.23,192205.0
2018-02-06,15.01,15.52,15.01,15.44,217436.0,0.0,1.0,15.01,15.52,15.01,15.44,217436.0
2018-02-05,15.28,15.54,15.21,15.29,305982.0,0.0,1.0,15.28,15.54,15.21,15.29,305982.0
2018-02-02,15.64,15.64,15.22,15.41,313135.0,0.0,1.0,15.64,15.64,15.22,15.41,313135.0
2018-02-01,16.0,16.06,14.81,15.68,397116.0,0.0,1.0,16.0,16.06,14.81,15.68,397116.0
2018-01-31,16.0,16.0646,15.78,15.92,130478.0,0.0,1.0,16.0,16.0646,15.78,15.92,130478.0
2018-01-30,16.0,16.09,15.800999999999998,15.92,120693.0,0.0,1.0,16.0,16.09,15.800999999999998,15.92,120693.0
2018-01-29,15.93,16.24,15.93,16.1,93652.0,0.0,1.0,15.93,16.24,15.93,16.1,93652.0
2018-01-26,15.96,16.12,15.77,16.03,296612.0,0.0,1.0,15.96,16.12,15.77,16.03,296612.0
2018-01-25,15.71,15.92,15.67,15.89,95496.0,0.0,1.0,15.71,15.92,15.67,15.89,95496.0
2018-01-24,15.52,15.8,15.49,15.65,117046.0,0.0,1.0,15.52,15.8,15.49,15.65,117046.0
2018-01-23,15.53,15.53,15.3,15.47,67807.0,0.0,1.0,15.53,15.53,15.3,15.47,67807.0
2018-01-22,15.82,15.82,15.44,15.49,45771.0,0.0,1.0,15.82,15.82,15.44,15.49,45771.0
2018-01-19,15.47,15.95,15.47,15.86,72434.0,0.0,1.0,15.47,15.95,15.47,15.86,72434.0
2018-01-18,15.51,15.6,15.23,15.5,79493.0,0.0,1.0,15.51,15.6,15.23,15.5,79493.0
2018-01-17,15.51,15.55,15.382,15.53,71808.0,0.0,1.0,15.51,15.55,15.382,15.53,71808.0
2018-01-16,15.5,15.69,15.22,15.45,92741.0,0.0,1.0,15.5,15.69,15.22,15.45,92741.0
2018-01-12,15.36,15.55,15.19,15.37,70114.0,0.0,1.0,15.36,15.55,15.19,15.37,70114.0
2018-01-11,15.04,15.375,14.88,15.37,83282.0,0.0,1.0,15.04,15.375,14.88,15.37,83282.0
2018-01-10,15.45,15.45,15.06,15.06,79356.0,0.0,1.0,15.45,15.45,15.06,15.06,79356.0
2018-01-09,16.06,16.06,15.53,15.55,146284.0,0.0,1.0,16.06,16.06,15.53,15.55,146284.0
2018-01-08,15.48,16.23,15.3,16.09,164141.0,0.0,1.0,15.48,16.23,15.3,16.09,164141.0
2018-01-05,15.61,15.61,15.32,15.59,84695.0,0.0,1.0,15.61,15.61,15.32,15.59,84695.0
2018-01-04,15.54,15.62,15.28,15.59,63092.0,0.0,1.0,15.54,15.62,15.28,15.59,63092.0
2018-01-03,15.67,15.705,15.42,15.46,70309.0,0.0,1.0,15.67,15.705,15.42,15.46,70309.0
2018-01-02,15.46,15.72,15.38,15.65,117803.0,0.0,1.0,15.46,15.72,15.38,15.65,117803.0
2017-12-29,15.72,15.73,15.33,15.36,100271.0,0.0,1.0,15.72,15.73,15.33,15.36,100271.0
2017-12-28,15.74,15.8,15.6,15.72,80048.0,0.0,1.0,15.74,15.8,15.6,15.72,80048.0
2017-12-27,15.79,15.98,15.71,15.76,251259.0,0.0,1.0,15.79,15.98,15.71,15.76,251259.0
2017-12-26,15.42,15.85,15.37,15.77,115989.0,0.0,1.0,15.42,15.85,15.37,15.77,115989.0
2017-12-22,15.72,15.85,15.45,15.47,70761.0,0.0,1.0,15.72,15.85,15.45,15.47,70761.0
