Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,89.91,90.36,86.98,87.65,1034353.0,0.0,1.0,89.91,90.36,86.98,87.65,1034353.0
2018-03-26,88.74,89.65,87.1,89.56,899735.0,0.0,1.0,88.74,89.65,87.1,89.56,899735.0
2018-03-23,91.51,92.19,86.9,87.15,1455620.0,0.0,1.0,91.51,92.19,86.9,87.15,1455620.0
2018-03-22,95.64,95.85,91.46,91.6,812963.0,0.0,1.0,95.64,95.85,91.46,91.6,812963.0
2018-03-21,96.33,98.045,96.08,96.85,624024.0,0.0,1.0,96.33,98.045,96.08,96.85,624024.0
2018-03-20,96.74,96.89,95.96,96.45,453027.0,0.0,1.0,96.74,96.89,95.96,96.45,453027.0
2018-03-19,97.12,97.3,94.84,96.52,862159.0,0.0,1.0,97.12,97.3,94.84,96.52,862159.0
2018-03-16,95.66,97.88,95.5568,97.57,1271806.0,0.0,1.0,95.66,97.88,95.5568,97.57,1271806.0
2018-03-15,96.09,96.58,94.94,95.42,1068493.0,0.0,1.0,96.09,96.58,94.94,95.42,1068493.0
2018-03-14,97.53,97.53,95.58,95.82,479227.0,0.0,1.0,97.53,97.53,95.58,95.82,479227.0
2018-03-13,98.8,99.14,96.91,97.25,686904.0,0.0,1.0,98.8,99.14,96.91,97.25,686904.0
2018-03-12,98.69,99.26,98.09,98.24,490781.0,0.0,1.0,98.69,99.26,98.09,98.24,490781.0
2018-03-09,97.11,98.76,96.875,98.75,694783.0,0.0,1.0,97.11,98.76,96.875,98.75,694783.0
2018-03-08,96.31,96.39,94.79,96.26,726927.0,0.0,1.0,96.31,96.39,94.79,96.26,726927.0
2018-03-07,94.77,96.23,94.47,96.0,696824.0,0.0,1.0,94.77,96.23,94.47,96.0,696824.0
2018-03-06,94.25,95.87,93.1628,95.85,897510.0,0.0,1.0,94.25,95.87,93.1628,95.85,897510.0
2018-03-05,91.2,94.05,90.68,93.61,578046.0,0.0,1.0,91.2,94.05,90.68,93.61,578046.0
2018-03-02,91.29,92.1,89.64,91.86,651882.0,0.0,1.0,91.29,92.1,89.64,91.86,651882.0
2018-03-01,92.72,93.66,91.275,92.02,1403555.0,0.0,1.0,92.72,93.66,91.275,92.02,1403555.0
2018-02-28,94.02,94.5899,92.69,92.71,1248162.0,0.0,1.0,94.02,94.5899,92.69,92.71,1248162.0
2018-02-27,93.6,95.07,93.02,93.7,1264669.0,0.0,1.0,93.6,95.07,93.02,93.7,1264669.0
2018-02-26,91.93,92.64,90.96,92.6,408210.0,0.0,1.0,91.93,92.64,90.96,92.6,408210.0
2018-02-23,90.18,91.47,90.07,91.47,638762.0,0.0,1.0,90.18,91.47,90.07,91.47,638762.0
2018-02-22,91.57,92.8,89.88,90.08,575218.0,0.0,1.0,91.57,92.8,89.88,90.08,575218.0
2018-02-21,92.21,92.99,91.18,91.22,795978.0,0.0,1.0,92.21,92.99,91.18,91.22,795978.0
2018-02-20,92.22,93.17,91.83,92.23,688044.0,0.0,1.0,92.22,93.17,91.83,92.23,688044.0
2018-02-16,90.96,92.85,90.83,92.56,873696.0,0.0,1.0,90.96,92.85,90.83,92.56,873696.0
2018-02-15,91.97,92.39,90.45,91.31,849164.0,0.0,1.0,91.97,92.39,90.45,91.31,849164.0
2018-02-14,88.41,91.07,88.24,91.02,1113804.0,0.0,1.0,88.41,91.07,88.24,91.02,1113804.0
2018-02-13,88.45,89.1,87.57,88.73,644612.0,0.0,1.0,88.45,89.1,87.57,88.73,644612.0
2018-02-12,87.84,89.83,87.27,89.01,1208688.0,0.0,1.0,87.84,89.83,87.27,89.01,1208688.0
2018-02-09,86.87,87.68,84.37,87.08,1338421.0,0.0,1.0,86.87,87.68,84.37,87.08,1338421.0
2018-02-08,91.13,91.13,86.02,86.06,1211818.0,0.0,1.0,91.13,91.13,86.02,86.06,1211818.0
2018-02-07,90.78,92.79,90.78,91.05,706075.0,0.0,1.0,90.78,92.79,90.78,91.05,706075.0
2018-02-06,87.73,91.64,86.9,91.42,1016922.0,0.0,1.0,87.73,91.64,86.9,91.42,1016922.0
2018-02-05,93.0,94.61,89.615,89.79,893913.0,0.0,1.0,93.0,94.61,89.615,89.79,893913.0
2018-02-02,96.81,97.32,94.0,94.33,657027.0,0.0,1.0,96.81,97.32,94.0,94.33,657027.0
2018-02-01,96.22,97.3956,95.2223,97.36,1269390.0,0.0,1.0,96.22,97.3956,95.2223,97.36,1269390.0
2018-01-31,95.63,96.77,95.63,96.39,855987.0,0.0,1.0,95.63,96.77,95.63,96.39,855987.0
2018-01-30,96.44,97.31,95.52,95.71,711081.0,0.0,1.0,96.44,97.31,95.52,95.71,711081.0
2018-01-29,98.22,99.1,96.89,96.99,637575.0,0.0,1.0,98.22,99.1,96.89,96.99,637575.0
2018-01-26,96.72,98.33,95.8,98.26,1359908.0,0.0,1.0,96.72,98.33,95.8,98.26,1359908.0
2018-01-25,98.0,98.78,94.77,95.85,1146224.0,0.0,1.0,98.0,98.78,94.77,95.85,1146224.0
2018-01-24,97.05,97.42,95.71,96.9,988071.0,0.0,1.0,97.05,97.42,95.71,96.9,988071.0
2018-01-23,96.33,96.75,95.41,96.57,668365.0,0.0,1.0,96.33,96.75,95.41,96.57,668365.0
2018-01-22,96.2,96.58,95.2,96.56,709634.0,0.0,1.0,96.2,96.58,95.2,96.56,709634.0
2018-01-19,95.61,96.45,95.56,96.19,605262.0,0.0,1.0,95.61,96.45,95.56,96.19,605262.0
2018-01-18,96.34,96.87,95.32,95.4,795058.0,0.0,1.0,96.34,96.87,95.32,95.4,795058.0
2018-01-17,96.07,96.66,94.8201,96.25,715752.0,0.0,1.0,96.07,96.66,94.8201,96.25,715752.0
2018-01-16,97.35,97.83,94.965,95.6,1029227.0,0.0,1.0,97.35,97.83,94.965,95.6,1029227.0
2018-01-12,95.81,96.79,95.07,96.79,887185.0,0.0,1.0,95.81,96.79,95.07,96.79,887185.0
2018-01-11,94.59,95.24,94.17,95.17,792643.0,0.0,1.0,94.59,95.24,94.17,95.17,792643.0
2018-01-10,93.24,95.23,93.235,94.4,1408339.0,0.0,1.0,93.24,95.23,93.235,94.4,1408339.0
2018-01-09,91.93,93.95,91.93,93.15,1083521.0,0.0,1.0,91.93,93.95,91.93,93.15,1083521.0
2018-01-08,91.04,91.905,90.37,91.69,740471.0,0.0,1.0,91.04,91.905,90.37,91.69,740471.0
2018-01-05,90.96,90.98,90.15,90.95,1162469.0,0.0,1.0,90.96,90.98,90.15,90.95,1162469.0
2018-01-04,90.0,91.66,90.0,90.54,1119982.0,0.0,1.0,90.0,91.66,90.0,90.54,1119982.0
2018-01-03,89.34,90.355,88.7101,89.8,920004.0,0.0,1.0,89.34,90.355,88.7101,89.8,920004.0
2018-01-02,89.61,89.61,88.15,88.86,931129.0,0.0,1.0,89.61,89.61,88.15,88.86,931129.0
2017-12-29,90.12,90.24,89.29,89.3,503634.0,0.0,1.0,90.12,90.24,89.29,89.3,503634.0
2017-12-28,90.0,90.0,89.175,89.83,499629.0,0.0,1.0,90.0,90.0,89.175,89.83,499629.0
2017-12-27,90.06,90.06,89.32,89.65,611338.0,0.0,1.0,90.06,90.06,89.32,89.65,611338.0
2017-12-26,90.82,90.97,89.67,89.91,657714.0,0.0,1.0,90.82,90.97,89.67,89.91,657714.0
2017-12-22,90.36,90.99,89.9,90.64,723554.0,0.0,1.0,90.36,90.99,89.9,90.64,723554.0
2017-12-21,88.895,90.37,88.58,90.35,1301897.0,0.0,1.0,88.895,90.37,88.58,90.35,1301897.0
2017-12-20,89.19,89.55,87.78,88.3,761293.0,0.0,1.0,89.19,89.55,87.78,88.3,761293.0
2017-12-19,89.26,89.57,88.63,88.67,719462.0,0.0,1.0,89.26,89.57,88.63,88.67,719462.0
2017-12-18,89.28,89.795,88.18,88.95,758391.0,0.0,1.0,89.28,89.795,88.18,88.95,758391.0
2017-12-15,87.16,89.065,86.86,88.24,1189179.0,0.0,1.0,87.16,89.065,86.86,88.24,1189179.0
2017-12-14,87.76,88.34,86.36,86.64,997894.0,0.0,1.0,87.76,88.34,86.36,86.64,997894.0
2017-12-13,89.6,89.6,87.86,87.86,741496.0,0.0,1.0,89.6,89.6,87.86,87.86,741496.0
2017-12-12,89.4,90.41,88.985,89.53,733628.0,0.0,1.0,89.4,90.41,88.985,89.53,733628.0
2017-12-11,89.41,89.415,88.62,89.04,526629.0,0.0,1.0,89.41,89.415,88.62,89.04,526629.0
2017-12-08,89.03,89.49,87.9,89.49,468643.0,0.0,1.0,89.03,89.49,87.9,89.49,468643.0
2017-12-07,87.46,89.22,87.1801,88.46,495239.0,0.0,1.0,87.46,89.22,87.1801,88.46,495239.0
2017-12-06,88.2,88.61,87.66,87.72,525464.0,0.0,1.0,88.2,88.61,87.66,87.72,525464.0
2017-12-05,90.46,90.46,88.15,88.32,675018.0,0.0,1.0,90.46,90.46,88.15,88.32,675018.0
2017-12-04,89.35,91.29,89.35,90.11,1050230.0,0.0,1.0,89.35,91.29,89.35,90.11,1050230.0
2017-12-01,88.19,88.29,84.97,88.24,1397782.0,0.0,1.0,88.19,88.29,84.97,88.24,1397782.0
2017-11-30,89.11,90.2705,88.26,88.3,949000.0,0.0,1.0,89.11,90.2705,88.26,88.3,949000.0
2017-11-29,87.64,89.5,87.53,88.4,786933.0,0.0,1.0,87.64,89.5,87.53,88.4,786933.0
2017-11-28,85.46,87.1599,85.14,87.04,720984.0,0.0,1.0,85.46,87.1599,85.14,87.04,720984.0
2017-11-27,84.95,85.73,84.83,85.29,514684.0,0.0,1.0,84.95,85.73,84.83,85.29,514684.0
