Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,26.64,27.5297,26.56,27.16,1531844.0,0.0,1.0,26.64,27.5297,26.56,27.16,1531844.0
2018-03-26,26.64,26.67,26.39,26.64,1329244.0,0.0,1.0,26.64,26.67,26.39,26.64,1329244.0
2018-03-23,26.68,26.84,26.27,26.32,1960084.0,0.0,1.0,26.68,26.84,26.27,26.32,1960084.0
2018-03-22,26.82,27.09,26.63,26.65,2463465.0,0.0,1.0,26.82,27.09,26.63,26.65,2463465.0
2018-03-21,27.31,27.34,26.85,27.0,3223945.0,0.0,1.0,27.31,27.34,26.85,27.0,3223945.0
2018-03-20,26.53,27.38,26.39,27.26,2377173.0,0.0,1.0,26.53,27.38,26.39,27.26,2377173.0
2018-03-19,26.63,26.65,26.27,26.47,1383570.0,0.0,1.0,26.63,26.65,26.27,26.47,1383570.0
2018-03-16,26.55,26.87,26.46,26.66,1834278.0,0.0,1.0,26.55,26.87,26.46,26.66,1834278.0
2018-03-15,26.59,26.64,26.32,26.5,1808471.0,0.0,1.0,26.59,26.64,26.32,26.5,1808471.0
2018-03-14,26.77,26.91,26.41,26.5,1664562.0,0.0,1.0,26.77,26.91,26.41,26.5,1664562.0
2018-03-13,26.75,27.51,26.63,26.72,2417792.0,0.0,1.0,26.75,27.51,26.63,26.72,2417792.0
2018-03-12,26.08,26.76,26.0301,26.66,2108877.0,0.0,1.0,26.08,26.76,26.0301,26.66,2108877.0
2018-03-09,25.81,26.21,25.55,26.17,2150349.0,0.0,1.0,25.81,26.21,25.55,26.17,2150349.0
2018-03-08,25.75,26.055,25.66,25.71,1200255.0,0.0,1.0,25.75,26.055,25.66,25.71,1200255.0
2018-03-07,25.01,25.94,24.9761,25.77,1722583.0,0.0,1.0,25.01,25.94,24.9761,25.77,1722583.0
2018-03-06,25.28,25.45,24.84,25.29,2570753.0,0.0,1.0,25.28,25.45,24.84,25.29,2570753.0
2018-03-05,25.7,25.91,25.27,25.3,1992976.0,0.0,1.0,25.7,25.91,25.27,25.3,1992976.0
2018-03-02,25.22,25.98,24.89,25.93,1936488.0,0.0,1.0,25.22,25.98,24.89,25.93,1936488.0
2018-03-01,25.37,26.2,25.1501,25.35,1733886.0,0.0,1.0,25.37,26.2,25.1501,25.35,1733886.0
2018-02-28,25.8,25.83,25.19,25.55,5017317.0,0.0,1.0,25.8,25.83,25.19,25.55,5017317.0
2018-02-27,24.73,26.17,24.05,25.85,5054004.0,0.0,1.0,24.73,26.17,24.05,25.85,5054004.0
2018-02-26,24.25,24.93,24.25,24.71,3579650.0,0.0,1.0,24.25,24.93,24.25,24.71,3579650.0
2018-02-23,24.09,24.72,24.07,24.21,1788800.0,0.0,1.0,24.09,24.72,24.07,24.21,1788800.0
2018-02-22,24.36,24.83,23.86,23.97,2995567.0,0.0,1.0,24.36,24.83,23.86,23.97,2995567.0
