Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,13.05,14.1,13.05,13.4,25340.0,0.0,1.0,13.05,14.1,13.05,13.4,25340.0
2018-03-26,14.0,14.0,13.45,13.85,20786.0,0.0,1.0,14.0,14.0,13.45,13.85,20786.0
2018-03-23,14.05,14.1,13.7,13.85,45896.0,0.0,1.0,14.05,14.1,13.7,13.85,45896.0
2018-03-22,13.7,14.25,13.4,14.0,17072.0,0.0,1.0,13.7,14.25,13.4,14.0,17072.0
2018-03-21,13.05,14.12,13.05,14.0,22333.0,0.0,1.0,13.05,14.12,13.05,14.0,22333.0
2018-03-20,13.5,13.8,12.95,13.05,32945.0,0.0,1.0,13.5,13.8,12.95,13.05,32945.0
2018-03-19,14.3,14.3,13.25,13.4,33543.0,0.0,1.0,14.3,14.3,13.25,13.4,33543.0
2018-03-16,13.9,14.45,13.85,14.35,35945.0,0.0,1.0,13.9,14.45,13.85,14.35,35945.0
2018-03-15,14.35,14.55,13.85,13.95,16080.0,0.0,1.0,14.35,14.55,13.85,13.95,16080.0
2018-03-14,14.8,14.8,14.35,14.45,18406.0,0.0,1.0,14.8,14.8,14.35,14.45,18406.0
2018-03-13,15.45,15.45,14.4,14.65,20266.0,0.0,1.0,15.45,15.45,14.4,14.65,20266.0
2018-03-12,14.5,15.45,14.5,15.3,30241.0,0.0,1.0,14.5,15.45,14.5,15.3,30241.0
2018-03-09,14.45,14.65,13.832,14.5,22367.0,0.0,1.0,14.45,14.65,13.832,14.5,22367.0
2018-03-08,14.35,14.6,14.005,14.3,19837.0,0.0,1.0,14.35,14.6,14.005,14.3,19837.0
2018-03-07,13.35,14.85,13.35,14.45,31978.0,0.0,1.0,13.35,14.85,13.35,14.45,31978.0
2018-03-06,13.7,14.2,13.5,13.55,42495.0,0.0,1.0,13.7,14.2,13.5,13.55,42495.0
2018-03-05,13.2,14.05,13.2,13.7,32757.0,0.0,1.0,13.2,14.05,13.2,13.7,32757.0
2018-03-02,13.45,14.025,13.3,13.35,34600.0,0.0,1.0,13.45,14.025,13.3,13.35,34600.0
2018-03-01,13.4,13.895,13.35,13.5,27298.0,0.0,1.0,13.4,13.895,13.35,13.5,27298.0
2018-02-28,14.3,14.5,13.25,13.4,32401.0,0.0,1.0,14.3,14.5,13.25,13.4,32401.0
2018-02-27,14.8,15.05,14.1,14.15,19279.0,0.0,1.0,14.8,15.05,14.1,14.15,19279.0
2018-02-26,14.7,15.15,14.35,15.05,19949.0,0.0,1.0,14.7,15.15,14.35,15.05,19949.0
2018-02-23,14.8,15.1,14.5,14.65,14782.0,0.0,1.0,14.8,15.1,14.5,14.65,14782.0
2018-02-22,14.55,15.35,14.4,14.55,18762.0,0.0,1.0,14.55,15.35,14.4,14.55,18762.0
2018-02-21,14.35,14.9125,14.35,14.45,18968.0,0.0,1.0,14.35,14.9125,14.35,14.45,18968.0
2018-02-20,14.3,14.425,14.15,14.2,13199.0,0.0,1.0,14.3,14.425,14.15,14.2,13199.0
2018-02-16,14.2,14.5,14.2,14.35,11797.0,0.0,1.0,14.2,14.5,14.2,14.35,11797.0
2018-02-15,14.35,14.35,14.1,14.3,11320.0,0.0,1.0,14.35,14.35,14.1,14.3,11320.0
2018-02-14,13.8,14.31,13.75,14.25,17925.0,0.0,1.0,13.8,14.31,13.75,14.25,17925.0
2018-02-13,14.05,14.05,13.75,14.0,15483.0,0.0,1.0,14.05,14.05,13.75,14.0,15483.0
2018-02-12,14.15,14.5,13.9,14.15,18311.0,0.0,1.0,14.15,14.5,13.9,14.15,18311.0
