Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,68.05,68.8,65.05,65.5,544936.0,0.0,1.0,68.05,68.8,65.05,65.5,544936.0
2018-03-26,67.2,68.3,66.9,67.8,587127.0,0.0,1.0,67.2,68.3,66.9,67.8,587127.0
2018-03-23,67.25,67.95,65.95,65.95,391663.0,0.0,1.0,67.25,67.95,65.95,65.95,391663.0
2018-03-22,67.7,69.0,67.0,67.1,456645.0,0.0,1.0,67.7,69.0,67.0,67.1,456645.0
2018-03-21,68.75,69.6,68.0,68.45,511170.0,0.0,1.0,68.75,69.6,68.0,68.45,511170.0
2018-03-20,67.5,68.95,67.35,68.55,345233.0,0.0,1.0,67.5,68.95,67.35,68.55,345233.0
2018-03-19,68.0,68.3,65.5,67.35,421680.0,0.0,1.0,68.0,68.3,65.5,67.35,421680.0
2018-03-16,68.7,68.85,67.85,68.35,557171.0,0.0,1.0,68.7,68.85,67.85,68.35,557171.0
2018-03-15,68.05,68.6,67.35,68.1,518736.0,0.0,1.0,68.05,68.6,67.35,68.1,518736.0
2018-03-14,66.25,68.55,66.0,68.05,675178.0,0.0,1.0,66.25,68.55,66.0,68.05,675178.0
2018-03-13,67.5,67.7,65.35,66.1,675268.0,0.0,1.0,67.5,67.7,65.35,66.1,675268.0
2018-03-12,66.7,67.6,66.35,67.15,513861.0,0.0,1.0,66.7,67.6,66.35,67.15,513861.0
2018-03-09,66.65,67.3,65.2,66.55,1088917.0,0.0,1.0,66.65,67.3,65.2,66.55,1088917.0
2018-03-08,66.0,66.6,65.6,66.05,557916.0,0.0,1.0,66.0,66.6,65.6,66.05,557916.0
2018-03-07,64.2,66.15,64.175,65.8,774609.0,0.0,1.0,64.2,66.15,64.175,65.8,774609.0
2018-03-06,65.0,65.0,63.05,64.7,849802.0,0.0,1.0,65.0,65.0,63.05,64.7,849802.0
2018-03-05,63.65,65.25,63.3,64.8,888671.0,0.0,1.0,63.65,65.25,63.3,64.8,888671.0
2018-03-02,62.2,63.95,62.05,63.75,984124.0,0.0,1.0,62.2,63.95,62.05,63.75,984124.0
2018-03-01,62.65,63.45,60.85,62.6,2681451.0,0.0,1.0,62.65,63.45,60.85,62.6,2681451.0
2018-02-28,63.8,64.9,62.65,62.65,745575.0,0.0,1.0,63.8,64.9,62.65,62.65,745575.0
2018-02-27,63.4,64.85,62.8044,64.0,526074.0,0.0,1.0,63.4,64.85,62.8044,64.0,526074.0
2018-02-26,63.8,64.2752,63.375,63.45,493800.0,0.0,1.0,63.8,64.2752,63.375,63.45,493800.0
2018-02-23,62.8,63.3,61.9,63.3,464641.0,0.0,1.0,62.8,63.3,61.9,63.3,464641.0
2018-02-22,62.45,63.05,61.7,62.3,611476.0,0.0,1.0,62.45,63.05,61.7,62.3,611476.0
2018-02-21,64.2,64.9,62.15,62.25,1319289.0,0.0,1.0,64.2,64.9,62.15,62.25,1319289.0
2018-02-20,62.65,65.7502,62.53,64.8,1642434.0,0.0,1.0,62.65,65.7502,62.53,64.8,1642434.0
