Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,177.25,177.31,172.44,173.21,1048017.0,0.0,1.0,177.25,177.31,172.44,173.21,1048017.0
2018-03-26,173.76,178.14,172.74,177.05,1123782.0,0.0,1.0,173.76,178.14,172.74,177.05,1123782.0
2018-03-23,176.4,176.92,170.63,171.01,1078816.0,0.0,1.0,176.4,176.92,170.63,171.01,1078816.0
2018-03-22,179.06,181.26,175.79,175.96,813406.0,0.0,1.0,179.06,181.26,175.79,175.96,813406.0
2018-03-21,182.38,183.85,181.1601,181.38,518759.0,0.0,1.0,182.38,183.85,181.1601,181.38,518759.0
2018-03-20,182.96,184.59,182.09,182.26,467554.0,0.0,1.0,182.96,184.59,182.09,182.26,467554.0
2018-03-19,183.46,183.82,180.6041,182.01,520559.0,0.0,1.0,183.46,183.82,180.6041,182.01,520559.0
2018-03-16,181.74,184.58,181.03,183.98,1430618.0,0.0,1.0,181.74,184.58,181.03,183.98,1430618.0
2018-03-15,183.78,184.11,181.00099999999998,181.76,808357.0,0.0,1.0,183.78,184.11,181.00099999999998,181.76,808357.0
2018-03-14,186.77,187.05,183.06,183.41,646830.0,0.0,1.0,186.77,187.05,183.06,183.41,646830.0
2018-03-13,188.59,189.0453,184.835,185.42,751756.0,0.0,1.0,188.59,189.0453,184.835,185.42,751756.0
2018-03-12,189.0,189.3,186.58,187.9,700875.0,0.0,1.0,189.0,189.3,186.58,187.9,700875.0
2018-03-09,185.21,189.1899,184.69,189.13,691632.0,0.0,1.0,185.21,189.1899,184.69,189.13,691632.0
2018-03-08,182.76,184.25,181.1117,183.85,755904.0,0.0,1.0,182.76,184.25,181.1117,183.85,755904.0
2018-03-07,179.34,183.12,178.37099999999998,182.1,775514.0,0.0,1.0,179.34,183.12,178.37099999999998,182.1,775514.0
2018-03-06,182.46,183.445,180.11,181.5,753099.0,0.0,1.0,182.46,183.445,180.11,181.5,753099.0
2018-03-05,177.29,181.44,176.79,181.11,842184.0,0.0,1.0,177.29,181.44,176.79,181.11,842184.0
2018-03-02,175.26,179.21,172.715,178.62,1218020.0,0.0,1.0,175.26,179.21,172.715,178.62,1218020.0
2018-03-01,180.55,181.46,175.33,176.17,1275076.0,0.0,1.0,180.55,181.46,175.33,176.17,1275076.0
2018-02-28,185.82,185.82,180.74,180.8,986603.0,0.0,1.0,185.82,185.82,180.74,180.8,986603.0
2018-02-27,188.32,188.77,184.52,184.6,724367.0,0.0,1.0,188.32,188.77,184.52,184.6,724367.0
2018-02-26,186.39,188.695,185.28,188.37,928586.0,0.0,1.0,186.39,188.695,185.28,188.37,928586.0
2018-02-23,186.7,186.7,183.29,185.47,596517.0,0.0,1.0,186.7,186.7,183.29,185.47,596517.0
2018-02-22,184.71,187.57,183.66,185.29,635937.0,0.0,1.0,184.71,187.57,183.66,185.29,635937.0
2018-02-21,184.58,187.67,183.81,183.95,603511.0,0.0,1.0,184.58,187.67,183.81,183.95,603511.0
2018-02-20,184.29,186.11,183.05,184.67,672291.0,0.0,1.0,184.29,186.11,183.05,184.67,672291.0
2018-02-16,186.25,188.6,185.4545,185.56,828910.0,0.0,1.0,186.25,188.6,185.4545,185.56,828910.0
2018-02-15,188.69,188.89,185.37,187.58,985315.0,0.0,1.0,188.69,188.89,185.37,187.58,985315.0
2018-02-14,183.44,187.97,183.44,187.09,822489.0,0.0,1.0,183.44,187.97,183.44,187.09,822489.0
2018-02-13,183.98,185.42,182.03,184.44,1129568.0,0.0,1.0,183.98,185.42,182.03,184.44,1129568.0
2018-02-12,186.1,188.08,183.65,186.3,798980.0,0.0,1.0,186.1,188.08,183.65,186.3,798980.0
2018-02-09,181.18,184.87,177.85,183.04,1415217.0,0.0,1.0,181.18,184.87,177.85,183.04,1415217.0
2018-02-08,188.4,188.82,178.56,178.73,1257652.0,0.0,1.0,188.4,188.82,178.56,178.73,1257652.0
2018-02-07,187.99,191.63,187.24,188.78,984051.0,0.0,1.0,187.99,191.63,187.24,188.78,984051.0
2018-02-06,178.28,189.99,176.7,188.57,1762717.0,0.0,1.0,178.28,189.99,176.7,188.57,1762717.0
2018-02-05,192.61,194.48,184.56,184.56,1324117.0,0.0,1.0,192.61,194.48,184.56,184.56,1324117.0
2018-02-02,197.57,197.57,193.01,194.02,1153774.0,0.0,1.0,197.57,197.57,193.01,194.02,1153774.0
2018-02-01,197.11,201.81,196.465,199.19,1032091.0,0.0,1.0,197.11,201.81,196.465,199.19,1032091.0
2018-01-31,200.92,201.005,196.38,197.29,870143.0,0.0,1.0,200.92,201.005,196.38,197.29,870143.0
2018-01-30,198.66,200.93,197.6101,199.78,617067.0,0.0,1.0,198.66,200.93,197.6101,199.78,617067.0
