Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,10.74,10.76,10.44,10.58,182885.0,0.0,1.0,10.74,10.76,10.44,10.58,182885.0
2018-03-26,10.68,10.76,10.52,10.67,157586.0,0.0,1.0,10.68,10.76,10.52,10.67,157586.0
2018-03-23,10.84,10.9,10.1972,10.56,280170.0,0.0,1.0,10.84,10.9,10.1972,10.56,280170.0
2018-03-22,11.09,11.13,10.8,10.81,258417.0,0.0,1.0,11.09,11.13,10.8,10.81,258417.0
2018-03-21,10.91,11.15,10.91,11.13,264700.0,0.0,1.0,10.91,11.15,10.91,11.13,264700.0
2018-03-20,11.1,11.21,10.91,10.95,247329.0,0.0,1.0,11.1,11.21,10.91,10.95,247329.0
2018-03-19,10.92,11.09,10.84,11.06,281372.0,0.0,1.0,10.92,11.09,10.84,11.06,281372.0
2018-03-16,10.9,11.19,10.89,10.89,379210.0,0.0,1.0,10.9,11.19,10.89,10.89,379210.0
2018-03-15,11.03,11.09,10.8,10.89,626835.0,0.0,1.0,11.03,11.09,10.8,10.89,626835.0
2018-03-14,11.01,11.09,10.87,11.01,235895.0,0.0,1.0,11.01,11.09,10.87,11.01,235895.0
2018-03-13,10.92,11.03,10.82,11.0,250252.0,0.0,1.0,10.92,11.03,10.82,11.0,250252.0
2018-03-12,10.95,11.14,10.85,10.93,246268.0,0.0,1.0,10.95,11.14,10.85,10.93,246268.0
2018-03-09,10.67,10.94,10.58,10.92,314991.0,0.0,1.0,10.67,10.94,10.58,10.92,314991.0
2018-03-08,10.55,10.66,10.38,10.65,244529.0,0.0,1.0,10.55,10.66,10.38,10.65,244529.0
2018-03-07,10.28,10.67,10.28,10.55,288921.0,0.0,1.0,10.28,10.67,10.28,10.55,288921.0
2018-03-06,10.46,10.46,10.13,10.4,394052.0,0.0,1.0,10.46,10.46,10.13,10.4,394052.0
2018-03-05,10.44,10.61,10.3,10.41,415106.0,0.0,1.0,10.44,10.61,10.3,10.41,415106.0
2018-03-02,9.92,10.53,9.91,10.45,293099.0,0.0,1.0,9.92,10.53,9.91,10.45,293099.0
2018-03-01,9.98,10.12,9.84,9.95,443860.0,0.0,1.0,9.98,10.12,9.84,9.95,443860.0
2018-02-28,10.16,10.29,10.0,10.03,320543.0,0.0,1.0,10.16,10.29,10.0,10.03,320543.0
2018-02-27,10.05,10.35,10.05,10.13,610256.0,0.0,1.0,10.05,10.35,10.05,10.13,610256.0
2018-02-26,10.25,10.53,10.03,10.03,550850.0,0.0,1.0,10.25,10.53,10.03,10.03,550850.0
2018-02-23,10.2,10.34,9.74,10.2,964632.0,0.0,1.0,10.2,10.34,9.74,10.2,964632.0
2018-02-22,12.36,12.4,10.5,10.58,1835555.0,0.0,1.0,12.36,12.4,10.5,10.58,1835555.0
2018-02-21,13.05,13.22,12.92,13.0,264701.0,0.0,1.0,13.05,13.22,12.92,13.0,264701.0
2018-02-20,13.04,13.13,12.87,13.0,128960.0,0.0,1.0,13.04,13.13,12.87,13.0,128960.0
2018-02-16,13.1,13.28,12.98,13.07,255498.0,0.0,1.0,13.1,13.28,12.98,13.07,255498.0
2018-02-15,13.05,13.15,12.8,13.14,152991.0,0.0,1.0,13.05,13.15,12.8,13.14,152991.0
2018-02-14,12.59,13.0,12.4178,12.97,194815.0,0.0,1.0,12.59,13.0,12.4178,12.97,194815.0
2018-02-13,12.85,12.9,12.55,12.62,248776.0,0.0,1.0,12.85,12.9,12.55,12.62,248776.0
2018-02-12,13.2,13.52,12.84,12.88,260153.0,0.0,1.0,13.2,13.52,12.84,12.88,260153.0
2018-02-09,13.12,13.2921,12.78,13.19,222806.0,0.0,1.0,13.12,13.2921,12.78,13.19,222806.0
2018-02-08,13.32,13.46,12.99,13.0,307951.0,0.0,1.0,13.32,13.46,12.99,13.0,307951.0
2018-02-07,13.31,13.42,13.09,13.25,224939.0,0.0,1.0,13.31,13.42,13.09,13.25,224939.0
2018-02-06,13.26,13.485,13.13,13.35,230136.0,0.0,1.0,13.26,13.485,13.13,13.35,230136.0
2018-02-05,13.79,13.95,13.39,13.5,219404.0,0.0,1.0,13.79,13.95,13.39,13.5,219404.0
2018-02-02,13.96,14.08,13.865,13.92,231681.0,0.0,1.0,13.96,14.08,13.865,13.92,231681.0
2018-02-01,13.95,14.15,13.88,14.03,183174.0,0.0,1.0,13.95,14.15,13.88,14.03,183174.0
2018-01-31,14.15,14.23,13.94,14.055,388398.0,0.0,1.0,14.15,14.23,13.94,14.055,388398.0
2018-01-30,13.94,14.16,13.94,14.14,211729.0,0.0,1.0,13.94,14.16,13.94,14.14,211729.0
2018-01-29,13.85,14.0,13.8,13.99,358925.0,0.0,1.0,13.85,14.0,13.8,13.99,358925.0
2018-01-26,13.84,14.1644,13.72,13.88,199642.0,0.0,1.0,13.84,14.1644,13.72,13.88,199642.0
2018-01-25,14.0,14.04,13.56,13.77,342375.0,0.0,1.0,14.0,14.04,13.56,13.77,342375.0
2018-01-24,13.61,14.99,13.04,13.93,1225675.0,0.0,1.0,13.61,14.99,13.04,13.93,1225675.0
2018-01-23,13.52,13.55,13.29,13.55,201849.0,0.0,1.0,13.52,13.55,13.29,13.55,201849.0
2018-01-22,13.52,13.855,13.37,13.54,240162.0,0.0,1.0,13.52,13.855,13.37,13.54,240162.0
2018-01-19,13.23,13.6,13.23,13.47,198434.0,0.0,1.0,13.23,13.6,13.23,13.47,198434.0
2018-01-18,13.56,13.77,13.26,13.26,157009.0,0.0,1.0,13.56,13.77,13.26,13.26,157009.0
2018-01-17,13.23,13.59,13.23,13.58,283934.0,0.0,1.0,13.23,13.59,13.23,13.58,283934.0
2018-01-16,13.67,13.77,13.09,13.1,332371.0,0.0,1.0,13.67,13.77,13.09,13.1,332371.0
2018-01-12,13.22,13.61,13.2,13.48,379733.0,0.0,1.0,13.22,13.61,13.2,13.48,379733.0
2018-01-11,13.0,13.14,12.92,13.08,319956.0,0.0,1.0,13.0,13.14,12.92,13.08,319956.0
2018-01-10,13.19,13.205,12.91,12.96,194830.0,0.0,1.0,13.19,13.205,12.91,12.96,194830.0
2018-01-09,13.39,13.505999999999998,13.22,13.26,159589.0,0.0,1.0,13.39,13.505999999999998,13.22,13.26,159589.0
2018-01-08,13.68,13.74,13.38,13.4,233046.0,0.0,1.0,13.68,13.74,13.38,13.4,233046.0
2018-01-05,13.65,13.77,13.44,13.74,179400.0,0.0,1.0,13.65,13.77,13.44,13.74,179400.0
2018-01-04,13.65,13.74,13.47,13.56,123627.0,0.0,1.0,13.65,13.74,13.47,13.56,123627.0
2018-01-03,13.7,13.8,13.3,13.56,173150.0,0.0,1.0,13.7,13.8,13.3,13.56,173150.0
2018-01-02,13.47,13.68,13.33,13.64,170767.0,0.0,1.0,13.47,13.68,13.33,13.64,170767.0
2017-12-29,13.82,13.82,13.43,13.44,176191.0,0.0,1.0,13.82,13.82,13.43,13.44,176191.0
2017-12-28,13.68,13.78,13.6,13.75,118518.0,0.0,1.0,13.68,13.78,13.6,13.75,118518.0
2017-12-27,13.78,13.98,13.63,13.7,97601.0,0.0,1.0,13.78,13.98,13.63,13.7,97601.0
2017-12-26,13.75,13.94,13.7341,13.79,186961.0,0.0,1.0,13.75,13.94,13.7341,13.79,186961.0
2017-12-22,13.66,13.75,13.455,13.74,131690.0,0.0,1.0,13.66,13.75,13.455,13.74,131690.0
