Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,13.41,13.54,13.145,13.25,101181.0,0.0,1.0,13.41,13.54,13.145,13.25,101181.0
2018-03-26,13.29,13.4,13.18,13.35,81453.0,0.0,1.0,13.29,13.4,13.18,13.35,81453.0
2018-03-23,13.44,13.5,13.15,13.2,129241.0,0.0,1.0,13.44,13.5,13.15,13.2,129241.0
2018-03-22,13.45,13.61,13.38,13.45,113302.0,0.0,1.0,13.45,13.61,13.38,13.45,113302.0
2018-03-21,13.45,13.6,13.3299,13.51,116376.0,0.0,1.0,13.45,13.6,13.3299,13.51,116376.0
2018-03-20,13.36,13.67,13.29,13.4,135128.0,0.0,1.0,13.36,13.67,13.29,13.4,135128.0
2018-03-19,13.37,13.5,13.06,13.34,170761.0,0.0,1.0,13.37,13.5,13.06,13.34,170761.0
2018-03-16,13.18,13.52,13.14,13.3,222139.0,0.0,1.0,13.18,13.52,13.14,13.3,222139.0
2018-03-15,13.2,13.36,12.88,13.18,820901.0,0.0,1.0,13.2,13.36,12.88,13.18,820901.0
2018-03-14,13.6,13.64,13.11,13.16,265730.0,0.0,1.0,13.6,13.64,13.11,13.16,265730.0
2018-03-13,13.78,13.9,13.48,13.61,223701.0,0.0,1.0,13.78,13.9,13.48,13.61,223701.0
2018-03-12,14.0,14.1099,13.63,13.69,260764.0,0.0,1.0,14.0,14.1099,13.63,13.69,260764.0
2018-03-09,14.24,14.24,13.75,13.94,269260.0,0.0,1.0,14.24,14.24,13.75,13.94,269260.0
2018-03-08,14.32,14.8099,14.07,14.15,217570.0,0.0,1.0,14.32,14.8099,14.07,14.15,217570.0
2018-03-07,13.8,14.17,13.8,14.14,212753.0,0.0,1.0,13.8,14.17,13.8,14.14,212753.0
2018-03-06,13.77,14.05,13.64,13.82,164652.0,0.0,1.0,13.77,14.05,13.64,13.82,164652.0
2018-03-05,13.7,14.04,13.66,13.72,127503.0,0.0,1.0,13.7,14.04,13.66,13.72,127503.0
2018-03-02,13.49,13.85,13.34,13.83,102216.0,0.0,1.0,13.49,13.85,13.34,13.83,102216.0
2018-03-01,13.65,13.95,13.525,13.53,109574.0,0.0,1.0,13.65,13.95,13.525,13.53,109574.0
2018-02-28,14.04,14.16,13.69,13.69,78866.0,0.0,1.0,14.04,14.16,13.69,13.69,78866.0
2018-02-27,14.2,14.2,13.8,13.97,64094.0,0.0,1.0,14.2,14.2,13.8,13.97,64094.0
2018-02-26,13.93,14.21,13.9,14.18,167147.0,0.0,1.0,13.93,14.21,13.9,14.18,167147.0
2018-02-23,13.9,13.93,13.600999999999999,13.91,181792.0,0.0,1.0,13.9,13.93,13.600999999999999,13.91,181792.0
