Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,31.45,31.7,30.4,30.55,396639.0,0.0,1.0,31.45,31.7,30.4,30.55,396639.0
2018-03-26,29.85,30.75,29.35,30.6,196862.0,0.0,1.0,29.85,30.75,29.35,30.6,196862.0
2018-03-23,30.2,30.85,29.35,29.35,267208.0,0.0,1.0,30.2,30.85,29.35,29.35,267208.0
2018-03-22,30.95,31.45,30.55,30.6,237481.0,0.0,1.0,30.95,31.45,30.55,30.6,237481.0
2018-03-21,31.2,32.2,30.6,31.4,198640.0,0.0,1.0,31.2,32.2,30.6,31.4,198640.0
2018-03-20,31.4,31.75,30.75,31.1,153504.0,0.0,1.0,31.4,31.75,30.75,31.1,153504.0
2018-03-19,31.05,32.4,30.75,31.2,377778.0,0.0,1.0,31.05,32.4,30.75,31.2,377778.0
2018-03-16,31.75,32.1,30.3,31.0,883276.0,0.0,1.0,31.75,32.1,30.3,31.0,883276.0
2018-03-15,32.8,33.45,31.4,31.65,293840.0,0.0,1.0,32.8,33.45,31.4,31.65,293840.0
2018-03-14,33.85,34.5462,31.75,32.6,431973.0,0.0,1.0,33.85,34.5462,31.75,32.6,431973.0
2018-03-13,33.7,34.55,33.6,34.1,482743.0,0.0,1.0,33.7,34.55,33.6,34.1,482743.0
2018-03-12,32.75,34.3,32.4,33.7,561255.0,0.0,1.0,32.75,34.3,32.4,33.7,561255.0
2018-03-09,32.5,33.35,32.1,32.75,422779.0,0.0,1.0,32.5,33.35,32.1,32.75,422779.0
2018-03-08,31.65,32.45,31.55,32.45,288720.0,0.0,1.0,31.65,32.45,31.55,32.45,288720.0
2018-03-07,30.4,31.8912,30.4,31.45,337039.0,0.0,1.0,30.4,31.8912,30.4,31.45,337039.0
2018-03-06,32.0,32.25,30.25,30.75,585614.0,0.0,1.0,32.0,32.25,30.25,30.75,585614.0
2018-03-05,32.95,33.35,31.4,31.9,531098.0,0.0,1.0,32.95,33.35,31.4,31.9,531098.0
2018-03-02,29.8,31.5,29.4,31.3,681495.0,0.0,1.0,29.8,31.5,29.4,31.3,681495.0
2018-03-01,29.25,31.5,29.05,29.85,1099337.0,0.0,1.0,29.25,31.5,29.05,29.85,1099337.0
2018-02-28,31.75,32.25,30.15,30.95,235433.0,0.0,1.0,31.75,32.25,30.15,30.95,235433.0
2018-02-27,31.8,33.049,31.55,31.65,269368.0,0.0,1.0,31.8,33.049,31.55,31.65,269368.0
2018-02-26,30.4,32.8,30.0,32.15,266485.0,0.0,1.0,30.4,32.8,30.0,32.15,266485.0
2018-02-23,30.75,31.0,29.4,30.5,259730.0,0.0,1.0,30.75,31.0,29.4,30.5,259730.0
2018-02-22,30.6,32.3,30.3,30.7,265786.0,0.0,1.0,30.6,32.3,30.3,30.7,265786.0
2018-02-21,30.4,31.6,30.25,30.35,190166.0,0.0,1.0,30.4,31.6,30.25,30.35,190166.0
2018-02-20,31.05,31.3,30.15,30.25,242584.0,0.0,1.0,31.05,31.3,30.15,30.25,242584.0
2018-02-16,31.6,32.7609,31.05,31.2,179061.0,0.0,1.0,31.6,32.7609,31.05,31.2,179061.0
2018-02-15,31.85,32.2,31.15,31.75,202486.0,0.0,1.0,31.85,32.2,31.15,31.75,202486.0
2018-02-14,30.65,32.0,30.45,31.65,182440.0,0.0,1.0,30.65,32.0,30.45,31.65,182440.0
2018-02-13,29.95,31.0,29.675,30.75,172479.0,0.0,1.0,29.95,31.0,29.675,30.75,172479.0
2018-02-12,30.05,30.65,29.675,30.2,196427.0,0.0,1.0,30.05,30.65,29.675,30.2,196427.0
2018-02-09,29.45,29.85,28.2,29.7,305319.0,0.0,1.0,29.45,29.85,28.2,29.7,305319.0
2018-02-08,30.7,30.9,29.1,29.2,213147.0,0.0,1.0,30.7,30.9,29.1,29.2,213147.0
2018-02-07,30.5,30.7,29.9,30.6,229234.0,0.0,1.0,30.5,30.7,29.9,30.6,229234.0
2018-02-06,29.55,31.25,29.15,30.6,306916.0,0.0,1.0,29.55,31.25,29.15,30.6,306916.0
2018-02-05,31.3,31.65,29.55,30.0499,259737.0,0.0,1.0,31.3,31.65,29.55,30.0499,259737.0
2018-02-02,32.0,32.9,31.3,31.5,224410.0,0.0,1.0,32.0,32.9,31.3,31.5,224410.0
2018-02-01,32.0,32.9,31.8,32.3,279991.0,0.0,1.0,32.0,32.9,31.8,32.3,279991.0
2018-01-31,34.2,34.4,32.25,32.3,456202.0,0.0,1.0,34.2,34.4,32.25,32.3,456202.0
2018-01-30,33.75,34.25,33.45,34.1,245858.0,0.0,1.0,33.75,34.25,33.45,34.1,245858.0
2018-01-29,33.3,34.325,33.3,34.1,315318.0,0.0,1.0,33.3,34.325,33.3,34.1,315318.0
2018-01-26,33.4,33.65,32.85,33.5,184792.0,0.0,1.0,33.4,33.65,32.85,33.5,184792.0
2018-01-25,33.95,33.95,32.85,33.125,311578.0,0.0,1.0,33.95,33.95,32.85,33.125,311578.0
2018-01-24,34.75,34.8175,32.95,33.8,238124.0,0.0,1.0,34.75,34.8175,32.95,33.8,238124.0
2018-01-23,34.4,35.05,33.8,34.65,275566.0,0.0,1.0,34.4,35.05,33.8,34.65,275566.0
2018-01-22,34.0,34.5,33.65,34.25,222496.0,0.0,1.0,34.0,34.5,33.65,34.25,222496.0
2018-01-19,33.65,34.0875,33.25,33.95,282394.0,0.0,1.0,33.65,34.0875,33.25,33.95,282394.0
2018-01-18,33.5,33.8,32.75,33.75,251671.0,0.0,1.0,33.5,33.8,32.75,33.75,251671.0
2018-01-17,34.0,34.4,32.75,33.55,286250.0,0.0,1.0,34.0,34.4,32.75,33.55,286250.0
2018-01-16,34.6,34.95,33.3,33.6,375511.0,0.0,1.0,34.6,34.95,33.3,33.6,375511.0
2018-01-12,34.15,34.85,33.95,34.5,221660.0,0.0,1.0,34.15,34.85,33.95,34.5,221660.0
2018-01-11,33.9,34.15,33.325,33.95,395275.0,0.0,1.0,33.9,34.15,33.325,33.95,395275.0
2018-01-10,33.65,33.9,32.9,33.8,270213.0,0.0,1.0,33.65,33.9,32.9,33.8,270213.0
2018-01-09,32.15,33.7,32.15,33.55,422172.0,0.0,1.0,32.15,33.7,32.15,33.55,422172.0
2018-01-08,32.95,34.0977,31.2,33.2,912855.0,0.0,1.0,32.95,34.0977,31.2,33.2,912855.0
2018-01-05,35.7,36.025,34.2,34.9,660445.0,0.0,1.0,35.7,36.025,34.2,34.9,660445.0
2018-01-04,36.0,36.45,34.75,35.9,371807.0,0.0,1.0,36.0,36.45,34.75,35.9,371807.0
2018-01-03,37.45,37.45,35.4,35.7,352969.0,0.0,1.0,37.45,37.45,35.4,35.7,352969.0
2018-01-02,35.85,37.45,35.5,37.4,488644.0,0.0,1.0,35.85,37.45,35.5,37.4,488644.0
2017-12-29,36.6,37.1,35.7,35.75,285218.0,0.0,1.0,36.6,37.1,35.7,35.75,285218.0
2017-12-28,36.15,36.8,35.65,36.3,175601.0,0.0,1.0,36.15,36.8,35.65,36.3,175601.0
2017-12-27,35.85,36.85,35.75,36.2,262142.0,0.0,1.0,35.85,36.85,35.75,36.2,262142.0
2017-12-26,34.8,35.85,34.65,35.7,199146.0,0.0,1.0,34.8,35.85,34.65,35.7,199146.0
