Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,29.82,29.82,28.96,29.13,496858.0,0.0,1.0,29.82,29.82,28.96,29.13,496858.0
2018-03-26,29.64,29.8,28.99,29.71,498288.0,0.0,1.0,29.64,29.8,28.99,29.71,498288.0
2018-03-23,29.59,29.79,29.07,29.13,1027103.0,0.0,1.0,29.59,29.79,29.07,29.13,1027103.0
2018-03-22,29.98,30.38,29.48,29.5,1352700.0,0.0,1.0,29.98,30.38,29.48,29.5,1352700.0
2018-03-21,30.08,30.34,29.96,30.1,385176.0,0.0,1.0,30.08,30.34,29.96,30.1,385176.0
2018-03-20,29.58,30.285,29.53,30.19,720777.0,0.0,1.0,29.58,30.285,29.53,30.19,720777.0
2018-03-19,29.4,29.58,28.99,29.37,394778.0,0.0,1.0,29.4,29.58,28.99,29.37,394778.0
2018-03-16,29.23,29.77,29.17,29.57,832110.0,0.0,1.0,29.23,29.77,29.17,29.57,832110.0
2018-03-15,29.78,29.83,29.0921,29.22,719043.0,0.0,1.0,29.78,29.83,29.0921,29.22,719043.0
2018-03-14,30.15,30.21,29.67,29.68,569587.0,0.0,1.0,30.15,30.21,29.67,29.68,569587.0
2018-03-13,30.32,30.5,29.86,30.0,696030.0,0.0,1.0,30.32,30.5,29.86,30.0,696030.0
2018-03-12,30.63,30.705,30.1,30.12,675498.0,0.0,1.0,30.63,30.705,30.1,30.12,675498.0
2018-03-09,30.02,30.69,29.97,30.68,613919.0,0.0,1.0,30.02,30.69,29.97,30.68,613919.0
2018-03-08,29.71,29.9,29.51,29.87,612310.0,0.0,1.0,29.71,29.9,29.51,29.87,612310.0
2018-03-07,28.9,30.09,28.8,29.63,1204125.0,0.0,1.0,28.9,30.09,28.8,29.63,1204125.0
2018-03-06,28.44,29.26,28.25,29.25,1408447.0,0.0,1.0,28.44,29.26,28.25,29.25,1408447.0
2018-03-05,27.96,28.51,27.77,28.37,893031.0,0.0,1.0,27.96,28.51,27.77,28.37,893031.0
2018-03-02,28.04,28.25,27.54,28.08,729629.0,0.0,1.0,28.04,28.25,27.54,28.08,729629.0
2018-03-01,28.87,28.98,28.05,28.31,702698.0,0.0,1.0,28.87,28.98,28.05,28.31,702698.0
2018-02-28,29.89,29.89,28.93,28.98,1365683.0,0.0,1.0,29.89,29.89,28.93,28.98,1365683.0
2018-02-27,29.65,30.08,29.45,29.79,1535875.0,0.0,1.0,29.65,30.08,29.45,29.79,1535875.0
2018-02-26,29.13,29.64,28.91,29.59,506078.0,0.0,1.0,29.13,29.64,28.91,29.59,506078.0
2018-02-23,29.24,29.36,28.8,29.0,737815.0,0.0,1.0,29.24,29.36,28.8,29.0,737815.0
2018-02-22,28.8,29.29,28.74,29.23,1245561.0,0.0,1.0,28.8,29.29,28.74,29.23,1245561.0
2018-02-21,28.02,29.04,27.94,28.68,1104522.0,0.0,1.0,28.02,29.04,27.94,28.68,1104522.0
2018-02-20,27.79,28.28,27.79,28.04,715982.0,0.0,1.0,27.79,28.28,27.79,28.04,715982.0
2018-02-16,27.92,28.37,27.72,27.96,689241.0,0.0,1.0,27.92,28.37,27.72,27.96,689241.0
2018-02-15,27.64,27.99,27.37,27.99,904067.0,0.0,1.0,27.64,27.99,27.37,27.99,904067.0
2018-02-14,26.79,27.45,26.79,27.43,388592.0,0.0,1.0,26.79,27.45,26.79,27.43,388592.0
2018-02-13,26.98,27.22,26.92,27.13,451164.0,0.0,1.0,26.98,27.22,26.92,27.13,451164.0
2018-02-12,27.03,27.325,26.62,27.03,798175.0,0.0,1.0,27.03,27.325,26.62,27.03,798175.0
2018-02-09,26.94,27.31,25.62,26.81,1052947.0,0.0,1.0,26.94,27.31,25.62,26.81,1052947.0
2018-02-08,28.17,28.25,26.71,26.71,898524.0,0.0,1.0,28.17,28.25,26.71,26.71,898524.0
2018-02-07,27.38,27.83,27.28,27.55,776897.0,0.0,1.0,27.38,27.83,27.28,27.55,776897.0
2018-02-06,26.74,27.79,26.59,27.55,1010699.0,0.0,1.0,26.74,27.79,26.59,27.55,1010699.0
2018-02-05,28.58,28.97,27.32,27.33,1608437.0,0.0,1.0,28.58,28.97,27.32,27.33,1608437.0
2018-02-02,29.41,29.56,28.36,28.77,1499287.0,0.0,1.0,29.41,29.56,28.36,28.77,1499287.0
2018-02-01,31.44,31.44,29.14,29.41,2017435.0,0.0,1.0,31.44,31.44,29.14,29.41,2017435.0
2018-01-31,28.36,28.52,27.85,28.11,1003262.0,0.0,1.0,28.36,28.52,27.85,28.11,1003262.0
2018-01-30,28.34,28.42,28.09,28.15,1016492.0,0.0,1.0,28.34,28.42,28.09,28.15,1016492.0
