Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,53.1,53.49,51.02,51.53,7348698.0,0.0,1.0,53.1,53.49,51.02,51.53,7348698.0
2018-03-26,52.34,53.11,51.5738,52.96,6027159.0,0.0,1.0,52.34,53.11,51.5738,52.96,6027159.0
2018-03-23,53.5,53.62,51.18,51.32,7091720.0,0.0,1.0,53.5,53.62,51.18,51.32,7091720.0
2018-03-22,55.09,55.28,53.1561,53.4,7727339.0,0.0,1.0,55.09,55.28,53.1561,53.4,7727339.0
2018-03-21,55.96,56.69,55.61,55.84,5274593.0,0.0,1.0,55.96,56.69,55.61,55.84,5274593.0
2018-03-20,55.7,56.2799,55.49,55.97,5346220.0,0.0,1.0,55.7,56.2799,55.49,55.97,5346220.0
2018-03-19,55.66,55.96,54.63,55.67,6603184.0,0.0,1.0,55.66,55.96,54.63,55.67,6603184.0
2018-03-16,55.79,56.51,55.57,55.71,7823817.0,0.0,1.0,55.79,56.51,55.57,55.71,7823817.0
2018-03-15,56.32,56.32,55.191,55.59,5282120.0,0.0,1.0,56.32,56.32,55.191,55.59,5282120.0
2018-03-14,56.35,57.04,55.58,55.94,9726372.0,0.0,1.0,56.35,57.04,55.58,55.94,9726372.0
2018-03-13,57.92,58.11,56.555,56.68,7005440.0,0.0,1.0,57.92,58.11,56.555,56.68,7005440.0
2018-03-12,57.86,58.04,57.54,57.76,6018768.0,0.0,1.0,57.86,58.04,57.54,57.76,6018768.0
2018-03-09,56.41,57.73,56.4,57.7,7136457.0,0.0,1.0,56.41,57.73,56.4,57.7,7136457.0
2018-03-08,55.67,55.97,54.89,55.91,7883423.0,0.0,1.0,55.67,55.97,54.89,55.91,7883423.0
2018-03-07,53.94,55.47,53.15,55.43,7656058.0,0.0,1.0,53.94,55.47,53.15,55.43,7656058.0
2018-03-06,53.7,54.74,53.3484,54.73,7464003.0,0.0,1.0,53.7,54.74,53.3484,54.73,7464003.0
2018-03-05,51.96,53.84,51.8,53.61,5762427.0,0.0,1.0,51.96,53.84,51.8,53.61,5762427.0
2018-03-02,51.56,52.76,50.47,52.63,8586603.0,0.0,1.0,51.56,52.76,50.47,52.63,8586603.0
2018-03-01,52.9,53.49,51.49,52.05,7096084.0,0.0,1.0,52.9,53.49,51.49,52.05,7096084.0
2018-02-28,54.0,54.51,53.0,53.02,5803088.0,0.0,1.0,54.0,54.51,53.0,53.02,5803088.0
2018-02-27,53.74,55.39,53.74,53.8,8577002.0,0.0,1.0,53.74,55.39,53.74,53.8,8577002.0
2018-02-26,53.0,53.73,52.52,53.73,5739544.0,0.0,1.0,53.0,53.73,52.52,53.73,5739544.0
2018-02-23,52.2,52.76,52.025,52.74,4924135.0,0.0,1.0,52.2,52.76,52.025,52.74,4924135.0
2018-02-22,52.69,53.09,51.85,52.03,6315575.0,0.0,1.0,52.69,53.09,51.85,52.03,6315575.0
2018-02-21,52.28,53.13,52.21,52.3,5878743.0,0.0,1.0,52.28,53.13,52.21,52.3,5878743.0
2018-02-20,51.95,52.72,51.95,52.34,4652661.0,0.0,1.0,51.95,52.72,51.95,52.34,4652661.0
2018-02-16,52.04,52.59,51.72,52.17,5880041.0,0.0,1.0,52.04,52.59,51.72,52.17,5880041.0
2018-02-15,52.92,53.133,51.66,52.33,4898689.0,0.0,1.0,52.92,53.133,51.66,52.33,4898689.0
2018-02-14,50.95,52.61,50.9,52.4,5967854.0,0.0,1.0,50.95,52.61,50.9,52.4,5967854.0
2018-02-13,50.63,51.22,50.291000000000004,51.15,6399421.0,0.0,1.0,50.63,51.22,50.291000000000004,51.15,6399421.0
2018-02-12,50.72,51.5,50.43,50.94,7517275.0,0.0,1.0,50.72,51.5,50.43,50.94,7517275.0
2018-02-09,50.21,50.52,48.04,50.12,12765928.0,0.0,1.0,50.21,50.52,48.04,50.12,12765928.0
2018-02-08,51.99,52.17,48.9,48.9,11870886.0,0.0,1.0,51.99,52.17,48.9,48.9,11870886.0
2018-02-07,51.79,53.02,51.64,52.03,10120384.0,0.0,1.0,51.79,53.02,51.64,52.03,10120384.0
2018-02-06,50.0,53.16,49.15,52.86,14405194.0,0.0,1.0,50.0,53.16,49.15,52.86,14405194.0
2018-02-05,52.54,54.1,50.95,51.29,11115910.0,0.0,1.0,52.54,54.1,50.95,51.29,11115910.0
2018-02-02,54.75,55.05,53.14,53.34,9056596.0,0.0,1.0,54.75,55.05,53.14,53.34,9056596.0
2018-02-01,53.28,54.92,53.14,54.91,6867332.0,0.0,1.0,53.28,54.92,53.14,54.91,6867332.0
2018-01-31,53.44,53.81,53.065,53.34,7721628.0,0.0,1.0,53.44,53.81,53.065,53.34,7721628.0
2018-01-30,53.76,54.38,53.195,53.2,8269859.0,0.0,1.0,53.76,54.38,53.195,53.2,8269859.0
2018-01-29,54.36,54.75,53.87,54.05,7577442.0,0.0,1.0,54.36,54.75,53.87,54.05,7577442.0
2018-01-26,54.37,54.43,53.74,54.27,8180080.0,0.0,1.0,54.37,54.43,53.74,54.27,8180080.0
2018-01-25,55.61,55.66,53.985,54.18,6978902.0,0.0,1.0,55.61,55.66,53.985,54.18,6978902.0
2018-01-24,55.75,55.87,54.955,55.39,6254154.0,0.0,1.0,55.75,55.87,54.955,55.39,6254154.0
2018-01-23,55.16,55.86,55.03,55.32,6913124.0,0.0,1.0,55.16,55.86,55.03,55.32,6913124.0
2018-01-22,55.4,55.61,54.73,55.44,7186839.0,0.0,1.0,55.4,55.61,54.73,55.44,7186839.0
2018-01-19,55.44,55.6,55.15,55.48,7368346.0,0.0,1.0,55.44,55.6,55.15,55.48,7368346.0
2018-01-18,55.78,56.22,55.135,55.33,5816111.0,0.0,1.0,55.78,56.22,55.135,55.33,5816111.0
2018-01-17,55.61,56.25,54.52,56.09,8298548.0,0.0,1.0,55.61,56.25,54.52,56.09,8298548.0
2018-01-16,55.73,56.13,54.97,55.53,9240930.0,0.0,1.0,55.73,56.13,54.97,55.53,9240930.0
2018-01-12,54.66,55.52,54.66,55.39,7515526.0,0.0,1.0,54.66,55.52,54.66,55.39,7515526.0
