Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,11.96,12.03,11.68,11.75,98465.0,0.0,1.0,11.96,12.03,11.68,11.75,98465.0
2018-03-26,11.89,12.01,11.75,11.94,94590.0,0.0,1.0,11.89,12.01,11.75,11.94,94590.0
2018-03-23,11.85,11.91,11.8,11.82,65326.0,0.0,1.0,11.85,11.91,11.8,11.82,65326.0
2018-03-22,11.79,11.94,11.79,11.86,67331.0,0.0,1.0,11.79,11.94,11.79,11.86,67331.0
2018-03-21,11.9,11.99,11.84,11.89,53027.0,0.0,1.0,11.9,11.99,11.84,11.89,53027.0
2018-03-20,11.86,12.06,11.86,11.94,128017.0,0.0,1.0,11.86,12.06,11.86,11.94,128017.0
2018-03-19,11.81,11.8402,11.71,11.76,54546.0,0.0,1.0,11.81,11.8402,11.71,11.76,54546.0
2018-03-16,11.65,11.92,11.6252,11.83,100832.0,0.0,1.0,11.65,11.92,11.6252,11.83,100832.0
2018-03-15,11.91,11.942,11.58,11.66,134903.0,0.0,1.0,11.91,11.942,11.58,11.66,134903.0
2018-03-14,11.93,12.0759,11.91,11.92,59150.0,0.0,1.0,11.93,12.0759,11.91,11.92,59150.0
2018-03-13,11.95,11.95,11.85,11.91,85859.0,0.0,1.0,11.95,11.95,11.85,11.91,85859.0
2018-03-12,11.96,11.96,11.82,11.89,64256.0,0.0,1.0,11.96,11.96,11.82,11.89,64256.0
2018-03-09,11.92,11.985,11.75,11.91,81570.0,0.0,1.0,11.92,11.985,11.75,11.91,81570.0
2018-03-08,11.41,11.87,11.41,11.82,109971.0,0.0,1.0,11.41,11.87,11.41,11.82,109971.0
2018-03-07,11.36,11.47,11.1601,11.47,112800.0,0.0,1.0,11.36,11.47,11.1601,11.47,112800.0
2018-03-06,11.8,11.8,11.39,11.43,76089.0,0.0,1.0,11.8,11.8,11.39,11.43,76089.0
2018-03-05,11.31,11.74,11.31,11.61,97320.0,0.0,1.0,11.31,11.74,11.31,11.61,97320.0
2018-03-02,11.3,11.47,11.0678,11.43,115708.0,0.0,1.0,11.3,11.47,11.0678,11.43,115708.0
2018-03-01,11.44,11.49,11.28,11.34,81692.0,0.0,1.0,11.44,11.49,11.28,11.34,81692.0
2018-02-28,11.71,11.76,11.43,11.43,68624.0,0.0,1.0,11.71,11.76,11.43,11.43,68624.0
2018-02-27,11.77,11.87,11.62,11.65,60134.0,0.0,1.0,11.77,11.87,11.62,11.65,60134.0
2018-02-26,11.85,11.95,11.75,11.93,118485.0,0.0,1.0,11.85,11.95,11.75,11.93,118485.0
2018-02-23,11.85,11.9,11.74,11.75,131208.0,0.0,1.0,11.85,11.9,11.74,11.75,131208.0
2018-02-22,11.83,11.94,11.75,11.79,72123.0,0.0,1.0,11.83,11.94,11.75,11.79,72123.0
2018-02-21,11.87,11.94,11.75,11.77,76954.0,0.0,1.0,11.87,11.94,11.75,11.77,76954.0
2018-02-20,11.93,12.0,11.8,11.87,67650.0,0.0,1.0,11.93,12.0,11.8,11.87,67650.0
2018-02-16,11.83,12.11,11.81,11.99,67407.0,0.0,1.0,11.83,12.11,11.81,11.99,67407.0
2018-02-15,11.96,11.97,11.75,11.81,71017.0,0.0,1.0,11.96,11.97,11.75,11.81,71017.0
2018-02-14,11.9,11.98,11.8,11.89,65051.0,0.0,1.0,11.9,11.98,11.8,11.89,65051.0
2018-02-13,12.03,12.07,11.81,11.92,76295.0,0.0,1.0,12.03,12.07,11.81,11.92,76295.0
2018-02-12,11.55,12.02,11.5,11.99,82550.0,0.0,1.0,11.55,12.02,11.5,11.99,82550.0
2018-02-09,11.55,11.59,11.36,11.5,124413.0,0.0,1.0,11.55,11.59,11.36,11.5,124413.0
2018-02-08,11.71,11.82,11.46,11.49,70663.0,0.0,1.0,11.71,11.82,11.46,11.49,70663.0
2018-02-07,11.56,11.85,11.56,11.67,77270.0,0.0,1.0,11.56,11.85,11.56,11.67,77270.0
2018-02-06,11.3,11.6999,11.25,11.57,113645.0,0.0,1.0,11.3,11.6999,11.25,11.57,113645.0
2018-02-05,11.7,11.7244,11.3,11.36,256056.0,0.0,1.0,11.7,11.7244,11.3,11.36,256056.0
2018-02-02,11.8,11.95,11.75,11.8,58021.0,0.0,1.0,11.8,11.95,11.75,11.8,58021.0
2018-02-01,11.96,12.0852,11.8,11.88,104910.0,0.0,1.0,11.96,12.0852,11.8,11.88,104910.0
2018-01-31,12.26,12.35,11.96,11.96,162363.0,0.0,1.0,12.26,12.35,11.96,11.96,162363.0
2018-01-30,12.41,12.48,12.15,12.25,95365.0,0.0,1.0,12.41,12.48,12.15,12.25,95365.0
2018-01-29,12.87,12.9,12.48,12.54,151820.0,0.0,1.0,12.87,12.9,12.48,12.54,151820.0
2018-01-26,12.95,12.98,12.76,12.87,72951.0,0.0,1.0,12.95,12.98,12.76,12.87,72951.0
2018-01-25,12.75,13.0,12.66,12.9,110992.0,0.0,1.0,12.75,13.0,12.66,12.9,110992.0
2018-01-24,12.72,12.8358,12.6502,12.72,62066.0,0.0,1.0,12.72,12.8358,12.6502,12.72,62066.0
2018-01-23,12.76,12.82,12.66,12.72,52331.0,0.0,1.0,12.76,12.82,12.66,12.72,52331.0
2018-01-22,12.71,12.825,12.64,12.74,52351.0,0.0,1.0,12.71,12.825,12.64,12.74,52351.0
2018-01-19,12.88,12.9199,12.65,12.7,101392.0,0.0,1.0,12.88,12.9199,12.65,12.7,101392.0
2018-01-18,12.6,12.92,12.6,12.88,78594.0,0.0,1.0,12.6,12.92,12.6,12.88,78594.0
2018-01-17,12.46,12.675,12.46,12.61,55592.0,0.0,1.0,12.46,12.675,12.46,12.61,55592.0
2018-01-16,12.65,12.85,12.46,12.48,123040.0,0.0,1.0,12.65,12.85,12.46,12.48,123040.0
2018-01-12,12.5,12.69,12.5,12.69,81116.0,0.0,1.0,12.5,12.69,12.5,12.69,81116.0
2018-01-11,12.56,12.75,12.51,12.54,60127.0,0.0,1.0,12.56,12.75,12.51,12.54,60127.0
2018-01-10,12.7,12.7951,12.56,12.58,80161.0,0.0,1.0,12.7,12.7951,12.56,12.58,80161.0
2018-01-09,12.84,12.8634,12.63,12.7,63556.0,0.0,1.0,12.84,12.8634,12.63,12.7,63556.0
2018-01-08,12.5,12.92,12.5,12.81,127148.0,0.0,1.0,12.5,12.92,12.5,12.81,127148.0
2018-01-05,12.75,12.78,12.3102,12.55,199451.0,0.0,1.0,12.75,12.78,12.3102,12.55,199451.0
2018-01-04,12.9,12.99,12.68,12.68,155108.0,0.0,1.0,12.9,12.99,12.68,12.68,155108.0
2018-01-03,12.98,13.0127,12.76,12.97,110689.0,0.0,1.0,12.98,13.0127,12.76,12.97,110689.0
2018-01-02,13.24,13.28,12.96,13.0,149325.0,0.0,1.0,13.24,13.28,12.96,13.0,149325.0
2017-12-29,13.12,13.37,13.12,13.14,116786.0,0.0,1.0,13.12,13.37,13.12,13.14,116786.0
2017-12-28,13.21,13.26,13.05,13.17,135964.0,0.0,1.0,13.21,13.26,13.05,13.17,135964.0
2017-12-27,13.4,13.4,13.19,13.21,96944.0,0.0,1.0,13.4,13.4,13.19,13.21,96944.0
2017-12-26,13.54,13.54,13.31,13.32,106504.0,0.0,1.0,13.54,13.54,13.31,13.32,106504.0
2017-12-22,13.38,13.57,13.15,13.49,128408.0,0.0,1.0,13.38,13.57,13.15,13.49,128408.0
2017-12-21,13.255,13.5087,13.15,13.24,115225.0,0.0,1.0,13.255,13.5087,13.15,13.24,115225.0
2017-12-20,13.14,13.4,13.02,13.26,110212.0,0.0,1.0,13.14,13.4,13.02,13.26,110212.0
2017-12-19,13.585,13.64,13.0,13.03,208674.0,0.0,1.0,13.585,13.64,13.0,13.03,208674.0
2017-12-18,13.955,14.1,13.44,13.46,243320.0,0.0,1.0,13.955,14.1,13.44,13.46,243320.0
2017-12-15,13.61,13.9,13.495,13.8,1039001.0,0.0,1.0,13.61,13.9,13.495,13.8,1039001.0
2017-12-14,13.18,13.9,13.15,13.82,247038.0,0.0,1.0,13.18,13.9,13.15,13.82,247038.0
2017-12-13,13.05,13.35,12.98,13.27,182080.0,0.0,1.0,13.05,13.35,12.98,13.27,182080.0
2017-12-12,12.88,13.39,12.68,13.03,183848.0,0.0,1.0,12.88,13.39,12.68,13.03,183848.0
2017-12-11,12.44,13.03,12.32,12.91,157988.0,0.0,1.0,12.44,13.03,12.32,12.91,157988.0
2017-12-08,12.57,12.57,12.15,12.5,137668.0,0.0,1.0,12.57,12.57,12.15,12.5,137668.0
2017-12-07,12.44,12.55,12.28,12.5,135588.0,0.0,1.0,12.44,12.55,12.28,12.5,135588.0
2017-12-06,12.57,12.6,12.42,12.49,98301.0,0.0,1.0,12.57,12.6,12.42,12.49,98301.0
2017-12-05,12.63,12.645,12.51,12.58,80765.0,0.0,1.0,12.63,12.645,12.51,12.58,80765.0
2017-12-04,12.77,12.82,12.55,12.62,112846.0,0.0,1.0,12.77,12.82,12.55,12.62,112846.0
2017-12-01,12.69,12.74,12.6,12.71,130096.0,0.0,1.0,12.69,12.74,12.6,12.71,130096.0
2017-11-30,12.89,12.89,12.66,12.77,113211.0,0.0,1.0,12.89,12.89,12.66,12.77,113211.0
2017-11-29,12.84,12.96,12.81,12.92,98099.0,0.0,1.0,12.84,12.96,12.81,12.92,98099.0
2017-11-28,13.12,13.13,12.9,13.0,148204.0,0.0,1.0,13.12,13.13,12.9,13.0,148204.0
2017-11-27,13.03,13.13,13.02,13.08,87359.0,0.0,1.0,13.03,13.13,13.02,13.08,87359.0
2017-11-24,12.99,13.08,12.89,13.0,51145.0,0.0,1.0,12.99,13.08,12.89,13.0,51145.0
2017-11-22,12.95,13.13,12.82,13.02,48227.0,0.0,1.0,12.95,13.13,12.82,13.02,48227.0
2017-11-21,13.1,13.14,12.82,12.96,124352.0,0.0,1.0,13.1,13.14,12.82,12.96,124352.0
2017-11-20,12.67,13.12,12.63,12.98,169649.0,0.0,1.0,12.67,13.12,12.63,12.98,169649.0
2017-11-17,12.69,12.74,12.33,12.67,174335.0,0.0,1.0,12.69,12.74,12.33,12.67,174335.0
2017-11-16,12.22,12.45,12.22,12.4,146872.0,0.0,1.0,12.22,12.45,12.22,12.4,146872.0
2017-11-15,12.43,12.44,12.15,12.19,173295.0,0.0,1.0,12.43,12.44,12.15,12.19,173295.0
2017-11-14,12.2,12.83,12.2,12.53,285391.0,0.0,1.0,12.2,12.83,12.2,12.53,285391.0
2017-11-13,12.82,12.82,11.57,12.23,476179.0,0.0,1.0,12.82,12.82,11.57,12.23,476179.0
2017-11-10,13.97,13.99,12.43,12.86,470571.0,0.0,1.0,13.97,13.99,12.43,12.86,470571.0
2017-11-09,13.81,13.97,13.8024,13.96,42858.0,0.0,1.0,13.81,13.97,13.8024,13.96,42858.0
2017-11-07,13.93,13.95,13.81,13.85,50090.0,0.0,1.0,13.93,13.95,13.81,13.85,50090.0
2017-11-06,13.89,14.12,13.710999999999999,14.0,105409.0,0.0,1.0,13.89,14.12,13.710999999999999,14.0,105409.0
2017-11-03,14.08,14.08,13.73,13.81,61281.0,0.0,1.0,14.08,14.08,13.73,13.81,61281.0
2017-11-02,13.95,14.08,13.69,14.08,53747.0,0.0,1.0,13.95,14.08,13.69,14.08,53747.0
2017-11-01,13.91,13.975,13.5,13.96,103415.0,0.0,1.0,13.91,13.975,13.5,13.96,103415.0
2017-10-31,13.97,14.135,13.75,13.8,135317.0,0.0,1.0,13.97,14.135,13.75,13.8,135317.0
2017-10-30,14.17,14.25,13.91,13.94,136380.0,0.113,1.0,14.17,14.25,13.91,13.94,136380.0
2017-10-27,14.13,14.29,14.11,14.29,109006.0,0.0,1.0,14.016380843948,14.175094285918,13.996541663701999,14.175094285918,109006.0
2017-10-26,14.07,14.19,14.04,14.13,73764.0,0.0,1.0,13.956863303209,14.075898384687,13.92710453284,14.016380843948,73764.0
2017-10-25,14.2,14.21,13.98,14.06,76705.0,0.0,1.0,14.08581797481,14.095737564933,13.867586992101,13.946943713086,76705.0
2017-10-24,14.09,14.208,14.0878,14.16,73780.0,0.0,1.0,13.976702483455,14.093753646907999,13.974520173628,14.046139614317,73780.0
2017-10-23,14.16,14.19,14.0,14.04,67858.0,0.0,1.0,14.046139614317,14.075898384687,13.887426172348,13.92710453284,67858.0
2017-10-20,14.16,14.18,14.06,14.06,60295.0,0.0,1.0,14.046139614317,14.065978794563,13.946943713086,13.946943713086,60295.0
2017-10-19,14.12,14.18,14.09,14.14,48612.0,0.0,1.0,14.006461253825,14.065978794563,13.976702483455,14.026300434071,48612.0
2017-10-18,14.11,14.16,14.0205,14.13,56013.0,0.0,1.0,13.996541663701999,14.046139614317,13.9077613321,14.016380843948,56013.0
2017-10-17,14.15,14.18,14.0,14.07,104411.0,0.0,1.0,14.036220024194,14.065978794563,13.887426172348,13.956863303209,104411.0
2017-10-16,14.07,14.23,13.95,14.13,122175.0,0.0,1.0,13.956863303209,14.115576745179,13.837828221731998,14.016380843948,122175.0
2017-10-13,14.11,14.15,13.97,13.98,58926.0,0.0,1.0,13.996541663701999,14.036220024194,13.857667401977999,13.867586992101,58926.0
2017-10-12,13.95,14.16,13.87,14.05,88229.0,0.0,1.0,13.837828221731998,14.046139614317,13.758471500747001,13.937024122962999,88229.0
