Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2017-02-07,20.92,24.4399,20.81,22.86,16723867.0,0.0,1.0,20.92,24.4399,20.81,22.86,16723867.0
2017-02-06,30.74,30.74,23.05,23.22,7225197.0,0.0,1.0,30.74,30.74,23.05,23.22,7225197.0
2017-02-03,32.17,32.75,32.17,32.44,259260.0,0.0,1.0,32.17,32.75,32.17,32.44,259260.0
2017-02-02,32.8,33.41,32.2,32.4,295555.0,0.0,1.0,32.8,33.41,32.2,32.4,295555.0
2017-02-01,33.8,33.91,32.77,32.95,488268.0,0.0,1.0,33.8,33.91,32.77,32.95,488268.0
2017-01-31,32.75,33.65,32.53,33.55,363471.0,0.0,1.0,32.75,33.65,32.53,33.55,363471.0
2017-01-30,33.0,33.09,32.37,32.88,252660.0,0.0,1.0,33.0,33.09,32.37,32.88,252660.0
2017-01-27,32.69,33.0525,32.2,33.03,191567.0,0.0,1.0,32.69,33.0525,32.2,33.03,191567.0
2017-01-26,32.88,33.0,32.46,32.66,193692.0,0.0,1.0,32.88,33.0,32.46,32.66,193692.0
2017-01-25,32.6,33.09,32.43,32.86,337475.0,0.0,1.0,32.6,33.09,32.43,32.86,337475.0
2017-01-24,31.86,32.46,31.78,32.31,316308.0,0.0,1.0,31.86,32.46,31.78,32.31,316308.0
2017-01-23,32.21,32.43,31.67,31.8,189909.0,0.0,1.0,32.21,32.43,31.67,31.8,189909.0
2017-01-20,31.97,32.42,31.86,32.26,191238.0,0.0,1.0,31.97,32.42,31.86,32.26,191238.0
2017-01-19,32.31,32.43,31.9,31.97,116404.0,0.0,1.0,32.31,32.43,31.9,31.97,116404.0
2017-01-18,32.33,32.425,31.61,32.34,209627.0,0.0,1.0,32.33,32.425,31.61,32.34,209627.0
2017-01-17,32.42,32.66,32.11,32.13,202042.0,0.0,1.0,32.42,32.66,32.11,32.13,202042.0
2017-01-13,32.15,32.83,32.15,32.51,210244.0,0.0,1.0,32.15,32.83,32.15,32.51,210244.0
2017-01-12,32.78,33.99,31.8,32.11,198636.0,0.0,1.0,32.78,33.99,31.8,32.11,198636.0
2017-01-11,33.16,33.23,32.52,32.75,168273.0,0.0,1.0,33.16,33.23,32.52,32.75,168273.0
2017-01-10,32.99,33.25,32.76,33.16,241467.0,0.0,1.0,32.99,33.25,32.76,33.16,241467.0
2017-01-09,32.61,33.333,32.53,32.89,216014.0,0.0,1.0,32.61,33.333,32.53,32.89,216014.0
2017-01-06,33.14,33.14,32.6,32.68,206570.0,0.0,1.0,33.14,33.14,32.6,32.68,206570.0
2017-01-05,32.4,33.07,32.21,33.0,236085.0,0.0,1.0,32.4,33.07,32.21,33.0,236085.0
2017-01-04,31.83,32.67,31.83,32.61,254647.0,0.0,1.0,31.83,32.67,31.83,32.61,254647.0
2017-01-03,31.76,31.84,31.28,31.79,320711.0,0.0,1.0,31.76,31.84,31.28,31.79,320711.0
