Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,41.6,41.7,40.62,40.79,191995.0,0.0,1.0,41.6,41.7,40.62,40.79,191995.0
2018-03-26,40.99,41.65,40.17,41.49,161039.0,0.0,1.0,40.99,41.65,40.17,41.49,161039.0
2018-03-23,42.25,42.785,40.201,40.26,206522.0,0.0,1.0,42.25,42.785,40.201,40.26,206522.0
2018-03-22,43.22,43.255,41.86,41.89,186490.0,0.0,1.0,43.22,43.255,41.86,41.89,186490.0
2018-03-21,43.7,43.965,43.37,43.7,70732.0,0.0,1.0,43.7,43.965,43.37,43.7,70732.0
2018-03-20,44.21,44.21,43.52,43.68,87328.0,0.0,1.0,44.21,44.21,43.52,43.68,87328.0
2018-03-19,44.17,44.26,43.28,44.11,84268.0,0.0,1.0,44.17,44.26,43.28,44.11,84268.0
2018-03-16,43.62,44.435,43.6,44.29,481785.0,0.0,1.0,43.62,44.435,43.6,44.29,481785.0
2018-03-15,43.22,43.67,42.82,43.62,90379.0,0.0,1.0,43.22,43.67,42.82,43.62,90379.0
2018-03-14,44.0,44.0,43.04,43.07,99441.0,0.0,1.0,44.0,44.0,43.04,43.07,99441.0
2018-03-13,44.25,44.415,43.59,43.74,88021.0,0.0,1.0,44.25,44.415,43.59,43.74,88021.0
2018-03-12,43.69,44.28,43.3,44.18,171002.0,0.0,1.0,43.69,44.28,43.3,44.18,171002.0
2018-03-09,42.94,43.75,42.48,43.7,114052.0,0.0,1.0,42.94,43.75,42.48,43.7,114052.0
2018-03-08,43.35,43.69,42.37,42.59,109494.0,0.0,1.0,43.35,43.69,42.37,42.59,109494.0
2018-03-07,42.25,43.41,41.86,43.28,198285.0,0.0,1.0,42.25,43.41,41.86,43.28,198285.0
2018-03-06,42.23,42.79,41.73,42.71,99067.0,0.0,1.0,42.23,42.79,41.73,42.71,99067.0
2018-03-05,41.27,42.41,40.49,42.03,123703.0,0.0,1.0,41.27,42.41,40.49,42.03,123703.0
2018-03-02,40.05,41.7,39.95,41.53,173676.0,0.0,1.0,40.05,41.7,39.95,41.53,173676.0
2018-03-01,40.11,40.78,39.77,40.4,218852.0,0.0,1.0,40.11,40.78,39.77,40.4,218852.0
2018-02-28,41.52,41.855,40.09,40.16,127374.0,0.0,1.0,41.52,41.855,40.09,40.16,127374.0
2018-02-27,42.25,42.78,41.3,41.32,124012.0,0.0,1.0,42.25,42.78,41.3,41.32,124012.0
2018-02-26,42.0,42.24,41.1701,42.19,75496.0,0.0,1.0,42.0,42.24,41.1701,42.19,75496.0
2018-02-23,41.47,41.96,41.36,41.91,96313.0,0.0,1.0,41.47,41.96,41.36,41.91,96313.0
2018-02-22,42.15,42.39,41.09,41.13,78362.0,0.0,1.0,42.15,42.39,41.09,41.13,78362.0
2018-02-21,41.32,42.88,41.32,42.14,140476.0,0.0,1.0,41.32,42.88,41.32,42.14,140476.0
2018-02-20,41.58,42.0208,41.02,41.21,102003.0,0.0,1.0,41.58,42.0208,41.02,41.21,102003.0
2018-02-16,41.33,42.11,41.33,41.86,62058.0,0.0,1.0,41.33,42.11,41.33,41.86,62058.0
2018-02-15,41.29,41.6,40.98,41.54,85813.0,0.0,1.0,41.29,41.6,40.98,41.54,85813.0
2018-02-14,40.33,41.14,40.25,41.0,138719.0,0.0,1.0,40.33,41.14,40.25,41.0,138719.0
2018-02-13,40.15,40.505,40.02,40.34,58496.0,0.0,1.0,40.15,40.505,40.02,40.34,58496.0
2018-02-12,40.44,41.5227,39.59,40.43,107432.0,0.0,1.0,40.44,41.5227,39.59,40.43,107432.0
2018-02-09,39.94,40.7,39.15,40.26,130833.0,0.0,1.0,39.94,40.7,39.15,40.26,130833.0
2018-02-08,40.5,40.5,39.32,39.32,91996.0,0.0,1.0,40.5,40.5,39.32,39.32,91996.0
2018-02-07,39.76,40.575,39.75,40.42,139760.0,0.0,1.0,39.76,40.575,39.75,40.42,139760.0
2018-02-06,39.39,40.565,39.02,39.91,226560.0,0.0,1.0,39.39,40.565,39.02,39.91,226560.0
2018-02-05,41.34,42.87,40.27,40.38,222806.0,0.0,1.0,41.34,42.87,40.27,40.38,222806.0
2018-02-02,42.87,43.73,42.39,42.63,142763.0,0.0,1.0,42.87,43.73,42.39,42.63,142763.0
2018-02-01,42.26,43.0,41.905,43.0,79921.0,0.0,1.0,42.26,43.0,41.905,43.0,79921.0
2018-01-31,43.17,43.44,42.35,42.42,100340.0,0.0,1.0,43.17,43.44,42.35,42.42,100340.0
2018-01-30,42.47,43.17,42.34,42.96,133525.0,0.0,1.0,42.47,43.17,42.34,42.96,133525.0
2018-01-29,42.55,43.22,42.55,42.91,100827.0,0.0,1.0,42.55,43.22,42.55,42.91,100827.0
2018-01-26,42.63,42.9244,42.25,42.59,106398.0,0.0,1.0,42.63,42.9244,42.25,42.59,106398.0
2018-01-25,43.35,43.35,42.16,42.46,162434.0,0.0,1.0,43.35,43.35,42.16,42.46,162434.0
2018-01-24,43.88,43.95,42.92,43.02,195021.0,0.0,1.0,43.88,43.95,42.92,43.02,195021.0
2018-01-23,42.44,43.66,42.3066,43.59,290673.0,0.0,1.0,42.44,43.66,42.3066,43.59,290673.0
2018-01-22,42.5,42.7,41.02,42.67,157637.0,0.0,1.0,42.5,42.7,41.02,42.67,157637.0
2018-01-19,41.25,42.59,41.22,42.55,229702.0,0.0,1.0,41.25,42.59,41.22,42.55,229702.0
2018-01-18,42.01,42.16,41.36,41.38,99969.0,0.0,1.0,42.01,42.16,41.36,41.38,99969.0
2018-01-17,41.65,42.32,41.2,42.09,99833.0,0.0,1.0,41.65,42.32,41.2,42.09,99833.0
2018-01-16,41.77,42.48,41.36,41.46,138337.0,0.0,1.0,41.77,42.48,41.36,41.46,138337.0
2018-01-12,42.16,42.37,41.08,41.42,249456.0,0.0,1.0,42.16,42.37,41.08,41.42,249456.0
2018-01-11,42.01,42.46,41.66,42.15,193147.0,0.0,1.0,42.01,42.46,41.66,42.15,193147.0
2018-01-10,41.81,42.68,41.64,41.82,127555.0,0.0,1.0,41.81,42.68,41.64,41.82,127555.0
2018-01-09,41.4,42.0,41.33,41.82,278522.0,0.0,1.0,41.4,42.0,41.33,41.82,278522.0
2018-01-08,41.33,41.5,40.97,41.33,150459.0,0.0,1.0,41.33,41.5,40.97,41.33,150459.0
2018-01-05,41.4,41.67,41.09,41.47,69106.0,0.0,1.0,41.4,41.67,41.09,41.47,69106.0
2018-01-04,41.34,42.21,41.19,41.2,111549.0,0.0,1.0,41.34,42.21,41.19,41.2,111549.0
2018-01-03,41.18,41.37,40.88,41.03,99876.0,0.0,1.0,41.18,41.37,40.88,41.03,99876.0
2018-01-02,41.78,41.92,41.07,41.29,158787.0,0.0,1.0,41.78,41.92,41.07,41.29,158787.0
2017-12-29,42.55,42.55,41.26,41.5,112320.0,0.0,1.0,42.55,42.55,41.26,41.5,112320.0
2017-12-28,41.71,42.56,41.5,42.51,246255.0,0.0,1.0,41.71,42.56,41.5,42.51,246255.0
2017-12-27,41.47,41.76,40.88,41.5,210027.0,0.0,1.0,41.47,41.76,40.88,41.5,210027.0
2017-12-26,41.65,41.76,41.02,41.48,82053.0,0.0,1.0,41.65,41.76,41.02,41.48,82053.0
2017-12-22,42.03,42.03,41.4201,41.78,73835.0,0.0,1.0,42.03,42.03,41.4201,41.78,73835.0
2017-12-21,41.65,42.13,41.405,41.98,103275.0,0.0,1.0,41.65,42.13,41.405,41.98,103275.0
2017-12-20,41.44,41.56,40.795,41.48,115992.0,0.0,1.0,41.44,41.56,40.795,41.48,115992.0
2017-12-19,41.72,41.93,40.9223,41.29,191710.0,0.0,1.0,41.72,41.93,40.9223,41.29,191710.0
2017-12-18,41.46,42.49,40.96,41.65,111282.0,0.0,1.0,41.46,42.49,40.96,41.65,111282.0
2017-12-15,40.07,41.62,40.07,41.1,310676.0,0.0,1.0,40.07,41.62,40.07,41.1,310676.0
2017-12-14,40.69,40.97,39.9,39.98,151114.0,0.0,1.0,40.69,40.97,39.9,39.98,151114.0
2017-12-13,40.44,41.16,40.26,40.61,84762.0,0.0,1.0,40.44,41.16,40.26,40.61,84762.0
2017-12-12,40.33,40.975,40.28,40.36,84359.0,0.0,1.0,40.33,40.975,40.28,40.36,84359.0
2017-12-11,40.6,40.75,40.0,40.2,98150.0,0.0,1.0,40.6,40.75,40.0,40.2,98150.0
2017-12-08,41.14,41.14,40.44,40.62,60277.0,0.0,1.0,41.14,41.14,40.44,40.62,60277.0
2017-12-07,40.78,41.33,39.7604,40.81,73083.0,0.0,1.0,40.78,41.33,39.7604,40.81,73083.0
2017-12-06,41.08,41.68,40.8001,41.02,84553.0,0.0,1.0,41.08,41.68,40.8001,41.02,84553.0
2017-12-05,42.43,42.448,41.1,41.17,96388.0,0.0,1.0,42.43,42.448,41.1,41.17,96388.0
2017-12-04,42.47,43.919,41.783,42.25,131982.0,0.0,1.0,42.47,43.919,41.783,42.25,131982.0
2017-12-01,41.99,42.105,39.33,41.71,147128.0,0.0,1.0,41.99,42.105,39.33,41.71,147128.0
2017-11-30,44.0,44.0,41.86,41.99,155489.0,0.0,1.0,44.0,44.0,41.86,41.99,155489.0
2017-11-29,41.9,43.555,41.7,43.47,327751.0,0.0,1.0,41.9,43.555,41.7,43.47,327751.0
2017-11-28,40.24,41.82,39.95,41.71,147918.0,0.0,1.0,40.24,41.82,39.95,41.71,147918.0
2017-11-27,40.25,40.66,36.6947,40.14,66516.0,0.0,1.0,40.25,40.66,36.6947,40.14,66516.0
2017-11-24,40.79,40.79,39.89,40.29,39441.0,0.0,1.0,40.79,40.79,39.89,40.29,39441.0
2017-11-22,41.03,41.28,40.505,40.62,79794.0,0.0,1.0,41.03,41.28,40.505,40.62,79794.0
2017-11-21,40.62,41.14,40.17,40.85,126830.0,0.0,1.0,40.62,41.14,40.17,40.85,126830.0
2017-11-20,40.03,40.4,39.77,40.37,59125.0,0.0,1.0,40.03,40.4,39.77,40.37,59125.0
2017-11-17,39.72,40.175,39.35,39.96,93335.0,0.0,1.0,39.72,40.175,39.35,39.96,93335.0
2017-11-16,40.07,40.49,39.88,39.98,79327.0,0.0,1.0,40.07,40.49,39.88,39.98,79327.0
2017-11-15,39.23,40.325,38.74,39.79,63982.0,0.0,1.0,39.23,40.325,38.74,39.79,63982.0
2017-11-14,39.64,40.05,39.57,39.71,87458.0,0.0,1.0,39.64,40.05,39.57,39.71,87458.0
2017-11-13,39.16,40.09,38.89,39.93,68318.0,0.0,1.0,39.16,40.09,38.89,39.93,68318.0
