Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,2.3,2.6,2.29,2.5,2862518.0,0.0,1.0,2.3,2.6,2.29,2.5,2862518.0
2018-03-26,2.24,2.33,2.175,2.33,1314089.0,0.0,1.0,2.24,2.33,2.175,2.33,1314089.0
2018-03-23,2.28,2.28,2.16,2.18,1115361.0,0.0,1.0,2.28,2.28,2.16,2.18,1115361.0
2018-03-22,2.31,2.33,2.17,2.3,1350894.0,0.0,1.0,2.31,2.33,2.17,2.3,1350894.0
2018-03-21,2.28,2.42,2.28,2.32,1268475.0,0.0,1.0,2.28,2.42,2.28,2.32,1268475.0
2018-03-20,2.33,2.355,2.21,2.29,1086413.0,0.0,1.0,2.33,2.355,2.21,2.29,1086413.0
2018-03-19,2.34,2.355,2.21,2.33,1164688.0,0.0,1.0,2.34,2.355,2.21,2.33,1164688.0
2018-03-16,2.29,2.4,2.21,2.32,3451486.0,0.0,1.0,2.29,2.4,2.21,2.32,3451486.0
2018-03-15,2.5,2.57,2.19,2.26,3692749.0,0.0,1.0,2.5,2.57,2.19,2.26,3692749.0
2018-03-14,2.56,2.6087,2.375,2.42,1364660.0,0.0,1.0,2.56,2.6087,2.375,2.42,1364660.0
2018-03-13,2.5,2.65,2.45,2.55,1648608.0,0.0,1.0,2.5,2.65,2.45,2.55,1648608.0
2018-03-12,2.58,2.72,2.37,2.44,1337933.0,0.0,1.0,2.58,2.72,2.37,2.44,1337933.0
2018-03-09,2.42,2.64,2.41,2.56,1665692.0,0.0,1.0,2.42,2.64,2.41,2.56,1665692.0
2018-03-08,2.41,2.48,2.38,2.43,626542.0,0.0,1.0,2.41,2.48,2.38,2.43,626542.0
2018-03-07,2.44,2.5,2.35,2.42,1254595.0,0.0,1.0,2.44,2.5,2.35,2.42,1254595.0
2018-03-06,2.54,2.5789999999999997,2.37,2.46,1544851.0,0.0,1.0,2.54,2.5789999999999997,2.37,2.46,1544851.0
2018-03-05,2.73,2.745,2.5,2.55,1675945.0,0.0,1.0,2.73,2.745,2.5,2.55,1675945.0
2018-03-02,2.45,2.74,2.4001,2.73,1876874.0,0.0,1.0,2.45,2.74,2.4001,2.73,1876874.0
2018-03-01,2.41,2.51,2.33,2.47,985854.0,0.0,1.0,2.41,2.51,2.33,2.47,985854.0
2018-02-28,2.57,2.6009,2.35,2.42,1101774.0,0.0,1.0,2.57,2.6009,2.35,2.42,1101774.0
2018-02-27,2.66,2.76,2.52,2.57,1348489.0,0.0,1.0,2.66,2.76,2.52,2.57,1348489.0
2018-02-26,2.45,2.6,2.4,2.58,1056279.0,0.0,1.0,2.45,2.6,2.4,2.58,1056279.0
2018-02-23,2.36,2.5,2.33,2.43,893263.0,0.0,1.0,2.36,2.5,2.33,2.43,893263.0
2018-02-22,2.41,2.45,2.31,2.33,826675.0,0.0,1.0,2.41,2.45,2.31,2.33,826675.0
2018-02-21,2.35,2.42,2.3,2.36,1343049.0,0.0,1.0,2.35,2.42,2.3,2.36,1343049.0
2018-02-20,2.64,2.75,2.28,2.33,2417493.0,0.0,1.0,2.64,2.75,2.28,2.33,2417493.0
2018-02-16,2.62,2.85,2.55,2.61,2574193.0,0.0,1.0,2.62,2.85,2.55,2.61,2574193.0
2018-02-15,2.45,2.73,2.23,2.63,5029825.0,0.0,1.0,2.45,2.73,2.23,2.63,5029825.0
2018-02-14,2.27,2.36,2.13,2.3,1526405.0,0.0,1.0,2.27,2.36,2.13,2.3,1526405.0
2018-02-13,2.06,2.35,2.051,2.27,2210433.0,0.0,1.0,2.06,2.35,2.051,2.27,2210433.0
2018-02-12,2.15,2.18,1.99,2.07,2390455.0,0.0,1.0,2.15,2.18,1.99,2.07,2390455.0
2018-02-09,2.12,2.21,2.06,2.155,912249.0,0.0,1.0,2.12,2.21,2.06,2.155,912249.0
2018-02-08,2.23,2.2999,2.09,2.12,1333873.0,0.0,1.0,2.23,2.2999,2.09,2.12,1333873.0
2018-02-07,2.26,2.31,2.17,2.26,1181282.0,0.0,1.0,2.26,2.31,2.17,2.26,1181282.0
2018-02-06,2.14,2.34,2.11,2.28,1661426.0,0.0,1.0,2.14,2.34,2.11,2.28,1661426.0
2018-02-05,2.31,2.32,2.2,2.225,1818954.0,0.0,1.0,2.31,2.32,2.2,2.225,1818954.0
2018-02-02,2.44,2.46,2.31,2.345,2066825.0,0.0,1.0,2.44,2.46,2.31,2.345,2066825.0
2018-02-01,2.52,2.6,2.4,2.49,1893230.0,0.0,1.0,2.52,2.6,2.4,2.49,1893230.0
2018-01-31,2.64,2.6755,2.54,2.57,860058.0,0.0,1.0,2.64,2.6755,2.54,2.57,860058.0
2018-01-30,2.51,2.66,2.47,2.66,1676453.0,0.0,1.0,2.51,2.66,2.47,2.66,1676453.0
2018-01-29,2.55,2.795,2.37,2.57,3393437.0,0.0,1.0,2.55,2.795,2.37,2.57,3393437.0
2018-01-26,2.8,2.8,2.49,2.54,4800694.0,0.0,1.0,2.8,2.8,2.49,2.54,4800694.0
2018-01-25,3.16,3.18,2.75,2.78,3882128.0,0.0,1.0,3.16,3.18,2.75,2.78,3882128.0
2018-01-24,3.43,3.43,3.12,3.14,2434704.0,0.0,1.0,3.43,3.43,3.12,3.14,2434704.0
2018-01-23,3.56,3.58,3.33,3.41,1799866.0,0.0,1.0,3.56,3.58,3.33,3.41,1799866.0
2018-01-22,3.6,3.65,3.41,3.45,1617631.0,0.0,1.0,3.6,3.65,3.41,3.45,1617631.0
2018-01-19,3.67,3.74,3.56,3.63,1266293.0,0.0,1.0,3.67,3.74,3.56,3.63,1266293.0
2018-01-18,3.48,3.75,3.39,3.67,1824768.0,0.0,1.0,3.48,3.75,3.39,3.67,1824768.0
2018-01-17,3.5,3.65,3.46,3.51,1541830.0,0.0,1.0,3.5,3.65,3.46,3.51,1541830.0
2018-01-16,3.66,3.77,3.51,3.52,1695418.0,0.0,1.0,3.66,3.77,3.51,3.52,1695418.0
2018-01-12,3.35,3.64,3.33,3.6,3406261.0,0.0,1.0,3.35,3.64,3.33,3.6,3406261.0
2018-01-11,3.25,3.74,3.2,3.32,8333762.0,0.0,1.0,3.25,3.74,3.2,3.32,8333762.0
2018-01-10,3.23,3.43,3.159,3.29,4566751.0,0.0,1.0,3.23,3.43,3.159,3.29,4566751.0
2018-01-09,3.41,3.42,3.09,3.13,2853508.0,0.0,1.0,3.41,3.42,3.09,3.13,2853508.0
2018-01-08,3.57,3.63,3.3736,3.42,1815150.0,0.0,1.0,3.57,3.63,3.3736,3.42,1815150.0
2018-01-05,3.59,3.68,3.48,3.48,1685039.0,0.0,1.0,3.59,3.68,3.48,3.48,1685039.0
2018-01-04,3.76,3.8,3.46,3.58,2525495.0,0.0,1.0,3.76,3.8,3.46,3.58,2525495.0
2018-01-03,3.72,3.9,3.72,3.76,1440944.0,0.0,1.0,3.72,3.9,3.72,3.76,1440944.0
2018-01-02,3.58,3.78,3.52,3.78,1298095.0,0.0,1.0,3.58,3.78,3.52,3.78,1298095.0
2017-12-29,3.58,3.71,3.5,3.58,1506577.0,0.0,1.0,3.58,3.71,3.5,3.58,1506577.0
2017-12-28,3.73,3.73,3.59,3.6,1211297.0,0.0,1.0,3.73,3.73,3.59,3.6,1211297.0
2017-12-27,3.73,3.77,3.7,3.72,635434.0,0.0,1.0,3.73,3.77,3.7,3.72,635434.0
2017-12-26,3.72,3.85,3.65,3.77,1012609.0,0.0,1.0,3.72,3.85,3.65,3.77,1012609.0
2017-12-22,3.77,3.9,3.71,3.76,1074962.0,0.0,1.0,3.77,3.9,3.71,3.76,1074962.0
2017-12-21,3.84,3.88,3.77,3.78,1658172.0,0.0,1.0,3.84,3.88,3.77,3.78,1658172.0
2017-12-20,3.85,3.89,3.76,3.8,1407783.0,0.0,1.0,3.85,3.89,3.76,3.8,1407783.0
2017-12-19,3.94,3.94,3.83,3.86,1180961.0,0.0,1.0,3.94,3.94,3.83,3.86,1180961.0
2017-12-18,3.88,3.96,3.84,3.92,1567709.0,0.0,1.0,3.88,3.96,3.84,3.92,1567709.0
2017-12-15,3.91,3.96,3.82,3.83,2690458.0,0.0,1.0,3.91,3.96,3.82,3.83,2690458.0
2017-12-14,4.02,4.15,3.84,3.87,1987287.0,0.0,1.0,4.02,4.15,3.84,3.87,1987287.0
2017-12-13,4.0,4.1686,3.945,4.01,1082137.0,0.0,1.0,4.0,4.1686,3.945,4.01,1082137.0
2017-12-12,4.22,4.46,3.98,4.0,1343336.0,0.0,1.0,4.22,4.46,3.98,4.0,1343336.0
2017-12-11,4.27,4.36,4.17,4.25,768176.0,0.0,1.0,4.27,4.36,4.17,4.25,768176.0
2017-12-08,4.46,4.55,4.25,4.29,808700.0,0.0,1.0,4.46,4.55,4.25,4.29,808700.0
2017-12-07,4.17,4.65,4.17,4.42,1941350.0,0.0,1.0,4.17,4.65,4.17,4.42,1941350.0
2017-12-06,4.08,4.16,3.96,4.14,1237257.0,0.0,1.0,4.08,4.16,3.96,4.14,1237257.0
2017-12-05,3.96,4.2394,3.89,4.08,2005993.0,0.0,1.0,3.96,4.2394,3.89,4.08,2005993.0
2017-12-04,3.87,4.05,3.8488,3.93,1721098.0,0.0,1.0,3.87,4.05,3.8488,3.93,1721098.0
2017-12-01,3.93,4.23,3.85,3.87,2300437.0,0.0,1.0,3.93,4.23,3.85,3.87,2300437.0
2017-11-30,5.37,5.4,3.99,4.08,8470211.0,0.0,1.0,5.37,5.4,3.99,4.08,8470211.0
2017-11-29,4.16,4.62,4.11,4.21,2196100.0,0.0,1.0,4.16,4.62,4.11,4.21,2196100.0
2017-11-28,3.89,4.19,3.88,4.17,1414416.0,0.0,1.0,3.89,4.19,3.88,4.17,1414416.0
2017-11-27,3.85,3.99,3.82,3.9,771882.0,0.0,1.0,3.85,3.99,3.82,3.9,771882.0
2017-11-24,3.84,4.0,3.78,3.82,732061.0,0.0,1.0,3.84,4.0,3.78,3.82,732061.0
2017-11-22,3.88,4.22,3.78,3.8,1588688.0,0.0,1.0,3.88,4.22,3.78,3.8,1588688.0
2017-11-21,4.01,4.061,3.85,3.89,967872.0,0.0,1.0,4.01,4.061,3.85,3.89,967872.0
2017-11-20,4.23,4.26,3.91,4.01,1203605.0,0.0,1.0,4.23,4.26,3.91,4.01,1203605.0
2017-11-17,4.64,4.81,4.1317,4.23,1416248.0,0.0,1.0,4.64,4.81,4.1317,4.23,1416248.0
2017-11-16,4.18,4.73,4.18,4.57,1591221.0,0.0,1.0,4.18,4.73,4.18,4.57,1591221.0
2017-11-15,3.7,4.35,3.62,4.17,1534834.0,0.0,1.0,3.7,4.35,3.62,4.17,1534834.0
2017-11-14,4.08,4.1,3.7125,3.81,2866900.0,0.0,1.0,4.08,4.1,3.7125,3.81,2866900.0
2017-11-13,4.59,4.62,4.11,4.12,1530722.0,0.0,1.0,4.59,4.62,4.11,4.12,1530722.0
2017-11-10,4.69,4.7006,4.51,4.57,1166690.0,0.0,1.0,4.69,4.7006,4.51,4.57,1166690.0
2017-11-09,4.72,4.72,4.53,4.6,1397481.0,0.0,1.0,4.72,4.72,4.53,4.6,1397481.0
2017-11-07,5.3,5.3,4.96,5.0,946079.0,0.0,1.0,5.3,5.3,4.96,5.0,946079.0
2017-11-06,5.16,5.36,5.125,5.24,551624.0,0.0,1.0,5.16,5.36,5.125,5.24,551624.0
2017-11-03,5.45,5.45,5.15,5.17,584930.0,0.0,1.0,5.45,5.45,5.15,5.17,584930.0
2017-11-02,5.17,5.5,5.13,5.43,957263.0,0.0,1.0,5.17,5.5,5.13,5.43,957263.0
2017-11-01,5.55,5.6,5.03,5.13,1484999.0,0.0,1.0,5.55,5.6,5.03,5.13,1484999.0
2017-10-31,5.61,5.85,5.5,5.51,1035715.0,0.0,1.0,5.61,5.85,5.5,5.51,1035715.0
2017-10-30,5.69,5.75,5.59,5.64,612935.0,0.0,1.0,5.69,5.75,5.59,5.64,612935.0
2017-10-27,5.89,5.95,5.621,5.75,653846.0,0.0,1.0,5.89,5.95,5.621,5.75,653846.0
2017-10-26,5.76,6.12,5.76,6.06,1052297.0,0.0,1.0,5.76,6.12,5.76,6.06,1052297.0
2017-10-25,5.99,6.0,5.6,5.76,1092880.0,0.0,1.0,5.99,6.0,5.6,5.76,1092880.0
2017-10-24,6.57,6.67,5.94,5.99,1664018.0,0.0,1.0,6.57,6.67,5.94,5.99,1664018.0
2017-10-23,6.45,6.79,6.27,6.56,965468.0,0.0,1.0,6.45,6.79,6.27,6.56,965468.0
2017-10-20,6.11,6.6,6.06,6.55,1965852.0,0.0,1.0,6.11,6.6,6.06,6.55,1965852.0
2017-10-19,6.03,6.1796,5.91,6.06,686762.0,0.0,1.0,6.03,6.1796,5.91,6.06,686762.0
2017-10-18,5.77,6.14,5.76,6.05,1693632.0,0.0,1.0,5.77,6.14,5.76,6.05,1693632.0
2017-10-17,5.92,5.94,5.48,5.79,3423100.0,0.0,1.0,5.92,5.94,5.48,5.79,3423100.0
2017-10-16,6.24,6.43,5.75,5.99,5470628.0,0.0,1.0,6.24,6.43,5.75,5.99,5470628.0
2017-10-13,6.2,6.83,6.17,6.77,1445237.0,0.0,1.0,6.2,6.83,6.17,6.77,1445237.0
2017-10-12,6.13,6.3,5.52,6.2,2311389.0,0.0,1.0,6.13,6.3,5.52,6.2,2311389.0
2017-10-11,6.67,6.8,6.24,6.24,1881427.0,0.0,1.0,6.67,6.8,6.24,6.24,1881427.0
2017-10-10,7.1,7.22,6.695,6.7,1306819.0,0.0,1.0,7.1,7.22,6.695,6.7,1306819.0
2017-10-09,7.15,7.34,6.98,7.08,860406.0,0.0,1.0,7.15,7.34,6.98,7.08,860406.0
2017-10-06,7.22,7.39,7.0,7.11,667442.0,0.0,1.0,7.22,7.39,7.0,7.11,667442.0
2017-10-05,7.17,7.54,7.1,7.29,804271.0,0.0,1.0,7.17,7.54,7.1,7.29,804271.0
2017-10-04,6.99,7.19,6.92,7.19,888222.0,0.0,1.0,6.99,7.19,6.92,7.19,888222.0
2017-10-03,7.08,7.19,6.95,7.08,703080.0,0.0,1.0,7.08,7.19,6.95,7.08,703080.0
2017-10-02,7.26,7.3,7.0,7.08,901013.0,0.0,1.0,7.26,7.3,7.0,7.08,901013.0
2017-09-29,7.56,7.58,7.2,7.3,946636.0,0.0,1.0,7.56,7.58,7.2,7.3,946636.0
2017-09-28,7.33,7.78,7.2801,7.59,1250768.0,0.0,1.0,7.33,7.78,7.2801,7.59,1250768.0
2017-09-27,7.17,7.49,7.13,7.28,832183.0,0.0,1.0,7.17,7.49,7.13,7.28,832183.0
2017-09-26,7.15,7.32,7.1,7.16,519047.0,0.0,1.0,7.15,7.32,7.1,7.16,519047.0
2017-09-25,7.07,7.19,7.05,7.14,707589.0,0.0,1.0,7.07,7.19,7.05,7.14,707589.0
2017-09-22,7.07,7.189,6.99,7.11,582944.0,0.0,1.0,7.07,7.189,6.99,7.11,582944.0
2017-09-21,7.15,7.1724,6.92,7.05,806362.0,0.0,1.0,7.15,7.1724,6.92,7.05,806362.0
2017-09-20,7.21,7.31,7.05,7.21,645983.0,0.0,1.0,7.21,7.31,7.05,7.21,645983.0
2017-09-19,7.49,7.615,7.22,7.26,1081434.0,0.0,1.0,7.49,7.615,7.22,7.26,1081434.0
2017-09-18,7.7,7.87,7.51,7.52,748716.0,0.0,1.0,7.7,7.87,7.51,7.52,748716.0
