Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,8.73,8.92,8.54,8.73,79278.0,0.0,1.0,8.73,8.92,8.54,8.73,79278.0
2018-03-26,8.46,8.74,8.355,8.68,87478.0,0.0,1.0,8.46,8.74,8.355,8.68,87478.0
2018-03-23,8.45,8.51,8.26,8.34,103007.0,0.0,1.0,8.45,8.51,8.26,8.34,103007.0
2018-03-22,8.66,8.73,8.3367,8.43,81493.0,0.0,1.0,8.66,8.73,8.3367,8.43,81493.0
2018-03-21,8.4,8.75,8.27,8.73,86868.0,0.0,1.0,8.4,8.75,8.27,8.73,86868.0
2018-03-20,8.89,8.93,8.4,8.4,54487.0,0.0,1.0,8.89,8.93,8.4,8.4,54487.0
2018-03-19,8.84,8.92,8.51,8.88,85193.0,0.0,1.0,8.84,8.92,8.51,8.88,85193.0
2018-03-16,8.61,8.94,8.48,8.87,204366.0,0.0,1.0,8.61,8.94,8.48,8.87,204366.0
2018-03-15,8.71,8.86,8.57,8.62,63179.0,0.0,1.0,8.71,8.86,8.57,8.62,63179.0
2018-03-14,8.79,8.79,8.5589,8.7,95074.0,0.0,1.0,8.79,8.79,8.5589,8.7,95074.0
2018-03-13,8.49,8.88,8.38,8.75,141863.0,0.0,1.0,8.49,8.88,8.38,8.75,141863.0
2018-03-12,8.29,8.44,8.23,8.41,142692.0,0.0,1.0,8.29,8.44,8.23,8.41,142692.0
2018-03-09,8.09,8.39,7.76,8.23,85560.0,0.0,1.0,8.09,8.39,7.76,8.23,85560.0
2018-03-08,9.24,9.449,7.775,8.08,356859.0,0.0,1.0,9.24,9.449,7.775,8.08,356859.0
2018-03-07,7.59,8.2,7.49,8.11,136094.0,0.0,1.0,7.59,8.2,7.49,8.11,136094.0
2018-03-06,7.53,7.71,7.3056,7.64,171705.0,0.0,1.0,7.53,7.71,7.3056,7.64,171705.0
2018-03-05,7.23,7.55,7.18,7.5,96600.0,0.0,1.0,7.23,7.55,7.18,7.5,96600.0
2018-03-02,7.39,7.39,7.12,7.32,131662.0,0.0,1.0,7.39,7.39,7.12,7.32,131662.0
2018-03-01,7.28,7.61,7.05,7.42,149003.0,0.0,1.0,7.28,7.61,7.05,7.42,149003.0
2018-02-28,7.38,7.38,7.16,7.29,76625.0,0.0,1.0,7.38,7.38,7.16,7.29,76625.0
2018-02-27,7.51,7.57,7.17,7.38,98165.0,0.0,1.0,7.51,7.57,7.17,7.38,98165.0
2018-02-26,7.57,7.69,7.32,7.5,82911.0,0.0,1.0,7.57,7.69,7.32,7.5,82911.0
2018-02-23,7.39,7.55,7.3863,7.49,46791.0,0.0,1.0,7.39,7.55,7.3863,7.49,46791.0
2018-02-22,7.47,7.52,7.2975,7.36,57212.0,0.0,1.0,7.47,7.52,7.2975,7.36,57212.0
2018-02-21,7.46,7.66,7.4,7.41,56108.0,0.0,1.0,7.46,7.66,7.4,7.41,56108.0
2018-02-20,7.56,7.64,7.36,7.45,102515.0,0.0,1.0,7.56,7.64,7.36,7.45,102515.0
2018-02-16,7.36,7.88,7.36,7.58,119851.0,0.0,1.0,7.36,7.88,7.36,7.58,119851.0
